,author,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26
Row_11,"Sharif, MS (Sharif, Md Sabbir) [1] ; Rahman, ML (Rahman, Mohammad Lutfur) [2] , [3]",Developing a Conceptual Framework for an Eco-Friendly Smart Urban Living,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,JUN 1 2022,8,"Smart mobility and transit-oriented development (TOD) are closely intertwined with smart urban living in developing a smart city. A number of initiatives were taken through smart mobility or TOD projects to ensure smart urban living over time. However, there is a lack of consistent approach to combining smart mobility and TOD for smart urban living. The connection between TOD and smart mobility performance indicators remains unexplored for smart urban living. Therefore, the study aim was to develop a conceptual framework for eco-friendly smart urban living with the integration of TOD and smart mobility performance indicators. A compendious literature search was conducted to identify the smart mobility and TOD performance indicators. A Delphi questionnaire was also used to rank the indicators by experts. The eco-friendly smart urban living framework was developed with the integration of smart mobility and TOD performance indicators. This study found eight TOD performance indicators, namely utilization of transit nodes, user-friendliness of a transit system, parking at the station, walkability and cyclability, land-use diversity, access and accessibility, density, and economic development, that needed to be considered to design a city for smart living. Six smart mobility indicators, namely, location efficiency, reliable mobility, health and safety, environmental stewardship, social equity, and robust economy, were also identified and included in the smart urban living framework due to their importance to ensure smart living environments. Future research should test this framework using local data in different geographical settings.",Smart mobility,Smart urban living,Transit-oriented development,Transit-oriented development indicators,Smart mobility indicators,Smart urban living framework,TRANSIT-ORIENTED DEVELOPMENT,LAND-USE,MOBILITY,TRANSPORTATION,PORTLAND,ACCESSIBILITY,OREGON,TOD,,,,,,,,,,,,
Row_12,"Sanchez-Sepulveda, MV (Sanchez-Sepulveda, Monica V.) [1] ; Navarro, J (Navarro, Joan) [1] ; Fonseca-Escudero, D (Fonseca-Escudero, David) [1] ; Amo-Filva, D (Amo-Filva, Daniel) [1] ; Antunez-Anea, F (Antunez-Anea, Felipe) [1]",Exploiting urban data to address real-world challenges: Enhancing urban mobility for environmental and social well-being,CITIES,OCT 2024,0,"The rapid urbanization of large cities poses significant challenges to residents' well-being, particularly regarding mobility patterns, infrastructure, and environmental pollution. While extensive research has explored the societal impacts of urbanization, effectively identifying, and addressing critical urban areas remains a complex task. This study proposes utilizing data-driven urban approaches to guide decision-making for urban planners, architects, and policymakers by identifying key infrastructure areas crucial for improving mobility and sustain- ability. Leveraging open data urban repositories, the study aims to develop a data analytics pipeline to identify urban infrastructure points for enhanced, accessible, sustainable, and healthy mobility. This research focuses on understanding urban factors influencing pedestrian and cyclist movement to promote active behaviors, thus enhancing citizens' health and quality of life. The study hypothesizes that the developed methodology, employing a multi-stage data analysis pipeline and clustering algorithms, effectively evaluates walkability and cyclability in urban environments. Using Barcelona as a case study allows for a comprehensive demonstration of the methodology's potential outcomes without compromising general applicability. The data-driven study explores accessibility and mobility variations, addressing issues of affordability and barriers in new micro-mobility solutions, and contributing valuable insights to informed policymaking for global net-zero transitions.",Smart cities,Sustainable mobility,Data-driven solutions,Urban planning,SYSTEMS,CITY,,,,,,,,,,,,,,,,,,,,
Row_13,"Sen, HL (Sen, H. Livanur) [1] ; Al-Saffar, M (Al-Saffar, Mazin) [2]",Toward a Smart Mobility Framework on Oxford Road,"PRAXIS OF URBAN MORPHOLOGY, PT 2",2023,0,"The world's population has increased rapidly, leading to urbanising many ruler areas, and it is estimated that around 75% of people will live in cities by 2050. Therefore, cities will require new urban design methods and smart sustainable systems to face future socioeconomic and environmental challenges. Mobility is one of the main components of urban infrastructure and city systems that have been developed to reduce global carbon dioxide emissions. Cities in recent years have endeavoured to adopt new smart sustainable transportation system that has been implemented differently according to the city's infrastructure and community needs. The smart mobility concept aims to eliminate the negative consequences of current transportation systems by more efficient mobility options for future cities. Mobility is not only related to urban infrastructure but is also an important aspect of the city's built environment and public life. The public space that is available for everyone to enjoy freely is shaped by the movements of the urban environment, including bicycles and pedestrians. In this paper, design principles for public space are covered by using smart mobility dimensions. Oxford Road, which is an iconic street in Manchester frequented by many people daily, is chosen as a case study area. The case study area urban context and mobility systems situation will be assessed by using mixed research methods such as observations, photos, serial visions, counting and mapping. The outcome of this research will produce a smart mobility framework that supports the city's future urban developments.",t Smart Mobility,Urban Mobility,Urban Design,Public Space,Urban Infrastructure,CITIES,,,,,,,,,,,,,,,,,,,,
Row_14,"Basmenj, SK (Basmenj, S. Kamel) [1] ; Li, S (Li, S.) [1]",A REVIEW OF URBAN HUMAN MOBILITY RESEARCH BASED ON CROWD-SOURCED DATA AND SPACE-TIME AND SEMANTIC ANALYSIS,"XXIV ISPRS CONGRESS IMAGING TODAY, FORESEEING TOMORROW, COMMISSION IV",2022,1,"Detecting urban human mobility patterns helps contributes to many urbanization issues, such as urban planning and traffic management. With the growing volume of crowd-sourced data, many studies have benefited from this data type to explore people's daily movements and track their activities. There are several published review papers examing these studies on urban human mobility, with the focus on defining models and applications. However, the absence of a review of studies on urban human mobility that considered spatial, temporal, and semantic properties as well as crowd-sourced data together has limited the proliferation of semantic content in addressing mobility issues. In response, this paper provides a review on urban human mobility, including the data, models, and applications used in the selected articles. We defined particular inclusion and exclusion criteria to select the most relevant articles. We also included metadata analysis to overview the existing relevant literature. Finally, several research challenges and open issues are discussed.",Urban,Human mobility,Spatiotemporal patterns,Semantics,Crowd-sourced data,PATTERNS,,,,,,,,,,,,,,,,,,,,
Row_15,"Richerzhagen, C (Richerzhagen, Carmen) [1] ; Gröschner, S (Groeschner, Stefan) [1] ; Dreber, N (Dreber, Niels) [1] ; Thorn, M (Thorn, Michaela) [1]",Social-Ecological Research in sustainable urban and mobility research in Europe,GAIA-ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY,2022,0,,European partnerships,sustainable mobility,sustainable urban development,,,,,,,,,,,,,,,,,,,,,,,
Row_16,"Liu, X (Liu, Xu) [1] ; Dijk, M (Dijk, Marc) [1] ; Colombo, C (Colombo, Carlo) [2] , [3]",Improving multilevel policy mixes for sustainable urban mobility transition,ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,MAR 2024,2,"Transitioning to sustainable urban mobility in the EU requires a complex policy mix covering various transport modalities and levels of governance. Yet, existing studies focus mainly on a single modality or governance level as unit of analysis. To fill this gap, this article combines the literatures on policy mixes and on urban mobility transition to investigate the relations between various policies influencing the transition to sustainable urban mobility across governance levels. Analysing data from 32 interviews focused on Dutch cities, two key conflicts are identified as hampering the transition to sustainable urban mobility: i) a bias of national funding towards solving bottlenecks through infrastructure development; ii) a significant influence of the national level on the local level, while the former is hardly influenced by others. The analysis suggests that these conflicts might be overcome by shifting the emphasis of national funding to mobility in a broader sense and institutionalizing multilevel cooperation.",Policy mixes,Urban mobility transition,Sustainability transition,Multilevel governance,CLIMATE-CHANGE,GOVERNANCE,TRANSPORT,CITIES,EXPERIMENTATION,EUROPEANIZATION,LABORATORIES,INTEGRATION,DYNAMICS,ENERGY,,,,,,,,,,,,
Row_17,"Balletto, G (Balletto, Ginevra) [1] ; Campisi, T (Campisi, Tiziana) [2] ; Borruso, G (Borruso, Giuseppe) [3] ; Meloni, I (Meloni, Italo) [1] ; Scappini, B (Scappini, Beatrice) [1]","City Form, Mobility and University Students in Post Pandemic Era","COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2022 WORKSHOPS, PART IV",2022,2,"The relationships between the shape of the city, proximity and mobility have always been the subject of study for urban planning and urban geography, however more oriented towards finding treatments than causes to be solved. What role does centrality and urban attractiveness determine in consideration of daily actions and therefore of access to the main services? The urban mobility of university students is the focus of this paper while the aim is to develop a methodological proposal to build an index of centrality (Uni_City Index) of the Italian Universities as a function of a set of open data indicators of innovation, socio-economic, mobility and land use to support city-university integrated policy actions in the context of post-pandemic recovery and the recent energy crisis.",City form,City of proximity,Mobility,University students,Post pandemic city,CAMPUS,INDEX,,,,,,,,,,,,,,,,,,,
Row_18,"Nie, WP (Nie, Wei-Peng) [1] , [2] , [5] ; Cai, SM (Cai, Shi-Min) [1] , [2] ; Zhao, ZD (Zhao, Zhi-Dan) [3] , [4] ; Gao, FJ (Gao, Fu-Juan) [5] ; Li, ZT (Li, Ze-Tao) [1] , [2] ; Zhou, T (Zhou, Tao) [1] , [2]",Examining the impact of urban-rural spatial structure on mobility networks: A case study of taxis,CITIES,OCT 2023,4,"Urban livability and sustainability require a deeper understanding of the impact of urban spatial structure on human mobility. Here two mobility networks generated from two taxi data from two cities (Chengdu and New York City) are used to explore human intra-urban mobility. Through the network analysis, we found that many measures of two mobility networks present a two-segment feature. Combined with the map and population distribution, we demonstrate that the two segments correspond to the central and non-central regions of the city, respectively, which means hierarchical mobility related to urban-rural structure exists in both cities, although they have different levels of urbanization. We comprehensively analyze the impact of urban-rural spatial structure on the nature of mobility networks. The central and non-central regions differ significantly in the heterogeneity of human mobility and present different ranges and directions of trips, like the large degree nodes, showing a flared entry and exit pattern. We improved a gravity model by introducing flows to and from the node instead of population to predict the traffic between different nodes, and the prediction results also vary significantly between the two regions. These findings are valuable for understanding the relationship between urbanrural spatial structure and human mobility.",Network analysis,Urban -rural spatial structure,Hierarchical mobility,Gravity model,PATTERNS,PREDICTION,SPREAD,CHINA,,,,,,,,,,,,,,,,,,
Row_19,"Allam, Z.; Sharifi, A.",Research Structure and Trends of Smart Urban Mobility,Smart Cities,2022,16,"Mobility is a subject of increasing importance in a time when cities have gained prominence, as they are home to over 56% of the world's population and generate over 80% of global GDP. Urban planning principles have traditionally been developed to promote urban efficiency and enhance productivity. The emergence of 'Smart Mobility' has provided researchers and policy practitioners new ways to understand and plan cities. With rapid urbanization growth and the sustained mobility challenges faced in most global cities, this paper sets forth to understand and map the evolution of the concept of 'Smart Urban Mobility' through a bibliometric analysis and science mapping techniques using VOSviewer. In total, 6079 articles were retrieved from the Web of Science database over 5 decades, from 1968 to 2021, and divided into four sub-periods, namely 1968 to 2010, 2011 to 2015, 2016 to 2019, and 2020 to 2021. The paper provides a better understanding of the thematic focus and associated trends of smart mobility beyond technical issues related to Intelligent Transport Systems (ITS), where due to diverse dynamics, such as unprecedented growth and advancement in technologies, attention has extended to incorporating the impacts of the application of different technologies in urban mobility as well as associated fields. This paper further identifies major sources, authors, publications, and countries that have made more contributions to the development of this field. The findings of this study can help researchers better understand the evolution of the subject, and help policymakers make better-informed decisions on investable infrastructures for better mobility outcomes in urban regeneration pursuits and future cities.",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_20,"Yap, W (Yap, Winston) [1] ; Chang, JH (Chang, Jiat-Hwee) [1] , [2] ; Biljecki, F (Biljecki, Filip) [1] , [3]",Incorporating networks in semantic understanding of streetscapes: Contextualising active mobility decisions,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,JUL 2023,17,"Planning for active mobility satisfies many fundamental tenets of good urban design and planning. However, planning for active mobility is a complex endeavour due to numerous local, place-based factors that influence active mobility decisions. Recent advancements in urban data research have demonstrated the effectiveness of deep learning methods in evaluating active mobility potential for urban environments. At present, the incorporation of semantic information from deep learning models and street view imagery into spatio-temporal contexts remains a challenge. In particular, knowledge extraction from deep learning models remains an open question for urban planning and decision-making. Towards this issue, we propose a functional deep learning and network science workflow that employs open data from OpenStreetMap and Mapillary to assess factors affecting active mobility decisions and route planning. We demonstrate the generalisability of our analytical workflow through two case studies focusing on urban greenery in Nerima city (Japan) and urban visual complexity in Pasir Ris town (Singapore). Our results reveal clear patterns of heterogeneity in urban streetscapes and identify unevenness in street infrastructure provision based on destination types. Using this information, we propose specific areas for design intervention to improve active mobility planning. Our workflow is applicable for a diverse range of use cases making it relevant to a wide range of stakeholders, not limited to, urban researchers, policy makers and urban planners.",Computer vision,volunteered geographic information,machine learning,urban analytics,walking behaviour,URBAN DESIGN QUALITIES,BUILT ENVIRONMENTS,AFFECTIVE EXPERIENCES,HONG-KONG,ACCESSIBILITY,TRAVEL,WALKING,HEALTH,SCHOOL,VIEW,,,,,,,,,,,
Row_21,"Tammaru, T (Tammaru, Tiit) [1] , [2] ; Sevtsuk, A (Sevtsuk, Andres) [3] ; Witlox, F (Witlox, Frank) [1] , [4]",Towards an equity-centred model of sustainable mobility: Integrating inequality and segregation challenges in the green mobility transition,JOURNAL OF TRANSPORT GEOGRAPHY,OCT 2023,5,"Urban planners and transportation policy makers around the world are proposing initiatives for greener mobility, particularly by promoting higher urban development densities, active transport modes, and non-auto access to destinations. This Special Issue engages critically with the sustainable mobility and 15-Minute City concepts by outlining an Equitable Sustainable Mobility Model that integrates non-auto accessibility improvements with key daily activity destinations to establish a wider discussion on urban structure, segregation, equity and mobility. The papers collected in this Special Issue reveal that sustainable mobility solutions are only partial when detached from the underlying mechanisms of residential sorting and spatial patterns of daily activity spaces. An equitable shift towards greener mobility needs to (1) address rising levels of residential segregation by promoting neighbourhood-level mixed-income housing, (2) radically shift urban space from automobility to different greener forms of mobility, (3) address not only neighbourhood specific, but also metropolitan-level access challenges to key activity places, (4) focus on integrating broadly accessible and affordable travel modes, particularly active travel (walking and cycling) and public transit, and (5) develop e-mobility solutions that are accessible to diverse user needs and offer flexible inter-neighbourhood coverage.",Sustainable mobility,Equity,Segregation,Activity spaces,15-Minute City,Transit-oriented development,E-mobility,URBAN,CITIES,POLICY,TRAVEL,,,,,,,,,,,,,,,
