,author,title,journal/conference/book,publish time,citation,abstract,keywords
Row_11,"Alekseev, MY (Alekseev, M. Yu.) [1]",The Role of Respawning Individuals in the Reproduction of Atlantic Salmon Salmo salar (Salmonidae). Mathematical Simulation,JOURNAL OF ICHTHYOLOGY,JUN 2023,0,"Analysis of long-term fishing and biological data has made it possible to determine the proportion of respawning individuals (the ""remainder"") in populations of Atlantic salmon Salmo salar inhabiting large rivers of the Kola Peninsula. The contribution of respawning individuals to the dynamics of the Atlantic salmon population was assessed using the mathematical simulation model. It is shown that the model population becomes more resistant to fishing with increase in the ""remainder"" proportion; however, the influence of such individuals on the population dynamics is noticeable only when their relative number is more than 5% in the spawning population. The results of different model experiments are interpreted. The role of respawning salmons may be determined not so much by their quantitative contribution to the reproduction process as by the maintenance of the genetic diversity of the population within the reproductive strategy characteristic of the Atlantic salmon.",Author KeywordsAtlantic salmon Salmo salarreproductionrespawningspawning markself-oscillationsmathematical modelKola PeninsulaKeywords PlusRIVERSURVIVALKELTSSIZEAGE
Row_12,"Lapa, K.",Multi-population-based Algorithms with Different Migration Topologies and Their Improvement by Population Re-initialization,"Artificial Intelligence and Soft Computing: 22nd International Conference, ICAISC 2023, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14125)",2023,1,"In this paper, the possibilities of improving the performance of multi-population-based algorithms were tested. In the proposed approach, it was decided to test various methods and parameters of the population re-initialization mechanism, aimed at improving the diversity of individuals and preventing premature convergence, which is associated with a possible improvement in obtained results. In addition to the standard approach with random re-initialization of a new population, it was decided to test an approach in which selected populations are initialized with the use of modified individuals from better-performing populations. This approach has not been thoroughly tested so far, in particular for many different migration topologies and different population-based algorithms. The presented approach was specifically tested for the MNIA algorithm, eliminating the need to select one specific algorithm for the optimization. The simulations were performed for typical benchmark functions. The results of the simulations allow us to conclude that the proposed approach, depending on the parameters, improved the optimization process.",different migration topologiesMNIA algorithmpossible improvementpreventing premature convergenceselected populationsspecific algorithm
Row_13,"Chambers, MS (Chambers, Mark S.) [1]",Benefits to migratory fish populations of entrainment and its potential role in fisheries collapse,ICES JOURNAL OF MARINE SCIENCE,JAN-FEB 2021,1,"According to the entrainment hypothesis, traditional migratory routes develop in fish populations through social interactions. First-time migrants learn migratory routes by following experienced conspecifics and, by repeating the migration, contribute to guiding future cohorts along the same route. The loss of collective memory of migratory routes may be a precursor to fisheries collapse. The survival value of entrainment has not been convincingly demonstrated, and this possibly explains why there has not been greater interest in this putative migratory mechanism. I propose that the relative frequency of demonstrators of alternative contingents provides information to first-time migrants on relative survival rates. Using simulation, I show that a population in which contingent adoption is regulated by entrainment can achieve higher overall survival rates than a comparable population with fixed rates of contingent adoption in the situation where mortality rates differ among contingents. In certain cases, the advantage could be even larger in the presence of fishing mortality. I also compare the responses of the entrainment-based and fixed-rate migration populations in a scenario intended to mimic the cessation of fishing after a period of high fishing mortality, such as might occur after the collapse of a fishery.",Author Keywordsentrainmentfisheries collapsemigrationsimulation studyKeywords PlusSOUTHERN BLUEFIN TUNACOD GADUS-MORHUADECISION-MAKINGDYNAMICSECOLOGYSTOCKCONNECTIVITYBEHAVIOR
Row_14,"Best, K.; Gilligan, J.; Ao Qu",Modeling Multi-Level Patterns of Environmental Migration in Bangladesh: An Agent-Based Approach,2021 Winter Simulation Conference (WSC),2021,0,"Environmental change interacts with population migration in complex ways that depend on interactions between impacts on individual households and on communities. These coupled individual-collective dynamics make agent-based simulations useful for studying environmental migration. We present an original agent-based model that simulates environment-migration dynamics in terms of the impacts of natural hazards on labor markets in rural communities, with households deciding whether to migrate based on maximizing their expected income. We use a pattern-oriented approach that seeks to reproduce observed patterns of environmentally-driven migration in Bangladesh. The model is parameterized with empirical data and unknown parameters are calibrated to reproduce the observed patterns. This model can reproduce these patterns, but only for a narrow range of parameters. Future work will compare income-maximizing decisions to psychologically complex decision heuristics that include non-economic considerations.",modeling multilevel patternsenvironmental migrationBangladeshagent-based approachenvironmental changepopulation migrationindividual householdsindividual-collective dynamicsagent-based simulationsoriginal agent-based modelsimulates environment-migration dynamicsrural communitiespattern-oriented approach
Row_15,"Antony, J.; Maniyeri, R.",Simulation of Lateral Migration of Red Blood Cell in Poiseuille Flow Using Smoothed Particle Hydrodynamics,"Fluid Mechanics and Fluid Power, Volume 4: Select Proceedings of FMFP 2022. Lecture Notes in Mechanical Engineering",2024,0,"Cell separation is a process of isolating one or more specific cell populations from a heterogeneous mixture of cells. Understanding the dynamics of cells in different flow conditions is necessary to develop and improve the cell separation methods based on mechanical properties of cells. The present work numerically investigates the lateral migration of a deformable red blood cell in Poiseuille flow and the effect of the initial position of the cell on migration time and final shape of RBC. A meshless particle-based method known as smoothed particle hydrodynamics (SPH) is used in the simulations, which has several advantages over conventional grid-based methods in simulating fluid-structure interactions problems involving large deformation. A numerical model has been developed using a modified SPH that implements various improvements reported in the literature. The numerical simulations are parallelized on GPU using CUDA Fortran. The developed numerical model has been validated with existing results in the literature and it captures the deformation and migration of the deformable cell very well. It is observed that the RBC migrates towards the centre and attains similar shape at steady state irrespective of the initial position.",
Row_16,"Vandermeer, J (Vandermeer, John) [1]",The meta-Allee effect: A generalization from intermittent metapopulations,ECOLOGICAL COMPLEXITY,MAR 2021,1,"Intermittent population trajectories are likely to emerge in almost any population that faces a predator yet has a refuge from that predator. Using the well-known model of Pomeau and Manneville for intermittent populations, a collection of a group of inherently unstable subpopulations can survive through the balance of extinction and migration rates, which is a metapopulation. This formulation also generates a meta-Allee point, which is to say a minimal number of subpopulations that must exist to sustain the population over the long term.",Author KeywordsMetapopulationPomeau-MannvilleAllee effectNiche construction
Row_17,"Kahn, Ethan",Assessing the Effects of Health-Selective Internal Migration on Spatial Inequality in the United States: A Simulation-Based Analysis,University of Washington,2023,0,"Background: There are vast geographic and racial disparities in disability prevalence across the United States. Some geographic inequalities may be artifacts of health-selective internal migration, and it is unclear to what extent this migration influences the association between local characteristics and health outcomes. Accurately identifying the causes of disability is crucial to develop policies that reduce disparities in disability prevalence. Aims: This study measured how much internal migration contributes to spatial patterns of disability prevalence in the United States for the whole population and separately for five racial-ethnic groups. Methods: We ran a microsimulation of the US population aged 45 years and above and produced age-standardized estimates of disability prevalence in 976 substate locations between 2012 and 2019. By comparing patterns of disability prevalence with and without migration, we demonstrated the influence of migration on spatial inequality for the whole population and five racial-ethnic groups. Migration in the simulation was parameterized using generalized linear mixed effects models fit on the American Community Survey Public Use Microdata Sample. Additional parameters were derived from the National Health Interview Survey and previously published estimates. Results: We found that adults with disabilities were more likely to move compared to those without disabilities (3.4% vs 2.7% annually). Migration affected the prevalence of disability in most locations, but the effect was highly variable. The mean absolute difference in location-specific disability prevalence in 2019 with migration compared to the scenario without migration was 0.9 percentage points, with a mean absolute relative difference of 2.8%. Migration marginally increased the variation in disability prevalence across locations. Migration slightly exacerbated inequalities for minoritized racial-ethnic groups across areas classified by urbanicity and median income, although this pattern was not found for the White population or the total population. Conclusion: Disability is associated with whether and where adults move in the United States. However, health-selective internal migration does not substantially alter the spatial distribution of disability prevalence in the United States and only slightly affects the association between area-level income or urban-rural classification and disability prevalence. Nonetheless, migration meaningfully increased or decreased the disability prevalence in some areas, especially for minoritized racial-ethnic groups, so analyses of spatial inequality should consider the influence of migration on disability prevalence.",
Row_18,"Frisman, EY (Frisman, E. Ya) [1] ; Zhdanova, OL (Zhdanova, O. L.) [1] , [2] ; Kulakov, MP (Kulakov, M. P.) [1] ; Neverova, GP (Neverova, G. P.) [1] , [2] ; Revutskaya, OL (Revutskaya, O. L.) [1]",Mathematical Modeling of Population Dynamics Based on Recurrent Equations: Results and Prospects. Part II,BIOLOGY BULLETIN,MAY 2021,4,"The second part of this article focuses on subjects devoted to mathematical modeling of the evolution of limited populations and migration affecting the dynamics of coupled populations and the patterns of their spatial distribution. The purpose of this article is to present developed approaches and mathematical discrete-time models to study the emergence of multistability, synchronization, and clustering in population systems.",Keywords PlusLIFE-HISTORY EVOLUTIONNATURAL-SELECTIONPATTERN-FORMATIONCOMPLEX DYNAMICSK-SELECTIONR-SELECTIONINHERITANCETRAITSDRIVENAGE
Row_19,"Meng, L (Meng, Lan) [1] ; Zhu, W (Zhu, Wei) [1]","Analysis of SEIR epidemic patch model with nonlinear incidence rate, vaccination and quarantine strategies",MATHEMATICS AND COMPUTERS IN SIMULATION,OCT 2022,5,"In this paper, a susceptible-exposed-infectious-recovered (SEIR) epidemic patch model with nonlinear incidence rate, vaccination and quarantine strategies is presented. According to the properties of nonnegative matrices, the range of basic reproduction number is obtained. Moreover, the stability of disease-free equilibrium is studied. Some numerical simulations are given to validate the theoretical results. The effects of vaccination, quarantine strategies and population migration on disease transmission are also investigated by numerical simulations.(c) 2022 International Association for Mathematics and Computers in Simulation (IMACS). Published by Elsevier B.V. All rights reserved.",Author KeywordsSEIR epidemic patch modelNonlinear incidence rateVaccinationQuarantineDisease-free equilibriumBasic reproduction numberKeywords PlusGLOBAL STABILITYDYNAMICSTRANSMISSION
Row_20,"Curry, T (Curry, Troy) [1] ; Croitoru, A (Croitoru, Arie) [1] ; Crooks, A (Crooks, Andrew) [2]",MODELING FORCED MIGRATION: A SYSTEM DYNAMIC APPROACH,"2023 ANNUAL MODELING AND SIMULATION CONFERENCE, ANNSIM",2023,0,"Forced migration of populations is a topic of increasingly national and international importance due to security, international relations, and humanitarian considerations. Despite its importance, there has been a dearth of quantitative research to support modeling and simulation of this topic, thus hindering our ability to better understand this phenomenon. Motivated by this gap, this research leverages the recent availability of diverse set of data related to forced migration, including regime legitimacy, violence, human rights violations, conflict, socio-political mobilization, intervening opportunities, and social media. The purpose of this article is to explore the applicability and utility of open-source data in a system dynamics model to forecast population displacement, and to illustrate the benefits of using a system dynamics approach to modeling displaced population on a national and international scale. Our results suggest that this proposed approach can be used to understand such migration processes and simulate possible scenarios.",Author Keywordsforced migrationrefugeesystem dynamicsprediction modelMiddle East
Row_21,"Elbetch, B (Elbetch, Bilel) [1] ; Moussaoui, A (Moussaoui, Ali) [2]",Nonlinear diffusion in multi-patch logistic model,JOURNAL OF MATHEMATICAL BIOLOGY,JUL 2023,3,"We examine a multi-patch model of a population connected by nonlinear asymmetrical migration, where the population grows logistically on each patch. Utilizing the theory of cooperative differential systems, we prove the global stability of the model. In cases of perfect mixing, where migration rates approach infinity, the total population follows a logistic law with a carrying capacity that is distinct from the sum of carrying capacities and is influenced by migration terms. Furthermore, we establish conditions under which fragmentation and nonlinear asymmetrical migration can lead to a total equilibrium population that is either greater or smaller than the sum of carrying capacities. Finally, for the two-patch model, we classify the model parameter space to determine if nonlinear dispersal is beneficial or detrimental to the sum of two carrying capacities.",Author KeywordsPopulation dynamicsLogistic equationNonlinear diffusionSlow-fast systemsTikhonov's theoremPerfect mixingKeywords PlusPOPULATION INTERACTIONSMATHEMATICAL-MODELSGLOBAL STABILITYTOTAL BIOMASSDISPERSALPERSISTENCEEXTINCTIONDYNAMICS
Row_22,"Wang, KF (Wang, Kaifa) [1] ; Wang, WD (Wang, Wendi) [1]",Effects of population dispersals on measles dynamics,RICERCHE DI MATEMATICA,JAN 2024,0,"A mathematical model is formulated, which simulates the measles dynamics influenced by population dispersals between two patches. It is shown that the disease-free state is globally stable if the effective reproduction number is less than unity and the disease is uniformly persistent if the reproduction number is greater than one. Numerical simulations reveal that random population dispersals tend to reduce the value of the reproduction number, but the biased migrations induce non-monotonic function of the reproduction number with respect to the population migration intensity. We also find that the fluctuations of disease transmission reduce the reproduction number and the time-averaged reproduction number overestimates the reproduction number. These results are helpful to design the prevention policy for measles control.",Author KeywordsMigrationPatchPeriodicReproduction numberStabilityKeywords PlusEPIDEMIC MODELSTRANSMISSIONVACCINATIONTHRESHOLDDISEASES
Row_23,"Huang, Peng",Dynamics of Population Flow Networks,"University of California, Irvine",2024,0,"Taking a relational and systemic approach, this dissertation offers theoretical, methodological, and empirical advancements in understanding the social forces that drive or inhibit human migration. We consider migration flows among geographical areas as a network system, analyzing its dynamics using the exponential-family random graph models (ERGMs) and simulation methods. Chapter 2 grapples with the computational hurdle for modeling valued/weighted networks using ERGMs. We propose and implement an efficient parallelizable subsampled Maximum Pseudo-Likelihood Estimation (MPLE) scheme, which enables fast and accurate computation of ERGMs for big valued networks with high edge variance. The comparative simulation experiments further show whether and how the performance of existing computational approaches vary by the network size and the variance of edge values, providing guidelines for choosing and tuning those methods for different use cases. Chapter 3 applies the implemented method to study intercounty migration in the United States (U.S.), whose migration rates have declined for decades and reached a historical low. We found a pattern of ""segmented immobility,"" where fewer people migrate between counties with dissimilar political contexts, levels of urbanization, and racial compositions. We also propose a ""knockout experiment"" framework to quantify the impact of segmentation on population immobility. The chapter reveals the social and political cleavages that underlie population immobility in the U.S., bridging the scholarly domains of (im)mobility, segregation, and polarization. Motivated by debates about California’s net migration loss (""California Exodus""), Chapter 4 examines the scale of and the mechanisms behind the migration-induced population redistribution among U.S. states. We combine ERGMs, knockout experiments, and a protocol for functional form visualization to understand the complex effects of political climates, housing costs, racial dynamics, and urbanization. The chapter offers an analytical framework for migration-induced population redistribution and demonstrates how generative statistical models can provide mechanistic insights beyond hypothesis-testing.",
Row_24,"Díaz-Cabrera, E (Diaz-Cabrera, Ernesto) [1] , [2] ; Vega-Retter, C (Vega-Retter, Caren) [1] ; Roja-Hernández, N (Roja-Hernandez, Noemi) [1] ; Meerhoff, E (Meerhoff, Erika) [2] , [3] ; DeWitte, B (DeWitte, Boris) [2] , [4] , [5] ; Veliz, D (Veliz, David) [1] , [2]","Integrating genetic and biophysical approaches to estimate connectivity in an isolated, insular system: case of the culturally important marine gastropod Monetaria caputdraconis",JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,JUL 18 2023,2,"Population connectivity has a fundamental role in metapopulation dynamics with important implications for population persistence in space and time. Oceanic islands, such as Easter Island (EI) and the Salas & Gomez Island (SG), are ideal for the study of population connectivity because they are separated by 415 km and isolated from other islands in the Pacific Ocean by >2000 km. Considering that the dispersal process could play a critical role in the persistence of their populations, we evaluated the connectivity pattern of the endemic gastropod Monetaria caputdraconis between EI and SG using population genetics and biophysical modelling. Eleven microsatellite loci did not show differences in the allelic frequency of individuals located in EI and SG, suggesting the presence of one genetic population. Historical reciprocal migration implies that 0.49% of the recruits in EI come from SG and 0.37% in SG come from EI. Considering year-round larval release and a larval development of 2 weeks in the plankton, a Lagrangian experiment based on a regional oceanic simulation indicated a weak population connectivity with a high rate of self-recruitment. Interestingly, self-recruitment showed both monthly and interannual variation ranging from 1 to 45% of returned larvae, with lower values estimated in SG compared to EI. The results suggest that few larvae/individuals arrive at each other's island, possibly due to stochastic events, such as rafting. Overall, our results indicate that both islands maintain population connectivity despite their distance; these findings have implications for designing conservation strategies in this region.",Author Keywordsendemic cowry gastropodlarval connectivityoceanic islandsEaster Islandpopulation geneticKeywords PlusSALAS Y GOMEZLARVAL DISPERSALEASTER-ISLANDCONCHOLEPAS-CONCHOLEPASPOPULATION-GENETICSDIFFERENTIATIONPATTERNSCOASTALRELATEDNESSRECRUITMENT
Row_25,"Stepanek, M (Stepanek, Martin) [1] , [2] , [3]",Sectoral Impacts of International Labour Migration and Population Ageing in the Czech Republic,COMPUTATIONAL ECONOMICS,AUG 2022,2,"This study assesses macroeconomic and sectoral impacts of demographic changes in the Czech Republic as a result of population ageing and international migration. To do so, it develops a unique dynamic Overlapping Generations Computable General Equilibrium (OLG-CGE) model with detailed representation of individuals of different ages, educational attainment and occupations, as well as interrelations among industrial sectors in producing intermediate and final outputs. The numerical simulations show that the Czech economy will face a substantial reduction in its effective labour supply and changes in aggregate as well as sectoral demand patterns, leading to lower economic growth (4.4% lower GDP by 2050 in absence of technological progress), increase in unit labour costs (5.2% higher wages in absence of inflation) and lower competitiveness of the economy as a whole. Replacement migration may alleviate the pressure, yet the current gross immigration would need to increase by at least 8-17 thousand individuals per year compared to the UN projections (a 15-34% increase) without changing emigration patterns in order to offset the adverse long-term effects.",Author KeywordsOLGCGEMigrationLabour forceEconomic impactKeywords PlusMODELGROWTHIMMIGRATIONINNOVATION
