,author1,author2,author3,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14
Row_11,"He, Jialyu","Zhang, Jinbao","Yao, Yao",Extracting human perceptions from street view images for better assessing urban renewal potential,CITIES,MAR 2023,28,"Accurate and efficient assessment of large-scale urban renewal potential is an indispensable prerequisite for managing and facilitating projects. However, few studies consider the built environment when assessing urban renewal potential because it is difficult to measure. Street view images can show the physical setting of a place for humans to perceive the built environment. Hence, we separately extracted emotional and visual perceptions from street view images to construct a new comprehensive indicator set to assess multi-class urban renewal potentials. To establish the assessment model, we applied a backpropagation neural network based on the presence and background learning (PBL-BPNN). The renewal potential assessment based on the proposed indi-cator set can reach the highest accuracy. Emotional perceptions contribute more to assessing renewal potential than visual perceptions because they are more consistent in portraying the blighted built environment. Emotionally, the ratings of safety, boring, depression, and lively are stable in the blighted built environment. Visually, greenness and imageability often remain at lower values, highlighting the importance of greenspace and urban furniture in determining urban renewal. Furthermore, multi-class renewal potentials can be used for scenario analysis by assuming different renewal intentions. The results can support governments and planners in making efficient urban renewal decisions.",Urban renewal potential assessment,Street view images,Human perceptions,Presence and background learning (PBL),QUALITY-OF-LIFE,LAND-USE,REDEVELOPMENT,CHINA,PROJECTS,IMPACT,CLASSIFICATION,URBANIZATION,PERFORMANCE,PATTERNS,,,,,"Li, Xia",,,,,,,,,,
Row_12,"Lin, Yinyi","Zhang, Hongsheng",,INTRA-YEAR URBAN RENEWAL IN METROPOLITAN CITIES USING TIME SERIES SAR AND OPTICAL DATA,2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),2022,2,"The rapid urbanization process over metropolitan cities often came with the dramatic urban land transformation of different natural land cover types into urban impervious surfaces (UIS) or UIS back to natural land covers. However, most UIS mapping studies usually focus on inter-year variation, suggesting that the urbanization process is irreversible. The rapid intra-year urban reconstruction and urban renewal are under-explored. This study develops a new algorithm for intra-year urban renewal using all available Sentinel-1 and Sentinel-2. Time series SAR and optical data are utilized for intra-year UIS change detection, i.e., to detect the changes from UIS to other land cover types. Results showed that the urban renewal process occurred within the metropolitan area, i.e., UIS changed into the bare land or vegetation. The overall accuracy and kappa of urban renewal change detection are 72.79% and 0.4599, respectively.",Urban impervious surface,time series,SAR,urban renewal,,,,,,,,,,,,,,,,,,,,,,,,,
Row_13,"Hao, Zhibiao","Wang, Yongsong",,Evaluation of socio-economic-ecological environmental benefits of urban renewal projects based on the coupling coordination degree,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,APR 2023,11,"The success of urban renewal projects is attributed to the synergistic development of economic, social, and environmental sustainability. However, people often seek unilateral economic benefits and ignore the coupling and coordination degree of economy-social ecological and environmental benefits. This paper attempts to evaluate the success and sustainability of urban renewal projects based on the coupling coordination degree (CCD) of economic-social-ecological benefits. Firstly, this study relies on a literature review and structural interviews to build a coupling indicator system of economic-social-ecological benefits of urban renewal projects and calculates the weight of evaluation indicators based on the entropy method. Taking 15 urban renewal projects in Guangzhou as objects, this research measures their CCD and explores the coupling relationship. The research results show that (1) among the 60 comprehensive benefit evaluation indicator elements of urban renewal projects, the indicator element with a larger weight is ""Education support facilities,"" the economic benefit indicator element with greater weight is ""Regional housing price of renewal areas,"" and the ecological benefit indicator element with a large weight is ""Vitality, and health of the urban landscape, and the characteristics of meeting the needs of residents of all ages."" (2) From the project dimension, the evaluation value of the social, economic, and ecological environment benefits of different reconstruction projects have certain differences. From the perspective of the regional dimension, the CCD of comprehensive benefits of urban renewal projects has obvious regional differences. The projects with a high CCD are mostly distributed in the most economically developed regions. The economic and social benefits of the renewal projects located in the economic core of the city center are usually higher, but their eco-environmental benefits are not necessarily the highest. (3) The government should innovate the reconstruction mode of diversified development, improve the public participation mechanism, and build an efficient urban renewal ecosystem. This study concludes that the government should introduce relevant urban renewal policies to provide a theoretical basis and guidance for enterprises to participate in urban renewal projects.",Coupling coordination degree (CCD),Urban renewal project,Socio-economic-ecological environmental (SEEE) benefits,Coordinated development,DECISION-MAKING,NEIGHBORHOOD RENEWAL,GREEN INFRASTRUCTURE,REGENERATION,CITY,REDEVELOPMENT,STAKEHOLDERS,CONSTRUCTION,RESOURCES,EVOLUTION,,,,,,,,,,,,,,,
Row_14,"Du, Tongyun","Fertner, Christian","Jiang, Wen",Understanding the change in the social networks of residential groups affected by urban renewal,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,JAN 2023,13,"The process of urban renewal extensively changes residents' physical and social environments and, at the same time, reconstructs their social networks. Although there is a growing interest in analyzing the determinants of social networks, extant research neither accounts for the change in social networks after urban renewal nor considers the various residential groups affected by urban renewal. This work of research aims to examine the impact of urban renewal on social networks within neighborhoods based on three affected residential groups (in -site stayers, nearby stayers, and relocated residents) using data collected from six renewal areas in Chongqing, China. The results show that physical and social environmental changes significantly influence social networks during urban renewal. Socio-demographic factors such as age and education are associated with social network changes. The three affected residential groups identified significant differences in social networks after urban renewal. Nearby stayers experienced the largest increase in their network, while relocated residents experienced the most significant decrease. Social network changes for the same affected residential group also vary based on socioeconomic factors and perceptions of the residential environment. Targeted policy implications are provided for the specific affected residential groups.",Change in social networks,Heterogeneity,Urban renewal,China,NEIGHBORHOOD ATTACHMENT,LIFE SATISFACTION,CHINA,PARTICIPATION,TRUST,GENTRIFICATION,REDEVELOPMENT,DISPLACEMENT,COHESION,AREAS,,,,,"Andersen, Laura Morch","Vejre, Henrik",,,,,,,,,
Row_15,"Ammon, Francesca Russello",,,"Picturing Preservation and Renewal: Photographs as Planning Knowledge in Society Hill, Philadelphia",JOURNAL OF PLANNING EDUCATION AND RESEARCH,SEP 2022,2,"This history of postwar Society Hill, Philadelphia illuminates the role of photographs as planning knowledge and the relationship between historic preservation and urban renewal practice. Photographs both reflect and shape shifting values, preferences, and power dynamics among stakeholders in the built environment. Four photographic categories make this clear: ""before images"" selectively sample pre-renewal wrongs; ""counter-images"" picture planning alternatives; ""process images"" show the messy nature of renewal in progress; and ""after images"" document the completed neighborhood, while obscuring the destructive character of even preservation-oriented renewal. This case illustrates the significance of culturally constructed qualitative data to both past and present planning practice.",planning history,historic preservation,housing,neighborhood planning,urban history,urban form,photographs,urban renewal,Philadelphia,PA,URBAN,AGE,,,,,,,,,,,,,,,,,
Row_16,"Wang, X.","Ling, X.","Zhang, T.",Optimizing and Fine-tuning Large Language Model for Urban Renewal [arXiv],Optimizing and Fine-tuning Large Language Model for Urban Renewal [arXiv],2024,0,"This study aims to innovatively explore adaptive applications of large language models (LLM) in urban renewal. It also aims to improve its performance and text generation quality for knowledge question-answering (QA) tasks. Based on the ChatGLM, we automatically generate QA datasets using urban renewal scientific literature corpora in a self-instruct manner and then conduct joint fine-tuning training on the model using the Prefix and LoRA fine-tuning methods to create an LLM for urban renewal. By guiding the LLM to automatically generate QA data based on prompt words and given text, it is possible to quickly obtain datasets in the urban renewal field and provide data support for the fine-tuning training of LLMs. The experimental results show that the joint fine-tuning training method proposed in this study can significantly improve the performance of LLM on the QA tasks. Compared with LoRA fine-tuning, the method improves the Bleu and Rouge metrics on the test by about 5%; compared with the model before fine-tuning, the method improves the Bleu and Rouge metrics by about 15%-20%. This study demonstrates the effectiveness and superiority of the joint fine-tuning method using Prefix and LoRA for ChatGLM in the urban renewal knowledge QA tasks. It provides a new approach for fine-tuning LLMs on urban renewal-related tasks.",,,,,,,,,,,,,,,,,,,"Li, X.","Wang, S.","Li, Z.","Zhang, L.","Gong, P.",,,,,,
Row_17,"Cheng, Yi","Dou, Pingping",,Delimiting Renewal Units: A regeneration method for the hybrid district of Suzhou Old Town,"PRAXIS OF URBAN MORPHOLOGY, PT 2",2023,0,"In recent years, the focus of China's urban development has shifted to urban regeneration, and renewal design should take into account the history and culture of the city, the living needs of citizens and the subsequent commercial development. The renewal unit system can flexibly integrate these requirements, and has been widely applied in the practice, and urban morphology methods has strong practicability in the delimitation of urban plan-units. This paper attempts to use the analysis method of urban morphology to delimit renewal units and explore the adaptability and expandability of urban morphology in the future development of China's cities. This paper adopts town plan analysis, typology analysis, qualitative and quantitative combined analysis, and other morphological methods. In addition to basic morphological elements such as streets, plots and buildings, it also incorporates the unique historical relics, cultural heritage, social management system and housing property rights of study district, and studies its changes in scale and time. Finally, it obtains the unit delimitation diagram from three perspectives of morphology, culture and society, and conducts the superposition analysis to divide the plan units for protection and renewal of Shuangta District. The renewal units can serve as the basic unit and provide accurate and valuable basis for future strategic design, development contracting and transformation implementation.",Urban renewal,Urban Morphology,Renewal Unit,Unit delimitation,Suzhou Old Town,URBAN MORPHOLOGY,,,,,,,,,,,,,,,,,,,,,,,
Row_18,"Chen, Yizhong","Han, Qingye","Liu, Guiwen",Determining Critical Success Factors of Urban Renewal Projects: Multiple Integrated Approach,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,MAR 1 2022,23,"With the rapid growth of the economy and urbanization in China, the challenges facing cities with respect to urban function, urban fabric, and living environment are enormous. Urban renewal projects aim to address these problems and lead to lasting improvements in physical, social, economic, and environmental aspects of urban built-up areas. The complexity and uncertainty of urban renewal projects face a high possibility of failure. Therefore, the purpose of this study is to design a systematic procedure to detect the critical success factors (CSFs) of urban renewal projects and reveal the influencing mechanism among the success factors in China. To this end, 24 final success factors were identified from a literature review, followed by the application of the Delphi method and the t-test model. Subsequently, the fuzzy decision-making trial and evaluation laboratory (DEMATEL) method was utilized to ascertain five CSFs so that project promoters and managers could effectively monitor the performance of urban renewal projects. Furthermore, corresponding countermeasures were provided to be adopted for further urban renewal projects with the three critical influence paths. Although project promoters, land ownership, and stakeholder groups vary significantly among different countries, the useful insights and research foundations from this study are equally applicable to countries other than China.",Urban renewal project,Critical success factors,Fuzzy DEMATEL method,Influence paths,CONSTRUCTION PROJECTS,FUZZY DEMATEL,NEIGHBORHOOD RENEWAL,DECISION-SUPPORT,DELPHI SURVEY,HONG-KONG,MANAGEMENT,SUSTAINABILITY,INFORMATION,GOVERNANCE,,,,,"Wu, Yong","Li, Kaijian","Hong, Jingke",,,,,,,,
Row_19,"Lyu, Peng-Hui","Zhang, Ming-Ze","Wang, Tang-Rong","Research Trends, Knowledge Base, and Hotspot Evolution of Urban Renewal: A Bibliometric Approach",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,SEP 1 2023,1,"Urban renewal is one of the most important topics in urban studies. However, this topic still does not receive a systematic review by bibliometrics to reveal the current situation. Therefore, the study collected data from the Web of Science core collection and applied statistical and co-occurrence analysis to recognize the productive academic entities of crucial journals and publications and the relationship between references, journals, and keywords. Results show that China receives the most attention currently, while the United States began related research as a pioneer, and the international scholarly collaboration in urban renewal is uneven. However, global academia gradually focuses on sustainability and energy utilization. Furthermore, there are four hotspots: the practices and theories in urban renewal, environment protection, future energy utilization, and the urban environment's impact on individuals. The study can assist related stakeholders in recognizing the foci, research trends, and knowledge base to understand urban renewal better.",Urban renewal,Research trends,Hotspot evolution,Bibliometrics,Sustainable development,DECISION-MAKING,HONG-KONG,BIG DATA,SUSTAINABILITY,REGENERATION,REDEVELOPMENT,SPRAWL,POLICY,SUBURBANIZATION,FRAMEWORK,,,,"Zhang, Xiao-Fan","Ye, Chang-Dong",,,,,,,,,
Row_20,"Zhou, Conghui","Zhang, Shining","Liu, Bowen",Using deep learning to unravel the structural evolution of block-scale green spaces in urban renewal,CITIES,JUL 2024,3,"Most urban green space (UGS) studies focus on city-level analysis, which is not conducive to urban renewal. We developed a new deep learning approach for characterising the structural evolution of block-scale UGS in urban renewal scenarios. Taking Beijing and Shanghai as models, we first segmented the study areas into block-scale grids and trained a random forest model based on a local climate zone framework to identify the spatial morphological classes of the grids. Second, we established a VGG16-based deep learning model to identify UGS structural types. Finally, we examined the associated patterns of grid spatial morphology and UGS structure under different renewal scenarios. We found that six distinct types of UGS structure are associated with different urban morphological classes. Spatial and temporal variations of UGS structures were observed in terms of direction of conversion, activity level, and extent of improvement to service level. Holistic and micro-renewal approaches drove positive evolution of block-scale UGS structures mainly by reducing building density and via precise optimization, respectively. Our results provide a reference for urban renewal policies and planning guidelines for block-scale UGSs in high-density cities.",Deep learning,Green space,Structure,Urban morphology,Urban planning,Urban renewal,LOCAL CLIMATE ZONES,HONG-KONG,CITY,CLASSIFICATION,LANDSCAPE,QUALITY,WALKING,ACCESS,AREAS,INFRASTRUCTURE,,,"Li, Tianjiao","Shi, Jixin","Zhan, Huiying",,,,,,,,
Row_21,"Shen, Chen","Wang, Yang","Xu, Yan","Unveiling citizen-government interactions in urban renewal in China: Spontaneous online opinions, reginal characteristics, and government responsiveness",CITIES,MAY 2024,6,"The prevailing paradigm of traditional top-down urban renewal has been criticized for failing to consider diverse public requests and preferences. This critique has prompted a ""human-centric"" approach, emphasizing effective two-way communication within urban renewal. Despite this shift, there remains a significant gap in research on real-time public opinions generated from bottom-up participation in urban renewal, particularly with regard to governmental response to such micro-level feedback. Therefore, based on provincial-level panel data and microlevel opinions on the Leaders' Message Board, this research adopted a text mining method and regression model to evaluate unstructured user-generated data and explore the determinants of government responsiveness in urban renewal. The results reveal that there are more public opinions on urban renewal in economically developed regions than in less developed regions. This study also found that local governments can respond to most public opinions. Meanwhile, ""project progress inquiry"", ""quality problem"", and economic level have significant positive impacts on response timeliness, while ""information disclosure"" and ""livelihood issues"" have adverse effects. The findings are of great strategic and policy importance and can offer new insights into citizen engagement and collaborative governance in urban planning.",Urban renewal,Public opinions,Online participation,Government responsiveness,SENTIMENT ANALYSIS,PUBLIC-PARTICIPATION,TOPIC ANALYSIS,REGENERATION,ACCOUNTABILITY,ATTENTION,PROJECTS,POLICY,MODEL,,,,,,"Li, Xiangyu",,,,,,,,,,
