Phrase,Frequency
additionally point,1
additive explanations,1
address external,1
address knowledge,1
address pit,1
address une,1
addressing environmental,1
addressing issues,1
addressing plastic,1
adjusted prop,1
adjusting mode,1
adjusting pedestrian,1
adjustments suit,1
adopting intersection,1
adoption cycling,1
adoption differ,1
adoption fully,1
adoption poor,1
adoption rates,1
adoption realized,1
adoption suburban,1
adults mental,1
adults million,1
adults neighborhoods,1
advance bicycle,1
advance systematic,1
adverse outcomes,1
affairs intercity,1
affected corona,1
affected decisions,1
affects socially,1
affirmed existence,1
afford accessibility,1
affordable subsequently,1
afraid pedestrian,1
agency platform,1
agenda additionally,1
agenda although,1
agent brussels,1
agent modelling,1
ah experts,1
aim measure,1
aim perceptions,1
aim platform,1
aim walk,1
aimed reducing,1
aims address,1
aims develop,1
ali temporal,1
ali upon,1
alignment hamilton,1
allocation opt,1
along emotions,1
along several,1
altered residential,1
alternative options,1
alternative platform,1
alternative theoretical,1
alternatives online,1
although environmental,1
although inc,1
ambitious targets,1
amenities alternative,1
amenities vegetation,1
amidst backdrop,1
amidst efforts,1
amount attention,1
anal consumption,1
anal evaluated,1
anal focus,1
anal literature,1
analyses improvements,1
analyses minute,1
analytic examining,1
analytical integrate,1
another consequence,1
answer increased,1
answer question,1
answers emphasis,1
app aspect,1
app districts,1
appears limited,1
applied che,1
applied focused,1
applied systematic,1
applies roads,1
applying appropriate,1
approaches digital,1
approaches still,1
appropriate applying,1
appropriate eligibility,1
appropriate platform,1
apps become,1
architecture flow,1
arrival likelihood,1
art field,1
articles obtained,1
articles refined,1
articles women,1
asia contributes,1
aspect promoted,1
aspects bicycles,1
aspects modes,1
assessed electoral,1
assessed significance,1
assessing safety,1
associated bus,1
associated implementation,1
associated increased,1
associations characteristics,1
associations equity,1
attempts answer,1
attention platform,1
attention scholars,1
attention source,1
attention tool,1
attitudes desire,1
attitudes willingness,1
attract vo,1
attributes dwelling,1
attributes generally,1
attributes larger,1
attributes length,1
australia zealand,1
automobile approaches,1
automotive industry,1
autonomous vehicle,1
avail rather,1
availability context,1
availability offer,1
available metro,1
avenues view,1
avoidance plays,1
avoiding crowded,1
away motorized,1
backdrop declining,1
background calming,1
bags end,1
bags respondents,1
bags survey,1
bags whereas,1
balanced promoting,1
barcelona en,1
barcelona focusing,1
barcelona recent,1
barriers classified,1
basic niche,1
became number,1
become frequent,1
become increasingly,1
become intent,1
become widespread,1
becoming prevalent,1
begun recognized,1
behavior path,1
behaviour attitudes,1
behaviour contributed,1
behaviour highlights,1
beirut est,1
beirut lebanon,1
belgium selected,1
benefit cost,1
benefit improvements,1
benefit workers,1
benefits nu,1
benefits possible,1
benefits spread,1
benefits towards,1
besides internal,1
beyond minute,1
beyond solution,1
bicycle equity,1
bicycle meet,1
bicycles become,1
bicycles bikes,1
bicycles entire,1
bicycles reasons,1
bike consumers,1
bike consumption,1
bike shares,1
bike supply,1
bikes consumers,1
bikes following,1
bikes specifically,1
bikes systematically,1
block total,1
blue historical,1
body knowledge,1
body literature,1
boost generate,1
boost machine,1
boston along,1
bothered exploring,1
bring notable,1
broad national,1
brought attention,1
brussels capital,1
brussels sa,1
buffer citizens,1
burden disadvantage,1
burden situated,1
bus metro,1
bus share,1
business governance,1
business residential,1
cafes tourist,1
calling investigation,1
calling scrutiny,1
calls investigation,1
calm green,1
calming live,1
campaign employed,1
canada australia,1
canada census,1
canada equity,1
canada perform,1
canada promoting,1
canadian broad,1
canadian made,1
capital belgium,1
capturing pedestrian,1
car besides,1
car bring,1
car cent,1
car combining,1
car cs,1
car dependency,1
car focus,1
car frequent,1
car lens,1
car like,1
car major,1
car motor,1
car plans,1
car size,1
car still,1
car systematic,1
car viable,1
car walking,1
car yet,1
carried spa,1
carry example,1
cars expressing,1
cars pollution,1
cars regardless,1
cars serious,1
cars twice,1
cases intensified,1
categories developed,1
caused intensive,1
caused unprecedented,1
census estimate,1
cent approaches,1
cent conditions,1
center sensitive,1
centered planned,1
centre emission,1
certain modes,1
chain organization,1
chain particular,1
challenged adults,1
challenged rising,1
characterised organised,1
characteristics adults,1
characteristics behaviour,1
characteristics cycling,1
characteristics disregard,1
characteristics emotions,1
characteristics examining,1
characteristics literature,1
characteristics manifest,1
characteristics proving,1
characteristics suggesting,1
characterized remarkable,1
charge appears,1
charge frequent,1
charge informed,1
charge likely,1
charge sg,1
charge singapore,1
charges plastic,1
charges revealed,1
charging plastic,1
che railway,1
children children,1
children importantly,1
children million,1
children seniors,1
choice depends,1
choice established,1
choice estimated,1
choice experiment,1
choice firstly,1
choice limited,1
choice motor,1
choice shift,1
choices examining,1
choices pedestrians,1
choosing appropriate,1
circumstances therefore,1
citizens living,1
cl em,1
clarify links,1
class affirmed,1
classes distinct,1
classes respondents,1
classification noise,1
classification prior,1
classification prism,1
classification scheme,1
classification schemes,1
classification tool,1
classified moreover,1
classified personal,1
climate address,1
climate attempts,1
climate crisis,1
climate electric,1
climate generalized,1
climate increasing,1
climate insufficient,1
climate targeted,1
climate thereby,1
climate utc,1
closer home,1
clusters topics,1
coefficient determination,1
coefficients highlighted,1
cold accessibility,1
cold transit,1
collaborative consumption,1
collaborative linking,1
collected individuals,1
collecting assessing,1
collecting respondents,1
collective knowledge,1
combination adjusted,1
combining environmental,1
combining shared,1
coming fields,1
communicating national,1
communication investigate,1
communities workers,1
companies owners,1
complaints implications,1
complement pt,1
complete considering,1
components sustainable,1
comprehensive diverse,1
comprehensive extending,1
concentrations disadvantaged,1
concentrations predicted,1
concept considered,1
concept diverse,1
concept hamilton,1
concept receiving,1
concepts limitations,1
concerns insufficient,1
concludes hamilton,1
conclusions terms,1
conditions enhancing,1
conditions extreme,1
conditions ontario,1
conditions undermine,1
conducting analyses,1
conducting detailed,1
congestion centre,1
congestion experienced,1
congestion specific,1
conjunction part,1
connecting smart,1
connection transit,1
consequence review,1
consequence staying,1
consequently market,1
consequently noise,1
consider benefits,1
consider pedestrian,1
considerable statistical,1
consideration structured,1
considerations thus,1
considered environmental,1
considered ideal,1
considering agency,1
considering car,1
consistency prominence,1
consistently active,1
consists selected,1
constant evolution,1
construct shed,1
consumer particularly,1
consumer points,1
consumer preference,1
consumers answer,1
consumers systematic,1
consumption climate,1
consumption dynamics,1
consumption intentions,1
contemporary exclusion,1
content performed,1
context bicycles,1
context conjunction,1
context consumer,1
context highlights,1
context make,1
context sensitive,1
continually driven,1
continue platform,1
contribute developing,1
contribute improved,1
contribute inclusive,1
contribute literature,1
contributed residential,1
contributes creating,1
contributes substantial,1
contributing measurement,1
contributing women,1
convenient major,1
conventional private,1
conventional pro,1
conventional workplace,1
cooperative taking,1
core pushed,1
cores semi,1
corona disease,1
cost analyses,1
cost climate,1
costs accessibility,1
costs affects,1
costs fixed,1
costs helping,1
costs integrated,1
costs supporters,1
costs weather,1
counter problems,1
countries car,1
countries investigated,1
cp towards,1
cp travellers,1
cpi incorporating,1
cramer test,1
crawling intercity,1
creating useful,1
crime accidents,1
crime paths,1
crisis sustainable,1
criteria investments,1
criteria peer,1
critical aim,1
critical lens,1
critical tailored,1
critique transform,1
crowd avoidance,1
crowded decisions,1
crowded end,1
crowded places,1
crowded therefore,1
cs companies,1
cs smart,1
cultural diversity,1
cycling conducting,1
cycling limit,1
cycling subway,1
cycling walking,1
cyclists pedestrian,1
database processed,1
day even,1
day white,1
days reduce,1
days repeat,1
days vacation,1
decade private,1
decades accessibility,1
decent minute,1
decisions progress,1
decisions visit,1
decline followed,1
declining themes,1
declining wide,1
deco en,1
deco prevailing,1
decreases markedly,1
decreases pollution,1
decreasing earnings,1
decreasing problems,1
decreasing workplace,1
defined purchase,1
del modes,1
demographic profiles,1
demonstrate utility,1
demonstrated achieve,1
demonstrated stronger,1
demonstrates interventions,1
density potentially,1
dependency triggered,1
depending circumstances,1
depending habits,1
depends cars,1
depends recommended,1
derived thematic,1
designed eli,1
designed link,1
designing acoustic,1
designing neighborhoods,1
desirable dwelling,1
desire healthy,1
destinations instead,1
destinations outside,1
destinations synth,1
destinations transit,1
detailed context,1
detailed view,1
detailed worldwide,1
detecting reduce,1
determination est,1
develop methodology,1
develop specific,1
developed exhibit,1
developed extensive,1
developed rail,1
developing evaluating,1
developing generalized,1
developing sustainable,1
diesel truck,1
differ aims,1
differential plastic,1
differential willingness,1
differently depending,1
dim returns,1
dimensional classification,1
directional intercity,1
directions performance,1
directions seven,1
disadvantage poverty,1
disadvantage sustainable,1
disadvantage toronto,1
disadvantaged enables,1
disadvantaged experience,1
disadvantaged populations,1
discourse distances,1
discussed terms,1
discussions finnish,1
discussions sustainable,1
disease great,1
disregard minute,1
disruption engagement,1
disruption proposes,1
dissemination canada,1
dissemination lowest,1
distances beyond,1
distances congestion,1
distances practical,1
distinct classes,1
distinct profiles,1
distinctive intercity,1
distinguished poly,1
districts essential,1
districts geographic,1
districts hamilton,1
districts saw,1
diverse anal,1
diverse critical,1
diverse environment,1
diverse forms,1
diverse populations,1
diversity accessibility,1
diversity ev,1
dominated weak,1
draw attention,1
draw longer,1
draw upon,1
drawing field,1
driven societal,1
dual accessibility,1
dwelling attributes,1
dwelling surrounding,1
dynamic mega,1
dynamics bikes,1
earnings rising,1
eastern forming,1
education monthly,1
educational essential,1
efforts challenged,1
efforts shift,1
either alternatives,1
either origins,1
elections utilizing,1
electoral response,1
electoral superb,1
electoral tool,1
elements transition,1
elevated highlight,1
eli emotions,1
eli travelers,1
eligibility criteria,1
eliminate conventional,1
em demonstrate,1
emerged pivotal,1
emerged trend,1
emerges primary,1
emerging declining,1
emerging sustainability,1
emerging technologies,1
emission dynamic,1
emission reductions,1
emotions adults,1
emotions aim,1
emotions calm,1
emotions develop,1
emotions frustration,1
emotions neighborhood,1
emotions qu,1
emotions twenty,1
emphasis emerging,1
emphasis laid,1
emphasis necessity,1
emphasis sustainable,1
employed gradient,1
employed retrieved,1
employing cramer,1
employment educational,1
employs app,1
employs narrative,1
en architecture,1
en namely,1
en ua,1
enable planners,1
enables realistic,1
encouraging active,1
end characterised,1
end choice,1
end focuses,1
end goal,1
endeavor thus,1
engage collective,1
engagement outdoor,1
enhanced via,1
enhancing diversity,1
enhancing women,1
ensuring equity,1
entire supply,1
environment afford,1
environment characteristics,1
environment general,1
environment improvements,1
environment meteorological,1
environment singapore,1
environmental attitudes,1
environmental calling,1
environmental cl,1
environmental conditions,1
environmental noise,1
environmental societal,1
environments following,1
equity cycling,1
equity investigate,1
equity lens,1
equity living,1
equity measurement,1
equity mid,1
equity national,1
equity populations,1
equity question,1
equity recent,1
equivalent choice,1
era observations,1
era stated,1
escaping metropolis,1
especially context,1
especially equity,1
essential achieve,1
essential providing,1
essential threshold,1
est flows,1
est pedestrian,1
established literature,1
estimate associations,1
estimate origin,1
estimate pedestrian,1
estimated collected,1
estimates planners,1
etc thereby,1
ethnic concentrations,1
europe vast,1
ev mixed,1
evaluated analytical,1
evaluated relative,1
evaluating classification,1
evaluating minute,1
evaluating response,1
even climate,1
even sharpe,1
even though,1
events context,1
everyday lives,1
evolution recent,1
examine route,1
examines electoral,1
examines pit,1
examines ride,1
examines views,1
examining deco,1
examining intersection,1
examining residential,1
examining targets,1
example incorporates,1
example novel,1
example similar,1
exceeding metro,1
exclusion opportunities,1
exhibit mc,1
exhibit metro,1
existence differential,1
expanding metro,1
expansion hence,1
expansion subway,1
expected therefore,1
experience elevated,1
experience walk,1
experienced active,1
experienced decline,1
experiences order,1
experiencing highest,1
experiencing triple,1
experiment designed,1
experts coming,1
explain pedestrian,1
explanations del,1
explores minute,1
exploring emotions,1
exploring heat,1
exploring priorities,1
exploring triple,1
exponential additionally,1
expressing mod,1
expressive decreases,1
extending discourse,1
extending major,1
extensive suitable,1
extent heat,1
external amidst,1
external either,1
external partially,1
external travellers,1
extracted matrix,1
extracted singular,1
extreme cold,1
extreme environmental,1
extreme heat,1
extremes adverse,1
fabric paradigm,1
face nowadays,1
faced mega,1
facilities neglect,1
facilities selections,1
fact issues,1
far metro,1
far therefore,1
far towards,1
fare generally,1
farther benefits,1
feasible range,1
female safety,1
field brought,1
field mumbai,1
field via,1
fields academics,1
finally finnish,1
finally novel,1
fine tuned,1
finland km,1
finland open,1
finnish municipalities,1
finnish planners,1
finnish practitioners,1
firstly tel,1
fixed number,1
flow objective,1
flow validation,1
flows dominated,1
flows intercity,1
flows migration,1
flows modeling,1
focus discussions,1
focus distances,1
focus literature,1
focused contribute,1
focused transit,1
focuses induced,1
focusing car,1
focusing criteria,1
focusing political,1
focusing quantity,1
followed slow,1
following choosing,1
following employs,1
following review,1
formal classification,1
formed distinguished,1
formed poly,1
forming intercity,1
forms nature,1
forms smart,1
forward thinking,1
foster mental,1
fragmentation mumbai,1
fragmented conclusions,1
frequency extreme,1
frequency heat,1
frequent charge,1
frequent conventional,1
frequent either,1
frequent prominent,1
frustration heavy,1
fully understood,1
function combining,1
function estimate,1
function incorporating,1
function seam,1
functionality intended,1
gain cycling,1
garnered scholarly,1
gee reduction,1
general another,1
general aspects,1
general reason,1
generally affordable,1
generally emphasis,1
generate consistently,1
generate surfaces,1
generation individual,1
generation rates,1
geographic live,1
globe classification,1
goal means,1
governance sustainable,1
graffiti cultural,1
great significance,1
greater emphasis,1
greece crowd,1
green attributes,1
green blue,1
greens marking,1
growing hand,1
guidance balanced,1
habits background,1
habits car,1
hail apps,1
hail platforms,1
hamilton fabric,1
hamilton shows,1
hand applied,1
happened pollution,1
happening mass,1
healthy convenient,1
heat affects,1
heat cold,1
heat especially,1
heat highlight,1
heat pedestrian,1
heat pedestrians,1
heavy crime,1
help environmental,1
helping reach,1
hence integrating,1
hierarchy ah,1
hierarchy classification,1
highest home,1
highlight charging,1
highlight environment,1
highlight incorporating,1
highlight need,1
highlight sustainable,1
highlight worker,1
highlighted variations,1
highlighting intervention,1
highlighting practical,1
highlights need,1
highlights opportunities,1
highlights transformation,1
highly contested,1
hind widespread,1
historical open,1
holiday weekday,1
holidays intercity,1
holidays phenomenon,1
home finally,1
home longer,1
home reducing,1
hot bothered,1
hot days,1
hottest summer,1
house size,1
hub diesel,1
ideal contribute,1
ideal supporters,1
identification quiet,1
identifies neighborhoods,1
identifies nonlinear,1
identifies relevant,1
identifying distinct,1
ignoring walking,1
illustrate scenario,1
illustrated extent,1
immigrants incomes,1
impacted everyday,1
implementation indicate,1
implementation minute,1
implementation superb,1
implemented aims,1
implemented york,1
implementing minute,1
implications addressing,1
implications art,1
implications literature,1
importantly still,1
imposed behaviour,1
imposed charges,1
improper facilities,1
improved accessibility,1
improved environmental,1
improved integrated,1
improvements additionally,1
improvements help,1
improvements lighting,1
improvements mod,1
improvements pedestrian,1
improvements site,1
inadequate expansion,1
inc modes,1
included measure,1
inclusion environmental,1
inclusive encouraging,1
inclusive sustainable,1
income imposed,1
income journeys,1
income live,1
income populations,1
income strongly,1
income suggest,1
incomes accordingly,1
incomes cycling,1
incomes lower,1
incorporates transit,1
incorporating extreme,1
incorporating heat,1
incorporating indicators,1
increased adoption,1
increased congestion,1
increased especially,1
increased metro,1
increased noise,1
increased shares,1
increasing amount,1
increasing intensity,1
increasing interest,1
increasing need,1
increasingly affected,1
increasingly recognized,1
increasingly relevant,1
increasingly update,1
india produce,1
indicators tool,1
individual segments,1
individuals generate,1
individuals greece,1
individuals utilities,1
induce question,1
induced work,1
industry thoroughly,1
influenced risks,1
influencing mod,1
influential modifications,1
informed question,1
infrastructure active,1
infrastructure canada,1
infrastructure canadian,1
infrastructure cycling,1
infrastructure dissemination,1
infrastructure example,1
infrastructure highlight,1
infrastructure hub,1
infrastructure investments,1
infrastructure maintenance,1
infrastructure pearson,1
infrastructure routes,1
infrastructure seniors,1
infrastructure suburban,1
infrastructure sum,1
infrastructure una,1
inn succeed,1
innovative business,1
installations sound,1
instead su,1
insufficient congestion,1
insufficient infrastructure,1
int car,1
integrate light,1
integrated costs,1
integrated developed,1
integrated measure,1
integrating noise,1
integrating safety,1
intended plans,1
intended tool,1
intense reductions,1
intensified strongly,1
intensity flows,1
intensive noise,1
intent purposes,1
intentions preferences,1
intercity affected,1
intercity characterized,1
intercity cooperative,1
intercity core,1
intercity days,1
intercity extracted,1
intercity flows,1
intercity formed,1
intercity holidays,1
intercity january,1
intercity migration,1
intercity namely,1
intercity strong,1
intercity travelers,1
intercity travels,1
interest business,1
interest scholars,1
interest solutions,1
interested achieving,1
interesting weekends,1
intermediate growing,1
intermediate mumbai,1
internal cp,1
intersection adopting,1
intersection evaluated,1
intervention necessary,1
interventions barcelona,1
interventions center,1
interventions improvements,1
interventions specifically,1
interviewed content,1
introducing capturing,1
introducing charges,1
investigate useful,1
investigate whether,1
investigated classification,1
investigates shared,1
investigating characteristics,1
investigation manifold,1
investigation several,1
investments cycling,1
investments expanding,1
investments inclusive,1
investments populations,1
issues faced,1
issues forms,1
issues highlight,1
issues smart,1
january june,1
jobs leading,1
journeys canada,1
journeys vehicle,1
june extracted,1
justice ensuring,1
justice leading,1
kilometres travelled,1
km associated,1
km centered,1
km increased,1
km metro,1
km resolution,1
km tend,1
knowledge addressing,1
knowledge experiences,1
knowledge reviewing,1
lack infrastructure,1
lack safe,1
lack suburban,1
lacking greens,1
laid critique,1
larger house,1
larger majority,1
largest typically,1
last decades,1
last mile,1
leading accessibility,1
leading frequent,1
leading improved,1
leaving workers,1
lebanon estimate,1
left methodology,1
length presence,1
length turns,1
lens address,1
lens examines,1
lens innovative,1
lens thereby,1
light gradient,1
light motor,1
lighting walking,1
like paris,1
like rome,1
like utrecht,1
likelihood switch,1
likely heat,1
likely yield,1
likewise become,1
limit option,1
limitations body,1
limitations clarify,1
limited end,1
limited reducing,1
link pedestrian,1
linked increased,1
linking material,1
links construct,1
literature carried,1
literature far,1
literature field,1
literature identifies,1
literature implications,1
literature past,1
literature providing,1
literature published,1
literature smart,1
literature summarized,1
liv lens,1
live business,1
live dissemination,1
live infrastructure,1
live pedestrian,1
live respondents,1
live workplace,1
lives avoiding,1
living concludes,1
living cycling,1
living far,1
living pedestrian,1
locally focused,1
locally potentially,1
located municipalities,1
london journeys,1
longer distances,1
longer thus,1
longer travellers,1
lower accessibility,1
lower children,1
lower density,1
lowest cycling,1
machine sha,1
machine um,1
made investments,1
main residential,1
mainly eastern,1
maintenance presence,1
major affairs,1
major barriers,1
major experienced,1
major infrastructure,1
major questions,1
major weighted,1
majority therefore,1
make transit,1
makers designing,1
manifest disruption,1
manifold implications,1
manitoba canada,1
marginal communities,1
marginal quan,1
markedly advancing,1
marking priority,1
mass globe,1
matching assessed,1
material resources,1
matrix intercity,1
mats brussels,1
maxim sa,1
maximum live,1
mc pseudo,1
means promote,1
meanwhile proximity,1
measure costs,1
measure cycling,1
measure dual,1
measure heat,1
measured national,1
measurement campaign,1
measurement transit,1
measures arrival,1
measures ready,1
measures winnipeg,1
meet employment,1
mega focusing,1
mega particularly,1
mega sao,1
mental adults,1
mental benefits,1
mental eli,1
mental scarce,1
met become,1
meteorological conditions,1
methodology applies,1
methodology implemented,1
methodology machine,1
methodology methodology,1
methodology represents,1
methodology serves,1
metro availability,1
metro emerges,1
metro exhibit,1
metro expressive,1
metro shared,1
metro stations,1
metropolis meanwhile,1
mid sized,1
migration ami,1
migration flows,1
migration lower,1
migration sets,1
mile connection,1
million adults,1
million children,1
million income,1
million visible,1
min walking,1
minorities million,1
minute focusing,1
minute highlighting,1
minute ignoring,1
minute literature,1
minute original,1
minute set,1
minute seven,1
minute theoretical,1
minute towards,1
mix linked,1
mixed considerations,1
mixed emotions,1
mixed fragmented,1
mob mumbai,1
mod car,1
mod choice,1
mod congestion,1
mod preferences,1
mod sao,1
mode last,1
modeling designed,1
modeling part,1
modelling ab,1
moderate pricing,1
modes active,1
modes indicate,1
modes origin,1
modes received,1
modes reduce,1
modes response,1
modes suggest,1
modes variation,1
modifications identifies,1
monthly income,1
moreover suburban,1
mostly active,1
motor active,1
motor basic,1
motor users,1
motorized goals,1
motorized mode,1
move move,1
move review,1
mumbai continue,1
mumbai digital,1
mumbai india,1
mumbai leaving,1
mumbai reinforce,1
mumbai towards,1
municipalities palma,1
municipalities setting,1
municipalities surrounding,1
namely characteristics,1
namely stable,1
national intercity,1
national stable,1
nature characteristics,1
near major,1
near stations,1
nearest accessibility,1
nearly countries,1
necessary reducing,1
necessity stakeholders,1
need comprehensive,1
need desirable,1
need function,1
need general,1
need live,1
need understand,1
negatively overall,1
neglect diverse,1
neighborhood adults,1
neighborhood environment,1
neighborhood physical,1
neighborhoods disadvantaged,1
neighborhoods experiencing,1
neighborhoods foster,1
nevertheless increasing,1
niche emerging,1
night strong,1
noise cafes,1
noise enable,1
noise estimation,1
noise necessary,1
noise ordered,1
noise pollution,1
noise prove,1
noise strategic,1
noise sustainable,1
noise yet,1
nonlinear environment,1
notable benefits,1
novel characteristics,1
novel prior,1
nowadays aims,1
nu environment,1
nu locally,1
number destinations,1
number equity,1
number societal,1
number weekly,1
objective anal,1
objective bike,1
objective examine,1
objective function,1
observations whether,1
observed lower,1
obtained consumer,1
occur near,1
offer guidance,1
offering scope,1
offers detailed,1
offers populations,1
office jobs,1
online shopping,1
online tool,1
ontario marginal,1
open experienced,1
opportunities enhancing,1
opportunities finland,1
opportunities finnish,1
opportunities income,1
opportunities rarely,1
opportunities transit,1
opposition unclear,1
opt bus,1
opt facilities,1
option bicycle,1
options sustainable,1
order working,1
organised ut,1
organization bike,1
organization context,1
organization intercity,1
origin flows,1
origin pairs,1
original strong,1
origins destinations,1
outbreak caused,1
outbreak distinctive,1
outcomes associated,1
outcomes even,1
outcomes introducing,1
outcomes market,1
outcomes sustainable,1
outcomes work,1
outdoor negatively,1
outside shifted,1
overall employs,1
overall equity,1
overall plastic,1
overall provision,1
overlap holidays,1
overs minute,1
overview literature,1
owners car,1
pa way,1
package program,1
pairs available,1
palma ratio,1
palma ratios,1
paradigm districts,1
paradigm offering,1
paradigm partial,1
paris london,1
part beirut,1
part scenario,1
partial alignment,1
partially counter,1
participants experienced,1
particle status,1
particular bike,1
particular interest,1
particular particular,1
particularly ethnic,1
particularly modes,1
particularly objective,1
particularly south,1
party responsible,1
passengers extreme,1
past decade,1
past years,1
path conditions,1
path selection,1
path size,1
paths uneven,1
paulo expansion,1
paulo mega,1
pay identifying,1
pay plastic,1
pearson coefficients,1
pedestrian accessibility,1
pedestrian adjusting,1
pedestrian barcelona,1
pedestrian behavior,1
pedestrian beirut,1
pedestrian consider,1
pedestrian decreases,1
pedestrian estimates,1
pedestrian even,1
pedestrian flows,1
pedestrian habits,1
pedestrian living,1
pedestrian outcomes,1
pedestrian perceptions,1
pedestrian regardless,1
pedestrian scenarios,1
pedestrian schemes,1
pedestrian undertaken,1
pedestrian users,1
pedestrian vary,1
pedestrians heat,1
pedestrians likely,1
peer reviewed,1
penetration represents,1
penetration sa,1
perceived walking,1
perceptions diverse,1
perform equity,1
performance science,1
performed software,1
periodic seven,1
periphery cores,1
periphery structures,1
personal environment,1
perspectives practice,1
phenomenon escaping,1
physical accessibility,1
physical aim,1
physical attributes,1
physical mental,1
physical neighborhood,1
pit sustainability,1
pivotal components,1
pivotal elements,1
places became,1
places narrative,1
places selected,1
planned targets,1
planners makers,1
planners reduction,1
planners valuable,1
planners variation,1
plans aimed,1
plans anal,1
plans countries,1
plans enhanced,1
plans induce,1
plans still,1
plastic issues,1
platform benefit,1
platform beyond,1
platform engage,1
platform era,1
platform mob,1
platforms contribute,1
platforms critical,1
platforms mumbai,1
platforms ride,1
plays shaping,1
point fact,1
points view,1
political barcelona,1
political preferences,1
political premium,1
political price,1
pollution examines,1
pollution farther,1
pollution leading,1
pollution noise,1
pollution planned,1
pollution problem,1
poor mental,1
poor regulations,1
popular garnered,1
populations children,1
populations finally,1
populations individuals,1
populations left,1
populations physical,1
populations stand,1
position qu,1
position sep,1
possible physical,1
possibly exponential,1
potentially complaints,1
potentially decent,1
potentially relocation,1
potentially valid,1
poverty pollution,1
practical implementing,1
practical measurement,1
practical varying,1
practice focus,1
practitioners communicating,1
practitioners contribute,1
practitioners interested,1
pre thus,1
predicted occur,1
preferences altered,1
preferences defined,1
preferences discrete,1
preferences locally,1
preferences potentially,1
preferences reduce,1
preferences regarding,1
preferences residential,1
preferences transformation,1
preferred charge,1
premium party,1
presence infrastructure,1
presence renovations,1
presented roads,1
presented suppression,1
presenting vs,1
presents allocation,1
presents analytical,1
pressure considering,1
prevailing formal,1
prevalent office,1
price superb,1
pricing car,1
primary mode,1
primary source,1
prior active,1
prior cpi,1
prior differently,1
priorities shifted,1
priority action,1
prism sustainability,1
private shared,1
private vehicles,1
pro automobile,1
pro environmental,1
problem spreading,1
problems caused,1
problems costs,1
processed package,1
produce collaborative,1
producing mixed,1
profiles behaviour,1
profiles terms,1
program derived,1
progress towards,1
prominence assessed,1
prominent income,1
promising bike,1
promote reduced,1
promoting addressing,1
promoting metro,1
prop score,1
properly implemented,1
proposes alternative,1
proposes methodology,1
protocol employed,1
prove useful,1
providing answers,1
providing comprehensive,1
