Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,publish time,title
Row_11,"Examining medical supply-demand imbalances, as revealed through patients' cross-boundary treatment behaviors, is vital for reducing a metropolitan area's medical supply-demand gap and furthering sustainable development goals. This study, leveraging medical supply-demand and commuting data, scrutinizes medical imbalances in the Wuhan metropolitan area core. It includes a 'People-centered' theory for elucidating patients' treatment behaviors, proposes a method for constructing a regional medical supply-demand network, and explores the problem of supply-demand imbalance. The key findings include: (1) Wuhan's central area, despite its abundance of quality medical resources, fails to adequately cover the entire metropolitan area, indicating a need for broader resource distribution. (2) The Ezhou-Huangshi-Huanggang junction shows a stark contrast to Wuhan with its limited medical services and extensive hinterland connections. Future initiatives should aim to integrate resources dispersed from Wuhan, reducing regional disparities. (3) The city's periphery, influenced by resource distribution models and geographic distance, exhibits significant variance from central urban areas in medical supply-demand connectivity, particularly around Wuhan's eastern administrative boundaries. Future urban planning is needed to reinforce this area's role as a vital medical services conduit. (4) The distinguishing differences among the nine medical service communities in terms of resource recognition, service sharing, and patient mobility provide policy guidance for the allocation of medical resources.","Guo, Fang","Wei, Wei","Xiang, Bowen","Hong, Mengyao",,,,,,,,,,,,,,,,,,,,,,0,,LAND,patient flow,inter-region medical links,medical network,supply-demand traits,metropolitan area,,,,,,,,,,,FEB 2024,"Analysis of Regional Medical Supply and Demand Network Characteristics Based on ""Patient Flow Phenomenon"": A Case Study of the Core Area of the Wuhan Metropolitan Area"
Row_12,"Given the significance of technology to enhance public transit services and its potential for improving access to and the delivery of transportation services, this paper addresses strategic neighborhood mobility improvements to aid the transportation-disadvantaged. A spatial optimization model is presented to identify underserved areas for which transit can be better tailored to meet their mobility needs. The introduction of mobility-on-demand in the Cincinnati metropolitan area to augment and complement existing fixed-route transit is reported. The use of spatial analytics to support targeted neighborhood system design is detailed. The study illustrates how new mobility-on-demand services will substantially enhance travel options for the transport disadvantaged. Further, the use of spatial analytics offers insights for transit service plan development and implementation by more precisely targeting mobility needs in service area delineation and operationalization.","Murray, Alan T.","Shammout, Khaled","Farwell, Randall","Huetten, Kayla","Cox, Taylor",,,,,,,,,,,,,,,,,,,,,0,,SOCIO-ECONOMIC PLANNING SCIENCES,Transportation -disadvantaged,Spatial optimization,Service area delineation,Mobility -on -demand,,,,,,,,,,,,OCT 2024,Service area delineation to support on-demand mobility for the transport disadvantaged
Row_13,"In Indonesia, issues in the metropolitan transportation sector are considered severe. For instance, peripheral districts in the Jakarta metropolitan area (JMA), such as Bogor, Depok, Tangerang and Bekasi, contribute to the high mobility rate within the metropolitan area. This article examines the extent of motorcycle-based ridehailing for commuting in the JMA and Bandung metropolitan areas (BMA). In particular, this study explores ridehailing users' characteristics-social, economic and spatial-and their proportion to the total commuter mobility in a metropolitan area. The study employed descriptive statistical models using commuter data in the JMA and BMA, respectively. Our results indicate that young and lower-income commuters are the dominant users of ridehailing services. As motorcycle taxi services are relatively cheaper and accessible, young and lower-income commuters, including informal workers, prefer ride-hailing services. The study also suggests the impact of the intensification of inter-peri-urban mobilities of post-suburbanisation on the increasing demand for ride-hailing. In this sense, the study proposes that the long-overdue strengthening of metropolitan-scale governance is urgently required. It is also crucial for metropolitan governments to issue appropriate inter-district public transportation policies and engage in development.","Aritenang, Adiwan Fahlan",,,,,,,,,,,,,,,,,,,,,,,,,1,,JOURNAL OF PUBLIC TRANSPORTATION,Motorcycle-based ride-hailing,Metropolitan,Commuters,Sharing economy,Indonesia,,,,,,,,,,,2024,The crucial role of motorcycle-based ride-hailing among commuters: The case of Jakarta and Bandung metropolitan areas
Row_14,"With the rapid development of high-speed railways (HSR) in China, the level of travel accessibility for residents has improved. While previous research has predominantly concentrated on the accessibility of HSR networks, it is imperative to recognize that the accessibility of HSR services is intrinsically intertwined with the spatial arrangement of HSR stations. The unreasonable location of HSR stations can lead to inequitable problems in service facilities within metropolitan areas. When investigating the accessibility of HSR stations, the road network emerges as the primary conduit for residents' mobility. The spatial variance of the road network manifests not only in divergent spatial densities but also in the traffic conditions across distinct temporal and spatial intervals. Based on the road network and dynamic road conditions, this study proposed a modified two-step floating catchment area method (M2SFCA) by using high-speed railway station location data, the subdistrict office (village and town) data, road network data, and floating car data (FCD). Taking the XZQ Metropolitan Core Area (the metropolitan core area of Xiamen, Zhangzhou, and Quanzhou, China) as an example, this paper analyzed the impact of a newly planned HSR station on the spatial distribution of accessibility in the metropolitan core area. The findings revealed that the newly planned HSR station has led to a substantial 68.18% elevation in overall regional accessibility. Notably, approximately 35% of the population has transitioned from locales with diminished accessibility to regions with heightened accessibility. Furthermore, the HSR station has ameliorated the hitherto uneven spatial distribution of accessibility advantages across the region. Under the limitation of travel time in metropolitan areas, this study explored an accessibility evaluation model based on dynamic traffic data, providing a method for an impartial and equitable evaluation of transportation infrastructure placement within the metropolitan core area.This study shows that the new high-speed railway station will not only improve regional accessibility but also affect the equilibrium degree of the spatial distribution of regional accessibility benefits. It is suggested that the metropolitan area should further build high-grade roads, strengthen transportation network links between urban areas, and improve regional accessibility. At the same time, for areas where the degree of accessibility fairness has declined, it is suggested to increase the energy level and scale of their high-speed railway stations to reduce the dependence of local residents on external high-speed railway stations and improve the convenience of local residents' travel. In addition, this paper improves the accessibility measurement method-2SFCA method. By improving the search carrier of the spatial action domain, the calculation method of road traffic state, and the selection of time threshold, the improved 2SFCA method is more in line with the actual situation, which expands the dynamic space-time analysis ability, improves the accuracy of accessibility calculation, and can more accurately judge the fairness of high-speed railway station construction.","Gao, Yueer","Kan, Xiaoxi","Cheng, Jing","Zheng, Si","Chen, Meiwen",,,,,,,,,,,,,,,,,,,,,2,,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,New high-speed railway (HSR) station,Accessibility,Modified two-step floating catchment area method,Floating car data,Metropolitan area,,,,,,,,,,,JUN 1 2024,Accessibility Evaluation of a Newly Planned High-Speed Railway Station in a Metropolitan Core Area Based on a Modified Two-Step Floating Catchment Area Method
Row_15,"Addressing digital exclusion first requires an in-depth understanding of the factors leading to it. In this paper, we explore to what extent new digital mobility solutions can be considered inclusive, by taking into account the diverse perspectives of the users of transport services. Specifically, our work contributes to understanding the end user needs and capabilities in digital mobility, by presenting a set of personas developed using data from a population-representative survey of 601 Barcelona metropolitan area residents in the framework of the EU Horizon 2020 programme's DIGNITY project. Overall, roughly 15% of this population cannot access and effectively use digital technologies, thereby hindering their use of many digital mobility services. This work provides information about the diversity of potential users by analysing different stories and travel experiences of the personas; this in turn can inspire decision makers, developers, and other stakeholders along the design process. The methodological approach for developing personas could be also potentially useful for mobility service providers and policymakers who aim to create more inclusive and user-centred transport ecosystems that meet the needs of diverse users.","Wybraniec, Bartosz","Roca, Elisabet","Ortego, M. I.","Lazzarini, Boris",,,,,,,,,,,,,,,,,,,,,,0,,TRAVEL BEHAVIOUR AND SOCIETY,Digital divide,Personas,Digitalisation,Digital mobility services,Social exclusion,,,,,,,,,,,JUL 2024,Exploring the diversity of users of digital mobility services by developing personas - A case study of the Barcelona metropolitan area
Row_16,"This research investigates whether gentrification restricts housing markets for low-income households by focussing on the New York and San Francisco metropolitan areas from 2013 to 2019. We investigate whether gentrification correlates with increased out-migration and decreased in-migration of low-income residents in affected neighbourhoods, and how it shapes where out-movers relocate. We leverage a unique longitudinal dataset to compare two extreme regional contexts characterised by significant affordability challenges and intense housing regulations. By doing so, this study aims to provide a more refined understanding of gentrification and residential mobility dynamics, avoiding broad generalisations or a narrow focus on single metropolitan contexts. The findings indicate that in both regions, low-income households are indeed more likely to leave gentrifying neighbourhoods compared to non-gentrifying ones and less likely to enter them compared to higher-income households. The study also finds mixed results regarding the subsequent residential situations of these low-income movers. Based on these findings, we provide implications for research and policies oriented towards improving housing and neighbourhood access for low-income households in rapidly changing urban areas.","Song, Taesoo","Chapple, Karen",,,,,,,,,,,,,,,,,,,,,,,,0,,URBAN STUDIES,gentrification,neighbourhood access,neighbourhood change,residential mobility,,,,,,,,,,,,OCT 2024,Does gentrification constrain housing markets for low-income households? Evidence from household residential mobility in the New York and San Francisco metropolitan areas
Row_17,"This study addresses the urgent need for sustainable urban mobility through a comprehensive analysis of decarbonization potential in the metropolitan area of Valencia, Spain. The research is motivated by the imperative to mitigate climate change amidst high traffic and congestion levels. Utilizing the Origin-Destination matrix from the Valencian community's mobility plan, the study prioritizes displacements for substitution by sustainable alternatives. Through a detailed case study analysis, critical areas for decarbonization are identified, and practical strategies to reduce carbon emissions are proposed. The methodology encompasses a thorough literature review on decarbonization measures, examination of existing plans, and analysis of sustainable trips with high spatial resolution using geographic information systems (GISs). The study identifies trips with significant decarbonization potential and assesses the current public transportation network. Spatial analyses illustrate demand patterns for sustainable transport options, emphasizing the need for tailored strategies. Key findings highlight the role of private and commercial transport in CO2 emissions, advocating for targeted interventions to enhance active transport infrastructure, promote carpooling, adopt low-emission vehicles, and improve public transport accessibility and efficiency.","Llamosi, Raul Sancha","Aliaga, Eloina Coll","de la Haza, Maria Joaquina Porres","Arce, Victoria V.","Lorenzo-Saez, Edgar",,,,,,,,,,,,,,,,,,,,,0,,APPLIED SCIENCES-BASEL,sustainable urban mobility,decarbonization potential,origin-destination matrix,geographical information systems (GISs),public transportation infrastructure,spatial analysis,climate change mitigation,,,,,,,,,AUG 2024,Analysis of Decarbonization Potential in Mobility Sector with High Spatial Resolution: Study Case of the Metropolitan Area of Valencia (Spain)
Row_18,"This article analyzes the service distribution imbalance within the Metropolitan District of Quito (DMQ) and its impact on urban mobility, aiming to propose strategies for more equitable territorial planning. The data were gathered from sources such as the National Institute of Statistics and Census (INEC), the Ministry of Health, the Ministry of Education, and OpenStreetMap. These data were integrated with GIS tools to model patterns of accessibility and mobility. Through a comprehensive approach, the study assessed education, banking services, employment, and healthcare, identifying how inequitable access to these services drives increased travel demand, especially in rural and peri-urban areas. In the education field, over 500 neighborhoods faced a shortage of institutions, compelling students to commute to other neighborhoods. For financial services, only 67% of neighborhoods had adequate access, with disparities across different socioeconomic zones. Additionally, employment-related mobility posed another challenge, with 88% of workers commuting outside their residential parish. Finally, access to healthcare was also unequal across the DMQ, particularly in peripheral areas where residents must travel long distances. In this context, it can be concluded that more efficient urban planning in the Metropolitan District of Quito (DMQ) is crucial to address imbalances in the distribution of services and enhance quality of life. Proposed strategies include establishing a land reserve, decentralizing services to underserved areas, integrating smart technologies, and promoting incentives for remote work, sustainable mobility, and public transport. These actions aim to foster greater territorial equity and accessibility.","Astudillo-Ortega, Tatiana","Moya-Almeida, Vinicio","Cabrera-Torres, Francisco","avila-Castro, Emilia","Heredia-R, Marco","Hoehne, Antonio Vazquez",,,,,,,,,,,,,,,,,,,,0,,URBAN SCIENCE,mobility,GIS,imbalances,spatial distribution,displacement,urban planning,,,,,,,,,,DEC 2024,"Assessing Service Imbalances as Contributing Factors to Mobility Issues in the Metropolitan District of Quito, Ecuador"
Row_19,"Sidewalks have become important for modern cities in order to ensure that their inhabitants can move to their different activities in an optimal and safe manner. This research examines the perception of residents of the metropolitan area of Panama on the connectivity and quality of sidewalks. The study of sidewalks has been generally focused on evaluating accessibility for people with reduced mobility and the elderly; and also, on improving pedestrian safety. Using georeferenced household surveys, we collected data with which we performed spatial analyses to illustrate the distribution of sidewalk conditions in the urban metropolitan area of Panama. In addition, through the use of various approaches, such as accessibility assessments, user surveys and road safety parameters, other analyses of importance to the research were developed. The main conclusion was that only 26.25% of the metropolitan urban area of Panama has sidewalks that allow adequate pedestrian traffic.","Quijada-Alarcon, Jorge","Rodriguez-Rodriguez, Roberto","Icaza, Analissa","Gonzalez-Cancelas, Nicoletta","Bethancourt-Lasso, Gabriel",,,,,,,,,,,,,,,,,,,,,0,,JOURNAL OF MAPS,Sidewalks,social exclusion,spatial analysis,urban mobility,,,,,,,,,,,,DEC 31 2024,Social perception of the connectivity and quality of sidewalks in the Metropolitan Area of Panama
Row_20,"For children living in one of the 30 megacities around the world, green spaces may be far away or tokenistic, with growing accounts of youth exhibiting a variety of nature deficit disorders. Amidst increasing pressure for more high-density metropolitan areas (HDMAs), international advocacy agencies are calling for policy makers and service providers to ensure good quality urban green spaces (UGSs) for all children. Furthermore, these green spaces need to be purposefully designed to cater to children's needs, which continue to evolve amidst extreme weather such as heat waves. Recently, pandemics have placed additional constraints on how far children can travel and their time spent outdoors, making the quality of this experience for children even more important. This systematic literature review explored the roles of HDMA-UGSs for children during pandemics. From 551 studies retrieved and curated using the PRISMA methodology, 40 papers were subsequently thematically analysed. Four roles were synthesised for HDMA-UGSs in supporting children's experiences during pandemics, which also benefit children during 'normal' day-to-day life': (1) sustaining growth and development, (2) bridging social stratifications, (3) encouraging self-agency, and (4) facilitating independent mobility. Thirteen principles were distilled to support decision making in enabling these outcomes in new-build and refurbishment projects. The results are of immediate use for decision makers who are responsible for HDMA-UGS planning, procurement, installation, and maintenance. The UGS role descriptions enable targeted design interventions for supporting children's health and well-being, including during times of constrained outdoor time.","Wang, Yunjin","Desha, Cheryl","Caldera, Savindi","Beer, Tanja",,,,,,,,,,,,,,,,,,,,,,4,,SUSTAINABILITY,children,urban green space,high-density metropolitan areas,mega-cities,,,,,,,,,,,,FEB 2024,Roles of Urban Green Spaces for Children in High-Density Metropolitan Areas during Pandemics: A Systematic Literature Review
Row_21,"Understanding, visualizing, and quantifying how resources are allocated and the fairness of distributions and access is significant for supporting decision-makers in incentivizing development and ensuring that future changes are widely beneficial and fair. By pointing out the need for mobility justice research to shift from statecentric to more society-centric frameworks and metrics, this study proposed a Mobility Justice Framework that integrated two important theories of justice: distribution and recognition justice. The proposed framework highlights the distribution of amenities and burdens in providing transport infrastructure. It also aims to identify those disadvantaged socio-economic groups more exposed to mobility inequalities. To make the framework applicable within the city context and guide decision-making, several metrics (variables) were identified to make principles of distributive and recognition justice operationalizable. Variables such as 1) accessibility by walking, 2) exposure to traffic negative effects, 3) frequency of use of transport modes, and 4) availability of transport infrastructure were used to identify neighborhoods and the different types of mobility resources/burdens that disadvantaged socio-economic groups are exposed to. To showcase its usability, the framework and methodology have been applied to the city of Munich to highlight neighborhoods with a higher proportion of older people and the transport disadvantages associated with these target groups. A higher negative correlation between older people and mobility resources/burdens can be observed for the following variables: accessibility by walking to activities, availability of walking and cycling infrastructure, and availability of car-sharing services. When measured against exposure to negative transport effects, a higher positive correlation was observed. The paper ends with a discussion section on the relevance and usability of the proposed framework for transport planning and policy and its limitations.","Haxhija, Sindi","Duran-Rodas, David","Larriva, Maria Teresa Baquero","Wulfhorst, Gebhard",,,,,,,,,,,,,,,,,,,,,,0,,RESEARCH IN TRANSPORTATION BUSINESS AND MANAGEMENT,Mobility justice,Distribution,Recognition,Disadvantaged groups,Framework,,,,,,,,,,,OCT 2024,A Mobility Justice Framework to prioritize areas for mobility interventions
