Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,publish time,title
Row_156,"As municipalities are setting ambitious targets to increase non-motorized transportation mode shares, analytic frameworks for examining how such targets will be met become increasingly important. In this article, we update the Urban Network Analysis pedestrian modeling framework designed to link land use and urban development changes with pedestrian mobility outcomes by introducing new methods for capturing the effects of street properties on pedestrian travel demand and adjusting pedestrian trip generation rates with k-nearest accessibility scores based on destination availability in each context. This framework was used in conjunction with a participatory design process in Beirut, Lebanon to estimate pedestrian mobility impacts of three urban design scenarios. We illustrate how each scenario affects pedestrian trip generation across various trip types and trip distribution on individual street segments. Our approach demonstrates how urban design interventions-both land use changes and street quality improvements-can influence pedestrian travel demand. Estimates of these changes can provide planners and policymakers with valuable benefit-cost analyses of public space improvements, and a framework for understanding how site-specific planning and development decisions can impact progress towards (or away from) non-motorized mobility goals.","Sevtsuk, Andres","Kollar, Justin","Pratama, Daniel","Basu, Rounaq","Haddad, Jawad","Alhassan, Abdulaziz","Chancey, Bahij","Halabi, Mohamad","Makhlouf, Rawad","Abou-Zeid, Maya",,,,,,,,,,,,,3,,CITIES,Pedestrian modeling,Urban design,Street attributes,Beirut,Pedestrian impact analysis,,,,,,,JUN 2024,"Pedestrian-oriented development in Beirut: A framework for estimating urban design impacts on pedestrian flows through modeling, participatory design, and scenario analysis"
Row_157,"Road traffic is the primary source of environmental noise pollution in cities. This problem is also spreading due to inadequate urban expansion planning. Hence, integrating road traffic noise analysis into urban planning is necessary for reducing city noise in an effective, adaptable, and sustainable way. This study aims to develop a methodology that applies to any city for the stratification of urban roads by their functionality through only their urban features. It is intended to be a tool to cluster similar streets and, consequently, traffic noise to enable urban and transportation planners to support the reduction of people's noise exposure. Three multivariate ordered logistic regression statistical models (Model 1, 2, and 3) are presented that significantly stratify urban roads into five, four, and three categories, respectively. The developed models exhibit a McFadden pseudo-R-2 between 0.5 and 0.6 (equivalent to R-2 >0.8). The choice between Model 1 or 2 depends on the scale of the city. Model 1 is recommended for developed cities with an extensive road network, while Model 2 is most suitable in intermediate and growing cities. On the other hand, Model 3 could be applied at any city scale but focused on local management of transit routes and for designing acoustic sensor installations, urban soundwalks, and identification of quiet areas. Urban features related to road width and length, presence of transport infrastructure, and public transport routes are associated with increased traffic noise in all three models. These models prove useful for future action plans aimed at reducing noise through strategic urban planning.","Montenegro, Alexandra L.","Rey-Gozalo, Guillermo","Arenas, Jorge P.","Suarez, Enrique",,,,,,,,,,,,,,,,,,,1,,SCIENCE OF THE TOTAL ENVIRONMENT,Road traffic noise,Urban sound environment,Sustainable urban planning,Multinomial ordered logistic regression,,,,,,,,JUL 1 2024,Streets classification models by urban features for road traffic noise estimation
Row_163,"Micromobility has emerged as a crucial trend in transportation, and through its adoption, positive impacts can be realized in urban mobility, environmental sustainability, and public health. However, the enablers and barriers to micromobility adoption have not been fully understood and classified. Moreover, these factors have not been compared at urban and suburban levels hindering their widespread acceptance and adoption, which differ among various regions. Current study aims to address this knowledge gap by reviewing the literature published over the past decade on private and shared micromobility vehicles, such as bicycles, e-bikes, and e-scooters. The following two review methodologies are applied: a bibliometric analysis and a systematic analysis. The bibliometric analysis includes 3729 publications, provides a global overview of the micromobility literature and identifies relevant research directions through performance analysis and science mapping. The systematic analysis consists of 54 selected articles out of 1670 from the refined search algorithm. The identified enablers and barriers are classified into three levels of influence: micro (personal perception), meso (social and natural environment), and macro (general aspects of transport modes and policy). The results indicate a rise in pro-environmental attitudes and a desire for healthy and convenient transportation. Major barriers to micromobility adoption include poor regulations, safety concerns, and insufficient infrastructure in suburban areas. Furthermore, the lack of research on suburban context highlights the need for comprehensive studies on micromobility across diverse regions, which is critical for the development of tailored micromobility solutions that can improve the adoption rates across various socio-economic and geographical settings.","Bobicic, Ognjen","Esztergar-Kiss, Domokos",,,,,,,,,,,,,,,,,,,,,0,,JOURNAL OF CLEANER PRODUCTION,Micromobility,Adoption,Urban,Suburban,Bibliometric analysis,Systematic review,,,,,,DEC 15 2024,Enablers and barriers to micromobility adoption: Urban and suburban contexts
Row_166,"Public transit offers urban populations physical accessibility to resources and opportunities. However, at the same time, transit trips often expose users to extreme environmental conditions, such as extreme heat and cold since transit journeys usually include out-of-vehicle trip segments including walking and waiting. Such exposure can be considered as environmental health costs because exposure to weather extremes can lead to adverse health outcomes. Even worse, climate change is increasing the intensity and frequency of extreme weather events. In this context, how can we make public transit accessibility measures ready for climate change? This paper attempts to answer this question by developing a generalized cost function approach combining travel time and environmental health costs into an integrated measure of dual accessibility: a measure of the travel costs of accessing a fixed number of destinations. We synthesize transport science, environmental health, remote sensing, and urban climatology to empower the proposed framework. To demonstrate the utility of the proposed method, we carry out an example study that incorporates transit passengers' extreme cold exposure into accessibility measures in the city of Winnipeg, Manitoba, Canada. Further, we perform a social equity analysis to investigate whether the increase in total integrated costs (i.e., decrease in accessibility) due to the inclusion of environmental health costs disproportionately affects socially disadvantaged population groups. The proposed method enables a more realistic and practical measurement of public transit accessibility under climate change; thereby, improving the readiness and resilience of our society and transport systems for future challenges.","Ahmed, Naser","Lee, Jinhyung","Liu, Luyu","Kim, Junghwan","Jang, Kee Moon","Wang, Jinfei",,,,,,,,,,,,,,,,,0,,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,Environmental health,Public transit,Accessibility,Extreme weather exposure,Climate change,Social equity,,,,,,SEP 2024,The cost of climate change: A generalized cost function approach for incorporating extreme weather exposure into public transit accessibility
Row_173,"During the last two decades, accessibility has begun to take a more central role in transport planning and decision making, as its importance has been recognized in many different policy agendas. Although environmental and social sustainability are central in contemporary public policy, the social exclusion effects related to access of opportunities are rarely measured at the national level. In this study, we analyze spatial accessibility to various opportunities in Finland at 1 km resolution and assess accessibility inequalities using the Palma ratio. Furthermore, we test how a web-based tool can be used in stakeholder communication and investigate the usefulness of the accessibility indicators and the tool for planning practice based on focus group discussions with Finnish transport planners. Our results show significant variation in the levels of access to different opportunities across Finnish municipalities. The Palma ratios reveal that the largest disparities are typically located in municipalities surrounding large city regions, where wealthier residents tend to have better access to opportunities compared to low-income populations. Finally, the insights from Finnish planning practitioners reveal that communicating national-level accessibility information via an online tool has high communicative and learning value for various planning and policy processes.","Ponkanen, Matti","Tenkanen, Henrikki","Mladenovic, Milos",,,,,,,,,,,,,,,,,,,,0,,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,Equality,Land use policy,Open source tools,Transport justice,National-scale analysis,Nordics,,,,,,MAR 2025,Spatial accessibility and transport inequity in Finland: Open source models and perspectives from planning practice
Row_199,"Disposable plastic bag charge is a proposed strategy to mitigate their use, but it may significantly impact daily life due to their frequent use. Understanding the segmentation of public support for charge is crucial for informed policymaking. This study conducted a questionnaire survey among a Singaporean population, collecting data from 1953 respondents on their demographic profiles as well as their behaviour, attitudes, and willingness to pay for disposable plastic bags. The survey data suggest a supportive environment in Singapore for introducing charges on disposable plastic bags with most respondents preferred a charge of SGD 0.10 or below. By employing Cramer's V test and latent class analysis, we have affirmed the existence of differential policy support and willingness-to-pay, identifying five distinct classes of respondents: Non-supporters, Ideal supporters, Costsensitive supporters, Moderate Pricing Supporters, and High Pricing Supporters, with some classes showing distinct profiles in terms of age, education level, and monthly income. Further analysis of the effects of imposed charges revealed that a charge that is too low appears to have a limited impact on reducing the overall usage of disposable plastic bags, whereas a charge that is too high is likely to yield diminishing returns and could potentially lead to an increase in public complaints. These results could provide crucial policy implications for addressing plastic issues and highlight that charging for disposable plastic bags is not just an end goal but a means to promote reduced consumption.","Bai, Qiaowen","Ong, Ghim Ping","Seet, Jing Shuan Sarah","Wang, Xinru",,,,,,,,,,,,,,,,,,,1,,JOURNAL OF CLEANER PRODUCTION,Latent class analysis,Plastic bag charge,Policy implications,Public support,Singapore,Willingness to pay,,,,,,OCT 20 2024,Differential public support for disposable plastic bag charge in Singapore: Insights from latent class segmentation
Row_222,"Understanding the relationships between ultrafine particle (UFP) exposure, socioeconomic status (SES), and sustainable transportation accessibility in Toronto, Canada is crucial for promoting public health, addressing environmental justice, and ensuring transportation equity. We conducted a large-scale mobile measurement campaign and employed a gradient boost model to generate exposure surfaces using land use, built environment, and meteorological conditions. The Ontario Marginalization Index was used to quantify various indicators of social disadvantage for Toronto's neighborhoods. Our findings reveal that people in socioeconomically disadvantaged areas experience elevated UFP exposures. We highlight significant disparities in accessing sustainable transportation, particularly in areas with higher ethnic concentrations. When factoring in daily mobility, UFP exposure disparities in disadvantaged populations are further exacerbated. Furthermore, individuals who do not generate emissions themselves are consistently exposed to higher UFPs, with active transportation users experiencing the highest UFP exposures both at home and at activity locations. Finally, we proposed a novel index, the Community Prioritization Index (CPI), incorporating three indicators, including air quality, social disadvantage, and sustainable transportation. This index identifies neighborhoods experiencing a triple burden, often situated near major infrastructure hubs with high diesel truck activity and lacking greenspace, marking them as high -priority areas for policy action and targeted interventions.","Xu, Junshi","Saeedi, Milad","Zalzal, Jad","Zhang, Mingqian","Ganji, Arman","Mallinen, Keni","Wang, An","Lloyd, Marshall","Venuta, Alessya","Simon, Leora","Weichenthal, Scott","Hatzopoulou, Marianne",,,,,,,,,,,0,,SCIENCE OF THE TOTAL ENVIRONMENT,Ultrafine particle exposure,Socioeconomic status,Travel mode choice,Marginalized communities,Urban scanner,Community prioritization index,,,,,,APR 10 2024,"Exploring the triple burden of social disadvantage, mobility poverty, and exposure to traffic-related air pollution"
Row_243,"The ""15-minute city"" concept has been receiving an increasing amount of attention as a model for urban policy as well as a tool for urban spatial analysis. The concept is often considered an urban planning ideal that can effectively contribute to improved accessibility and a more sustainable mobility. Through a sustainability, equity, and livability lens, this paper examines pitfalls of the 15-minute city from a theoretical and spatial analysis perspective and proposes alternative theoretical and methodological directions. The seven pitfalls of the 15-minute city in current literature are summarized as: (1) overstatement of the 15-minute city's originality, (2) strong decentralization proposed by the 15-minute city theory is unrealistic and unsustainable, (3) focusing on quantity of destinations instead of sufficiency, (4) improperly aggregating facilities, (5) neglecting diverse forms of nature and their characteristics, (6) disregarding public transport in 15-minute city theory or spatial analysis, and (7) ignoring interpersonal differences in walking and cycling when conducting analyses based on the 15-minute city. A set of strategies is proposed to address these pitfalls and reorient the 15-minute city towards improved environmental and societal outcomes.","Mouratidis, Kostas",,,,,,,,,,,,,,,,,,,,,,3,,CITIES,15-minute city,Sustainable cities,Livable cities,Accessibility,Sustainable mobility,Compact city,,,,,,OCT 2024,"Time to challenge the 15-minute city: Seven pitfalls for sustainability, equity, livability, and spatial analysis"
Row_255,"The e -bike sector has shown constant evolution in recent years. The use of bicycles for mobility reasons has increased especially in the urban context, where bicycles have become to all intents and purposes one of the pivotal elements of the transition to more sustainable cities. In particular, the dynamism of the e -bike sector calls for the investigation of several aspects related not only to the production of the bicycles themselves but also to the entire supply chain organization. In this context, the role of the consumer is particularly important. The objective of this study is to analyse the consumption dynamics related to e -bikes. Specifically, the objective is to identify the factors that affect e -bike consumption intentions and preferences, defined both as purchase and as a service, to identify the most promising strategies to increase e -bike attractiveness among consumers. To answer these research questions, a bibliometric analysis and a systematic review of the relevant literature have been carried out using the SPAR -4 -SLR framework. Following this approach, after choosing appropriate keywords, and applying appropriate eligibility criteria, 115 peer -reviewed articles were obtained and used for the analysis. Consumer points of view on e -bikes had not been systematically analysed in the literature so far. Therefore, this study contributes to creating useful information for the organization of the e -bike supply chain. In particular, the results of this study may be of particular interest to both public policy and for the development of more effective business strategies.","Mina, Giorgio","Bonadonna, Alessandro","Peira, Giovanni","Beltramo, Riccardo",,,,,,,,,,,,,,,,,,,5,,JOURNAL OF CLEANER PRODUCTION,e-Bike,Sharing mobility,Electric mobility,Sustainable mobility,Consumer preference,,,,,,,FEB 25 2024,How to improve the attractiveness of e-bikes for consumers: Insights from a systematic review
Row_263,"Although many cities are incentivizing non-auto modes of transportation in response to the climate crisis, their sustainable mobility transition efforts are being challenged by the rising intensity and frequency of heatwaves. Pedestrians are exposed to high levels of heat stress on hot days, which may reduce their willingness to walk. It is thus important to understand how heat affects pedestrian behavior and accessibility, so that climate mitigation strategies can be better targeted to support walking as a mode of transport but also as a first-/last-mile connection to public transit. In this study, we used a dataset of pedestrian trips undertaken during the summer of 2014 in Boston, MA. Along with several route attributes (such as length, turns, sidewalk width, amenities, Normalized Difference Vegetation Index, and Sky View Factor), we also included a measure of heat stress (Universal Thermal Climate Index - UTCI) to explain pedestrian route choice behavior. Using path-size logistic regression models, we found evidence to suggest that heat stress has a considerable and statistically significant effect on the perceived walking distance. We also found that the effect was non-uniform and possibly exponential. Additionally, we illustrated the extent to which heat stress can reduce pedestrian accessibility to important destinations (such as public transit). This reduction was significant on a typical summer day, with an even sharper reduction on the hottest summer day. Non-White residents were observed to have lower accessibility levels compared to all pedestrians, likely because of disparities in urban heat exposure. Our findings highlight the importance of incorporating heat exposure into transportation planning and urban design frameworks, especially with an equity lens to address unequal consequences.","Basu, Rounaq","Colaninno, Nicola","Alhassan, Aziz","Sevtsuk, Andres",,,,,,,,,,,,,,,,,,,1,,CITIES,Heat stress,Thermal comfort,Willingness to walk,Pedestrian route choice,Accessibility,,,,,,,DEC 2024,Hot and bothered: Exploring the effect of heat on pedestrian route choice behavior and accessibility
