Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,citation,journal/conference/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,publish time,title
Row_11,"Despite the importance of tourist mobility for urban tourism, mechanisms as to how these tourist activities shift throughout the day remain scarcely explored. This study fills this gap by providing a three-step analysis framework. First, aggregated trajectory data were transformed into a directed weighted network. Then, a new community detection method was proposed to capture the spatial interactions, and two approaches were employed to quantify the evolution patterns of tourist mobility. Finally, the capability of the framework and its potential applications were explored and implemented through a case study in Xiamen, China.","Huang, Liyao","Li, Mengling","Zheng, Weimin","Gao, Shengnan",,,,,,,,,,,0,INTERNATIONAL JOURNAL OF TOURISM RESEARCH,community detection,intra-day evolutionary patterns,mobile positioning data,network analysis,urban tourist mobility,MOVEMENT PATTERNS,POSITIONING DATA,BIG DATA,TRACKING,ATTRACTION,VISITORS,BEHAVIOR,EVENTS,SEGMENTATION,NETWORKS,,,,,,,JUL 2024,Exploring the evolutionary patterns of urban tourist mobility within a day: A three-step analysis framework
Row_12,"This paper uses a generalizable clustering approach to investigate the effects of socio-demographic features on aggregate urban mobility patterns, including activity distribution and travel modal split. We use K-means via principal component analysis to identify eight representative traveler clusters from the 2017 U.S. National Household Travel Survey. Based on the cluster centroids and the cluster percentages within a neighborhood, we can estimate a Temporal Mobility Choice Matrix ( TM ) that describes the neighborhood-level aggregate mobility choice pattern. The estimation accuracy is assessed in a case study in LA City. It is found that the neighborhood-level temporal mobility patterns are well-replicated, with an average R-2 of 65.47%, 53.15%, and 72.04% among all analyzed neighborhoods in the city. However, we find a moderate to low accuracy in estimating the spatial differences in the mobility patterns across neighborhoods. This could be because factors other than socio-demographics, such as physical and built environment factors like terrain, street quality, or amenity densities, are contributing to the spatial differences but have not been considered in this study. Overall, we show that socio-demographic features alone can approximate the average temporal mobility choice patterns of a given population. Our method and result can serve as the baseline and benchmark for future mobility studies that take the socio-demographics of the traveler population into consideration in modeling.","Yang, Yang","Samaranayake, Samitha","Dogan, Timur",,,,,,,,,,,,2,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,Urban mobility,socio-demographics,clustering,activity pattern,travel mode,BEHAVIOR,EXPLORE,,,,,,,,,,,,,,,NOV 2023,A clustering-based approach to quantifying socio-demographic impacts on urban mobility patterns
Row_13,"Emerging big datasets about human mobility provide new and powerful ways of studying cities and addressing various urban issues. However, human mobility has usually been defined narrowly in prior research that limits the understanding of its values for urban applications. The aim of this study is to reveal the complexity and multiplicity of human mobility concept for various urban application scenarios, and present a comprehensive review of mobility-driven urban studies through four re-conceptualized urban mobility perspectives. Using a systematic review approach, existing mobility-driven urban studies are classified based on whether they interpret urban mobility as spatial movements, a social phenomenon, an economic indicator or a policy tool. Then, the core values of knowledge about urban mobility for addressing contemporary urban challenges are analyzed, and the current trends and future directions of mobility-driven urban studies are also discussed. Moving forward, the application of urban mobility knowledge can be further advanced by the evolution of mobility concepts, the improvement of mobility data quality and the innovation of mobility analytical methods. This review can contribute to the understanding the state of the art of mobility-driven urban studies, and provide inspiration and guidelines for studies of this area in the future.","Wang, Ruoxi","Zhang, Xinyuan","Li, Nan",,,,,,,,,,,,19,CITIES,Mobility,Conceptualization,Big geodata,Urban issue,Urban application,Review,LAND-USE CLASSIFICATION,HUMAN ACTIVITY SPACES,AIR-POLLUTION,GPS DATA,BIG DATA,SOCIOECONOMIC-STATUS,TRAFFIC PREDICTION,TOURISM RESEARCH,TRAVEL PATTERNS,LOCATION DATA,,,,,,NOV 2022,Zooming into mobility to understand cities: A review of mobility-driven urban studies
Row_14,"Urban livability and sustainability require a deeper understanding of the impact of urban spatial structure on human mobility. Here two mobility networks generated from two taxi data from two cities (Chengdu and New York City) are used to explore human intra-urban mobility. Through the network analysis, we found that many measures of two mobility networks present a two-segment feature. Combined with the map and population distribution, we demonstrate that the two segments correspond to the central and non-central regions of the city, respectively, which means hierarchical mobility related to urban-rural structure exists in both cities, although they have different levels of urbanization. We comprehensively analyze the impact of urban-rural spatial structure on the nature of mobility networks. The central and non-central regions differ significantly in the heterogeneity of human mobility and present different ranges and directions of trips, like the large degree nodes, showing a flared entry and exit pattern. We improved a gravity model by introducing flows to and from the node instead of population to predict the traffic between different nodes, and the prediction results also vary significantly between the two regions. These findings are valuable for understanding the relationship between urbanrural spatial structure and human mobility.","Nie, Wei-Peng","Cai, Shi-Min","Zhao, Zhi-Dan","Gao, Fu-Juan","Li, Ze-Tao","Zhou, Tao",,,,,,,,,4,CITIES,Network analysis,Urban -rural spatial structure,Hierarchical mobility,Gravity model,PATTERNS,PREDICTION,SPREAD,CHINA,,,,,,,,,,,,,,OCT 2023,Examining the impact of urban-rural spatial structure on mobility networks: A case study of taxis
Row_15,"Due to rapid urbanization and globalization, urban functions are increasingly segregated in cities comprising centers of population aggregation and economic activity. Urban development yields intertwining and interdependent functional areas for residence, commerce, and education, which leads to complex but regular population mobility patterns. Population mobility spaces can effectively represent the actual service scopes of urban functions. Therefore, in this study, we propose a function-associated population mobility network (FPMN) to dynamically delineate the service capacities of urban functions, and to quantify the driving effects of urban functions on population mobility under spatial interaction conditions. By integrating the cumulative opportunities of geographic nodes with the potential opportunities reflected by population mobility, k-step function accessibility with population mobility (k-step PFA) is defined in FPMN to characterize the accessibility relationships between geographic nodes and function nodes. Based on k-step PFA, considering the complementarity and intervention opportunities, the function-driven index (FDI) is proposed to quantify the driving effects of urban functions on population mobility. Our experimental results indicated that FPMN could effectively represent the actual service scopes and capabilities of urban functions. Compared with general location-based accessibility indicators, k-step PFA has a higher numerical distribution and less spatial disparity, and it aligns more closely with the actual service scopes of urban functions. In addition, compared with intervening opportunities models, FDI delineates the functional driving effects of population mobility with greater precision, as well as revealing the travel propensity traits of a population relative to various urban functions through propensity parameters.","Liu, Xinrui","Li, Rui","Cai, Jing","Li, Bosen","Li, Yanhao",,,,,,,,,,0,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Urban function,Population mobility network,Accessibility,Transferability,Complementarity,Intervention opportunities,PATTERNS,,,,,,,,,,,,,,,DEC 2024,Quantifying urban function accessibility and its effect on population mobility based on function-associated population mobility network
Row_16,"Latin America is a highly urbanized region characterized by remarkable inequality levels, also reflected in an uneven distribution of opportunities, making socio-economic segregation quite visible. Since the individual possibility to travel and therefore access to urban opportunities strongly depends on socio-economic status and the distances to overcome, highly unequal patterns of mobility and accessibility emerge. The continuous expansion of Latin American cities originates specific mobility-related inequalities visible in periurban areas, which tend to lack some key urban opportunities and public transport services usually available in cities. Due to established and new patterns of territorial segregation, these areas may generate new forms of marginality in relation to mobility, posing challenges for public action and territorial governance. Our paper considers if and how periurban areas experience different forms of mobility-related inequalities in three Latin American metropolises in Brazil, Chile, and Colombia (Sao Paulo, Santiago, and Bogota, respectively). We do so by examining the differences among urban core and periurban zones based on four elements: socio-demographic features, access to the public transport system, spatial continuity, and functional dependence. Our analysis shows that the three metropolitan regions have different structures: while Bogota and Santiago appear to be more dependent on the urban core, Sao Paulo shows more autonomous and self-sufficient periurban zones. The analysis also high-lights different forms of peripherality, defined by differentiated mobility patterns and modal choices that suggest that city-specific lines for public action might be needed.","Tiznado-Aitken, Ignacio","Vecchio, Giovanni","Guzman, Luis A.","Arellana, Julian","Humberto, Mateus","Vasconcellos, Eduardo","Munoz, Juan Carlos",,,,,,,,15,HABITAT INTERNATIONAL,Periurbanization,Urban mobility,Accessibility,Urban inequality,Latin America,TRANSPORT ACCESSIBILITY,METROPOLITAN-AREA,SOCIAL EXCLUSION,CAR DEPENDENCE,SAO-PAULO,LAND-USE,GROWTH,SANTIAGO,POVERTY,POOR,,,,,,,MAR 2023,"Unequal periurban mobility: Travel patterns, modal choices and urban core dependence in Latin America"
Row_17,"Employing urban planning and design to promote active travel modes, such as walking and biking, are important for decarbonizing urban mobility. This paper proposes a modeling framework that investigates the interdependencies between the built environment and travel behaviors through the lens of urban microclimates. We combine travel data, built environment data, and Universal Thermal Climate Index (UTCI) calculations for New York City and train a predictive model for intra-city mobility patterns. Then, impacts of UTCI features are studied through a sensitivity analysis and a spatial heterogeneity analysis. Results show that impacts of UTCI features can account for up to 4% change in the choice of active travel mode in dense urban areas. Also, impacts of microclimate vary across different travel contexts regarding season, time of day, activity, built environment, and traveler type. Our methodology and findings can inform future decision-making of microclimate-oriented spatial planning and design interventions.","Yang, Yang","Wang, Desai","Dogan, Timur",,,,,,,,,,,,5,PROCEEDINGS OF THE 2022 ANNUAL MODELING AND SIMULATION CONFERENCE (ANNSIM'22),urban design,urban planning,microclimate,UTCI,urban mobility,WEATHER,IMPACT,TRAVEL,,,,,,,,,,,,,,2022,HOW THE URBAN MICROCLIMATE AND OUTDOOR THERMAL COMFORT CAN AFFECT INTRA-CITY MOBILITY PATTERNS: EVIDENCE FROM NEW YORK CITY
Row_18,"This article aims to present the developed and applied methodology for the study, mapping, and evaluation of urban mobility patterns in the city of Sofia. The research is based on the combination and integration of GIS-based spatial analysis techniques and high-resolution data obtained through sensors based on state-of-the-art Unmanned Aerial Vehicle systems (UAVs). The results obtained from this study are adapted to their use for the purpose of supporting urban planning processes in the city and could greatly assist in the establishment of more adequate models for solving some of the most pressing problems of urban mobility in the urban area of Sofia.","Iliev, M.","Dimitrov, S.","Naydenov, K.","Petrov, S.","Ivanov, I.",,,,,,,,,,0,Proceedings of SPIE,,,,,,,,,,,,,,,,,,,,,,2023,"Integrated application of UAS-based and geoinformation tools for studying urban mobility patterns in urbanized territories: the case of Sofia, Bulgaria"
Row_19,"A large number of Censuses and surveys around the globe only measure 'migrations' crossing particular politico-administrative boundaries, most commonly 'major' areas like states. These moves, in turn, are often assumed to be representative of all long-distance or, in some settings, urban-urban moves. While important because such boundaries signal relevant policy environments, little research has tested these assumptions and, more broadly, the implications of examining mobility using an inter/intrastate classification schema versus other substantively-relevant approaches. Because these examinations have been particularly absent in developing nations, we compare the dynamics and correlates of mobility across inter/intrastate, distance- and rural/urban-based classification schemata in Mexico, a nation with heterogeneous mobility similar to other large middle-income countries and overall good data availability. We use 2000, 2010 and 2020 Census long-form data to examine the changing dynamics of mobility patterns and correlates across the classification schemata. While we find that interstate mobility does cover a large majority of long-distance and many urban-urban moves, we find that the correlates of interstate movement vary considerably from urban-urban movement in particular. We also find that excluding intrametropolitan from other types of moves may be a sensible strategy to better characterize some processes, an issue of increasing relevance in a more urban world and where city-regions span across major administrative areas. Given these findings, for a better understanding socioeconomic patterns and trends, we recommend that studies of internal migration avoid intra/interstate schema, consider separating intrametropolitan moves, and combine distance-based and rural-urban-metropolitan approaches.","Riosmena, Fernando","Balk, Deborah",,,,,,,,,,,,,2,POPULATION SPACE AND PLACE,distance,internal migration,metropolitan,Mexico,residential mobility,rural,spatial interaction models,spatial mobility,urban,LIFE-COURSE,MIGRATION,DISTANCE,URBAN,AFRICA,,,,,,,,MAR 2024,The importance of classification schema choice in internal mobility: An examination in contemporary Mexico
Row_20,"Rapid urbanization in China has prompted plenty of urban facilities to be constructed with the expectation of harmonizing with the rapid growth of urban population. However, regarding the spatial interactions produced by cross-area human mobility, the diversity and variability of residents' trip requirements inevitably cause the deviations of the real interaction patterns from the optimal status determined by the current allocation of urban facilities. To maximize the utility of urban facility allocation, we designed a bipartite network-based approach to explore anomalous spatial interaction patterns within cities. First, considering the potential area attractiveness, a weighted origin-destination bipartite network was constructed to structure the spatial interactions between traffic analysis zones. Then, a branch and bound (BnB) based augmenting path algorithm was proposed to optimize the distribution of spatial interactions, which can maximize the urban population carrying capabilities. Finally, anomalous interaction patterns causing both overload and underload were detected through comparisons between the actual and optimal spatial interaction distribution. The experimental results show that the two types of anomalous interaction patterns have significantly different spatial distribution characteristics. Through further analyzing the relationships between the two types of anomalous interaction patterns and urban evolution process, this study can also provide targeted decision supports for the accommodating of urban facility allocations to the distributions of resident trips in space.","Liu, Baoju","Deng, Min","Yang, Jingyi","Shi, Yan","Huang, Jincai","Li, Chengming","Qiu, Bingwen",,,,,,,,16,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,Anomaly interaction pattern,Bipartite network,Urban population carrying capacity,Human mobility,FLOW,MOBILITY,CITIES,MEDIA,MODEL,,,,,,,,,,,,,MAY 2021,Detecting anomalous spatial interaction patterns by maximizing urban population carrying capacity
Row_21,"Urban spatial structure and mobility patterns co-evolve. A fundamental process that underpins the emergent structure of cities and commuting patterns is location choice with respect to housing and employment. Consequently, location choice models constitute important sub-components of land use-and-transport-interaction (LUTI) and urban growth models. This paper documents the development and application of the Metropolitan Location and Mobility Patterns Simulator (METLOMP-SIM). METLOMP-SIM is a geospatial agent-based model that simulates how urban structure and travel patterns co-emerge, as a function of the location decisions of heterogeneous households and individuals within a spatially-explicit urban context. After specifying a generic conceptual model that identifies the model's structure, entities and agents' decision-making framework, METLOMP-SIM is implemented using the Kumasi Metropolis in Ghana, Sub-Saharan Africa as case study. Overall, the implemented model demonstrates that the encoded micro-scale behaviour of households and individuals are able to mimic some macro-scale residential and job location patterns, and patterns of home-work trip flows that closely match patterns in the case study metropolis. The current model represents property and job market dynamics in both their 'formal' and 'informal' manifestations, making it potentially relevant to dynamic, agent based LUTI model development and applications in Sub-Saharan African cities.","Acheampong, Ransford A.","Asabere, Stephen Boahen",,,,,,,,,,,,,5,HABITAT INTERNATIONAL,Urban structure,Location choice,Agent-based modelling,Informal land markets,Land use-transport interaction,Informal urbanism,LAND-USE DEVELOPMENT,RESIDENTIAL LOCATION,CHOICE,MOBILITY,MARKET,,,,,,,,,,,APR 2021,Simulating the co-emergence of urban spatial structure and commute patterns in an African metropolis: A geospatial agent-based model
Row_22,"Origin-Destination (OD) flow, as an abstract representation of the object's movement or interaction, has been used to reveal the movement patterns of human activities and the coupling process of the human-land system. As a developing spatial analysis method, OD flow clustering can be used to identify the dominant trends and spatial structures of urban mobility. However, urban flow exhibits universal heterogeneity, which is mainly manifested in irregular shapes, uneven distribution, and obvious scale differences. The existing methods are constrained by specific spatial scales and sensitive parameter settings, making it difficult to reveal heterogeneous urban mobility patterns within travel OD data. In this paper, we propose an OD flow analysis method that integrates spatial statistics and density clustering. This method can determine parameter values from datasets without manual intervention and adaptively identify multi-scale mixed OD flow clusters. In the simulation experiment, the proposed method accurately detects all preset OD clusters with less noise. It outperforms the baseline methods in terms of Silhouette Coefficient, V-measure, and Fowlkes Mallows index. As a case study, this method is applied to OD data from Chengdu, China, extracting 63 representative flow clusters and revealing the trends of heterogeneous urban mobility across different lengths and densities for public transit optimization.","Guo, Xiaogang","Fang, Mengyuan","Tang, Luliang","Kan, Zihan","Yang, Xue","Pei, Tao","Li, Qingquan","Li, Chaokui",,,,,,,0,JOURNAL OF TRANSPORT GEOGRAPHY,OD flow clustering,OPTICS,Spatial statistics,Density heterogeneity,Urban mobility,PATTERNS,SHUTTLE,DESIGN,,,,,,,,,,,,,,FEB 2025,An adaptive OD flow clustering method to identify heterogeneous urban mobility trends
Row_23,"Developing 15-minute cities, where people can access to living essentials within a 15-minute trip, has become a global effort. In addition to practical exercise, researchers have paid attention to the evaluation of 15-minute cities using home-based accessibility approaches. However, existing approaches do not account for human mobility, an important indicator of how people access and interact with urban amenities. In this study, we propose a novel network-based framework that assesses a 15-minute city considering human mobility patterns. We assume that there exists an optimal mobility network, which would maximize human mobility under the constraints of the current distribution of amenities. Locations where the provision of urban amenities does not match local needs are first identified based on the comparison between optimal mobility patterns and their actual counterparts. Built environment, demographic, and network structure factors that contribute to identified mismatch issues are then examined. The empirical study of Nanjing, China, suggests that the proposed framework could enable a dynamic evaluation of 15-minute cities and could provide important insights on policies and intervention strategies of planning and developing 15-minute cities.","Zhang, Shanqi","Zhen, Feng","Kong, Yu","Lobsang, Tashi","Zou, Sicong",,,,,,,,,,30,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,15-min city,human mobility,network science,accessibility,URBAN,PATTERNS,MOBILITY,,,,,,,,,,,,,,,FEB 2023,Towards a 15-minute city: A network-based evaluation framework
Row_24,"Local weather patterns can pose a significant barrier to the feasibility of realizing advanced air mobility systems in urban areas. Changes in the local climate conditions can significantly affect future urban air mobility viability, possibly restricting operations even further. This study aims to assess the impacts of changing climate conditions on a hypothetical urban air mobility network in Chicago to determine the network's sensitivity to changes in climate. The proposed data-driven approach identifies the extreme weather days for Urban Air Mobility operations from the 2006 to 2020 NOAA Integrated Surface Database. We further assess the sensitivity by increasing the rate of extreme weather events and calculating the impact of these changes on the Chicago metropolitan area. Via this analysis, we found that an increase in extreme weather days from 5% to 10% frequency reduced the percentage of viable UAM trips from 62% to 48% in winter.","Wright, E.","Gunady, N.","Chao, H.","Li, P.-C.","Crossley, W.A.","Delaurentis, D.A.",,,,,,,,,0,AIAA AVIATION 2022 Forum,,,,,,,,,,,,,,,,,,,,,,2022,Assessing the Impact of a Changing Climate on Urban Air Mobility Viability
