Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,citation,journal/conference/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,publish time,title
Row_11,"This study examines the impact of different types and processes of urban renewal on the urban heat island (UHI) effect. The research categorizes renewal projects based on changes in buildings, underlying surfaces, and functions. Using the Spearman correlation coefficient and LOWESS method, the study analyzes the relationships between cooling effects and impact factors. The results reveal that transforming industrial areas into commercial or residential zones and transitioning from compact mid-rise to open high-rise structures have significant cooling effects. However, the renewal implementation of the latter transformation can exacerbate the local UHI, suggesting the need for optimizing the timeline of such projects. Increasing vegetation cover plays a crucial role in mitigating the UHI, while higher floor area ratios and building volumes do not necessarily intensify the UHI. To improve the urban ecosystem, urban renewal planning should prioritize the creation of blue and green spaces, incorporation of natural infrastructure, and reduction of impervious surfaces. These findings have implications for urban renewal policies, selection of preferred renewal types, and insights into the renewal process.","Zheng, Songqing","Chen, Xiaochun","Liu, Yilun",,,,,,,,,,,21,SUSTAINABLE CITIES AND SOCIETY,Urban renewal,Urban heat island,Land redevelopment process,Shenzhen,LAND-SURFACE TEMPERATURE,CLIMATE ZONE SCHEME,REDEVELOPMENT,URBANIZATION,VENTILATION,GUANGZHOU,,,,,,,,,,,,,DEC 2023,Impact of urban renewal on urban heat island: Study of renewal processes and thermal effects
Row_12,"Cities and the neighbourhoods within are dynamic and change continuously. Vital neighbourhoods can cope with changing circumstances like outdated use, changing household compositions, consumer preferences and fashions, political turnovers, global trends and economic cycles. Sustainable areas are vital and flexible to changes. Sustainable urban renewal results in sustainable areas. However, what is sustainable urban renewal, and why is quite a lot of renewal policy, as history shows, not very sustainable? European urban renewal policy can be divided into three separate periods, in which different ideas prevailed. This article shows these three periods on four points of view, the contents, the process, the area and a time-focus, and elaborates these on one particular country, the Netherlands.","Wassenberg, Frank",,,,,,,,,,,,,5,OPEN HOUSE INTERNATIONAL,Urban Renewal,Sustainable Areas,Housing,Urban Policy,Sustainable Urban Renewal,,,,,,,,,,,,,,,,,,JUN 2010,TOWARDS SUSTAINABLE URBAN RENEWAL IN THE NETHERLANDS
Row_13,"Contemporary urban renewal policies worldwide are often presented as ""win-win"" opportunities, benefiting not only public authorities and private developers but also all target populations. The study, using a Tel Aviv neighborhood as a test case, challenges this prevailing idyllic perception by evaluating the social, economic, and physical outcomes of urban renewal at the household level, according to three tensions inherent in any residential urban renewal project. The research findings, outlining the urban renewal matrix-that is, the costs and benefits of urban renewal for various residents-reflect a complex reality with positive and negative consequences for different resident groups. Although urban renewal has significantly improved the housing conditions and surrounding environment, and although it promises some residents substantial future financial gain, it has also created a divided community, imposed pronounced affordability burdens that expose disadvantaged residents to economic displacement, and has not adequately adapted transportation and education services to population growth and residents' expectations. At a time when urban renewal is no longer a matter of choice, understanding the urban renewal matrix may help planners and policy makers bring the renewal process closer to its stated goals of improving the quality of life and encouraging the social mobility of disadvantaged populations.","Nachmany, Harel","Hananel, Ravit",,,,,,,,,,,,9,LAND USE POLICY,Urban renewal,Regeneration,Housing policy,Planning policy,Social mobility,SUSTAINABLE DEVELOPMENT,SOCIAL MIX,REGENERATION,GENTRIFICATION,NEOLIBERALISM,NEIGHBORHOOD,COMMUNITY,POLITICS,POLICY,GEOGRAPHIES,,,,,,,,AUG 2023,The Urban Renewal Matrix
Row_14,"If carefully planned, urban renewal may play an important role in regenerating a decaying neighborhood and mitigating the negative externality generated by dilapidated buildings in densely populated areas. Despite its potential benefits, in urban areas dominated by high-rise developments, urban renewal has an unintended negative impact on nearby properties since it reduces their redevelopment option values. In this study, we develop a number of hypotheses on how an urban renewal project, once made known to the public, affects neighborhood housing prices and test them with data in Hong Kong. Our empirical findings suggest that the degree of positive externalities brought by urban renewal depends on the scale of an urban renewal project, as well as the amount of commercial areas included in the project. Most importantly, through examining changes in the age coefficient, we found that an urban renewal project reduces the value of nearby buildings beyond the boundaries of the project. The negative effect was stronger for older buildings and for those buildings located closer to the project's boundaries. These unintended consequences of urban renewal have not been analyzed or tested in previous studies.","Chau, K. W.","Wong, S. K.",,,,,,,,,,,,57,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,Age effect,Externality,Redevelopment option,Transaction cost,Urban renewal,REDEVELOPMENT,,,,,,,,,,,,,,,,,APR 2014,Externalities of Urban Renewal: A Real Option Perspective
Row_15,"In China, the field of urban renewal is one of the core concepts within the disciplines of urbanism and architecture. After decades of economic growth, many issues have been added to the field of urban development, which has diversified significantly. To comprehensively understand the developmental context of urban renewal in China, this paper starts from the urban and architectural disciplines, combined with the international background of urban regeneration, and systematically analyzes the progress of urban renewal in China from 1985 to 2017. Four major research themes are summarized and divided into three stages of development with the aim of chronologically sorting the contexts and trends of urban renewal in the thirty years since China's ""Open Door Policy.""","Zhou, Yao","Chang, Jiang",,,,,,,,,,,,12,JOURNAL OF URBAN HISTORY,urban renewal,China (1985-2017),imitation,reference,exploration,GENTRIFICATION,GUANGZHOU,SPACES,,,,,,,,,,,,,,,JUL 2020,"Imitation, Reference, and Exploration-Development Path to Urban Renewal in China (1985-2017)"
Row_16,"Recent scholarly interest in urban renewal has established its place in the social and political history of the postwar United States. The contributors to this special section argue that equal attention is now needed to the intellectual debates that marked urban renewal's conception, implementation, and undoing. Investigating renewal's conflicted origins and untidy demise through the history of ideas can restore some of the historical specificity and contingency to understandings of a policy that has long been portrayed as simply a foreordained failure.","Zipp, Samuel","Carriere, Michael",,,,,,,,,,,,14,JOURNAL OF URBAN HISTORY,urban renewal,urban history,intellectual history,urban planning,,,,,,,,,,,,,,,,,,,MAY 2013,Introduction: Thinking through Urban Renewal
Row_17,"This study measured the residential satisfaction of residents in six urban renewal projects in Chongqing, China with the aim of determining which social factors should be prioritized during urban renewal. Based on an analysis of 1,086 responses to a questionnaire survey conducted among residents at different stages of the urban renewal process, multilevel linear models were used to examine the determinants of residential satisfaction after urban renewal; model results showed that 49 predictor variables explained 32.29% of residential satisfaction values in the hierarchical regression latent models. Two findings from the empirical analysis are: (1) ""Social networks and social protections"" represented the strongest predictor of residential satisfaction, followed in order of strength by ""social reciprocity and trust,"" ""community participation and accessibility,"" and ""sense of community and community cohesion""; and (2) keeping all five social factors balanced is essential for urban renewal projects, since having only one or two strong social factors will not contribute to higher residential satisfaction if the other factors are weak. Urban renewal studies of this kind are essential for monitoring trends in residential satisfaction.","Du, Tongyun","Du, Shihan","Wang, Ruoyu",,,,,,,,,,,9,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,Residential satisfaction,Social factors,Urban renewal,Community cohesion,Hierarchical regression,Latent models,Questionnaire survey,China,NEIGHBORHOOD SATISFACTION,PARTICIPATION,COMMUNITY,INCOME,DETERMINANTS,ATTACHMENT,COHESION,CITIES,PLACE,SENSE,,,,,DEC 1 2022,"Social Factors and Residential Satisfaction under Urban Renewal Background: A Comparative Case Study in Chongqing, China"
Row_18,"This article uses a case study of Spokane, Washington's preparations for Expo '74 to examine the environmental dimensions of urban renewal. Scholars often think of urban renewal as a planning project influenced by distinct racial exclusion, economic development, and urban design strategies. However, this article shows how environmental strategies-particularly the rise of urban environmentalism and the production of urban green space-had on urban renewal processes. As Spokane's downtown elites planned for the environmentally themed World's Fair, they used environmental strategies not only to promote the fair and the city but also to displace low-income residents and transform the downtown riverfront landscape. Understanding how the environment has been used by powerful groups as a tool of social power not only yields insights into the history of urban renewal in the 1960s and early 1970s but also highlights potential pitfalls in contemporary urban sustainability planning.","Bryson, Jeremy",,,,,,,,,,,,,20,JOURNAL OF URBAN HISTORY,urban renewal,Spokane,Expo '74,environmentalism,displacement,World's Fair,urban parks,riverfront planning,POLITICS,,,,,,,,,,,,,,MAY 2013,"Greening Urban Renewal: Expo '74, Urban Environmentalism and Green Space on the Spokane Riverfront, 1965-1974"
Row_19,,"Marty, Jonathan",,,,,,,,,,,,,0,JOURNAL OF URBAN HISTORY,urban renewal,blight,redevelopment,urban governance,economic development,,,,,,,,,,,,,,,,,,FEB 2024,The Politics of Blight: Recent Literature on Urban Renewal
Row_20,"Urban renewal usually involves large scale demolition of areas, which can lead to the destruction of social networks and local character. It has been increasingly recognized that heritage conservation in older districts undergoing urban renewal has a significant impact on enhancing a community's sense of place, identity and development. However, a clear understanding of the social factors which contribute to successful heritage conservation in urban renewal is still lacking. This study aims to identify the social role of heritage conservation in urban renewal. It also investigates whether certain underlying social factors vary among different districts, according to density, socio-demographics and the extent of redevelopment. In order to expose the factors, a survey of three hundred and twelve people in two urban renewal districts in Hong Kong was conducted using questionnaires. The identified social factors provide an evaluation framework for examining the collective impact of conservation of historic buildings, rather than individual historic buildings on a renewal district. The findings reveal that socio-demographics of an area, local characteristics, type of heritage buildings and the extent of urban renewal do not exert a significant influence on the composition of social factors. Several policy recommendations are also provided for urban planners and decision makers incorporating heritage conservation in urban renewal strategies. (C) 2017 Elsevier Ltd. All rights reserved.","Yung, Esther-Liu Kwan","Zhang, Qi","Chan, Edwin H. W.",,,,,,,,,,,73,HABITAT INTERNATIONAL,Social factors,Evaluation,Heritage conservation,Urban renewal,Hong Kong,HISTORIC NEIGHBORHOODS,CULTURAL-HERITAGE,REGENERATION,REDEVELOPMENT,INDICATOR,PROJECT,CITIES,,,,,,,,,,,AUG 2017,Underlying social factors for evaluating heritage conservation in urban renewal districts
Row_21,"This study sought to demonstrate that small renewal projects could contribute to improved ventilation for the mitigation of urban heat island effects by designing building forms through urban design guidelines. Such a task is particularly important in an older built environment in many early developed cities, where large-scale urban renewal has been difficult to implement. Consequently, wind corridors are unlikely to be created to transfer heat away from cities, as suggested by previous studies. This study used computer simulations to assess the extent to which changes in building forms could drive wind flow through small-scale renewal sites. The removal of small, fragmented buildings during the renewal process was found to be of great significance for improving local ventilation, which can be regulated through urban design strategies with a low building coverage ratio. Moreover, adjusting the floor area ratio could help create open spaces that benefit on-site and off-site wind environments. This study highlighted small-scale urban renewal projects and their contribution to improving ventilation and mitigating urban heat island effects. These projects can be applied in urban renewal and regeneration through urban design guidelines for the regulation of the spatial distribution of buildings. Of note, wind factors must be integrated into site planning and architectural design processes. In conclusion, the incorporation of wind factors into planning and design processes will help combat urban heat island effects in cities.","Hsieh, Chun-Ming","Yu, Cheng-Yu","Shao, Lu-Yun",,,,,,,,,,,6,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,Urban design,Urban heat island,Ventilation corridor,Urban renewal,Least cost path (LCP),Computational fluid dynamics (CFD),COMPUTATIONAL FLUID-DYNAMICS,THERMAL COMFORT,LAND-USE,GREEN INFRASTRUCTURE,VENTILATION,IMPACT,CITY,PARK,URBANIZATION,MICROCLIMATE,,,,,,,JUN 1 2023,Improving the Local Wind Environment through Urban Design Strategies in an Urban Renewal Process to Mitigate Urban Heat Island Effects
Row_22,"Accurate and efficient assessment of large-scale urban renewal potential is an indispensable prerequisite for managing and facilitating projects. However, few studies consider the built environment when assessing urban renewal potential because it is difficult to measure. Street view images can show the physical setting of a place for humans to perceive the built environment. Hence, we separately extracted emotional and visual perceptions from street view images to construct a new comprehensive indicator set to assess multi-class urban renewal potentials. To establish the assessment model, we applied a backpropagation neural network based on the presence and background learning (PBL-BPNN). The renewal potential assessment based on the proposed indi-cator set can reach the highest accuracy. Emotional perceptions contribute more to assessing renewal potential than visual perceptions because they are more consistent in portraying the blighted built environment. Emotionally, the ratings of safety, boring, depression, and lively are stable in the blighted built environment. Visually, greenness and imageability often remain at lower values, highlighting the importance of greenspace and urban furniture in determining urban renewal. Furthermore, multi-class renewal potentials can be used for scenario analysis by assuming different renewal intentions. The results can support governments and planners in making efficient urban renewal decisions.","He, Jialyu","Zhang, Jinbao","Yao, Yao","Li, Xia",,,,,,,,,,28,CITIES,Urban renewal potential assessment,Street view images,Human perceptions,Presence and background learning (PBL),QUALITY-OF-LIFE,LAND-USE,REDEVELOPMENT,CHINA,PROJECTS,IMPACT,CLASSIFICATION,URBANIZATION,PERFORMANCE,PATTERNS,,,,,,,,,MAR 2023,Extracting human perceptions from street view images for better assessing urban renewal potential
Row_23,,"Priebs, Axel",,,,,,,,,,,,,0,ERDE,,,,,,,,,,,,,,,,,,,,,,,2021,Urban Renewal in Small and Medium-sized Towns. Yearbook Urban Renewal
Row_24,"Urban renewal in Hong Kong plays an important role in stimulating local economy by optimizing development potential of disturbed site and introducing new activities/businesses with large profit margins. However, past and current urban renewal practices put too much emphasis on achieving economic objectives, and overlook the environmental and social needs of the community, which violates the global trend to promote sustainable development in the urban areas. In view of it, this paper has reviewed the property-led/market-led urban renewal approach continuously adopted in Hong Kong, and suggested a more sustainable approach to meet economic objectives. In order to facilitate such approach, this paper has highlighted a list of urban design considerations contributing to sustainable development and identified key design factors improving economic sustainability of the urban renewal projects. Copyright (C) 2008 John Wiley & Sons, Ltd and ERP Environment.","Chan, Edwin H. W.","Lee, Grace K. L.",,,,,,,,,,,,58,SUSTAINABLE DEVELOPMENT,urban renewal,sustainable development,economic benefits,urban design considerations,critical design factors,Hong Kong,REGENERATION,,,,,,,,,,,,,,,,NOV-DEC 2008,Contribution of Urban Design to Economic Sustainability of Urban Renewal Projects in Hong Kong
Row_25,"The rapid urbanization process over metropolitan cities often came with the dramatic urban land transformation of different natural land cover types into urban impervious surfaces (UIS) or UIS back to natural land covers. However, most UIS mapping studies usually focus on inter-year variation, suggesting that the urbanization process is irreversible. The rapid intra-year urban reconstruction and urban renewal are under-explored. This study develops a new algorithm for intra-year urban renewal using all available Sentinel-1 and Sentinel-2. Time series SAR and optical data are utilized for intra-year UIS change detection, i.e., to detect the changes from UIS to other land cover types. Results showed that the urban renewal process occurred within the metropolitan area, i.e., UIS changed into the bare land or vegetation. The overall accuracy and kappa of urban renewal change detection are 72.79% and 0.4599, respectively.","Lin, Yinyi","Zhang, Hongsheng",,,,,,,,,,,,2,2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),Urban impervious surface,time series,SAR,urban renewal,,,,,,,,,,,,,,,,,,,2022,INTRA-YEAR URBAN RENEWAL IN METROPOLITAN CITIES USING TIME SERIES SAR AND OPTICAL DATA
Row_26,"Urban renewal aims to solve the problems caused by unplanned urbanization and urban aging, and it presents a significant opportunity to create sustainable urban areas in Turkey, where a major urban renewal movement was initiated to renew 8 million homes in the next 20 years. In this study, we identified the possible built environment design elements to be applied in urban renewal projects and evaluated their contributions to the economic, environmental, and social sustainability of urban areas through a questionnaire study conducted with the participation of 323 professionals experienced in urban renewal projects. By implementing factor analysis, the large number of design elements was reduced into a lower number of factors. To identify the importance weights of the factors and the design elements, we conducted an analytic hierarchy process (AHP) attended by 60 people consisting of academicians and practitioners. With this study, a sustainable urban renewal model with its factors, design elements, and specified importance weights was created, which is expected to guide a wide range of urban renewal stakeholders, like local governments, citizens, contractors, architects, engineers, and urban planners, in creating sustainable areas.","Yildiz, Serkan","Kivrak, Serkan","Arslan, Gokhan",,,,,,,,,,,23,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,Analytic hierarchy process (AHP) analysis,Factor analysis,Sustainability,Urban renewal,CITY,,,,,,,,,,,,,,,,,,MAR 1 2019,Contribution of Built Environment Design Elements to the Sustainability of Urban Renewal Projects: Model Proposal
