,author1,author2,author3,author4,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,conference,keyword5,keyword6,author5,keyword7,author6,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,author7,author8,author9,author10
Row_11,"Jin, Qianqian","Li, Boyang","Cheng, Yurong","Zhao, Xiangguo",Real-time Multi-platform Route Planning in ridesharing,EXPERT SYSTEMS WITH APPLICATIONS,DEC 1 2024,0,"The increasing availability of mobile Internet and portable devices has led to the popularity of spatial crowdsourcing recently. The significant burgeoning of ridesharing services in spatial crowdsourcing has transformed urban mobility. However, due to the imbalance between supply and demand, some requests may be rejected or workers may keep idle for a long time. Fortunately, sharing tasks and workers across multiple platforms in a collaborative manner can diminish the negative effects of non-uniform distribution. In this paper, we propose a M ulti-platform Route P lanning in ridesharing problem (MPRP), which integrates route planning and task assignment in spatial crowdsourcing. We study how to improve the total revenue of platforms through coordination with multiple ridesharing platforms. To solve the problem, we propose the Greedy Multi-platform Route Planning algorithm (G-MPRP), which extends the dynamic programming insertion operation and assigns workers in a greedy manner. To overcome the shortcoming of G-MPRP, we further propose the Pack-based Multi-platform Route Planning algorithm (P-MPRP), which packs requests through a ranking-based function. Extensive experimental results shows the proposed algorithms can improve the revenues significantly.",Spatial databases,Crowdsourcing,Ridesharing,Task assignment,,Route planning,,,,,,,,,,,,,,,,,,
Row_12,"Rosati, Roberto Maria",,,,Urban Sprawl and Routing: A Comparative Study on 156 European Cities,LANDSCAPE AND URBAN PLANNING,JAN 2025,0,"To address the growing challenges urban sprawl poses, it is essential to understand its influence on urban transportation, a primary source of economic, social, and environmental impact. This study fills this gap by quantifying the consequences of sprawl on transportation efficiency, proposing an interdisciplinary methodology that integrates knowledge from operations research. Specifically, adopting a broad European perspective, we investigate how urban sprawl correlates with travel distances and optimal routes in 156 spatially heterogeneous cities across 28 European countries. We discover a significant correlation between five sprawl indicators (Land usage, Gini coefficient, Shannon entropy, Moran I index, and Bribiesca index) and both travel distances and routes by car and bicycle: transportation is inherently less efficient in cities with higher levels of sprawl. Among the considered indicators, Shannon entropy emerges as the best predictor of route efficiency. We offer insights into the geography of sprawl in Europe, finding that many Spanish cities stand out for their compactness and route efficiency, while hotspots of sprawl are present in many Western and Central European countries. Our results underline the underestimated importance of addressing urban sprawl to reduce transportation's economic, social, and environmental costs and encourage policymakers and urban planners to prioritize compact city development to foster sustainable urban growth.",Urban sprawl,Routing,Impacts of urban sprawl,Geography of urban sprawl,,City logistics,Traveling salesman problem,,,,,,,,,,,,,,,,,
Row_13,"Ferreira, Monica Amaral","Oliveira, Carlos Sousa","Francisco, Rafael",,"Tsunami risk mitigation: the role of evacuation routes, preparedness and urban planning",NATURAL HAZARDS,DEC 2024,0,"The southwestern Portuguese coast, particularly the Algarve region, is at significant risk of an earthquake exceeding magnitude 8, which could generate a destructive tsunami. Coastal areas such as Quarteira and Vilamoura in the Loul & eacute; municipality are especially vulnerable due to their dense population of permanent residents and seasonal tourists, compounded by the long distances required to reach safety zones. Despite the known seismic and tsunami hazards, there have been limited studies that develop tailored mitigation strategies specific to tsunami evacuation. This study contributes to the tsunami science by evaluating potential building damages due to shaking and tsunami impact and providing decision support for evacuation strategies. Using Geographic Information Systems (GIS), tsunami scenarios are modeled based on historical seismic events, such as the 1755 Lisbon earthquake, to identify high-risk coastal zones and optimize evacuation routes, considering local topography and population density. Additionally, wave propagation and arrival times are analyzed to ensure timely access to population escape and to mitigate damage to critical infrastructures. Our findings contribute to the developing a comprehensive tsunami risk mitigation strategy for the Loul & eacute; municipality, focusing on prevention, public safety, and emergency preparedness. This research supports land use planning, disaster risk reduction, and emergency planning decisions while also advancing the understanding of urban risk by addressing hazards, exposure, and vulnerability in coastal areas. Key objectives of this study include acquiring and implementing historical tsunami data, assessing recommending evaluating the regions vulnerability, and recommendations for good practices and mitigation measures. The study emphasizes the importance of raising public awareness, enhancing governance, and strengthening capacity to effectively reduce disaster risks.","Earthquake, tsunami",Building vulnerability,Evacuation routes,Multi-hazard,,Urban risk management,Loul & eacute;,,Portugal,,,,,,,,,,,,,,,
Row_14,"Kong, Yuntao","Yi, Kun","Wang, Lijun","Peng, Cheng",RPMTD: A Route Planning Model With Consideration of Tourists' Distribution,IEEE ACCESS,2024,0,"The rapid growth of the tourism industry has spurred extensive research into tourist route planning. However, existing studies primarily focus on route planning for individual tourists, leaving a notable gap in addressing multiple tourists planning scenarios. Traditional methods for multiple tourists planning, derived from single tourist frameworks, often prioritize the interests and benefits of tourists. This has led to problems like popularity-biased route planning, which exacerbates overtourism in favored destinations and under-tourism in lesser-known spots, thereby undermining sustainable tourism. To address these challenges, we introduce a multi-agent reinforcement learning (RL) framework specifically designed for multiple tourists route planning, incorporating consideration of tourists' distribution. Our approach consists of two key components: firstly, a novel tourism RL environment that enables interaction with multiple tourists; secondly, a dual-congestion model that considers both local congestion at tourist spots and overall city-wide tourist' distribution. This dual-congestion mechanism formulates the reward system in our multi-agent RL framework. We validate our framework with comprehensive experiments using real-world human mobility data from Kyoto, a globally renowned tourist city. The results show our model's superiority over existing methods in optimizing route rewards and managing tourists' distribution. Additionally, we conducted a user study to examine the effect of our method on tourists' experience, serving as a reference for our future implementation. The findings indicate that our dual-congestion model slightly affects tourists who prefer popular spots. Our discussion highlights the typically non-cooperative relationship between tourism sustainability and tourist self-interest, underscoring the necessity for a trade-off between them in practical applications. Significantly, our model demonstrates the potential to transform this non-cooperative relationship into a cooperative dynamic.",Planning,Reinforcement learning,Social networking (online),Linear programming,,Costs,Urban areas,"Nguyen, Le-Minh",Transforms,"Ma, Qiang",Tourism industry,Sustainable development,Multiple tourists route planning,unbiased route planning,sustainable tourism sightseeing,,,,,,,,,
Row_15,"Cornacchia, Giuliano","Lemma, Ludovico","Pappalardo, Luca",,Alternative Routing based on Road Popularity,,2024,0,"Alternative routing in urban transportation is essential for minimizing environmental impact and improving road network efficiency. However, existing methods often neglect road popularity, increasing congestion and emissions. This study introduces Polaris, a novel alternative routing algorithm considering road popularity to optimize traffic distribution. Utilizing the concept of..road layers, Polaris effectively balances traffic loads across less popular roads, reducing the likelihood of congestion. Experiments conducted across three Italian cities demonstrate that Polaris significantly reduces the overuse of highly popular road edges, minimizes traversed regulated intersections, and lowers CO2 emissions compared to state-of-the-art alternative routing algorithms. This makes Polaris a promising solution for sustainable urban traffic management.",Traffic assignment,Alternative routing,Route planning,Route diversification,"PROCEEDINGS OF THE 2ND ACM SIGSPATIAL INTERNATIONAL WORKSHOP ON SUSTAINABLE URBAN MOBILITY, SUMOB 2024",CO2 emissions,Urban sustainability,,,,,,,,,,,,,,,,,
Row_16,"Celic, Jasmin","Mandzuka, Bia","Tomas, Vinko","Tadic, Frane",Driver-Centric Urban Route Planning: Smart Search for Parking,SUSTAINABILITY,JAN 2024,1,"With urbanization, there is a growing need for mobility. Challenges for urban drivers include finding available parking spaces. Searching for a parking spot can be a frustrating experience, often time consuming and costly. Also, the increasing number of vehicles on the roads leads to an additional strain on traffic flow, while the search for parking spaces lowers the level of service. In inner cities, vehicles circulate in search of an available parking space, leading to an increase in travel time, fuel consumption, pollutant emissions, and a decrease in traffic safety. The search for a free parking space generates a significant increase in traffic in urban areas. To solve the parking search problem, it is necessary to develop certain strategies and measures that minimize circling in search of a parking space. The implementation of intelligent transportation systems stands out. By applying intelligent transport systems, drivers are provided with information about free parking spaces, which reduces the circulation of vehicles in search of free parking. Although initially ITS systems mainly provided services for closed parking lots and garages, with the further development of the system, the service was extended to street parking lots or open-type parking lots. These measures not only solve traffic challenges but also promote sustainability in urban areas. This article analyzes the effect of a cooperative approach of guiding vehicles to available parking spaces compared to a standard model of searching for an available parking space. Within the framework of the advanced model for searching for available space, four parking demand scenarios were defined and simulated. Based on the created traffic simulation, a comparative analysis was made between the classic and cooperative approach, while the primary differences are manifested in the load of the traffic flow A simulation model was developed using the road network from the urban center of Zagreb.",urban sustainability,search for parking,dynamic routing,cooperative approach,,traffic simulations,,,,,,,,,,,,,,,,,,
Row_17,"Mu, Wangshu","Li, Changfeng",,,Optimization of urban greenway route using a coverage maximization model for lines,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,SEP 2024,2,"Urban greenways enhance the social, environmental, and ecological facets of city life by offering accessible and engaging spaces for residents. Despite their significance, the route selection for these urban greenways often hinges on suitability analysis, which can be influenced by a planner's subjective judgment, thus potentially introducing bias. Spatial optimization is a potential solution for determining optimal urban greenway routes. However, urban greenway route planning poses a distinct spatial optimization challenge that is not addressed by existing models. While urban greenways are inherently linear features, there are generally no specific start or end points dictated in their planning, which contrasts with many existing line-based spatial optimization models. Moreover, the way that coverage for urban greenways is measured-by taking into account the area encompassed within a particular distance from the entire urban greenway-deviates from the method used in conventional coverage optimization models, which works through discrete point-based evaluations. To address these gaps, our study introduces the maximal covering location problem for lines (MCLP-Line) model, which is designed to determine the optimal single-line-shaped urban greenway route with maximum coverage of nearby residents. In this paper, we utilize a line graph data structure to transform the candidate road network into a graph where road segments become nodes and junctions are treated as edges. We delineate the mixed integer linear programming formulation for the MCLP-Line model and discuss approaches for eliminating subtours in the MCLP-Line model in detail. The study provides simulation tests using both randomly generated data and an empirical dataset from Lhasa to demonstrate the practicality and computational efficiency of the proposed model.",Spatial optimization,Coverage,Line,Urban greenway,,,,,,,,,,,,,,,,,,,,
Row_18,"He, Xinyu","Li, Lishuai","Mo, Yanfang","Huang, Jianxiang",A distributed route network planning method with congestion pricing for drone delivery services in cities,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,MAR 2024,3,"Unmanned aerial vehicle (UAV)-based commercial services, exemplified by drone delivery, have captured wide interest in tech companies, entrepreneurs, and policymakers. Structured routebased UAV operations have been implemented for traffic management of UAVs in support of commercial delivery services in cities. Yet, its essence, multi-path planning with constraints is not well solved in the existing literature. Centralized planning might result in inefficiencies and unfairness in the allocation of precious urban airspace to individual routes. This paper describes a novel distributed route planning method to support UAV operations in a high-density urban environment. The method allows each origin-destination (OD) pair to compete against other OD pairs for an optimized route (e.g. shortest distance), coordinated by a system-level evaluation, leading to a network design that maximizes the performance of not only the individual routes but also the entire system. The core concept is the introduction of congestion pricing, a soft constraint to coordinate the allocation of airspace. The method is tested in standard 2D scenarios and compared with other state-of-the-art methods. The results show that (1) the method is able to generate routes with short individual distances as well as occupying the least airspace by the route network; (2) in some complex scenarios, the method is able to find a solution in a short period of time while other state-of-the-art method fails. The method has also been applied to a real urban environment (Mong Kok in Hong Kong) to demonstrate its capability.",Unmanned aerial vehicle,Drone delivery,Traffic management,Multi-path planning,,Route network design,,"Qin, S. Joe",,,,,,,,,,,,,,,,
Row_19,"Li, Jin","Wang, Yaqiu","Liu, Huasheng",,The Optimization of Split Demand Route Planning Under Metro-Truck Collaborative Distribution,URBAN RAIL TRANSIT,JUN 2024,1,"With the evolution of people's consumption habits and the rapid growth of urban logistics, the number of trucks and delivery frequency has increased significantly, exacerbating urban traffic congestion and environmental pollution. Consequently, there is an urgent need to improve the current inefficient and highly polluted distribution mode. Currently, in most cities in China, the metro passenger flow is insufficient, and the capacity is excessive during off-peak hours, resulting in underutilized carriage capacity. The integration of surface and underground transport resources can effectively address these issues and facilitate complementary advantages and win-win cooperation between express companies and metro enterprises. This study proposes an innovative problem of split demand route planning in the cooperative distribution system involving express companies and subways. A cooperative distribution model is developed to minimize the total cost, and solved by the Cuckoo Search algorithm to obtain the optimized solution. The model is applied to the urban rail transit network in Changchun, and the results demonstrate that it is effective in reducing truck mileage and distribution costs. Compared to the single delivery pattern by trucks, the cooperative distribution approach proves to be more cost-effective and environmentally friendly.",Subway logistics,Collaborative distribution,Split demand,Cuckoo Search algorithm,,Route planning,3313,,,,,,,,,,,,,,,,,
Row_20,"Zhu, Wei","He, Wei","Li, Qingsong",,Hybrid AI and Big Data Solutions for Dynamic Urban Planning and Smart City Optimization,IEEE ACCESS,2024,0,"Urban planning faces complex challenges, including efficient resource allocation, traffic management, and infrastructure optimization. Traditional methods often fall short in addressing these multifaceted issues, leading to inefficiencies and suboptimal outcomes. This study introduces a novel approach by combining Graph Neural Networks (GNNs) with Simulated Annealing (SA) to tackle these challenges in urban planning. GNNs are employed to extract meaningful features and relationships from urban infrastructure and social networks, providing a detailed understanding of patterns and interactions. SA is then used to optimize resource allocation, traffic routing, and scheduling tasks based on the insights derived from GNNs. This hybrid methodology allows for an iterative refinement process, where updated features from GNNs continuously enhance the optimization performed by SA. Key findings of the study reveal significant improvements. Traffic congestion was reduced by 25%, and average travel times decreased by 18%. Resource allocation efficiency improved by 30%, with a 20% reduction in resource wastage. Infrastructure optimization metrics showed a 22% gain in cost efficiency and a 15% increase in accessibility. The combined GNN-SA approach proved effective in addressing urban planning inefficiencies and optimizing various aspects of smart city management. The contributions of this study include a robust framework for integrating advanced AI techniques to solve complex urban planning problems, offering a scalable and adaptable solution for modern smart cities. The results highlight the potential of hybrid AI approaches in enhancing urban planning and provide a foundation for future research and application in this field.",Urban planning,Optimization,Artificial intelligence,Smart cities,,Resource management,Planning,,Real-time systems,,Accuracy,Transportation,Social networking (online),Graph neural networks (GNNs),simulated annealing (SA),urban planning optimization,smart city management,resource allocation,traffic management,infrastructure optimization,,,,
Row_21,"Zheng, Lili","Gao, Tian","Meng, Lin","Ding, Tongqiang",Research on the Route Choice Behavior of Urban Freight Vehicles Based on GPS Data,MATHEMATICS,JAN 2024,1,"In order to provide urban freight vehicles with navigation routes that better align with their travel preferences, it is necessary to analyze the patterns and characteristics of their route choices. This paper focuses on freight vehicles traveling within the city and examines their route selection behavior. Through an analysis of the GPS data collected from freight truck journeys in Changchun, China, this study outlines the characteristics of freight vehicle travel within the city. Variables that may influence their route selection behavior are defined as feature factors. The study employs the DBSCAN algorithm to identify the hotspots in origin-destination pairs for freight truck travel in Changchun. It also utilizes Breadth First Search Link Elimination to generate a set of route choices and constructs route selection behavior models based on Multinomial Logit and Path Size Logit. Based on the research findings, during navigation within the city road network, these vehicles exhibit a preference for side roads, a tendency to favor right turns at intersections, and a propensity to choose routes with lower duplication compared to alternative options. The study's conclusions offer theoretical support for guiding urban freight vehicle routes and planning and managing freight traffic within the city.",urban freight vehicles,route selection,data analysis,Path Size Logit,,,,"Chen, Wenhao",,,,,,,,,,,,,,,,
Row_22,"Horstmannshoff, Thomas","Redmond, Michael",,,Identifying alternative stops for first and last-mile urban travel planning,PUBLIC TRANSPORT,JUN 2024,0,"Urban travelers today are seeking increasingly more information to plan their optimal trip, based on additional factors other than scheduled departure times. Still, some route planning applications provide a simple approach with a few parameter settings (e.g. to minimize travel time between two specific places at a certain time) and without any multimodal solutions. Our approach provides travelers with a set of non-dominated nearby stops that presents a number of traveler preferences in an easily comprehensible and quickly calculable manner. We display first and last-mile stops that fall on a Pareto front based on multiple criteria such as travel time, number of transfers, and frequency of service. Our algorithm combines stop and route-based information to quickly present the traveler with numerous nearby quality options for their itinerary decision making. We expand this algorithm to include multimodal itineraries with the incorporation of free-floating scooters to investigate the change in stop and itinerary characteristics. We then analyze the results on the star-shaped public transportation network of Gottingen, Germany, to show what advantages stops on the Pareto front have as well as demonstrate the increased effect on frequency and service lines when incorporating a broadened multimodal approach.",Route planning,Non-dominated solutions,Stop and route optimization,Multimodal,,,,,,,,,,,,,,,,,,,,
Row_23,"Palmerius, Karljohan Lundin","Uggla, Alexander","Fylkner, Gustaf","Lundberg, Jonas",End-to-end drone route planning in flexible airspace design,TRANSPORTATION RESEARCH INTERDISCIPLINARY PERSPECTIVES,SEP 2024,0,"Drone traffic, consisting of anything from small quadcopters for video and photography to large eVTOL transporting people, is expected to grow rapidly as soon as the challenges currently barring urban flights can be solved. One of the main challenges is how to automate authorization while both keeping full control over where and how drones fly over specific areas, and at the same time allowing the operators the freedom they require to successfully provide their services. While restrictions are necessary, being overly restrictive on plans has a negative impact on capacity, safety and efficiency. In this article we propose the combination of no-fly zones and flight grids into design elements for airspace design, to be used only where and when necessary. City planners can use these design elements to make both strategic decisions and real-time updates, and thereby set the rules for an automated system for planning and authorization. We describe the design elements, how to automatically find the optimal end-to-end route between or through these elements, a set of modifications or extension to improve flexibility even more, and demonstrate the efficacy of the approach through example airspace design patterns and by showing the resulting traffic in a drone traffic simulator.",Unmanned aircraft systems,Air traffic management,Route planning,Optimization,,,,,,,,,,,,,,,,,,,,
