,author1,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author2,author3,author4,author5,author6,keyword6,keyword7,keyword8,keyword9,keyword10,author7,conference,author8,author9,author10,author11,author12,author13,keyword11,keyword12,keyword13,keyword14,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37
Row_11,"Xu, Shan",Functional preference and spatial response of urban renewal entities in Beijing,HABITAT INTERNATIONAL,NOV 2024,0,"In the process of rapid urban renewal, quantitative research on functional preferences and spatial layout norms of multi-type urban renewal entities is crucial for optimizing spatial governance and promoting orderly control of urban renewal. We investigate urban renewal in Beijing from 2006 to 2021 using directional distribution, spatial autocorrelation, and hotspot analysis. The findings are as follows: (1) The functional preference of each type of entity differs. While most private companies and other profit-oriented entities concentrate on producer services and residential functions, policy-oriented entities dominate the urban regeneration of public service activities. (2) Every entity shows a significant agglomeration characteristic, yet exhibits a differentiated spatial response pattern. Those entities with stronger leasing ability prefer the central zone while others are the opposite. (3) Diverse types of entities have differentiated spatiotemporal evolutions. The spatial directional divergence of state-owned enterprises and scientific research institutes has increased between 2006 and 2021. This is mainly influenced by the policy of relieving Beijing of nonessential functions. However, the rest entities show a balanced spatial development trend with the difference in each direction becoming smaller. Furthermore, the center of gravity of profit-oriented entities has shifted from the suburbs to the central zone due to a combination of administrative and market forces, whereas the center of gravity of policy-oriented entities tends to move outward from the central zone.",Urban renewal,Entity types,Functional preference,Spatial evolution,Influencing factors,"Liu, Boya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_12,"K'oyoo, Edwin","URBAN MEMORY AND IDENTITY WEIGHED AGAINST ECONOMIC INVESTMENT IN URBAN RENEWAL PROJECTS: A CASE OF KISUMU CITY, KENYA",ACTA STRUCTILIA,2024,2,"In urban contexts, memory and place are inseparable and important for identity formation. The individual and collective memories of city residents link their identity with place identity. Special features in the landscape and urban fabric help residents differentiate between, and connect with the city's identity. The use of collective memory to identify and retain urban identity during urban renewal projects, however, receives less attention than functional and economic investment considerations. This article investigates the importance of urban landscape identity during urban renewal. It postulates that a city's individual and collective memory is important in maintaining its uniqueness in terms of urban landscape identity, but requires economic investment to maintain basic physical comfort and access. A qualitative research approach with photo-elicitation interviews (PEI) was used to investigate the features that activated the memory of the participants and that were important in contributing to the image of Kisumu City, Kenya. There were ongoing and completed urban renewal projects within Kisumu",conservation,collective memory,Global South,photo-elicitation interviews,urban renewal,"Breed, Christina",,,,,urban landscape identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_13,"Li, Mengyixin","A brownfield regeneration in urban renewal contexts visual analysis: research hotspots, trends, and global challenges",LANDSCAPE RESEARCH,AUG 17 2024,0,"Brownfield regeneration is considered a crucial aspect of urban revitalisation, offering indispensable opportunities for socially, economically, and ecologically sustainable development and land resource reuse in the framework of urban structural transformation. Nevertheless, only a limited number of studies have sought to offer a comprehensive and quantitative study of this subject matter. As a result, this study has conducted a systematic, global review of brownfield regeneration in the context of urban renewal research. By means of quantitative analysis and visual knowledge mapping based on CiteSpace and VOSViewer tools, the research explains the network of theoretical collaboration among different countries, highlights research phasing, focal points, and trends, and critically discusses the global challenges integrated with social, ecological, economic, and political sustainability goals. This study offers researchers and practitioners alike a systematic and visual analysis of the principal research themes and trends in brownfield regeneration and global urban renewal.",Brownfield regeneration,urban renewal,sustainable development,bibliometrics,visualisation,"Li, Rongting","Liu, Xinyi","Fabris, Luca Maria Francesco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_14,"Cohen, Lizabeth",An Americas story: hemispheric perspectives on postwar urban renewal,PLANNING PERSPECTIVES,FEB 2024,0,"It is commonly assumed that urban renewal in the United States following World War II was a home-grown solution applied to cities suffering from the departure of residents, retail, and capital investment as a result of suburbanization led by the White middle class. This essay argues that influences from abroad, particularly from Latin America, were also crucial to how urban renewal evolved over time from the late 1940s into the 1970s. Simultaneously, U.S.-American strategies of urban planning helped shape Latin American cities. The essay focuses on a prominent urban redeveloper of the era, Edward J. Logue, and the circle of like-minded planners with whom he interacted over his long career. As a result of their involvements in the developing world, similar modernist planning schemes and architectural structures appeared on both sides of the U.S. border, until pushback from communities during the 1960s challenged the lack of attention to local cultures and materials and to community participation in planning. Attacks on modernization theory, not least by the dependency theory popularized by Latin Americans, undermined the hegemony of universalistic modernist schemes for a time, until neoliberalism facilitated a resurgence of less regulated and restrained private interests.","Logue, Edward J",urban renewal,urban planning,New Haven,Boston,,,,,,New York State,Caracas,"Rotival, Maurice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_15,"Du, Juan",Diversified Filtering Mechanism for Evaluation Indicators of Urban Road Renewal Schemes,SUSTAINABILITY,MAY 2024,0,"As global urban infrastructure renewal progresses, the urgent need for sustainability-driven urban renewal intensifies amidst resource scarcity and environmental concerns. Effective evaluation and decision making regarding urban road renewal schemes are prerequisites for their successful implementation. However, variation in the prioritization of indicators in project evaluations and the poor adaptability of existing frameworks hinder the quick assessment of diverse projects. To address this issue, this paper proposes a scheme evaluation framework with embedded renewal project features comprising four modules. Following the initial construction of a sustainability-driven evaluation system, an indicator-filtering mechanism combining the Latent Dirichlet Allocation (LDA) model with a text similarity algorithm is developed. The Entropy Weight--TOPSIS method is then employed to derive the final optimal decision based on selected indicators. Applying the decision framework to the G15 Jialiu Widening and Reconstruction Project in Shanghai, China, indicators are reduced by 48.3%, with the optimal scheme decision consistent with the traditional Entropy Weight-TOPSIS method. The framework is robust and enhances decision efficiency, filling theoretical gaps in existing indicator-filtering mechanisms.",urban renewal,indicator filtering,diversified evaluation,text similarity,Entropy Weight-TOPSIS,"Liu, Bing","Wu, Yimeng","Li, Xiufang","Sugumaran, Vijayan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_16,"Yuan, Wenhua",How to Enhancing Urban Space Renewal Through Visual Landscape Perception? An Approach From Street View Image Recognition,SOCIAL INDICATORS RESEARCH,NOV 2024,0,"Urban space renewal is crucial for addressing urban issues but faces challenges including funding shortages, complex planning, and resource waste. To enhance its efficacy, this study introduces a new comprehensive framework to evaluate the renewal potential of urban spatial through visual landscape perception (VLP). Based on expert evaluation of panoramic street view images, it adopts entropy-weighted comprehensive evaluation, kernel density estimation, spatial correlation, and GWR methods to depict VLP at the 500-m GIS grid level. By selecting Jinan, a city with a rich history and rapid development in China, as the study area, the findings reveal: (1) Overall VLP of Jinan is low, with considerable variation across grids, indicating pronounced urban landscape imbalances from the city center to its external areas. (2) Significant spatial clustering is observed in VLP, particularly with lower values concentrated on the outskirts of the city, emphasizing the importance of prioritizing urban renewal efforts in these areas. (3) Varied factors influence urban landscape perception across grid cities, with urban intensity and ecological space proportions impacting the center, while economic factors affect the periphery. Utilizing grid-based evaluations of urban landscape perception can enhance urban spatial renewal by pinpointing challenges, prioritizing renewal areas, and crafting tailored strategies based on influential factors.",Visual landscape perception,Urban space,Street view images,Urban renewal,,"Mu, Xin","Jiao, Jinglei","Li, Datong","Li, Jianchun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_17,"Fernandez, Jose Duran",ANTIDOTES AGAINST OBSOLESCENCE: DENSIFICATION OR VOID? ATTITUDES FOR URBAN RENEWAL,EN BLANCO-REVISTA DE ARQUITECTURA,2024,0,"The constant growth of cities, since their creation have been followed by lethargy, and finally shrink until they reach decline. The 20th century has been an urban period in which many of the planet's old cities have stabilized becoming almost frozen, and then underwent a period of repair and renewal. This text will present different project attitudes towards the obsolescence of some large cities; Whether through densification or emptiness, the urban antidotes turn out to be disparate, but in all cases one strategy or another is used, or both at the same time. Caracas is a model city for young informal megalopolises or super -city, by managing to construct an aerial tramway with new equipped cable car stations distributed throughout the extensive and compact urban mass. Tokyo resorts to surgery in the form of new street openings and small parks to face a seismic disaster, and little by little build a safe city. On the hyper -dense Manhattan Island, urban operations of selective demolition and insertion of new architectures and new urban spaces have taken place. In Amsterdam, activities are intensifying with architectures close to the railway stations to benefit from their connectivity. Paris resorts to building extension. While Berlin had to fill the gaps of the war. And the ex Novo city of Chandigarh is trying to renew and connect Le Corbusier's super -blocks, while Barcelona is recovering the genius loci of the expansion projected by Ildefonso Cerd & aacute;. All these cases, due to densification or emptiness, show us successful strategies to adapt and extend the life of our cities.",Renovation of cities,urban renewal,densification,voids,urban acupuncture,"Nunez, Alvaro Hidalgo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_18,"Cordeiro, Tiago A. A.",Enhanced planning capacity in urban renewal: Addressing complex challenges using neutrosophic logic and DEMATEL,CITIES,JUL 2024,1,"Urban renewal is imperative due to growing urbanization (i.e., population migration into cities), requiring acceptable planning to meet peoples' housing needs and playing a key role in highlighting and satisfying societies' needs. Complex urban renewal decisions encompass environmental degradation, poverty, inequality, and inaccessibility to services. Decision makers must meet on -going challenges by transforming urban spaces so that they satisfy all constraints while satisfying residents' needs. A holistic view of urban renewal facilitates efficient strategies for meeting economic, social, and environmental obligations. Multicriteria methodology may ideally be used to develop a complete, transparent, and realistic model that identifies planning factors best resolving urban renewal efforts. Therefore, we rely on cognitive mapping, the decision -making trial and evaluation laboratory technique, and neutrosophic logic, applied by a panel of experts with experience in urban renewal planning in two group work meetings. The results were analyzed and validated by an independent specialist in this field. The contributions and limitations of this methodological framework were also examined.",Cognitive mapping,DEcision MAking Trial and Evaluation,Laboratory (DEMATEL),Neutrosophic logic,Urban renewal,"Ferreira, Fernando A. F.","Spahr, Ronald W.","Sunderman, Mark A.","Ferreira, Neuza C. M. Q. F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_19,"Redondo, Carolina Gonzalez","""Making a city"". Real estate developers in urban renewal processes",ECONOMIA SOCIEDAD Y TERRITORIO,JUN 2024,0,"This research investigates the participation of real estate developers in processes of urban renewal; for this purpose, it addresses the case of the Barrio Parque Donado Holmberg, promoted and created by the local government in Villa Urquiza, Buenos Aires, which implied the expulsion of vulnerable inhabitants and the generation of an area of opportunity for real estate actors. Through a qualitative approach, the strategies of the real estate developers are analysed, as well as their ways of entering the project, their land management modalities, their design and marketing strategies, and their articulation with the local government.",urban renewal,real estate developers,urban governance,Buenos Aires city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_20,"Wang, Anqi",Synergies and trade-offs in achieving sustainable targets of urban renewal: A decision-making support framework,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,JUN 2024,2,"Urban renewal in high-density cities presents a complex challenge when it comes to balancing social-environmental performance and economic benefits; improvements to the built environment and social wellbeing may be associated with substantial costs and economic loss, and particularly so where land resources are scarce and highly valued. The interplay that takes place between sustainable targets tends to be very complicated. This study proposes a decision-making support framework that can quantify the synergies and trade-offs between economic, environmental, and social targets pertaining to land use change and public open space (OS) provision in urban renewal processes. The proposed decision-making support framework operates at both neighbourhood and building levels, and is comprised of three analytical components: a redevelopment trend analysis module, a three-dimensional land use simulation module, and a sustainable performance evaluation module. One high-density and ageing district in Hong Kong, Yau Mong district, was selected as the case study area for this work. Six planning scenarios were built which reflect various priorities and principles including economic benefits, environmental benefits, the equal distribution of OS provision and enhancing the quality of OS. The findings suggest that there is a trade-off relationship between economic-environmental targets, a synergic relationship between social-environmental targets, and a mediational relationship between economic-social targets. Planning strategies such as rezoning, land use reconfigurations, plot ratio adjustment and the transfer of development rights could be triangulated as strategic approaches by which to maximising the synergies and achieve better sustainability. The study not only contributes to theory by introducing a prototype of a comprehensive decision-making framework to evaluate sustainability performance, but also provides important insights into reconciling the divergent sustainable targets inherent in urban renewal.",3D land use model,urban renewal decision-making,public open space,trade-off,synergy,"Zheng, Wei","Tan, Zheng","Han, Mingqing","Chan, Edwin H. W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_21,"Alderman, Derek H.","Mapping as Black Memory-Work: Toward a Restorative Cartography of Urban Renewal/Removal in Knoxville, Tennessee",GEOGRAPHICAL REVIEW,JUL 2024,0,"GIS students and faculty at the University of Tennessee are engaged in a long-standing and ongoing community-academic partnership with the Beck Cultural Exchange Center, a local African-American-led nonprofit heritage advocacy organization. The partnership supports the Beck's development of a ""Black restorative cartography"" that carries out the memory-work of publicly working through the wounds of racist urban development by mapping and honoring African American places and institutions destroyed or displaced by urban renewal in Knoxville from the 1950s to the 1970s. A key Beck goal is the creation of what we term a ""geo-memory overlay""-a geospatial and commemorative draping of pre-urban renewal locations on top of contemporary city maps to provoke a reckoning with the city's occluded history of Black urban place-making. The purpose of this paper is to delve-conceptually and operationally through the Knoxville partnership-into what Black restorative cartography is, how it works as a means of creating memories in communities, and what is required to realize the full transformative potential of cartography as a tool of historical justice. Geospatial scientists can play an essential role in assisting restorative Black memory-making, but this demands centering Black ways of knowing and mapping while recasting seemingly technical mapping operations as politically- and emotionally-laden recovery practices.",Black geographies,historical justice,memory-work,restorative cartography,urban renewal,"Roman-Rivera, Mayra","Camponovo, Michael","Kesler, Renee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_22,"Shen, Chen","Unveiling citizen-government interactions in urban renewal in China: Spontaneous online opinions, reginal characteristics, and government responsiveness",CITIES,MAY 2024,6,"The prevailing paradigm of traditional top-down urban renewal has been criticized for failing to consider diverse public requests and preferences. This critique has prompted a ""human-centric"" approach, emphasizing effective two-way communication within urban renewal. Despite this shift, there remains a significant gap in research on real-time public opinions generated from bottom-up participation in urban renewal, particularly with regard to governmental response to such micro-level feedback. Therefore, based on provincial-level panel data and microlevel opinions on the Leaders' Message Board, this research adopted a text mining method and regression model to evaluate unstructured user-generated data and explore the determinants of government responsiveness in urban renewal. The results reveal that there are more public opinions on urban renewal in economically developed regions than in less developed regions. This study also found that local governments can respond to most public opinions. Meanwhile, ""project progress inquiry"", ""quality problem"", and economic level have significant positive impacts on response timeliness, while ""information disclosure"" and ""livelihood issues"" have adverse effects. The findings are of great strategic and policy importance and can offer new insights into citizen engagement and collaborative governance in urban planning.",Urban renewal,Public opinions,Online participation,Government responsiveness,,"Wang, Yang","Xu, Yan","Li, Xiangyu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
