,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author5,author6,journal/book,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author7,author8,keyword13,keyword14,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49
Row_348,"Pakdehi, Maryam","Ahmadisharaf, Ebrahim","Nazari, Behzad","Cho, Eunsaem",Transferability of machine-learning-based modeling frameworks across flood events for hindcasting maximum river water depths in coastal watersheds,,OCT 17 2024,0,"Despite applications of machine learning (ML) models for predicting floods, their transferability for out-of-sample data has not been explored. This paper developed an ML-based model for hindcasting maximum river water depths during major events in coastal watersheds and evaluated its transferability across other events (out-of-sample). The model considered the spatial distribution of influential factors that explain the underlying physical processes to hindcast maximum river water depths. Our model evaluations in a six-digit hydrologic unity code (HUC6) watershed in the northeastern USA showed that the model satisfactorily hindcasted maximum water depths at 116 stream gauges during a major flood event, Hurricane Ida (R2 of 0.94). The pre-trained, validated model was successfully transferred to three other major flood events, hurricanes Isaias, Sandy, and Irene (R2>0.70). Our results showed that ML-based models can be transferable for hindcasting maximum river water depths across events when informed by the spatial distribution of pertinent features, their interactions, and underlying physical processes in coastal watersheds.",,,,,,,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_349,"Martinez Ochoa, Hugo","Krstikj, Aleksandra","Quintana Noriega, Maria Carolina","Giorgi, Emanuele","Street Sexual Harassment, Public Space, and Cartography: Riberas del Bravo, Ciudad Juarez, Mexico",,JUL 2024,0,"The present study explores street sexual harassment in the Riberas del Bravo case, Ciudad Juarez, Mexico. Riberas del Bravo is one of the areas with the highest incidence of sexual violence in the Chihuahua State. We worked with seven women who live in the area and travel alone to different places of work, school and recreation. Core densities were used as a cartographic tool to identify the spaces represented by the participants as dangerous and of incidence of sexual street harassment, as well as existing equipment. Based on this, and the construction of theoretical categories of urban sociology, gender studies and territorial perspective, we found that spaces close to the home, semi-walled vacant lots, and convenience stores have the highest incidence of events such as sexual comments and persecution. The frequency ranges from often to very often, with Thursdays and weekends at night being times of higher incidence. The main reaction of the victims is to walk quickly and avoid confrontation. Therefore, harassment reconfigures women's public spatial interaction and generates segregation in scales of differentiation of spatial use.",street sexual harassment,Cartographic patterns,public space,street sexual harassment,,,REVISTA INVI,Ciudad Juarez (Mexico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_350,"Chen, Zixuan","Zhao, Shengjie","Zeng, Jin","Dong, Shilong",CASTNet: Convolution Augmented Graph Sampling Transformer Network for Traffic Flow Forecasting,"PROCEEDINGS OF THE 2024 27 TH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN, CSCWD 2024",2024,0,"Accurate and efficient traffic flow forecasting plays an essential role in urban management which is conductive to traffic safety and travel experience. Despite the tremendous progress of attention-based traffic flow forecasting methods, complicated spatial and temporal correlations of traffic data pose difficulty for the network in simultaneously capturing the long-range contexts and the local feature details, leading to limited performance. To this end, we propose Convolution Augmented Graph Sampling Transformer Network (CASTNet) for accurate traffic flow prediction. Specifically, we design a hybrid graph transformer module to utilize the graph convolutions to perceive local structural details, which are incorporated into the transformer to augment the attention computation for more accurate global dependency modeling. Moreover, we develop a sampling-based attention layer based on the approximated sampling strategy to further optimize the graph structure, which is implemented with linear complexity. Finally, the spatial features from the graph transformer module are fused with the temporal features from the sample convolution and interaction network. Experimental results on three real-world traffic flow datasets demonstrate the superiority of the proposed CASTNet over existing schemes.",Traffic prediction,graph convolution network,graph transformer,spatio-temporal networks,"Zu, Geyunqian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_351,"Han, Dongliang","Shi, Luyang","Wang, Mingqi","Zhang, Tiantian","Variation pattern, influential factors, and prediction models of PM2.5 concentrations in typical urban functional zones of northeast China",,DEC 1 2024,1,"This study investigated the spatial and temporal variations of PM2.5 concentrations in Harbin, China, under the influence of meteorological parameters and gaseous pollutants. The complex relationship between meteorological parameters and pollutants was explored using Pearson correlation analysis and interaction effect analysis. Using the correlation analysis and interaction analysis methods, four mechanical learning models, PCC-Is-CNN, PCC-Is-LSTM, PCC-Is-CNN-LSTM and PCC-Is-BP neural network, were developed for predicting PM2.5 concentration in different time scales by combining the long-term and short-term data with the basic mechanical learning models. The results show that the PCC-Is-CNN-LSTM model has superior prediction performance, especially when integrating short-term and long-term historical data. Meanwhile, applying the model to cities in other climatic zones, the results show that the model performs well in the Dwa climatic zone, while the prediction performance is lower in the CWa climatic zone. This suggests that although the model is well adapted in regions with a similar climate to Harbin, model performance may be limited in areas with complex climatic conditions and diverse pollutant sources. This study emphasizes the importance of considering meteorological and pollutant interactions to improve the accuracy of PM2.5 predictions, providing valuable insights into air quality management in cold regions.",MET parameters,Interaction effect,Deep learning,Prediction,"Zhang, Xuedan","Li, Baochang",SCIENCE OF THE TOTAL ENVIRONMENT,PM2.5,,,,,,,,"Li, Jing","Tan, Yufei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_352,"Rahmouni, Noussayba","Saizen, Izuru",,,Spatial planning in post-colonial Morocco: an institutional design for decolonization,,NOV 1 2024,0,"In recent times, the decolonization of planning systems has garnered significant scholarly attention encouraging the consideration of more diverse contexts. This study uses a historical institutionalist approach to reconstitute the history of planning institutions in the context of Morocco as a former French colony and builds an institutional understanding of the current framing of its practices. It then uses an institutional design approach to propose potential trajectories for the gradual decolonization of its systems. This paper discusses the Moroccan planning tradition as a dual-level approach: formal planning conducted by planning professionals and informal urban governance implemented by the state. Thereby, the study suggests that a potential way towards the decolonization of the practice is to create a trajectory where planning professionals are encouraged to cultivate a more systematic interaction with informality.",Decolonization,historical institutionalism,institutional design,planning governance,,,PLANNING PERSPECTIVES,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_353,"Tang, Vicente","Painho, Marco",,,Patterns of (dis)agreement: revealing differences in perceived neighborhood boundaries in Lisbon,27TH AGILE CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE GEOGRAPHIC INFORMATION SCIENCE FOR A SUSTAINABLE FUTURE,2024,0,"The city of Lisbon is home to several traditional neighborhoods that depict the capital's history but face challenges arising from tourism and new population dynamics. Lacking administrative jurisdictions, their boundaries are perceived and defined differently among residents. By employing a participatory approach, we collect and analyzed residents' spatial perceptions of three symbolic neighborhoods - Alfama, Mouraria and Bairro Alto. Findings unveil different patterns of disagreement among participants, shedding light on potential mechanisms and factors that might influence their interactions with, and consequently, their perceptions of boundaries. Age, length of residence and residence proximity were the factors that caused the most distinguishable patterns between participant groups. This preliminary study seeks to contribute to both the broader research on neighborhood mapping and the understanding of residents' geographies that can ultimately guide local policy-making.",neighborhood,perceived boundaries,participatory mapping,urban geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_354,"Jing, Peiyu","Seshadri, Ravi","Sakai, Takanori","Shamshiripour, Ali",Evaluating congestion pricing schemes using agent-based passenger and freight microsimulation,,AUG 2024,0,"The distributional impacts of congestion pricing have been widely discussed in the literature and the evidence on this is mixed. Some studies find that pricing is regressive whereas others suggest that it can be progressive or neutral depending on the specific spatial characteristics of the urban region, existing activity and travel patterns, and the design of the pricing scheme. Moreover, the welfare and distributional impacts of pricing have largely been studied in the context of passenger travel whereas freight has received relatively less attention. In this paper, we examine the impacts of several congestion pricing schemes on both passenger transport and freight in an integrated manner using a large-scale microsimulator (SimMobility) that explicitly simulates the behavioral decisions of the entire population of individuals and business establishments, dynamic multimodal network performance, and their interactions. Through simulations of a prototypical North American city, we find that a distance-based pricing scheme yields larger welfare gains than an area-based scheme, although the gains are a modest fraction of toll revenues (around 30%). In the absence of revenue recycling or redistribution, distancebased and cordon-based schemes are found to be particularly regressive. On average, lower income individuals lose as a result of the scheme, whereas higher income individuals gain. A similar trend is observed in the context of shippers - small establishments having lower shipment values lose on average whereas larger establishments with higher shipment values gain. We perform a detailed spatial analysis of distributional outcomes, and examine the impacts on network performance, activity generation, mode and departure time choices, and logistics operations.",Congestion pricing,Urban freight,Demand management,Traffic management,"Alho, Andre Romano","Lentzakis, Antonios",TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,Simulation,Equity,,,,,,,"Ben-Akiva, Moshe E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_355,"Glachant, Clara","Behrendt, Frauke",,,Negotiating the bicycle path: A study of moped user stereotypes and behaviours in the Netherlands,,NOV 2024,0,"Scholars and policymakers increasingly are presenting the moped as part of a transition to more sustainable modes. However, the question remains as to where moped users should ride-as they often compete for space with other sustainable modes such as cycling or walking. This study focuses on the Netherlands, known as a cycling paradise, where mopeds share the cycling infrastructure. This has sparked controversies about spatial conflicts between moped users and cyclists, especially since the emergence of e-moped rental systems in 2017. Drawing on mobility studies and social identity theory, this paper explores the stereotypes of moped users and their behaviours to understand the spatial complexities of a shift towards more micromobility in the Netherlands. By analysing interviews with moped users and how users are discussed in the press, the paper empirically maps stereotypes of the users of different mopeds i.e. (1) fuel-based and privately owned, (2) electric and privately owned, and (3) electric and rental, and their behaviour on the bicycle path. Our study shows how debates tend to focus on the behaviours of moped users and their interactions with cyclists on shared bicycle paths while the spatial domination of automobility remains unchallenged. This paper contributes to transport behaviour research on spatial conflicts and identities in the context of the rise of micromobility - a key pillar of transitions to more sustainable mobility, alongside other changes such as fleet electrification, reduction of car use, and increased public transport uptake. Micromobilities entail what was traditionally understood as active mobility or non-motorised transport, such as cycling, but also what is now often discussed under the umbrella of MaaS or (light) electric vehicles, such as motorised two-wheelers, and also 'hybrids' such as e-bikes, fatbikes or cargo bikes. This paper exemplifies how identities, stereotypes and behaviours are relevant for understanding interactions around these modes and debates, in the quest towards low-car urban transitions.",Travel behaviour,Mopeds,Social identity,Mobility transition,,,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,Bicycle path,Micromobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_356,"He, Qinggang","Cai, Haisheng","Chen, Liting",,Concept and Method of Land Use Conflict Identification and Territorial Spatial Zoning Control,,DEC 2024,0,"With the intensification of socioeconomic activities and climate change, land use conflicts are becoming more and more serious, posing major obstacles to the sustainable use of territorial space. This study conducted research on land use conflict and zoning control with a view to contributing new ideas for the prevention and resolution of land use risks. By analyzing the positioning and drawing upon fundamental theories, a novel research paradigm was proposed. An empirical study was conducted in the Gan River Basin in Jiangxi Province by applying the comprehensive evaluation method and geographical detector, and the basin was divided into six types of zones according to the intensity of land use conflict and the hierarchy of ecosystem service values. The results of the empirical study showed that the areas of intense conflict, low conflict and weak conflict accounted for 1.57%, 29.16% and 69.26% of the basin area, respectively. Of the intense conflict areas, 4.42% of the areas in the lower Gan River Basin were in intense conflict, while only 0.37% of the right bank of the middle reaches was in intense conflict. The driving factor analysis showed that precipitation, the population density and policy planning had a greater influence on land use conflict and that land use conflict was more likely to occur with the interaction of precipitation and the nighttime light index, population density and NDVI. The superimposed image analysis revealed that the land use conflict was intense at the junctions of urban areas and cropland and at the junctions of cropland and forests in the middle and upper reaches of the basin, which were mainly caused by the demand for urban expansion and the spread of agricultural production areas. The results of this empirical study are in agreement with the actual situation in the Gan River Basin, proving that the research paradigm proposed in this study is scientific and applicable. Moreover, we emphasize that this paradigm can be adapted in its application according to different research objects and continuously improved in response to the evolution of the territorial spatial management system. This study is of positive significance for the implementation of territorial spatial planning and provides a scientific basis for the further enhancement of the system of territorial spatial governance.",land use conflict,territorial spatial zoning,control strategy,Gan River Basin,,,SUSTAINABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_357,"de Abreu, Marlon Altavini","Shimbo, Lucia Zanin",,,FROM PRODUCTION TO SECURITIZATION: the scalar articulation between the housing market and financial income,,2024,0,"The paper examines the interactions between the private housing market and the leverage dynamics and indebtedness of large publicly traded developers between the years 2011 and 2023 in Brazil, in which real estate incomes are articulated with the capitalization of financial incomes. The importance of this articulation is highlighted to understand the relationships between local and national scales in the real estate sector, as well as the impacts of financial investment flows in different locations of the urban network. The focus is on the spatial strategies of MRV&Co, the largest Brazilian company in the residential segment, in adopting real estate securitization to finance its developments. The work is structured around the securitization issuances originated by the company between the years analyzed. Each of these securities was meticulously evaluated with the intention of measuring information related to the negotiable amounts and the types of developments that originated the operations. It is concluded by emphasizing the relevance of analyzing the company's securitization issuances to understand the interactions between local and national scales in the real estate sector.",financialization,securitization,real estate receivables certificates,housing production,,,GEO UERJ,MRV&Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_358,"Wang, Huimeng","Jing, Hongji","Sun, Yong","Xing, Huaqiao",Exploring the spatial-temporal evolution characteristics of extreme heat events and driving factors in seven geographic regions of China (1980-2021),,JUL 2024,1,"Extreme heat events in China are occurring more frequently due to global warming. However, there is a lack of comprehensive studies analyzing the movement direction and factor interaction of extreme heat events in different regions of China. Based on daily temperature data from 2252 meteorological stations in China from 1980 to 2021, three extreme heat indicators were calculated: Hot days (SU35), Tropical nights (TR20), and Extreme maximum temperature (TXx). The study updated and compared the characteristics of spatiotemporal evolution and driving factors of extreme heat events in China and its seven geographical regions. The results show that: (1) SU35 and TR20 increase faster in summer, while TXx increases faster in winter. Nighttime high -temperature events have increased at a faster rate. (2) Extreme heat events in North, Northeast, and Northwest China have gradually moved southward and eastward, while in Central, East, and South China, such events have moved northward. (3) In northeast and northwest China, the Atlantic Multi-decadal Oscillation (AMO) is a strong driving force for extreme heat events, while urbanization is the most potent driving force in the remaining regions. The interaction between urbanization and atmospheric circulation, including AMO, Pacific Decadal Oscillation (PDO), and East Atlantic/West Russia (EA/WR), is non-linear or double factor enhancement and exhibits significant spatial heterogeneity. These results will be significant for urban adaptation to climate change and sustainable development.",Extreme heat events,Spatiotemporal statistics,Evolutionary trajectory,Geographical differences,"Liu, Jiantao","Liu, Yaohui",URBAN CLIMATE,Driving factors,,,,,,,,"Yang, Chuanwen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_359,"Million, Angela","Schamun, Katrin","Fegter, Susann",,Understanding Well-Being Through Children's Eyes: Lessons for Shaping the Built Environment,,2024,0,"The role of socio-spatial contexts in promoting children's well-being in urban planning and design is gaining attention. Nevertheless, the discourse on children's well-being has primarily been shaped by adults, often overlooking the unique needs and perspectives of younger populations. This interdisciplinary study located in Berlin, Germany, conducted by educational scientists, planners, and architects, challenges this by directly engaging with children through game-based data collection combined with ethnographic research to explore their well-being needs. From children's centers and schools to digital worlds, neighborhoods, and interactions with crime, children clearly articulate where, how, when, and with whom they create moments of well-being. The findings highlight the importance of children's centers as well-being hubs, offering insights into how well-being can be nurtured through both physical design and programmatic offerings tailored to children's needs. A key insight is the role of religious places and family practices, alongside micro-spaces and translocal references provided by neighborhood spaces, in shaping children's sense of identity and well-being. Additionally, the importance of having access to digital spaces is emphasized by the children. The study contributes to the discourse on child-friendly cities by advocating for multi-scalar planning and design approaches. The research calls for urban planners and designers to integrate children's perspectives to design spaces that accommodate the full spectrum of children's well-being needs, including micro-scale interventions and flexible, child-responsive interior designs.",architecture,built environment,child-friendly city,children's center,,,URBAN PLANNING,digital mediatization,micro-spaces,multi-scalar,translocal,urban design,well-being,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_360,"Shi, Leilei","Gao, Chen","Wang, Tuo","Liu, Lixiang",Information extraction of seasonal dissolved oxygen in urban water bodies based on machine learning using sentinel-2 imagery: An open access application in Baiyangdian Lake,,SEP 2024,1,"Water bodies are crucial components of urban ecology. The development of rapid and timely water-quality assessment tools using easily measured variables is essential for the health management of urban water bodies. In this study, we focused on the dissolved oxygen (DO) of Baiyangdian Lake using 251 sets of empirically measured water quality data and corresponding Sentinel-2 satellite images. Nine machine learning algorithms were then used to develop a rapid detection algorithm for the spatial distribution of the DO concentration in Baiyangdian Lake. This study successfully applied these methods to invert the DO concentration in Baiyangdian Lake during spring, summer, and autumn. The results indicated that extra tree regression (ETR) provided the most accurate and stable results for inverting the DO concentration among the nine machine learning methods. In contrast, AdaBoost regression (ABR), Bayesian ridge regression (BRR), and support vector machines (SVM) exhibit relatively poor regression performance and lack sensitivity to DO concentrations. Moreover, the DO concentration in Baiyangdian Lake ranged from approximately 0 to 12 mg/L, with notable spatiotemporal variations. The highest overall DO concentration was observed in the spring, particularly in the southern region. The DO concentration significantly decreased during summer compared to that in spring, with higher values in the southwestern area and lower values in the northern region. The DO concentration reached its lowest value in autumn, with slightly higher values in the southern region. This study focused on the estimation and inversion of DO concentrations in the water bodies of Baiyangdian Lake. By introducing and comparing the performances of commonly used machine learning models, a rapid estimation of the DO concentration was achieved, thereby overcoming the limitations of traditional water quality monitoring methods in DO inversion. It not only intuitively explained the temporal and spatial variation patterns of DO concentration but also laid a foundation for further in-depth exploration of the interactions between DO and other water quality parameters.",Dissolved oxygen (DO),Sentinel-2 MSI,Machine learning,Water quality monitoring,"Wu, Yue","You, Xiaogang",ECOLOGICAL INFORMATICS,Baiyangdian Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_361,"Gao, Heyao","Jia, Hongfei","Huang, Qiuyang","Wu, Ruiyi",A hybrid deep learning model for urban expressway lane-level mixed traffic flow prediction,,JUL 2024,1,"Precise real -time traffic flow prediction is crucial for route guidance and traffic fine control. With the development of autonomous driving, the mixed traffic flow state composed of Connected Automated Vehicles (CAVs) and Human-driven Vehicles (HVs) provides new insight into traffic flow prediction. In this paper, we innovatively consider the interaction between heterogeneous traffic flow as well as the mutual effect of traffic flow on different lanes and develop a hybrid model based on deep learning for urban expressway lane-level mixed traffic flow prediction, including three modules. First, the feature selection module is applied to screen the features with a high spatio-temporal correlation to the prediction object and construct the input matrix. Then, it is input to the feature attention module to quantify the importance of the input features on the prediction object, thereby assigning attention weights. Finally, the spatio-temporal information fusion module is adopted to capture the global spatio-temporal dynamics of traffic flow at horizontal and vertical spatial scales, as well as learn the complex coupling characteristics of heterogeneous traffic flow, thus obtaining predictions. An urban expressway mixed traffic flow simulation environment is built to collect experimental datasets for prediction accuracy evaluation. The results indicate that the proposed model outperforms the benchmarks in single-step and multistep mixed traffic flow predictions on each lane. Furthermore, the proposed model shows the best performance and strong robustness under different penetration rates of connected automated vehicles.",Traffic flow prediction,Autonomous vehicle,Temporal convolutional network,Mixed traffic flow,"Tian, Jingjing","Wang, Guanfeng",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,,,,,,,,,"Liu, Chao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_362,"Cheng, Geng Kun","Zhai, Yu",,,Analysis of Spatial Interaction Model of Quanzhou Aged Community Based on Evidence-Based Design Theory,"HCI INTERNATIONAL 2024 POSTERS, PT II, HCII 2024",2024,0,"With the acceleration of population aging, China faces significant challenges inmeeting the complex needs of its elderly populationwithin urban communities. This study focuses on the aging population in Quanzhou, Fujian Province, aiming to enhance their sense of belonging and security within their communities and transform traditional neighborhoods into elderly-friendly environments. Drawing on evidence-based design theory and the Kano model, this research identifies key attributes driving elderly satisfaction with community environments. Using the evidence-based design framework, the study examines elderly groups, social organizations, and service facilities as subjects, with the elderly and related groups serving as receptors. The Kano model categorizes elderly needs into basic and expected categories, with factors such as pressure alleviation, empowerment, and positive experiences shaping the evidence-based elements like activity spaces, facilities, and green spaces. Satisfaction evaluation, informed by Kano model insights, aims to enhance the quality of elderly community life. Data collection through questionnaires and interviews provides insights into the demographic, health, and economic profiles of the aging community. This data, categorized through evidence-based design and Kano model analysis, informs tailored interventions at various levels of community needs. By leveraging evidence-based analysis, this study offers scientifically informed design standards and strategies for aging communities, contributing to their objective development and transformation. Ultimately, this research aims to chart a path for the future development of aging communities, offering a data-driven direction for their evolution and improvement.",aging community,gender composition,evidence-based subject,spatial interaction model,,,,sense of control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_363,"Cui, Can","Zhang, Yu",,,Integration of Shared Micromobility into Public Transit: A Systematic Literature Review with Grey Literature,,MAY 2024,3,"Shared micromobility services have become increasingly prevalent and indispensable as a means of transportation across diverse geographical regions. Integrating shared micromobility with public transit offers opportunities to complement fixed-route transit networks and address first- and last-mile issues. To explore this topic, a systematic literature review was conducted to consolidate knowledge, analyze research achievements and best practices, and provide future research recommendations. This study examined 108 journal papers from the Web of Science (WoS) core collection from 2016 to 2022, along with grey literature. Citation and co-citation analyses were performed to build and illustrate the literature's bibliometric networks. This analysis categorized the literature into four major study themes: policy, sustainability, the interaction between shared micromobility and public transportation, and infrastructure. The implementation approaches of integrating shared micromobility and public transportation in different cities were classified into four categories: physical integration, payment and fee integration, informational integration, and institutional integration. The findings indicate that the relationship between shared micromobility and public transportation varies with spatial-temporal conditions and the population density of the city. Overall, integrating micromobility into public transit can offer faster and more cost-effective mobility options for most trips, contributing to urban resilience, a better air quality, lower greenhouse gas emissions, and livable communities. Based on these insights, further research is recommended to explore dynamic and context-specific strategies for successful shared micromobility and public transit integration, considering diverse urban settings and demographic factors.",public transportation,shared mobility,citation analysis,co-citation analysis,,,SUSTAINABILITY,urban mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_364,"Liang, Lifeng","Song, Yuexiang","Shao, Zhenfeng","Zheng, Chenyuan",Exploring the causal relationships and pathways between ecological environmental quality and influencing Factors: A comprehensive analysis,,AUG 2024,2,"The ecological environment is closely related to natural conditions, climate change, and human activities. However, existing research predominantly concentrates on evaluating the direct impacts of various factors on the ecological environment, yet lacks an in-depth exploration of their causal relationships and pathways. This paper introduces a new perspective to research in this field by incorporating spatial cross-sectional data analysis methods. The study utilized the 2020 China 's High-resolution Eco-Environmental Quality (CHEQ) dataset to evaluate the spatial differentiation characteristics of Ecological Environmental Quality (EEQ) within the western urban agglomeration of Guangdong Province. A framework of ""terrain-urbanization-climate "" influencing factors was constructed, and the Geographical convergent cross mapping (GCCM) method was employed to infer the causal relationship between EEQ and influencing factors. Additionally, the spatial distribution characteristics of influencing factors on ecological environment quality were studied using the Multiscale Geographically Weighted Regression Model (MGWR). The results indicate that seven influencing factors including Elevation, Population, Precipitation, TEMP, TMMX, TMMN, and Slope have clear causal relationships with EEQ and exhibit bidirectional coupling relationships. There exist complex causal relationships among influencing factors, revealing the interaction mechanisms and causal pathways among multiple factors in the ecological environment system. These analyses enrich our understanding of the intricate and complex relationships between the ecological environment and influencing factors, providing a valuable reference for ecological protection and sustainable development.",Ecological Environment Quality,Influencing factors,Causal inference,Geographical Convergent Cross Mapping,"Liu, Xiujuan","Li, Yan",ECOLOGICAL INDICATORS,Causal pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_365,"Lv, Jing","Yang, Haozhong","Zhang, Xiaozhen","Wang, Yuxin",Spatial and Temporal Distribution Characteristics and Genealogical Framework of Shaanxi's Industrial Heritage,,AUG 2024,0,"A large amount of industrial heritage has been preserved owing to the wide recognition of its value as part of urban renewal and rural revitalization. Shaanxi's industrial heritage is unique because of its rich historical resources. However, research on Shaanxi's industrial heritage has been of point and piecemeal form rather than systematic. In this study, through the collection of historical data and study of the academic literature, we analyzed 385 industrial heritage sites in Shaanxi in time and space from 1840 to 1978 using a geographic information system (GIS) to reveal their evolution patterns. We comprehensively examined the influence of factors such as natural resources, traditional ancient industry inheritance, transportation conditions, and historical policies, and found that the distribution of industrial heritage in Shaanxi resulted from the interaction of these factors. We have constructed the first ever level categorized and quantified multilevel industrial heritage atlas of Shaanxi in the form of a Sankey diagram using GIS spatial maps, which provides a traceable historical record for each industrial heritage site. We not only reveal the spatial evolution law of industrial heritage in Shaanxi but also provide an overall view of the practice of industrial heritage protection and renewal, thus helping avoid the homogenization of future design. Our findings are also of academic and practical significance for the study and protection of industrial heritage.",genealogical framework,industrial heritage,influencing factors,spatio-temporal distribution,"Zhang, Hua","Zhao, Yifan",BUILDINGS,Shaanxi,traditional ancient industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_366,"Pelzer, Julia","Schulte, Miriam",,,Efficient two-stage modeling of heat plume interactions of geothermal heat pumps in shallow aquifers using convolutional neural networks,,JUN 2024,0,"This paper presents an innovative approach to model the impact of geothermal heat pumps on groundwater temperature and the interaction of multiple heat plumes within the aquifer. The significance of this research lies in its applicability to real-time urban planning through a web application, where traditional simulation methods prove too time-consuming. Our methodology involves a two -stage neural network approach, leveraging convolutional neural networks (CNNs), trained on a simulated dataset constructed with realistic subsurface flow parameters extracted from borehole measurements in the Munich region. The research process is systematically structured into stages: the first stage rapidly predicts the general shape of a single heat pump's plume in the absence of other influences. Building upon this, the second stage refines predictions by incorporating the interactions with neighboring heat plumes. Both stages employ CNNs, allowing for efficient training and evaluation. Experiments are conducted on dataset sizes of 100 and 1000 data points and on input parameters, focusing on a reduced dataset with data points of a spatial size of 256x16 pixels. The dataset is split into 70% training, 20% validation and 10% test data. Our results showcase the effectiveness of our approach, achieving a Root Mean Square Error (RMSE) of approximately 0.1 degrees C in both stages. This level of accuracy demonstrates the viability of our two -stage model in capturing the complex dynamics of GHWP interactions in shallow aquifers. The proposed methodology not only outperforms known analytical approximations but also significantly reduces computational costs of simulations, making it a promising tool for practical applications in city planning and beyond.",Heat flow,Ground water,Geothermal energy,Heat pump,,,GEOENERGY SCIENCE AND ENGINEERING,Convolutional neural network,Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_367,"Zhong, Zhen","Fang, Xuening","Li, Jingwei","Ma, Qun","Linear and non-linear dynamics of ecosystem services supply, demand, and mismatches across a rapidly urbanizing region",,JAN 2024,2,"Achieving the sustainability of coupled human -nature systems requires matching the ecosystem services (ES) provided by nature to the needs of society. However, most of the current studies on ES supply-demand relationships focus on spatial mismatches and rarely consider their temporal dynamics. In this study, the year-byyear dynamics (2001-2020) of 12 ESs at multiple spatial scales were investigated by using space-time interaction (STI) analysis, fuzzy C-mean clustering, and emerging hotspot analysis. We found that (1) three forms of temporal dynamics of ES indicators can be identified, including linear dynamics, fluctuating dynamics, and regime shift dynamics. (2) Temporal dynamic patterns of the same ES were not consistent across all counties, showing great spatial heterogeneity. The temporal dynamics of each ES type at each county were spatially explicitly clustered into linear dynamics, fluctuating dynamics, and regime shift dynamics with different means. (3) The ES supply-demand relationships can shift between supply-demand balance, excess supply, and excess demand when the temporal dynamics of ES supply do not match with that of ES demand. Our results suggest that temporal dynamic analysis in ecological restoration effectiveness assessment can help to avoid erroneous results compared to considering only pre- and post-policy ES changes. The identified emerging hotspots of excess supply and excess demand can help decision-makers more accurately identify priority locations for management.",Ecosystem services,Temporal dynamics,Supply -demand,Urban sustainability,"Zhou, Rui","Hu, Yina",ECOLOGICAL INDICATORS,Landscape sustainability,Yangtze River Delta,,,,,,,"Du, Shiqiang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
