,author1,author2,author3,author4,author5,author6,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,conference,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,author7,author8,keyword12,keyword13,keyword14,author9,author10,author11,author12
Row_1561,"Zhang, Xiuwei","Jin, Jiaojiao","Lan, Zeze","Li, Chunjiang","Fan, Minhao","Wang, Yafei",ICENET: A Semantic Segmentation Deep Network for River Ice by Fusing Positional and Channel-Wise Attentive Features,REMOTE SENSING,JAN 2020,41,"River ice monitoring is of great significance for river management, ship navigation and ice hazard forecasting in cold-regions. Accurate ice segmentation is one most important pieces of technology in ice monitoring research. It can provide the prerequisite information for the calculation of ice cover density, drift ice speed, ice cover distribution, change detection and so on. Unmanned aerial vehicle (UAV) aerial photography has the advantages of higher spatial and temporal resolution. As UAV technology has become more popular and cheaper, it has been widely used in ice monitoring. So, we focused on river ice segmentation based on UAV remote sensing images. In this study, the NWPU_YRCC dataset was built for river ice segmentation, in which all images were captured by different UAVs in the region of the Yellow River, the most difficult river to manage in the world. To the best of our knowledge, this is the first public UAV image dataset for river ice segmentation. Meanwhile, a semantic segmentation deep convolution neural network by fusing positional and channel-wise attentive features is proposed for river ice semantic segmentation, named ICENET. Experiments demonstrated that the proposed ICENET outperforms the state-of-the-art methods, achieving a superior result on the NWPU_YRCC dataset.",river ice,position attention,channel-wise attention,deep convolutional neural network,,semantic segmentation,,,,,,,"Yu, Xin","Zhang, Yanning",,,,,,,
Row_1562,"Alexakis, E. Bousias","Armenakis, C.",,,,,IMPROVING CNN-BASED BUILDING SEMANTIC SEGMENTATION USING OBJECT BOUNDARIES,,2022,0,"Semantic segmentation is an active area of research with a wide range of applications including autonomous driving, digital mapping, urban monitoring, land use analysis and disaster management. For the past few years approaches based on Convolutional Neural Networks, especially end-to-end approaches based on architectures like the Fully Convolutional Networks (FCN) and UNet, have made great progress and are considered the current state-of-the-art. Nevertheless, there is still room for improvement as CNN-based supervised-learning models require a very large amount of labelled data in order to generalize effectively to new data and the segmentation results often lack detail, mostly in areas near the boundaries between objects. In this work we leverage the semantic information provided by the objects' boundaries to improve the quality and detail of an encoder-decoder model's semantic segmentation output. We use a UNet-based model with ResNet as an encoder for our backbone architecture in which we incorporate a decoupling module that separates the boundaries from the main body of the objects and thus learns explicit representations for both body and edges of each object. We evaluate our proposed approach on the Inria Aerial Image Labelling dataset and compare the results to a more traditional Unet-based architecture. We show that the proposed approach marginally outperforms the baseline on the mean precision, F1-score and IoU metrics by 1.1 to 1.6%. Finally, we examine certain cases of misclassification in the ground truth data and discuss how the trained models perform in such cases.",Building Extraction,CNN,Building Boundaries,Semantic Segmentation,"XXIV ISPRS CONGRESS: IMAGING TODAY, FORESEEING TOMORROW, COMMISSION III",Decoupled Body and Edge Segmentation,,,,,,,,,,,,,,,
Row_1563,"Li, Qiusheng","Yuan, Hang","Fu, Tianning","Yu, Zhibin","Zheng, Bing","Chen, Shuguo",Multispectral Semantic Segmentation for UAVs: A Benchmark Dataset and Baseline,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,0,"Solidago canadensis L. is a typical invasive plant that has become a significant threat worldwide and profoundly impacts local ecosystems. An unmanned aerial vehicle (UAV)-based semantic segmentation (SS) system can help in monitoring the spread and location of Solidago canadensis L. To identify the growth range of this species with greater efficiency, we employ a high-speed multispectral camera, which provides richer color information and features with limited resolution, in conjunction with a high-quality RGB camera to construct a segmentation dataset. We construct a validated UAV multispectral (UAVM) dataset comprising 3260 pairs of calibrated RGB and multispectral images. All the images in the dataset underwent semantic annotation at a fine-grained pixel level, with 12 categories being covered. In addition, other plant categories can be employed in precision agriculture and ecological conservation. Moreover, we propose a benchmark model, UAVM semantic segmentation network (UAVMNet). With the aid of the feature alignment module and the UAVMFuse module, UAVMNet efficiently integrates multispectral and high-quality RGB image information, enhancing its ability to perform semantic segmentation tasks effectively. To the best of our knowledge, this is the first model to colearn semantic representations via high-quality RGB and paired multispectral information on a UAV platform. We conduct comprehensive experiments on the proposed UAVM dataset.",Semantic segmentation,Autonomous aerial vehicles,Semantics,Vegetation mapping,,Oceans,Cameras,Monitoring,Multispectral images,semantic segmentation (SS),Solidago canadensis L.,UAV multispectral (UAVM) dataset,,,UAVM semantic segmentation network (UAVMNet),unmanned aerial vehicle (UAV),,,,,
Row_1564,"Bo, Weihao","Liu, Jie","Fan, Xijian","Tjahjadi, Tardi","Ye, Qiaolin","Fu, Liyong",BASNet: Burned Area Segmentation Network for Real-Time Detection of Damage Maps in Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,34,"Since remote sensing images of post-fire vegetation are characterized by high resolution, multiple interferences, and high similarities between the background and the target area, it is difficult for existing methods to detect and segment the burned area in these images with sufficient speed and accuracy. In this article, we apply salient object detection (SOD) to burned area segmentation (BAS), the first time this has been done, and propose an efficient burned area segmentation network (BASNet) to improve the performance of unmanned aerial vehicle (UAV) high-resolution image segmentation. BASNet comprises positioning module and refinement module. The positioning module efficiently extracts high-level semantic features and general contextual information via global average pooling layer and convolutional block (CB) to determine the coarse location of the salient region. The refinement module adopts the CB attention module to effectively discriminate the spatial location of objects. In addition, to effectively combine edge information with spatial location information in the lower layer of the network and the high-level semantic information in the deeper layer, we design the residual fusion module to perform feature fusion by level to obtain the prediction results of the network. Extensive experiments on two UAV datasets collected from Chongli in China and Andong in South Korea, demonstrate that our proposed BASNet significantly outperforms the state-of-the-art SOD methods quantitatively and qualitatively. BASNet also achieves a promising prediction speed for processing high-resolution UAV images, thus providing wide-ranging applicability in post-disaster monitoring and management.",Image segmentation,Semantics,Vegetation mapping,Optical imaging,,Feature extraction,Autonomous aerial vehicles,Satellites,Burned area segmentation (BAS),convolutional neural network (CNN),forest fire monitoring,salient object detection (SOD),,,,,,,,,
Row_1565,"Lian, Renbao","Huang, Liqin",,,,,DeepWindow: Sliding Window Based on Deep Learning for Road Extraction From Remote Sensing Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2020,38,"The road centerline extraction is the key step of the road network extraction and modeling. The hand-craft feature engineering in the traditional road extraction methods is unstable, which makes the extracted road centerline deviated from the road center in complex cases and even results in overall extracting errors. Recently, the road centerline extraction methods based on semantic segmentation employing deep neural network greatly outperformed the traditional methods. Nevertheless, the pixel-wise labels for training deep learning models are expensive and the postprocess of road segmentation is error-prone. Inspired by the work of human pose estimation, we propose DeepWindow, a novel method to automatically extract the road network from remote sensing images. DeepWindow uses a sliding window guided by a CNN-based decision function to track the road network directly from the images without the prior of road segmentation. First of all, we design and train a CNN model to estimate the road center points inside a patch. Then, the road seeds are automatically searched patch by patch employing the CNN model. Finally, starting from seeds, our method first estimates the road direction using a Fourier spectrum analysis algorithm and then iteratively tracks the road center-line along the road direction guided by the CNN model. In our method, the CNN model is trained by point annotations, which greatly reduces the training costs comparing to those in semantic model training. Our method achieves comparable performance with the state-of-the-art road extraction methods, and extensive experiments indicate that our method is robust to the point deviation.",Roads,Image segmentation,Remote sensing,Feature extraction,,Training,Network topology,Topology,Deep learning,remote sensing images,road extraction,sliding window,,,,,,,,,
Row_1566,"Li, Xungen","Zhang, Zhan","Lv, Shuaishuai","Pan, Mian","Ma, Qi","Yu, Haibin",Road Extraction From High Spatial Resolution Remote Sensing Image Based on Multi-Task Key Point Constraints,IEEE ACCESS,2021,8,"To solve some problems of high spatial resolution remote sensing images caused by land coverage, building coverage and shading of trees, such as difficult road extraction and low precision, a road extraction method based on multi-task key point constraints is put forward in this article based on Linknet. At the preprocessing stage, an auxiliary constraint task is designed to solve the connectivity problem caused by shading during road extraction from remote sensing images. At the encoding & decoding stage, first, a position attention (PA) mechanism module and channel attention (CA) mechanism module are applied to realize the effective fusion of semantic information in the context during road extraction. Second, a multi-branch cascade dilated spatial pyramid (CDSP) is established with dilated convolution, by which the problem of loss of partial information during information extraction from remote sensing road image is solved and the detection accuracy is further improved. The method put forward in this article is verified through the experiment with public datasets and private datasets, revealing that the proposed method provides better performance than several state of the art techniques in terms of detection accuracy, recall, precision, and F1-score.",Roads,Feature extraction,Decoding,Image segmentation,,Data mining,Semantics,Remote sensing,Road extraction,remote sensing image,semantic segmentation,high-resolution imagery,,,,,,,,,
Row_1567,"Feng, Lin","Xu, Penglei","Tang, Hong","Liu, Zeping","Hou, Peng",,National-scale mapping of building footprints using feature super-resolution semantic segmentation of Sentinel-2 images,GISCIENCE & REMOTE SENSING,DEC 31 2023,3,"Since buildings are closely related to human activities, large-scale mapping of individual buildings has become a hot research topic. High-resolution images with sub-meter or meter resolution are common choices to produce maps of building footprints. However, high-resolution images are both infrequently collected and expensive to obtain and process, making it very difficult to produce large-scale maps of individual buildings timely. This paper presents a simple but effective way to produce a national-scale map of building footprints using feature super-resolution semantic segmentation of sentinel-2 images. Specifically, we proposed a super-resolution semantic segmentation network named EDSR_NASUnet, which is an end-to-end network to generate semantic maps with a spatial resolution of 2.5 m from real remote sensing images with a spatial resolution of 10 m. Based on the dataset consisting of images from 35 cities in China, we quantitatively compared the proposed method with three methods under the same framework and qualitatively evaluated the identification results of individual buildings. In addition, we mapped building footprints within the entire China at 2.5 m-resolution using Sentinel-2 images of 10 m resolution. The density of building footprints varies considerably across China, with a gradual increase in building footprints from west to east, i.e. from the first step of China's terrain to the third one. We detected over 86.3 million individual buildings with a total rooftop area of approximately 58,719.43 km(2). The number of buildings increased from 5.73 million in the first step of China's terrain, through 23.41 million in the second step of China's terrain, to 57.16 million in the third step of China's terrain. The area of buildings also increased from 3318.02 km(2) through 13,844.29 to 41,557.12 km(2). The Aihui-Tengchong line, a dividing line representing the regional distribution of China's population, also divides the regional distribution of Chinese buildings. Our approach has a more open and practical application because of the medium-resolution images and platform with open access. Results are available to the community (https://code.earthengine.google.com/?asset=users/flower/2019_China)).",Building footprints,super-resolution semantic segmentation,single building,national-scale,,Sentinel-2,,,,,,,,,,,,,,,
Row_1568,"Yuan, Ming","Chai, Zhilei","Zhao, Wenlai",,,,Severe Convective Weather Classification in Remote Sensing Images by Semantic Segmentation,"ARTIFICIAL NEURAL NETWORKS AND MACHINE LEARNING - ICANN 2019: IMAGE PROCESSING, PT III",2019,0,"Severe convective weather is a catastrophic weather that can cause great harm to the public. One of the key studies for meteorological practitioners is how to recognize severe convection weather accurately and effectively, and it is also an important issue in government climate risk management. However, most existing methods extract features from satellite data by classifying individual pixels instead of using tightly integrated spatial information, ignoring the fact the clouds are highly dynamic. In this paper, we propose a new classification model, which is based on image segmentation of deep learning. And it uses U-net architecture as the technology platform to identify all weather conditions in the datasets accurately. As heavy rainfall is one of the most frequent and widespread server weather hazards, when the storms come ashore with high speed of wind, it makes the precipitation time longer and causes serious damage in turn. Therefore, we suggest a new evaluation metric to evaluate the performance of detecting heavy rainfall. Compared with existing methods, the model based on Himawari-8 dataset has a better performance. Further, we explore the representations learned by our model in order to better understand this important dataset. The results play a crucial role in the prediction of climate change risks and the formulation of government policies on climate change.",Severe convective weather,Segmentation,Evaluation metric,,,,,,,,,,,,,,,,,,
Row_1569,"Pu, Weihua","Wang, Zhipan","Liu, Di","Zhang, Qingling",,,Optical Remote Sensing Image Cloud Detection with Self-Attention and Spatial Pyramid Pooling Fusion,REMOTE SENSING,SEP 2022,11,"Cloud detection is a key step in optical remote sensing image processing, and the cloud-free image is of great significance for land use classification, change detection, and long time-series landcover monitoring. Traditional cloud detection methods based on spectral and texture features have acquired certain effects in complex scenarios, such as cloud-snow mixing, but there is still a large room for improvement in terms of generation ability. In recent years, cloud detection with deep-learning methods has significantly improved the accuracy in complex regions such as high-brightness feature mixing areas. However, the existing deep learning-based cloud detection methods still have certain limitations. For instance, a few omission alarms and commission alarms still exist in cloud edge regions. At present, the cloud detection methods based on deep learning are gradually converted from a pure convolutional structure to a global feature extraction perspective, such as attention modules, but the computational burden is also increased, which is difficult to meet for the rapidly developing time-sensitive tasks, such as onboard real-time cloud detection in optical remote sensing imagery. To address the above problems, this manuscript proposes a high-precision cloud detection network fusing a self-attention module and spatial pyramidal pooling. Firstly, we use the DenseNet network as the backbone, then the deep semantic features are extracted by combining a global self-attention module and spatial pyramid pooling module. Secondly, to solve the problem of unbalanced training samples, we design a weighted cross-entropy loss function to optimize it. Finally, cloud detection accuracy is assessed. With the quantitative comparison experiments on different images, such as Landsat8, Landsat9, GF-2, and Beijing-2, the results indicate that, compared with the feature-based methods, the deep learning network can effectively distinguish in the cloud-snow confusion-prone region using only visible three-channel images, which significantly reduces the number of required image bands. Compared with other deep learning methods, the accuracy at the edge of the cloud region is higher and the overall computational efficiency is relatively optimal.",cloud detection,self-attention,pyramid pooling module,semantic segmentation,,optical remote sensing image,,,,,,,,,,,,,,,
Row_1570,"Ghosh, Arthita","Ehrlich, Max","Shah, Sohil","Davis, Larry","Chellappa, Rama",,Stacked U-Nets for Ground Material Segmentation in Remote Sensing Imagery,,2018,43,We present a semantic segmentation algorithm for RGB remote sensing images. Our method is based on the Dilated Stacked U-Nets architecture. This state-of-the-art method has been shown to have good performance in other applications. We perform additional post-processing by blending image tiles and degridding the result. Our method gives competitive results on the DeepGlobe dataset.,,,,,PROCEEDINGS 2018 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION WORKSHOPS (CVPRW),,,,,,,,,,,,,,,,
Row_1571,"Wang, Li","Duan, Wensheng","Yu, Bo","Ying, Qing","Yang, Hanbing","Lei, Yahui",Exploring the Response Mechanism of Remote Sensing Images in Monitoring Fixed Assets Investment Project in Terms of Building Detection,IEEE ACCESS,2019,0,"Fixed assets investment is a driving factor in facilitating urbanization and economic growth. The local governments have spent a lot of budgets on the construction of fixed assets. However, such investment lacks a scientific and objective mechanism to supervise the construction process continuously to guarantee on-time delivery. Owing to the development of remote sensing technology, the availability of high spatial resolution images makes it possible to visualize the construction process continuously. By synthesizing the amount of fixed assets investment, we can build a reasonable monitoring system to supervise the fixed assets projects mutually in both terms of visual construction and statistical money spent. However, as far as we know, there is not much work exploring the methods in monitoring fixed assets investment yet. We collected the continuous investment records of fourteen fixed assets projects from the year 2015 to 2017 and the corresponding GaoFen satellite images in nine-time nodes. Semantic segmentation deep learning technology is applied to detect buildings from the high spatial resolution images. The monitoring system is built by regression between the ratio of investment and the ratio of building area at nine-time nodes. Compared with the regression model from the ratio of investment and that of ground truth building area, our model achieves an RMSE of 0.0136 in the test samples. It indicates the strong potential applicability of remote sensing images in supervising the reasonability of the construction process of fixed assets and the investment allocation.",Fixed assets investment project,semantic segmentation,high spatial resolution remote sensing,deep learning,,continuous monitoring,supervise construction process,,,,,,,,,,,,,,
