,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author3,author4,author5,author6,author7,author8,keyword5,keyword6,conference,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,author9,author10,author11,author12,author13,author14
Row_11,"Junyent, Ines Aquilue","Casanovas, Miquel Marti",Planning shared mobility hubs in European cities: A methodological framework using MCDA and GIS applied to Barcelona,SUSTAINABLE CITIES AND SOCIETY,JUL 1 2024,2,"In the move towards sustainable urban mobility through seamless intermodality, European cities are faced with the possibility of implementing shared mobility systems. They constitute an opportunity to create new urban hubs, considered as nodes of intermodality and places of urban intensity. In order to effectively plan the future locations of shared mobility hubs, this paper outlines the methodological framework that sustains the design of a new decision-support tool, the so-called Mcda2MobilityHub (M2MHub),1 using Multi-Criteria Decision Analysis (MCDA) and Geographic Information Systems (GIS). For this purpose, the analysis of existing literature and interviews with local authorities and transport operators, led to the identification of six main location criteria (mobility, compactness, diversity of uses, profile of potential users, spatial configuration and environment). The criteria weights were calculated using the Analytic Hierarchy Process (AHP) and the framework was applied to the case study of the city of Barcelona. The results obtained are presented in the form of heat maps, highlighting the flexibility of the decision-support tool to transform open data into appropriate indicators and detailed maps. This output can be used to support future policies for planning shared mobility hubs as places for convenient multimodal transfers, which also enable social activities and improve the quality of life in European cities.",Sustainable mobility,Intermodality,Urban vitality,Spatial planning,"Roukouni, Anastasia","Sanz, Joan Moreno","Blanch, Estanislao Roca","Correia, Goncalo Homem de Almeida",,,Urban hubs,,,,,,,,,,,,,,,,,
Row_12,"D'Apuzzo, Mauro","Nardoianni, Sofia",Leveraging e-Surveys for Investigating Sustainable Urban Mobility: A Case Study in Small Community,"COMPUTATIONAL SCIENCE AND ITS APPLICATIONS-ICCSA 2024 WORKSHOPS, PT XI",2024,0,"As urban environments grapple with the challenges posed by increased transportation demands, the quest for sustainable mobility solutions becomes paramount. This study explores the efficacy of electronic surveys (e-surveys) as a powerful tool to delve into the intricacies of sustainable mobility in urban settings. The present research work focusing on a small city in central Italy, and sees the diffusion of e-surveys to its residents.The originality of the research lies in investigating mobility needs and patterns and propensity towards sustainable mobility at a scale of a medium to small urban community on which there is nowadays a dramatic lack of information. As a matter of fact, last mobility data provided at urban level by Italian Statistical Institute date back to 2011 and take into account only commuting traffic whereas recent surveys provide commuting traffic pattern only at national level.It is foreseen that the survey outcomes may contribute valuable insights into sustainable mobility patterns, fostering a deeper understanding of urban transportation dynamics and providing the development of future mobility strategies.",E-Survey,Sustainable mobility,Sharing mobility,,"Cappelli, Giuseppe","Furioso, Martina","Nicolosi, Vittorio",,,,,,,,,,,,,,,,,,,,,
Row_13,"Vatanparast, Elia","Joibari, Shaban Shataee",Urban greenway planning: Identifying optimal locations for active travel corridors through individual mobility assessment,URBAN FORESTRY & URBAN GREENING,NOV 2024,1,"Greenways are planned for various goals including nature conservation and promoting mobility by foot or bike in urban areas. A challenge associated with designed greenways pertains to their underutilization for mobility. Due to their multi-functionality greenways are usually not designed with a focus on active mobility, and thus, do not necessarily correspond with daily mobility patterns. This study addresses this issue by devising a methodology for the identification of optimal locations for active urban greenways within a metropolitan expanse, strategically aligned with the day-to-day pursuits of its inhabitants. Distinguished from prior greenway research, this investigation emphasizes individual mobility and adds a novel perspective to greenway planning. The method was tested in the city of Mashhad in Iran. By employing the Analytic Hierarchy Process methodology in conjunction with a Geographic Information System (GIS) and a gravity formula, a meticulous selection process yielded 19 nodes (sites) deemed most suitable for greenway implementation, selected from a pool of 93 prospective nodes. These findings offer pragmatic insights into the expansion of greenways tailored to the daily activities of urban inhabitants, thus complementing established greenway paradigms and strengthening the mobility dimension and active travel corridors in urban greenway planning.",Active green space,Active travel corridor,Gravity formula,Greenway planning,"Salmanmahiny, Abdolrassoul","Hansen, Rieke",,,,,Individual mobility,Urban greenways,,,,,,,,,,,,,,,,
Row_14,"Waltz, Martin","Okhrin, Ostap",Self-organized free-flight arrival for urban air mobility,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,OCT 2024,0,"Urban air mobility is an innovative mode of transportation in which electric vertical takeoff and landing (eVTOL) vehicles operate between nodes called vertiports. We outline a self-organized vertiport arrival system based on deep reinforcement learning. The airspace around the vertiport is assumed to be circular, and the vehicles can freely operate inside. Each aircraft is considered an individual agent and follows a shared policy, resulting in decentralized actions that are based on local information. We investigate the development of the reinforcement learning policy during training and illustrate how the algorithm moves from suboptimal local holding patterns to a safe and efficient final policy. The latter is validated in simulation-based scenarios, including robustness analyses against sensor noise and a changing distribution of inbound traffic. Lastly, we deploy the final policy on small-scale unmanned aerial vehicles to showcase its real-world usability.",Deep reinforcement learning,Urban air mobility,eVTOL,,"Schultz, Michael",,,,,,,,,,,,,,,,,,,,,,,
Row_15,"Gong, Zhaoya","Deng, Zhicheng",Uncovering human behavioral heterogeneity in urban mobility under the impacts of disruptive weather events,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,JUN 2024,1,"Understanding the response of human mobility to disruptive weather events is beneficial for the development of urban risk mitigation and emergency response policies, thus enhancing urban resilience. Most human mobility studies relying on aggregate flow data inevitably neglect the heterogeneity of disaggregate travel patterns with distinctive spatiotemporal characteristics, causing the uncertainty problem for identifying meaningful travel behaviors. Moreover, there is a lack of robust methodological approaches to extracting stable and genuine travel patterns under normal or disruptive situations. To address these issues, this study proposes a data-driven approach to spatiotemporal flow decomposition based on non-negative matrix factorization. With sparseness factored in the decomposition, stable disaggregate travel patterns can be extracted from origin-destination mobility flows. By combining temporal, spatial, and urban functional perspectives, heterogeneous travel behaviors can be analyzed and inferred. With a case study of the Zhengzhou '7.20' heavy rainfall in 2021, the most extreme rainfall ever recorded in China, this study validated the effectiveness of the proposed approach and managed to identify representative and interesting travel patterns and behaviors, facilitating a better understanding of human travel behaviors under external impacts. In practice, this study can provide valuable insights for coping strategies in the face of increasingly frequent disruptive events.",Human mobility,travel behavior,urban resilience,spatiotemporal flow decomposition,"Tang, Junqing","Zhao, Hongbo","Liu, Zhengying","Zhao, Pengjun",,,Zhengzhou '7.20' heavy rainfall,,,,,,,,,,,,,,,,,
Row_16,"Medina-Molina, Cayetano","Rey-Moreno, Manuel",The adoption of innovative urban mobility solutions from the service-dominant logic,EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,AUG 2024,0,"PurposeUrban centers, with their dense populations and evolving mobility patterns, are pivotal in addressing global sustainability challenges. This study focuses on identifying the key elements driving the adoption of sustainable urban mobility innovations, with a renewed emphasis on cycling as a core component.Design/methodology/approachEmploying the Service Dominant Logic framework, this research examines how various conditions associated with the cycling ecosystem influence the adoption or negation of bicycles as a sustainable mode of urban transportation. The study conducts a comprehensive analysis across 60 cities to unravel these dynamics.FindingsThe investigation reveals that five distinct combinations of conditions facilitate the adoption of bicycles, while two specific combinations lead to its negation. Importantly, the study uncovers the presence of a ""lock-in"" mechanism, a critical factor in hindering bicycle adoption in urban settings.Originality/valueThis research contributes significantly to the field of sustainable urban mobility by integrating Service-Dominant Logic with empirical findings from a diverse set of global cities. It provides valuable insights into the complex interplay of factors influencing cycling adoption, offering a nuanced understanding of the barriers and drivers in this domain. The identification of a ""lock-in"" mechanism as a key impediment to cycling adoption adds a novel dimension to existing literature, presenting actionable pathways for policymakers and urban planners to foster more sustainable and bike-friendly urban environments.",Innovation,Service dominant logic,Urban mobility,Set-theory multi-method research,"Perez-Macias, Noemi",,,,,,,,,,,,,,,,,,,,,,,
Row_17,"Wang, Jun","Zha, Yilun","Do urban form characteristics perpetuate disparities of pandemic-induced mobility changes? Evidence from Fulton County, Georgia",TRAVEL BEHAVIOUR AND SOCIETY,JUL 2024,0,"The COVID-19 pandemic has had a significant impact on urban mobility. While studies highlighted socioeconomic disparities, few have paid attention to the moderating role of the built environment in shaping those changes. To fill the gap, this paper investigates associations between the morphological features of the built environment and changes in population mobility patterns during the pandemic. We used SafeGraph's travel data to Point of Interest (POI) sampled from 2019 to 2021 in Fulton County, Georgia to quantify mobility patterns at the census tract level. Through Principal Component Analysis and Factor Analysis, we extracted four key urban form features: density, connectivity, diversity, and centrality from a list of 12 raw built environment variables. Results of the spatial lag regression model indicate a significant relationship between the built environment and mobility changes, that a more diverse, denser, and more connected built environment can mitigate disparities of the mobility pattern changes which are often associated with inequitable socioeconomic backgrounds. And urban forms with higher density and diversity can encourage trips to green spaces, benefiting residents' mental and physical health during the pandemic. This research enhances the understanding of the relationship between the built environment and population mobility patterns during the COVID-19 pandemic. These findings are useful for urban planning and public health, in which particular attention should be paid to suburban low-income neighborhoods as the most vulnerable group facing both socioeconomic and built environment disparities in public health crises. In addition, higher densities and mixed-use developments can also serve as effective strategies for urban planners and designers to strengthen urban mobility resilience in the future.",The COVID-19,Urban form,Mobility,Point of Interest (POI),,,,,,,Spatial regression,,,,,,,,,,,,,,,,,
Row_18,"Higazy, Ingy",,Infrastructural (im)mobility: Urban maritime development in the Suez Canal Zone and Marseille,ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,DEC 2024,0,"This article explores the entwined politics of infrastructure and (im)mobility through a relational comparison of the Suez Canal Area Development Project (SCADP) in the Suez Canal Zone, Egypt and the Eurom & eacute;diterran & eacute;e Urban Renewal Project (EuroMed) in Marseille, France. Two of the largest urban maritime development projects in North Africa and the 'Euro-Mediterranean', SCADP and EuroMed were planned and constructed amidst an overlapping surge in global infrastructure construction and a racialized refugee reception crisis. Through a situated analysis of the everyday urban lives of SCADP and EuroMed, the article analyzes how these large-scale infrastructures rely on and reproduce historical and place-specific geographies of uneven and racialized mobility. These include migrant containment regimes and urban displacement. Building on this analysis, the article proposes the concept of infrastructural (im)mobility, which argues that coerced mobility is a pervasive and underlying force driving global capitalist urbanization and infrastructure construction today. Through a multi-scalar analysis of SCADP and EuroMed, it shows how the concept elucidates a global political geography increasingly defined by the intersecting patterns, economies, and crises of infrastructure and (im)mobility. The article accordingly contributes to critical debates on the coloniality of infrastructure in and beyond the urban ports of the Mediterranean Sea.",(Im)mobility,infrastructure,maritime capitalism,race and space,,,,,,,relational comparison,urban renewal,,,,,,,,,,,,,,,,
Row_19,"Chen, Mingyang","Yuan, Quan","Decoding Urban Mobility: Application of Natural Language Processing and Machine Learning to Activity Pattern Recognition, Prediction, and Temporal Transferability Examination",IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,JUL 1 2024,1,"Activity patterns provide valuable insights into activity-based travel demand modeling and understanding human mobility. However, challenges often arise in accurately recognizing activity patterns, predicting activity patterns, and ensuring the temporal transferability of these prediction models. This paper presents a novel approach that combines natural language processing (NLP) techniques and cutting-edge machine learning algorithms to recognize and predict activity patterns of urban residents using 10-year interval Household Travel Survey data. The proposed method based on NLP to effectively transforms activity sequence information, identifies more categories and provides clearer and more explanatory activity pattern information compared to using only K-Means++ for clustering. Furthermore, the study develops a correlation model between activity patterns and socio-demographic characteristics of traveler by combining various machine learning models and identifies the optimal model with positive predictive performance for both weekdays and weekends. Lastly, the temporal transferability of the model is examined by comparing activity pattern characteristics at 10-year intervals and using machine learning interpretability methods to analyze model performance, relative importance of explanatory variables, and partial dependence plots (PDPs). The results show that the proposed model possesses temporal transferability, indicating its potential for predicting refined activity demand of the population in future years. These findings enhance our understanding of urban residents' travel and activity demand, and have potential implications for urban planning, transportation management, and policy-making.",Predictive models,Pattern recognition,Machine learning,Biological system modeling,"Yang, Chao","Zhang, Yuliang",,,,,Natural language processing,Statistics,,Sociology,Activity patterns,natural language processing,machine learning,temporal transferability,,,,,,,,,,
Row_20,"Li, Zhitao","Tang, Jinjun",Investigating urban mobility through multi-source public transportation data: A multiplex network perspective,APPLIED GEOGRAPHY,AUG 2024,4,"The integration of multi-source and diverse spatio-temporal travel data provides a comprehensive insight into urban mobility. Using data from Shenzhen's public transportation system, this study presents an analytical framework based on multiplex networks to examine variations in multi-mode public transportation usage (metro, bus, taxi, and shared bike) and their correlation with the built environment. This framework encompasses the analysis of network topological characteristics, centrality, and communities. The examination of network topological characteristics reveals that the multiplex transportation network exhibits high global accessibility and local connectivity. Network centrality analysis, focusing on weighted outdegree centrality, captures the patterns of public transportation ridership. Centrality modeling, employing the light gradient boosting machine, demonstrates a nonlinear relationship between ridership and the built environment. Factors including population density, residential land use percentage, entertainment service density, restaurant density, and metro station density consistently exhibit positive correlations with ridership across different times of the day. The community structure analysis, using consensus community detection, indicates that distinct urban areas exhibit clustering behavior based on public transportation demand patterns, forming distinct communities that closely align with the functional zoning of urban planning. These findings could provide valuable insights for the strategic planning of transportation services and the built environment.",Urban mobility,Public transportation,Multiplex networks,Community detection,"Feng, Tao","Liu, Biao","Cao, Junqiang","Yu, Tianjian","Ji, Yifeng",,Built environment,,,,,,,,,,,,,,,,,
Row_21,"Camarero, Luis","Oliva, Jesus",Mobility and Territorial Cohesion. The Shaping of the Rural-Urban Mobility System,REVISTA ESPANOLA DE INVESTIGACIONES SOCIOLOGICAS,JAN-MAR 2024,2,"The access of rural societies to welfare opportunities and resources is at the core of policy and research agendas. The persistent ruralurban gap increases the risks of exclusion and is a challenge that rural dwellers tackle by bolstering their mobility to access labour markets, resources and services. The car has become a vector in the connections and transformations that sustain rural life; however, this mobility is also a source of new fractures in social and territorial cohesion. This paper explores how the rural mobility system has been shaped and analyses its impact on these societies. The results suggest integrating the issue of mobility into rural policies from a more complex sociological perspective, addressing demographic challenges, regional development and territorial cohesion.",Accessibility,Rural-urban Gap,Social Inequality,Mobility,,,,,,,,,,,,,,,,,,,,,,,,
Row_22,"Ahmed, Sheikh Shahriar","Fountas, Grigorios",The State of Urban Air Mobility Research: An Assessment of Challenges and Opportunities,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,DEC 2024,0,"Electric vertical take-off and landing aircraft-based urban air mobility (UAM) service in conjunction with personal flying cars are anticipated to offer mobility benefits in terms of reduced travel time, alleviate demand from overburdened ground transportation systems; and bring forth a paradigm shift in travel patterns. Furthermore, uncrewed aerial vehicles or drones have significant potential in package and food delivery and in various disaster responses. In this context, this paper aims to provide a systematic review of current research and studies covering crucial aspects of urban air mobility and flying car ecosystems including public perception, potential market demand, infrastructure requirements, operations and traffic management processes, and policy formulation. Insights offered by the current studies encompassing these areas are summarized and discussed in this paper.",Automobiles,Transportation,Aircraft,Active appearance model,"Lurkin, Virginie","Anastasopoulos, Panagiotis Ch.","Zhang, Yu","Bierlaire, Michel","Mannering, Fred",,Surveys,Urban areas,,Public transportation,Environmental engineering,Terminology,Ecosystems,Advanced air mobility (AAM),advanced air vehicles (AAV),flying cars,literature review,urban air mobility (UAM),,,,,,
