,author1,author2,author3,author4,author5,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,author6,author7,author8,author9,author10,keyword12,keyword13,keyword14,conference,keyword15
Row_811,"Zhang, Jie","Shao, Mingwen","Wan, Yecong","Meng, Lingzhuang","Cao, Xiangyong",Boundary-Aware Spatial and Frequency Dual-Domain Transformer for Remote Sensing Urban Images Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,1,"Semantic segmentation of remote sensing (RS) images refers to labeling each pixel with a class to identify objects or land cover types. Existing mainstream spatial-domain semantic segmentation methods are mainly categorized into convolutional neural network (CNN)-based and vision transformer (ViT)-based approaches. The former excels at capturing local features, while the latter is adept at extracting global features. Several recent approaches consider combining CNN and ViT to efficiently capture local and global features. However, these approaches still struggle to capture complete features of the RS images, resulting in inaccurate segmentation. To address this issue, we introduce the fast Fourier transform (FFT), which transforms images into the frequency domain for feature extraction, acquiring the image-size receptive field that can complement spatial-domain methods. Based on this, we propose a boundary-aware spatial and frequency dual-domain transformer, termed dual-domain transformer. Specifically, our dual-domain transformer incorporates a dual-domain mixer (DualM), where the spatial-domain branch combines depthwise convolution and the attention mechanism to extract local and global features effectively, while the frequency-domain branch uses FFT to extract image-size features. The two branches complement each other, enabling a more comprehensive feature extraction of RS images. Meanwhile, a boundary-guided training strategy utilizing a boundary-aware module (BAM) is devised to constrain the model extract and predict boundary detail texture, which is an auxiliary task. In addition, the decoder incorporates a scale-feature fusion module (SFM) for adaptive information fusion between the encoder and decoder. Comprehensive experiments on the Zeebrugge and ISPRS datasets, including Vaihingen and Potsdam, showcase that the dual-domain transformer significantly outperforms state-of-the-art (SOTA) methods.",Feature extraction,Frequency-domain analysis,Transformers,Semantic segmentation,Semantics,Fast Fourier transforms,Training,Fast Fourier transform (FFT),frequency domain representation,remote sensing (RS) image,semantic segmentation,"Wang, Shuigen",,,,,,,,,
Row_812,Yuan Wei,Xu Wenbo,Zhou Tian,,,A loss function of road segmentation in remote sensing image by deep learning,CHINESE SPACE SCIENCE AND TECHNOLOGY,AUG 25 2021,5,"Traditional road segmentation based on spectral features or morphological algorithms has some disadvantages such as low precision and difficulty in determining the threshold value, and the existing methods in deep learning do not consider the characteristics of roads, only using general methods to segment roads. A deep learning loss function named morphological loss function with road unique trait was proposed. Firstly, the connectivity algorithm was used to divide the prediction results into several separated connected regions, and the ratios of the region area to the circumscribed circle area was calculated respectively. Then, the average value of regions was taken as the morphological loss function of this batch of training data. Finally, the morphological loss function was summed with the cross entropy loss function according to a certain proportion to obtain the final loss function. Through the comparative experiment on open remote sensing dataset, MIoU, ACC and F1-Score were all improved by the addition of morphological loss function. According to the prediction image, the predicted road was more continuous when morphological loss function was added. The morphological loss function proposed is an effective method to improve the accuracy of road segmentation in remote sensing.",morphology,remote sensing image,road segmentation,semantic segmentation,deep learning,,,,,,,,,,,,,,,,
Row_813,"Li, Wenyuan","Chen, Keyan","Chen, Hao","Shi, Zhenwei",,Geographical Knowledge-Driven Representation Learning for Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,53,"The proliferation of remote sensing satellites has resulted in a massive amount of remote sensing images. However, due to human and material resource constraints, the vast majority of remote sensing images remain unlabeled. As a result, it cannot be applied to currently available deep learning methods. To fully utilize the remaining unlabeled images, we propose a Geographical Knowledge-driven Representation (GeoKR) learning method for remote sensing images, improving network performance and reduce the demand for annotated data. The global land cover products and geographical location associated with each remote sensing image are regarded as geographical knowledge to provide supervision for representation learning and network pretraining. An efficient pretraining framework is proposed to eliminate the supervision noises caused by imaging times and resolutions difference between remote sensing images and geographical knowledge. A large-scale pretraining dataset Levir-KR is constructed to support network pretraining. It contains 1,431,950 remote sensing images from Gaofen series satellites with various resolutions. Experimental results demonstrate that our proposed method outperforms ImageNet pretraining and self-supervised representation learning methods and significantly reduces the burden of data annotation on downstream tasks, such as scene classification, semantic segmentation, object detection, and cloud/snow detection. It demonstrates that our proposed method can be used as a novel paradigm for pretraining neural networks. Codes will be available on https://github.com/flyakon/Geographical-Knowledge-driven-Representaion-Learning.",Remote sensing,Task analysis,Satellites,Sensors,Semantics,Annotations,Training,Cloud,snow detection,object detection,remote sensing images,,,,,,representation learning,scene classification,semantic segmentation,,
Row_814,"He, Bingnan","Wu, Dongyang","Wang, Li","Xu, Sheng",,FA-HRNet: A New Fusion Attention Approach for Vegetation Semantic Segmentation and Analysis,REMOTE SENSING,NOV 2024,0,"Semantic segmentation of vegetation in aerial remote sensing images is a critical aspect of vegetation mapping. Accurate vegetation segmentation effectively informs real-world production and construction activities. However, the presence of species heterogeneity, seasonal variations, and feature disparities within remote sensing images poses significant challenges for vision tasks. Traditional machine learning-based methods often struggle to capture deep-level features for the segmentation. This work proposes a novel deep learning network named FA-HRNet that leverages the fusion of attention mechanism and a multi-branch network structure for vegetation detection and segmentation. Quantitative analysis from multiple datasets reveals that our method outperforms existing approaches, with improvements in MIoU and PA by 2.17% and 4.85%, respectively, compared with the baseline network. Our approach exhibits significant advantages over the other methods regarding cross-region and cross-scale capabilities, providing a reliable vegetation coverage ratio for ecological analysis.",computer vision,aerial remote sensing images,vision models,semantic segmentation,vegetation coverage,panoptic segmentation,,,,,,,,,,,,,,,
Row_815,"Zheng, Chen","Pan, Xinxin","Chen, Xiaohui","Yang, Xiaohui","Xin, Xin",An Object-Based Markov Random Field Model with Anisotropic Penalty for Semantic Segmentation of High Spatial Resolution Remote Sensing Imagery,REMOTE SENSING,DEC 1 2019,3,"The Markov random field model (MRF) has attracted a lot of attention in the field of remote sensing semantic segmentation. But, most MRF-based methods fail to capture the various interactions between different land classes by using the isotropic potential function. In order to solve such a problem, this paper proposed a new generalized probability inference with an anisotropic penalty for the object-based MRF model (OMRF-AP) that can distinguish the differences in the interactions between any two land classes. Specifically, an anisotropic penalty matrix was first developed to describe the relationships between different classes. Then, an expected value of the penalty information (EVPI) was developed in this inference criterion to integrate the anisotropic class-interaction information and the posteriori distribution information of the OMRF model. Finally, by iteratively updating the EVPI terms of different classes, segmentation results could be achieved when the iteration converged. Experiments of texture images and different remote sensing images demonstrated that our method could show a better performance than other state-of-the-art MRF-based methods, and a post-processing scheme of the OMRF-AP model was also discussed in the experiments.",semantic segmentation,object-based Markov random field,anisotropic penalty matrix,,,,,,,,,"Su, Limin",,,,,,,,,
Row_816,"Zulfiqar, Annus","Ghaffar, Muhammad M.","Shahzad, Muhammad","Weis, Christian","Malik, Muhammad, I",AI-ForestWatch: semantic segmentation based end-to-end framework for forest estimation and change detection using multi-spectral remote sensing imagery,JOURNAL OF APPLIED REMOTE SENSING,MAY 31 2021,15,"Forest change detection is crucial for sustainable forest management. The changes in the forest area due to deforestation (such as wild fires or logging due to development activities) or afforestation alter the total forest area. Additionally, it impacts the available stock for commercial purposes, climate change due to carbon emissions, and biodiversity of the forest habitat estimations, which are essential for disaster management and policy making. In recent years, foresters have relied on hand-crafted features or bi-temporal change detection methods to detect change in the remote sensing imagery to estimate the forest area. Due to manual processing steps, these methods are fragile and prone to errors and can generate inaccurate (i.e., under or over) segmentation results. In contrast to traditional methods, we present AI-ForestWatch, an end to end framework for forest estimation and change analysis. The proposed approach uses deep convolution neural network-based semantic segmentation to process multi-spectral spaceborne images to quantitatively monitor the forest cover change patterns by automatically extracting features from the dataset. Our analysis is completely data driven and has been performed using extended (with vegetation indices) Landsat-8 multi-spectral imagery from 2014 to 2020. As a case study, we estimated the forest area in 15 districts of Pakistan and generated forest change maps from 2014 to 2020, where major afforestation activity is carried out during this period. Our critical analysis shows an improvement of forest cover in 14 out of 15 districts. The AI-ForestWatch framework along with the associated dataset will be made public upon publication so that it can be adapted by other countries or regions. (C) The Authors. Published by SPIE under a Creative Commons Attribution 4.0 Unported License.",deep neural networks,semantic segmentation,multi-spectral remote sensing,multi-temporal forest change detection,,,,,,,,"Shafait, Faisal","Wehn, Norbert",,,,,,,,
Row_817,"Zhao, Yingying","Zheng, Guizhou","Xu, Zhangyan","Qiu, Zhonghang","Chen, Zhixing",Multiscale Feature Weighted-Aggregating and Boundary Enhancement Network for Semantic Segmentation of High-Resolution Remote Sensing Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2022,4,"High-resolution remote sensing images (HRRSIs) play an important role in large area and real-time earth observation tasks. However, HRRSIs typically comprise heterogeneous objects of various sizes and complex boundary lines, which pose challenges to HRRSI segmentation. Despite the fact that deep convolutional neural networks dramatically boosted the accuracy, several limitations exist in standard models. Existing methods, mainly concatenate multiscale information to extract the various sizes of objects. However, these methods ignore differentiating information, making it difficult to take advantage of them and completely extract small objects. In addition, there have remained some difficulties in extracting boundary information with positions of uncertainty in previous works. In this article, we propose a novel multiscale feature weighted-aggregating and boundary enhancement network (MFBE-Net) for the segmentation of HRRSIs. ResNet-50, possessing a strong ability to extract features, is employed as the backbone. To fully utilize the information that was extracted, we propose a multiscale feature weighted-aggregating module, which aims to weight-integrate deep features, shallow features, and global information. The boundary enhancement module is designed to solve the blurry boundary information problems and locate its positions. Coordinate attention is also applied in the framework to coherently label size-varied ground objects from different categories and reduce information redundancy. Meanwhile, a mixed loss function is used to supervise the network training process. Finally, MFBE-Net was verified on two public HRRSI datasets, and the experimental results show that the proposed framework outperformed other existing mainstream deep learning methods and could further improve the accuracy of HRRSI segmentation.",Semantics,Image segmentation,Feature extraction,Data mining,Deep learning,Remote sensing,Convolutional neural networks,Boundary enhancement,deep learning,feature weighted-aggregating,high-resolution remote sensing images (HRRSIs),,,,,,semantic segmentation,,,,
Row_818,"Pastorino, Martina","Moser, Gabriele","Serpico, Sebastiano B.","Zerubia, Josiane",,CRFNet: A Deep Convolutional Network to Learn the Potentials of a CRF for the Semantic Segmentation of Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,0,"This article presents a method for the automatic learning of the potentials of a stochastic model, in particular a conditional random field (CRF), in a non-parametric fashion. The proposed model is based on a neural architecture, in order to leverage the modeling capabilities of deep learning (DL) approaches to directly learn semantic and spatial information from the input data. Specifically, the methodology is based on fully convolutional networks and fully connected neural networks. The idea is to access the multiscale information intrinsically extracted in the intermediate layers of a fully convolutional network through the integration of fully connected neural networks at different scales, while favoring the interpretability of the hidden layers as posterior probabilities. The potentials of the CRF are learned through an additional convolutional layer, whose kernel models the local spatial information considered. The loss function is computed as a linear combination of cross-entropy losses, accounting for the multiscale and the spatial information. To evaluate the capabilities of the proposed approach for the semantic segmentation of remote sensing images, the experimental validation was conducted with the ISPRS 2-D semantic labeling challenge Vaihingen and Potsdam datasets and with the IEEE GRSS data fusion contest Zeebruges dataset. As the ground truths of these benchmark datasets are spatially exhaustive, they have been modified to approximate the spatially sparse ground truths common in real remote sensing applications. The results are significant, as the proposed approach obtains higher average classification accuracies than recent state-of-the-art techniques considered in this article. The code is available at https://github.com/Ayana-Inria/CRFNet-RS.",Convolutional neural networks,Remote sensing,Semantic segmentation,Semantics,Task analysis,Computer architecture,Conditional random fields,Conditional random fields (CRFs),convolutional neural network (CNN),fully convolutional network (FCN),remote sensing,,,,,,semantic segmentation,,,,
Row_819,"Hua, Xia","Wang, Xinqing","Rui, Ting","Shao, Faming","Wang, Dong",Cascaded panoptic segmentation method for high resolution remote sensing image,APPLIED SOFT COMPUTING,SEP 2021,17,"Great progress has been made for remote sensing image segmentation with the development of Deep Convolutional Neural Networks. However, Multiple convolutions significantly reduce the resolution and lead to the loss of many key information, the prediction accuracy of pixel categories is reduced. And DCNN accumulate context information on a large receptive field, which leads to blurred boundary segmentation of objects. This paper proposes a cascaded panoptic segmentation network to target the aforementioned problems. Firstly, a shared feature pyramid network backbone and a new hybrid task cascade framework are designed, which share the features and integrate the complementary features of different tasks in different stages, which can extract rich context information. Then, a functional module is designed to learn the mask quality of predicted instances in Mask R-CNN to calibrate the inconsistency between mask quality and mask score, thus to deal with the scale change of the object. Finally, a new Visual-saliency ranking module is designed to overcome the mutual occlusion problem between the prediction results, and strengthen robustness to illumination. The experimental results prove that our method still has significant advantages even compared with the most advanced methods, and ablation experiments also verify the effectiveness of our designed strategies. (C) 2021 Elsevier B.V. All rights reserved.",Remote sensing images,Panoptic segmentation,Instance segmentation,Semantic segmentation,Deep Convolutional Neural Networks,,,,,,,,,,,,,,,,
Row_820,"de Carvalho, Osmar L. F.","de Carvalho Junior, Osmar A.","de Albuquerque, Anesmar O.","Luiz, Argelica S.","Santana, Nickolas C.",BEYOND THE VISIBLE PIXELS USING SEMANTIC AMODAL SEGMENTATION IN REMOTE SENSING IMAGES,,2022,2,"2D representations of 3D scenes generate occlusions among different targets. Understanding targets by only seeing parts of them is referred to as an amodal perception, which is still unexplored in remote sensing. Thus, we propose integrating this concept using peculiarities of remote sensing Nadir images to classify non-visible targets at a pixel level. Nadir images present a hierarchical order of occlusions, allowing us to separate different layers. We developed a dataset with 600 images and three classes (roads, vehicles, and trees) with independent labelling for each class. Any semantic segmentation model is suitable for this task, but we explored the U-net architecture with three backbones (Efficient-net-B7, ResNet-101, and ResNeXt-101). The evaluation considered the IoU metric, providing 80% for the best model (Efficient-net-B7). Future studies aim to extend this approach by introducing competing classes among each layer and increasing the number of samples and categories.",occlusion,deep learning,aerial image,,,,,,,,,"Borges, Dibio L.",,,,,,,,2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),
