,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author4,conference,author5,keyword6,author6,author7,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author8,author9,author10,author11,keyword13,keyword14,keyword15,keyword16,author12
Row_1011,"Zeng, Junying","Gu, Yajin","Qin, Chuanbo",Unsupervised domain adaptation for remote sensing semantic segmentation with the 2D discrete wavelet transform,SCIENTIFIC REPORTS,OCT 9 2024,0,"There would be the differences in spectra, scale and resolution between the Remote Sensing datasets of the source and target domains, which would lead to the degradation of the cross-domain segmentation performance of the model. Image transfer faced two problems in the process of domain-adaptive learning: overly focusing on style features while ignoring semantic information, leading to biased transformation results, and easily overlooking the true transfer characteristics of remote sensing images, resulting in unstable model training. To address these issues, we proposes a novel dual-space generative adversarial domain adaptation segmentation framework, DS-DWTGAN, to minimize the differences between the source domain and the target domain. DS-DWTGAN aims to mitigate the distinctions between the source and target domains, thereby rectifying the imbalances in style and semantic representation.The framework introduces a network branch leveraging wavelet transform to capture comprehensive frequency domain and semantic information. It aims to preserve semantic details within the frequency domain space, mitigating image conversion deviations. Furthermore, our proposed method integrates output adaptation and data enhancement training strategies to reinforce the acquisition of domain-invariant features. This approach effectively diminishes noise interference during the migration process, bolsters model stability, and elevates the model's adaptability to remote sensing images within different domains. Experimental validation was conducted on the publicly available Potsdam and Vaihingen datasets. The findings reveal that in the PotsdamIRRG to Vaihingen task, the proposed method attains outstanding performance with mIoU and mF1 values reaching 56.04% and 67.28%, respectively. Notably, these metrics surpass the corresponding values achieved by state-of-the-art (SOTA) methods, registering an increase of 2.81% and 2.08%. In comparison to alternative approaches, our proposed framework exhibits superior efficacy in the domain of unsupervised semantic segmentation for UAV remote sensing images.",,,,,,"Jia, Xudong",,"Deng, Senyao",,"Xu, Jiahua","Tian, Huiming",,,,,,,,,,,,,,,
Row_1012,"Li, Qingyu","Mou, Lichao","Sun, Yao",A Review of Building Extraction From Remote Sensing Imagery: Geometrical Structures and Semantic Attributes,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,12,"In the remote sensing community, extracting buildings from remote sensing imagery has triggered great interest. While many studies have been conducted, a comprehensive review of these approaches that are applied to optical and synthetic aperture radar (SAR) imagery is still lacking. Therefore, we provide an in-depth review of both early efforts and recent advances, which are aimed at extracting geometrical structures or semantic attributes of buildings, including building footprint generation, building facade segmentation, roof segment and superstructure segmentation, building height retrieval, building-type classification, building change detection, and annotation data correction. Furthermore, a list of corresponding benchmark datasets is given. Finally, challenges and outlooks of existing approaches as well as promising applications are discussed to enhance comprehension within this realm of research.",Buildings,Remote sensing,Optical sensors,Optical imaging,Task analysis,"Hua, Yuansheng",,"Shi, Yilei",Radar polarimetry,"Zhu, Xiao Xiang",,Semantics,Building extraction,deep learning,optical imagery,review,synthetic aperture radar (SAR),,,,,,,,,
Row_1013,"Sun, Ziyu","Jiang, Weiguo","Ling, Ziyan",Using Multisource High-Resolution Remote Sensing Data (2 m) with a Habitat-Tide-Semantic Segmentation Approach for Mangrove Mapping,REMOTE SENSING,NOV 2023,9,"Mangrove wetlands are hotspots of global biodiversity and blue carbon reserves in coastal wetlands, with unique ecological functions and significant socioeconomic value. Annual fine-scale monitoring of mangroves is crucial for evaluating national conservation programs and implementing sustainable mangrove management strategies. However, annual fine-scale mapping of mangroves over large areas using remote sensing remains a challenge due to spectral similarities with coastal vegetation, tidal periodic fluctuations, and the need for consistent and dependable samples across different years. In previous research, there has been a lack of strategies that simultaneously consider spatial, temporal, and methodological aspects of mangrove extraction. Therefore, based on an approach that considers mangrove habitat, tides, and a semantic segmentation approach, we propose a method for fine-scale mangrove mapping suitable for long time-series data. This is an optimized hybrid model that integrates spatial, temporal, and methodological considerations. The model uses five sensors (GF-1, GF-2, GF-6, ZY-301, ZY-302) to combine deep learning U-Net models with mangrove habitat information and algorithms during low-tide periods. This method produces a mangrove map with a spatial resolution of 2 m. We applied this algorithm to three typical mangrove regions in the Beibu Gulf of Guangxi Province. The results showed the following: (1) The model scored above 0.9 in terms of its F1-score in all three study areas at the time of training, with an average accuracy of 92.54% for mangrove extraction. (2) The average overall accuracy (OA) for the extraction of mangrove distribution in three typical areas in the Beibu Gulf was 93.29%. When comparing the validation of different regions and years, the overall OA accuracy exceeded 89.84% and the Kappa coefficient exceeded 0.74. (3) The model results are reliable for extracting sparse and slow-growing young mangroves and narrow mangrove belts along roadsides. In some areas where tidal flooding occurs, the existing dataset underestimates mangrove extraction to a certain extent. The fine-scale mangrove extraction method provides a foundation for the implementation of fine-scale management of mangrove ecosystems, support for species diversity conservation, blue carbon recovery, and sustainable development goals related to coastal development.",mangrove forest,U-Net,multisource high resolution,remote sensing,mangrove habitat,"Zhong, Shiquan",,"Zhang, Ze",,"Song, Jie","Xiao, Zhijie",,,,,,,,,,,,,,,
Row_1014,"Lee, Kyungsu","Lee, Haeyun","Park, Juhum",Fine-Grained Binary Object Segmentation in Remote Sensing Imagery via Path-Selective Test-Time Adaptation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,0,"For several decades, the significance of geospatial object segmentation in remote sensing (RS) images has been emphasized for both scientific and industrial purposes. Object segmentation plays a pivotal role in the analysis of urban and rural area expansion, as well as in advancing sustainable development within the realm of RS. Deep learning (DL)-based segmentation methodologies, overcoming the limitations of the conventional vision-based analysis, have yielded precise predictions by utilizing convolutional neural networks (CNNs). However, CNNs classify images at the pixel level and generate outputs based on probability distributions derived from the SoftMax function. This approach precludes the reflection of morphological properties, such as shape and object density, during predictions in RS imagery, leading to imprecise results. In addition, due to the intrinsic attributes of probability-based segmentation, fine-grained segmentation may not be achieved, leading to coarse predictions in the boundaries of geospatial objects. To address this issue, this article introduces a novel DL framework, the density-based guide network (DG-Net), which incorporates the density of segmentation targets into pixel-wise classification through a test-time adaptation learning methodology. DG-Net first discerns the density of segmentation targets in the input images, then fine-tunes the baseline network to reflect this density, thereby generating precise segmentation outputs. The effectiveness of DG-Net is demonstrated through various multitarget segmentation benchmarks in RS imagery. Experimental results demonstrate the superior performance of the DG-Net in object segmentation when compared to state-of-the-art (SotA) models across numerous aerial image and satellite image datasets.",Image segmentation,Predictive models,Feature extraction,Deep learning,Adaptation models,"Hwang, Jae Youn",,,Training,,,Geospatial analysis,Fine-grained segmentation,object segmentation,remote sensing (RS) imagery,test-time adaptation,,,,,,,,,,
Row_1015,"Yu, Anzhu","Quan, Yujun","Yu, Ru",Deep Learning Methods for Semantic Segmentation in Remote Sensing with Small Data: A Survey,REMOTE SENSING,OCT 2023,9,"The annotations used during the training process are crucial for the inference results of remote sensing images (RSIs) based on a deep learning framework. Unlabeled RSIs can be obtained relatively easily. However, pixel-level annotation is a process that necessitates a high level of expertise and experience. Consequently, the use of small sample training methods has attracted widespread attention as they help alleviate reliance on large amounts of high-quality labeled data and current deep learning methods. Moreover, research on small sample learning is still in its infancy owing to the unique challenges faced when completing semantic segmentation tasks with RSI. To better understand and stimulate future research that utilizes semantic segmentation tasks with small data, we summarized the supervised learning methods and challenges they face. We also reviewed the supervised approaches with data that are currently popular to help elucidate how to efficiently utilize a limited number of samples to address issues with semantic segmentation in RSI. The main methods discussed are self-supervised learning, semi-supervised learning, weakly supervised learning and few-shot methods. The solution of cross-domain challenges has also been discussed. Furthermore, multi-modal methods, prior knowledge constrained methods, and future research required to help optimize deep learning models for various downstream tasks in relation to RSI have been identified.",self-supervised learning,semi-supervised learning,weakly supervised learning,few-shot approaches,,"Guo, Wenyue",,"Wang, Xin",,"Hong, Danyang","Zhang, Haodi",,,,,,,"Chen, Junming","Hu, Qingfeng","He, Peipei",,,,,,
Row_1016,"Amirgan, Burcu","Erener, Arzu",,Semantic segmentation of satellite images with different building types using deep learning methods,REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT,APR 2024,2,"In this study, using deep learning-based semantic segmentation methods, an automatic building segmentation application was carried out with a remote sensing image on a sample area covering a small part of Istanbul. In this context, firstly, fully convolutional networks, semantic segmentation inference principles, and open-source building datasets presented to the public were examined. Within the scope of the study, the IST building dataset containing examples from 5 different building type classes were created using very high resolution Pleiades satellite images. Then, building segmentation training was carried out on UNet and UNet++ architectures with this dataset. Segmentation success was compared between the models obtained after the training and the building classes according to their types. Experimental results showed that the UNET and UNet++ architecture IOU metric achieved segmentation success of 0.9167 and 0.9150 for Industrial class, 0.8124 and 0.8175 for Adjacent class, 0.8459 and 0.8446 for Housing-Villa class, 0.7629 and 0.7477 for Slum class, 0.6697 and 0.6140 for Other class. Finally, building segmentation difficulties arising from the types of buildings have been identified, and suggestions have been made to overcome this problem.",Building extraction,Building segmentation,Different building types,Deep learning,Semantic segmentation,,,,,,,,,,,,,,,,,,,,,
Row_1017,"Zhang, Enwei","Hu, Kai","Xia, Min",Multilevel feature context semantic fusion network for cloud and cloud shadow segmentation,JOURNAL OF APPLIED REMOTE SENSING,OCT 2022,7,"Cloud detection is an important prerequisite for remote sensing image application. Any remote sensing image from which the information of ground object could be obtained will inevitably be preprocessed on cloud occlusion. In the traditional method, the segmentation of cloud and its shadow will be affected by the complex background. In the detection process, due to insufficient information extraction, misjudgment often occurs, and the cloud boundary processing is also very rough. In order to improve the accuracy of cloud and cloud shadow segmentation, we propose a multilevel feature context semantic fusion network. The network takes the residual network as the backbone networkand adopts the structure of encoding and decoding as a whole. In the model, we introduce the multibranch residual context semantic module, the multiscale convolution subchannel attention module, and the feature fusion upsampling module to strengthen the feature extraction, refine the cloud and cloud shadow edge information, and enhance the actual segmentation ability of the model. The experimental results show that the proposed method is more accurate than the previous network in the segmentation of cloud and cloud shadow and has good generalization ability on other datasets, which is of great significance for the study of cloud. (c) 2022 Society of Photo-Optical Instrumentation Engineers (SPIE)",cloud,cloud shadow,multilevel feature fusion,remote sensing,image,"Weng, Liguo",,"Lin, Haifeng",segmentation,,,,,,,,,,,,,,,,,
Row_1018,"Cao, Yong","Huo, Chunlei","Xu, Nuo",HENet: Head-Level Ensemble Network for Very High Resolution Remote Sensing Images Semantic Segmentation,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,2022,4,"Semantic segmentation plays an important role in very high resolution (VHR) image understanding. Despite the potentials of the deep convolutional network in improving performance by end-to-end feature learning, each model has its limitations, and it is hard to discriminate complex features purely by a single model. Ensemble learning is promising for integrating the strengths of different models, however, the ensemble of deep models is challenging due to the huge amount of parameters and computation of the deep model itself as well as the difficulty in capturing complementarity between different models. To tackle these problems, a head-level ensemble network (HENet) is proposed in this letter, which reduces model complexity by sharing feature extraction networks and improves complementarity between models by novel cooperative learning (CL). Experiments on ISPRS 2-D semantic labeling benchmark demonstrate the effectiveness and advantage of the proposed method.",Head,Computational modeling,Semantics,Image segmentation,Feature extraction,"Zhang, Xin",,"Xiang, Shiming",Correlation,"Pan, Chunhong",,Mathematical models,Cooperative learning (CL),ensemble learning,semantic segmentation,,,,,,,,,,,
Row_1019,"Li, Xin","Xu, Feng","Lyu, Xin",Dual attention deep fusion semantic segmentation networks of large-scale satellite remote-sensing images,INTERNATIONAL JOURNAL OF REMOTE SENSING,MAY 3 2021,53,"Since DCNNs (deep convolutional neural networks) have been successfully applied to various academic and industrial fields, semantic segmentation methods, based on DCNNs, are increasingly explored for remote-sensing image interpreting and information extracting. It is still highly challenging due to the presence of irregular target shapes, and similarities of inter - and intra-class objects in large-scale high-resolution satellite images. A majority of existing methods fuse the multi-scale features that always fail to provide satisfactory results. In this paper, a dual attention deep fusion semantic segmentation network of large-scale satellite remote-sensing images is proposed (DASSN_RSI). The framework consists of novel encoder-decoder architecture, and a weight-adaptive loss function based on focal loss. To refine high-level semantic and low-level spatial feature maps, the deep layer channel attention module (DLCAM) and shallow layer spatial attention module (SLSAM) are designed and appended with specific blocks. Then the DUpsampling is incorporated to fuse feature maps in a lossless way. Peculiarly, the weight-adaptive focal loss (W-AFL) is inferred and embedded successfully, alleviating the class-imbalanced issue as much as possible. The extensive experiments are conducted on Gaofen image dataset (GID) datasets (Gaofen-2 satellite images, coarse set with five categories and refined set with fifteen categories). And the results show that our approach achieves state-of-the-art performance compared to other typical variants of encoder-decoder networks in the numerical evaluation and visual inspection. Besides, the necessary ablation studies are carried out for a comprehensive evaluation.",,,,,,"Gao, Hongmin",,"Tong, Yao",,"Cai, Sujin","Li, Shengyang",,,,,,,"Liu, Daofang",,,,,,,,
Row_1020,"Shen, Xu","Weng, Liguo","Xia, Min",Multi-Scale Feature Aggregation Network for Semantic Segmentation of Land Cover,REMOTE SENSING,DEC 2022,7,"Land cover semantic segmentation is an important technique in land. It is very practical in land resource protection planning, geographical classification, surveying and mapping analysis. Deep learning shows excellent performance in picture segmentation in recent years, but there are few semantic segmentation algorithms for land cover. When dealing with land cover segmentation tasks, traditional semantic segmentation networks often have disadvantages such as low segmentation precision and weak generalization due to the loss of image detail information and the limitation of weight distribution. In order to achieve high-precision land cover segmentation, this article develops a multi-scale feature aggregation network. Traditional convolutional neural network downsampling procedure has problems of detail information loss and resolution degradation; to fix these problems, a multi-scale feature extraction spatial pyramid module is made to assemble regional context data from different areas. In order to address the issue of incomplete information of traditional convolutional neural networks at multiple sizes, a multi-scale feature fusion module is developed to fuse attributes from various layers and several sizes to boost segmentation accuracy. Finally, a multi-scale convolutional attention module is presented to enhance the segmentation's attention to the target in order to address the issue that the classic convolutional neural network has low attention capacity to the building waters in land cover segmentation. Through the contrast experiment and generalization experiment, it can be clearly demonstrated that the segmentation algorithm proposed in this paper realizes the high precision segmentation of land cover.",land cover,remote sensing image,deep learning,semantic segmentation,,"Lin, Haifeng",,,,,,,,,,,,,,,,,,,,
Row_1021,Mao Feng,Liu Ze,Zhou Wensheng,Extracting of Urban features from high resolution remote sensing data based on multiscale segmentation,,2009,0,"A multiscale segmentation method is proposed for multispectral imagery of high resolution by combining an adapted watershed algorithm and a region merging algorithm. Before the preliminary segmentation by the adapted watershed algorithm, a filtering method and a method for getting rid of local minimum areas are imposed to avoid over-segmentation. The whole process can be divided into five steps as follows. A case study is conducted with a high resolution image, QuikBird, of Beijing city acquired in 2007. From the segmentation results it can be found most of urban features could be extracted correctly and the segmentation edge is accurate and smooth. And it can be concluded that the method can have more semantic information, reduce the 'Pepper and Salt Phenomenon' effectively, and improve the overall classification accuracy of QuikBird image with improved computing efficiency.",multiscale segmentation,high resolution remote sensing image,urban areas,watershed transformation,region merging algorithm,Li Qiang,"2009 JOINT URBAN REMOTE SENSING EVENT, VOLS 1-3",,,,,,,,,,,,,,,,,,,
