,author1,author2,author3,author4,author5,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,journal/book,author6,keyword8,keyword9,keyword10,keyword11,author7,author8,keyword12,keyword13,keyword14,keyword15,author9
Row_1261,"Zheng, Yunping","Xu, Yuan","Shu, Shiqiang","Sarem, Mudar",,Indoor semantic segmentation based on Swin-Transformer,,FEB 2024,1,"In recent years, with the rapid development of Transformer in the field of natural language processing, many researchers have realized its potential and gradually applied it to the field of computer vision, with a proliferation of theoretical approaches represented by Vision Transformer (ViT) and Data-efficient image Transformer (DeiT). On the basis of ViT, the famous Swin-Transformer was proposed as one of the best computer vision neural network backbones, which can be widely used in tasks such as image classification, target detection and video recognition. However, in the field of image segmentation, the semantic segmentation of indoor scenes is still very challenging due to the wide variety of objects, large differences in object sizes, and a large number of overlapping objects with occlusion. Aiming at the problem that the existing semantic segmentation of RGB-D indoor scenes cannot effectively fuse multimodal features, in this paper, we propose a novel indoor semantic segmentation algorithm based on Swin-Transformer. It attempts to apply Swin-Transformer to the field of indoor RGBD semantic segmentation, and tests the performance of the model by conducting extensive experiments on the mainstream indoor semantic segmentation datasets NYU-Depth V2 and SUN RGB-D. The experimental results show that the Swin-L RGB+Depth setting achieves 52.44% MIoU on the NYU-Depth V2 data and 51.15% MIoU on the SUN RGB-D data set, which reflects an excellent performance in the field of indoor semantic segmentation. The improved performance of the Depth features on the indoor semantic segmentation model has also been demonstrated in the experiments by controlling the type of input features. Our source code is publicly available at https://github.com/YunpingZheng/ISSSW.",Deep learning,Transformer,RGB-D semantic segmentation,,,,,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,,,,,,,,,,,,
Row_1262,"Chouhan, Avinash","Chutia, Dibyajyoti","Aggarwal, Shiv Prasad",,,Deep Learning Approach for Multi-class Semantic Segmentation of UAV Images,,NOV 2023,0,"Image understanding plays a very crucial role in remote sensing applications. For this, image semantic segmentation is one of the approaches where each pixel of an image is assigned to particular classes based on various features. Aerial semantic segmentation suffers from the class imbalance problem. Proper differentiation of least represented categories is challenging and a goal for the state-of-art approach. In this work, we present a novel deep learning method to perform this task. We proposed a lightweight encoder-decoder network residual depth separable UNet (RDS-UNet) and conditional random field for effective segmentation on very high-resolution aerial images. We proposed patch-with-multi-class sampling to handle the class imbalance problem without increasing the computational overhead during the training process. We created a semi-precise annotated UAV dataset named NESAC UAV Seg for the aerial semantic segmentation task. We demonstrated the efficacy of our model using the publicly available benchmark Drone Deploy dataset and our NESAC UAV Seg dataset. Our model required approximately half the number of trainable parameters and floating point operations compared to other methods. A detailed ablation study is presented to showcase the effectiveness of various modules utilized in our network.",Semantic segmentation,deep learning,UAV,,,,,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,,,,,,,,,,,,
Row_1263,"Liu, Yongchang","Liu, Yawen","Duan, Yansong",,,MVG-Net: LiDAR Point Cloud Semantic Segmentation Network Integrating Multi-View Images,,AUG 2024,0,"Deep learning techniques are increasingly applied to point cloud semantic segmentation, where single-modal point cloud often suffers from accuracy-limiting confusion phenomena. Moreover, some networks with image and LiDAR data lack an efficient fusion mechanism, and the occlusion of images may do harm to the segmentation accuracy of a point cloud. To overcome the above issues, we propose the integration of multi-modal data to enhance network performance, addressing the shortcomings of existing feature-fusion strategies that neglect crucial information and struggle with matching modal features effectively. This paper introduces the Multi-View Guided Point Cloud Semantic Segmentation Model (MVG-Net), which extracts multi-scale and multi-level features and contextual data from urban aerial images and LiDAR, and then employs a multi-view image feature-aggregation module to capture highly correlated texture information with the spatial and channel attentions of point-wise image features. Additionally, it incorporates a fusion module that uses image features to instruct point cloud features for stressing key information. We present a new dataset, WK2020, which combines multi-view oblique aerial images with LiDAR point cloud to validate segmentation efficacy. Our method demonstrates superior performance, especially in building segmentation, achieving an F1 score of 94.6% on the Vaihingen Dataset-the highest among the methods evaluated. Furthermore, MVG-Net surpasses other networks tested on the WK2020 Dataset. Compared to backbone network for single point modality, our model achieves overall accuracy improvement of 5.08%, average F1 score advancement of 6.87%, and mean Intersection over Union (mIoU) betterment of 7.9%.",multi-modal semantic segmentation,LiDAR point semantic segmentation,multi-view oblique aerial images,,,,,REMOTE SENSING,,,,,,,,,,,,
Row_1264,"Zhu, Zicong","Kang, Jian","Diao, Wenhui","Feng, Yingchao","Li, Junxi",SIRS: Multitask Joint Learning for Remote Sensing Foreground-Entity Image-Text Retrieval,,2024,1,"The essence of improving the effect of cross-modal image-text retrieval (CIR) lies in the finer-grained modeling of homogeneous features between modalities. However, in remote sensing (RS) scenarios, existing methods usually apply the image-sentence granular feature alignment paradigm, bringing significant difficulties to the fine-grained representation of homogeneous features between modalities. Besides, more complex background noise and extreme scale ranges of foreground targets are hard to distinguish, causing the feature mottle problem. To address the above issues, we propose a novel Semantic-guided Image-text Retrieval framework with Segmentation (SIRS). It is a multitask joint learning framework for plug-and-play and end-to-end training RS CIR models efficiently, including semantic-guided spatial attention (SSA) and adaptive multi-scale weighting (AMW) modules. First, SSA introduces a background reconstruction (BR) branch based on noise perception and a semantic segmentation (SS) branch based on pixel-level prediction. It explores a joint learning strategy that concisely filters background noise and refines foreground features considerably. Second, AMW performs multiscale weighting on various layers of feature map output by the encoder, effectively improving the learning efficiency of foreground targets at different scales. It is worth mentioning that SIRS outputs combination results with image and segmentation mask, which is not available in other methods. Based on the RSITMD dataset, we complete the SS annotation RSITMD-SS to verify the performance of the proposed method. Sufficient and complete experiments verify the effectiveness of the proposed method. With SIRS, the main-stream SVP and CLIP-based methods improve about 7 mR and derive segmentation prediction with acceptable computational cost optionally. The code and associated dataset will be available at https://github.com/StarBurstStream0/SIRS.",Cross-modal image-text retrieval (CIR),feature misalignment,foreground-entity granularity,multitask learning,remote sensing (RS),semantic segmentation (SS),,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"Ni, Jingen",,,,,,,,,,,
Row_1265,"Liu, Zirong","Liu, Xinlong","Yu, Menghui","Yang, Xiaohong",,DMAM-UNET:AN IMPROVED UNET SEMANTIC SEGMENTATION FOR WATER BODY EXTRACTION FROM REMOTELY SENSED IMAGE,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2023,0,"Water body extraction and mapping is an effective way for water resource management. With the development of remote sensing technology and the acquisition of remote sensing data, lots of methods were proposed for water body extraction. However, these existing methods were mainly used for large and continuous water and cannot get good accuracy when applied on broken and discontinuous water bodies. To address this problem, a double multiplication attention module UNet (DMAM-UNet) modified from the UNet network is proposed in this paper. DMAM-UNet mainly improves from UNet on network structure, loss function and data processing. In this study, four different types of broken and discontinuous water body extractions from Landsat were employed to test the performance of the DMAM- UNet method. The results of the four experiments showed that the proposed DMAM-UNet obtains better extraction accuracy than the two other related algorithms.",water extraction,remote sensing,deep learning,UNet,,,,,,,,,,,,,,,,
Row_1266,"Liu, Yang","Li, Qingyong","Li, Xiaobao","He, Shuyi","Liang, Fengjiao",Leveraging Physical Rules for Weakly Supervised Cloud Detection in Remote Sensing Images,,2023,3,"Cloud detection plays a significant role in remote sensing (RS) image applications. Existing deep learning-based cloud detection methods rely on massive precise pixelwise annotations, which are time-consuming and expensive. To alleviate this problem, we propose a weakly supervised cloud detection framework that leverages physical rules to generate weak supervision for cloud detection in RS images. Specifically, a rule-based adaptive pseudo labeling (RAPL) algorithm is devised to adaptively annotate potential cloud pixels based on cloud spectral properties without manual intervention. Unlike existing physical annotations using fixed thresholds, RAPL employs the bidirectional threshold segmentation and adaptive gating mechanism to annotate cloud and boundary masks with more explicit semantic categories and spatial structures separately. Subsequently, these pseudo masks are treated as weak supervision to optimize the heuristic cloud detection network for pixelwise segmentation. Considering that clouds appear as complex geometric structures and nonuniform spectral reflectance, a deformable boundary refining module is designed to enhance the modeling ability of spatial transformation and activate sharp boundaries from translucent cloud regions. Moreover, a harmonic loss is employed to recognize clouds with nonuniform spectral reflectance and suppress the interference of bright backgrounds. Extensive experiments on the GF-1, L8 Biome, and weakly supervised cloud detection (WDCD) datasets demonstrate that the proposed method achieves state-of-the-art results. A public reference implementation of this work in PyTorch is available at https://github.com/NiAn-creator/HeuristicCloudDetection.",Cloud detection,convolutional neural network (CNN),remote sensing (RS) image,weakly supervised semantic segmentation,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"Yao, Zhigang",,,,,"Jiang, Jun","Wang, Wen",,,,,
Row_1267,"Zhu, Qing","Liao, Cheng","Hu, Han","Mei, Xiaoming","Li, Haifeng",MAP-Net: Multiple Attending Path Neural Network for Building Footprint Extraction From Remote Sensed Imagery,,JUL 2021,185,"Building footprint extraction is a basic task in the fields of mapping, image understanding, computer vision, and so on. Accurately and efficiently extracting building footprints from a wide range of remote sensed imagery remains a challenge due to the complex structures, variety of scales, and diverse appearances of buildings. Existing convolutional neural network (CNN)-based building extraction methods are criticized for their inability to detect tiny buildings because the spatial information of CNN feature maps is lost during repeated pooling operations of the CNN. In addition, large buildings still have inaccurate segmentation edges. Moreover, features extracted by a CNN are always partially restricted by the size of the receptive field, and large-scale buildings with low texture are always discontinuous and holey when extracted. To alleviate these problems, multiscale strategies are introduced in the latest research works to extract buildings with different scales. The features with higher resolution generally extracted from shallow layers, which extracted insufficient semantic information for tiny buildings. This article proposes a novel multiple attending path neural network (MAP-Net) for accurately extracting multiscale building footprints and precise boundaries. Unlike existing multiscale feature extraction strategies, MAP-Net learns spatial localization-preserved multiscale features through a multiparallel path in which each stage is gradually generated to extract high-level semantic features with fixed resolution. Then, an attention module adaptively squeezes the channel-wise features extracted from each path for optimized multiscale fusion, and a pyramid spatial pooling module captures global dependence for refining discontinuous building footprints. Experimental results show that our method achieved 0.88%, 0.93%, and 0.45% F1-score and 1.53%, 1.50%, and 0.82% intersection over union (IoU) score improvements without increasing computational complexity compared with the latest HRNetv2 on the Urban 3-D, Deep Globe, and WHU data sets, respectively. Specifically, MAP-Net outperforms multiscale aggregation fully convolutional network (MA-FCN), which is the state-of-the-art (SOTA) algorithms with postprocessing and model voting strategies, on the WHU data set without pretraining and postprocessing. The TensorFlow implementation is available at https://github.com/lehaifeng/MAPNet.",Feature extraction,Buildings,Semantics,Data mining,Spatial resolution,Remote sensing,Convolution,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Attention mechanism,building footprint extraction,deep learning,remote sensing imagery,,,semantic segmentation,,,,
Row_1268,"Zhang, Xiaokang","Zhang, Boning","Yu, Weikang","Kang, Xudong",,Federated Deep Learning With Prototype Matching for Object Extraction From Very-High-Resolution Remote Sensing Images,,2023,15,"Deep convolutional neural networks (DCNNs) have become the leading tools for object extraction from very-high-resolution (VHR) remote sensing images. However, the label scarcity problem of local datasets hinders the prediction performances of DCNNs, and privacy concerns regarding remote sensing data often arise in the traditional deep learning schemes. To cope with these problems, we propose a novel federated learning scheme with prototype matching (FedPM) to collaboratively learn a richer DCNN model by leveraging remote sensing data distributed among multiple clients. This scheme conducts the federated optimization of DCNNs by aggregating clients' knowledge in the gradient space without compromising data privacy. Specifically, the prototype matching method is developed to regularize the local training using prototypical representations while reducing the distribution divergence across heterogeneous image data. Furthermore, the derived deviations across local and global prototypes are applied to quantify the effects of local models on the decision boundary and optimize the global model updating via the attention-weighted aggregation scheme. Finally, the sparse ternary compression (STC) method is used to alleviate communication costs. Extensive experimental results derived from VHR aerial and satellite image datasets verify that the FedPM can dramatically improve the prediction performance of DCNNs on object extraction with lower communication costs. To the best of our knowledge, this is the first time that federated learning has been applied for remote sensing visual tasks.",Training,Federated learning,Data models,Remote sensing,Feature extraction,Prototypes,Deep learning,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,federated learning,object extraction,remote sensing images,semantic segmentation,,,,,,,
Row_1269,"Li, Mengmeng","Long, Jiang","Stein, Alfred","Wang, Xiaoqin",,Using a semantic edge-aware multi-task neural network to delineate agricultural parcels from remote sensing images,,JUN 2023,27,"This paper presents a semantic edge-aware multi-task neural network (SEANet) to obtain closed boundaries when delineating agricultural parcels from remote sensing images. It derives closed boundaries from remote sensing images and improves conventional semantic segmentation methods for the extraction of small and irregular agricultural parcels. SEANet integrates three correlated tasks: mask prediction, edge prediction, and distance map estimation. Related features learned from these tasks improve the generalizability of the network. We regard boundary extraction as an edge detection task and extract rich semantic edge features at multiple levels to improve the geometric accuracy of parcel delineation. Moreover, we develop a new multi-task loss that considers the uncertainty of different tasks. We conducted experiments on three high-resolution Gaofen-2 images in Shandong, Xinjiang, and Sichuan provinces, China, and on two medium-resolution Sentinel-2 images from Denmark and the Netherlands. Results showed that our method produced a better layout of agricultural parcels, with higher attribute and geometric accuracy than the existing ResUNet, ResUNet-a, R2UNet, and BsiNet methods on the Shandong and Denmark datasets. The total extraction errors of the parcels produced by our method were 0.214, 0.127, 0.176, 0.211, and 0.184 for the five datasets, respectively. Our method also obtains closed boundaries by one single segmentation, leading to superiority as compared with existing multi-task networks. We showed that it could be applied to images with different spatial resolutions for parcel delineation. Finally, our method trained on the Xinjiang dataset could be successfully transferred to the Shandong dataset with different dates and landscapes. Similarly, we obtained satisfactory results when transferring from the Denmark dataset to the Netherlands dataset. We conclude that SEANet is an accurate, robust, and transferable method for various areas and different remote sensing images. The codes of our model are available at htt ps://github.com/long123524/SEANet_torch.",Agricultural parcel delineation,SEANet,Multi-task neural networks,Semantic edge-aware detection,Uncertainty weighted loss,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,,,,,,,,,
Row_1270,"Sun, Ying","Zhang, Xinchang","Xin, Qinchuan","Huang, Jianfeng",,Developing a multi-filter convolutional neural network for semantic segmentation using high-resolution aerial imagery and LiDAR data,,SEP 2018,81,"Semantic segmentation of LiDAR and high-resolution aerial imagery is one of the most challenging topics in the remote sensing domain. Deep convolutional neural network (CNN) and its derivatives have recently shown the abilities in pixel-wise prediction of remote sensing data. Many existing deep learning methods fuse LiDAR and high-resolution aerial imagery towards an inter-modal mode and thus overlook the intra-modal statistical characteristics. Additionally, the patch-based CNNs could generate the salt-and-pepper artifacts as characterized by isolated and spurious pixels on the object boundaries and patch edges leading to unsatisfied labelling results. This paper presents a semantic segmentation scheme that combines multi-filter CNN and multi-resolution segmentation (MRS). The multi-filter CNN aggregates LiDAR data and high-resolution optical imagery by multi modal data fusion for semantic labelling, and the MRS is further used to delineate object boundaries for reducing the salt-and-pepper artifacts. The proposed method is validated against two datasets: the ISPRS 2D semantic labelling contest of Potsdam and an area of Guangzhou in China labelled based on existing geodatabases. Various designs of data fusion strategy, CNN architecture and MRS scale are analyzed and discussed. Compared with other classification methods, our method improves the overall accuracies. Experiment results show that our combined method is an efficient solution for the semantic segmentation of LiDAR and high-resolution imagery.",LiDAR,High-resolution imagery,Multi-modal fusion,Multi-resolution segmentation,Semantic segmentation,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,,,,,,,,,
