,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16
Row_11,"Tan, Xuelan","Yu, Hangling","Zhong, Xinxiou","Wang, Weilin",,,,,,,Delineating urban growth boundaries by coupling urban interactions and ecological conservation,CITIES,FEB 2024,1,"Urban growth boundaries (UGBs) are efficient tools for controlling disorderly urban expansion/sprawl and ensuring sustainable urban development. Previous studies have delineated UGBs from the perspective of ecological conservation or efficiency improvement and have widely applied them to spatial planning. However, few studies have investigated the role of urban interactions and connections in delineating UGBs, especially in rapidly developing urban agglomerations. Our study proposed a novel framework for UGBs delineation in urban agglomerations by coupling urban interactions and ecological conservation, with two innovative points. First, interurban interactions and connections were quantified to elucidate the transition rules of cellular automata (CA), and ecological conservation was configured as a constraint of the CA model. Second, the hierarchical generalized linear model (HGLM)-CA model was used to simulate the urban land pattern in 2035, and the dilation-erosion algorithm realized the final UGBs. The proposed framework was applied to UGBs delineation in the Changsha-Zhuzhou-Xiangtan (CZX) urban agglomeration, a rapidly developing urban agglomeration in China. Furthermore, a comparison among multi-scenario UGBs shows that urban interactions and connections can accelerate the clustering of urban development, and the delineated UGBs are more practical. Our study highlighted the importance of urban interactions for UGBs delineation in urban agglomerations and evaluated a case of UGBs delineation to validate our appeal.",Urban growth boundaries (UGBs),Urban interactions,Urban expansion,Cellular automata (CA),Urban agglomerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_12,"Wang, Jiali","Yang, Yuanzheng","Zu, Jiaxing","Cai, Wenhua","Yang, Jian",,,,,,Investigating the spatial interaction between urban expansion and the regional thermal environment in Guangxi Beibu Gulf urban agglomeration of China,PHYSICS AND CHEMISTRY OF THE EARTH,OCT 2024,0,"Rapid urbanization and its associated surface modifications play a vital role in generating and intensifying the urban heat island (UHI). Numerous research has investigated the impact of landscape composition and structure on urban land surface temperature (LST), yet the spatial clustering and heterogeneity between urbanization and the regional thermal environment remained largely unexplored. Here, we analyzed land use dynamics and LST variations in the Guangxi Beibu Gulf urban agglomeration (GBG_UA) from 2000 to 2020. The spatial relationships between urban expansion and the regional thermal environment were explored by bivariate spatial autocorrelation and coupling coordination degree analysis. The results demonstrated that the land use in the GBG_UA remained relatively stable, except for the expansion of developed land in urban centers. The area of heat island zones clearly increased, leading to an enhancement of the UHI effect. Urban development and the regional thermal environment exhibited a robust positive spatial autocorrelation. The H-H (High-High) and L-L (LowLow) types displayed significant aggregation effects. The H-H cluster areas dominated the central urban cores of prefecture-level cities, while the L-L correlation areas were primarily found in mountainous regions. The overall coupling coordination degree was relatively low, with most areas falling into the moderate dissonance level. While it showed a positive shift, with the regions of concordance levels expanding and coupling coordination degree increased. Our study reveals a close spatial correlation between urban sprawl and the UHI effect. The results can offer valuable insights for optimizing the urban green infrastructure to enhance urban heat mitigation and adaptation.",Urban expansion,Urban heat island effect,Spatial relationship,Bivariate spatial autocorrelation,Coupling coordination degree,Guangxi Beibu Gulf urban agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_13,"Liu, Xuan","Xu, Hengzhou","Zhang, Miao",,,,,,,,The effects of urban expansion on carbon emissions: Based on the spatial interaction and transmission mechanism,JOURNAL OF CLEANER PRODUCTION,JAN 1 2024,16,"Timely and scientific investigation into the complex relationship between urban expansion and carbon emissions is imperative to support urban decarbonization efforts. However, the existing framework cannot fully consider spatial interaction or accurately explore the transmission mechanism. To narrow the knowledge gaps, this study provides both theoretical and empirical insights into the impacts of urban expansion on carbon emissions. Based on the panel data of 284 cities in China during 2007-2019, the spatial Durbin model and mediating effect model are primarily utilized to reveal the following results: (i) Urban expansion and carbon emissions show significant spatial heterogeneity, spatial autocorrelation, and spatial spillover. Urban expansion is shifting from a nationwide multi-point distribution to a localized regional distribution, while carbon emissions maintain stable spatial patterns. Urban expansion has U-shaped direct effects on local carbon emissions but inverted U-shaped spatial spillover effects on neighboring cities' carbon emissions. (ii) Industrial structure upgrading and industrial agglomeration are pivotal mediating mechanisms in the relationship between urban expansion and carbon emissions. (iii) Urban expansion is recommended to be limited to a land expansion rate at about twice the population expansion rate. In essence, these findings underscore the need for reasonable urban expansion and spatial interaction strategies to promote collaborative low-carbon development.",Urban expansion,Carbon emission,Industrial structure upgrading,Industrial agglomeration,Spatial spillover effect,Transmission mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_14,"Zhang, Jingyuan","Tan, Puay Yok",,,,,,,,,Assessment of spatial equity of urban park distribution from the perspective of supply-demand interactions*,URBAN FORESTRY & URBAN GREENING,FEB 2023,14,"Urban parks have been widely recognized for the critical functions they provide in enhancing health and wellbeing. However, parks are known to be inadequately provided and non-uniformly distributed in cities, leading to an increasing interest to examine spatial equity of park distribution. Such studies have mostly focused on the distributional attributes of park supply in determining spatial equity, while the role of residents' demand is usually ignored or not adequately assessed. In addition, people's preferences for park use were normally ignored and nearest parks were assumed as supplier of park services. Moreover, even though equity assessment is scale-dependent, few studies adopt a multi-scale assessment. We report on a study to address these gaps. A multi scale Supply-Demand Equity Index (SDEI) was developed to assess spatial equity of park distribution from the perspective of supply and demand interactions, and data were collected at a fine scale of neighborhood level. Residents' accessibility to their most often used parks and nearest parks were used to assess and compare supply level; while residents' perceptions obtained from surveys and population density were used to assess and compare demand level. Results showed that supply measured by accessibility to most often used park more accurately reflects supply, and demand assessment on the basis of perception could reflect variations among different social groups and reveal otherwise hidden patterns of spatial inequity. It was also shown that SDEI could identify areas where mismatch between supply and demand occurs. We demonstrated in a single study that different definitions and approaches of quantifying spatial equity can lead to distinct conclusions, therein highlighting that the complex nature of equity requires nuanced approaches and providing a broader view of equity assessment. In addition, the implications of this study for urban park planning and management were highlighted.",Spatial equity,Supply-Demand interactions,Most often used parks,Perceptional demand,Multi-scale analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_15,"Zhou, Zijie","Song, Feng",,,,,,,,,"Urban and Rural Spatial Evolution under Game Theory: A Case Study of Urban Villages in Guangzhou, China","PRAXIS OF URBAN MORPHOLOGY, PT 2",2023,2,"Socialist China has undergone a transformation from a planned system to a market economy, and South China region is at the forefront of this modernization process. In the process of urban expansion and industrial construction, the original rural settlement form will evolve and undergo adaptive transformation. This study starts from the theoretical foundation of the Conzen's research on the evolution of urban morphology, and takes a series of urban villages in the central city of Guangzhou in South China, represented by Shipai, Yangji, Pazhou and Wenchong Village, as the research objects. By using literature research, archival research, map and image analysis methods, the morphological periods of the land parcels are divided, including the morphological framework, plane type units, and the plot pattern and architectural pattern, as well as the underlying social driving factors. It is concluded that the driving force for the morphological change of villages on the edge of urban areas in southern China should be the change in production and living organizational forms caused by differences in urbanization levels, which is essentially a process of urban-rural game and interaction, and has characteristics such as gradualness, complexity, and diffusion from the centre to the edge.",Game theory,Urban and rural spatial evolution,Urban Villages,Morphological changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_16,"Liu, Xiaotong","Xia, Haishan",,,,,,,,,Networking and sustainable development of urban spatial planning: Influence of rail transit,SUSTAINABLE CITIES AND SOCIETY,DEC 2023,13,"Urban rail transit supports the development of megacities, while changes in urban spatial structure affect the structure of urban rail transit networks and the carbon emissions of vehicles. The interactions between urban rail transit and urban space in megacities form a complex spatial networking system. It has become important to guide cities toward low-carbon, energy-saving, and sustainable development through rail transit planning recently. To address this need, this study engages in theoretical clarification by, first, conducting a literature metrology analysis method to explore the relationship between rail transit, urban space, and sustainability. The analysis revealed that improving rail transit network efficiency for urban sustainable development. Next, this study summarized (1) the laws of the role of rail transit on urban spatial structure. (2) Pointed out there is a relative lack of research on the internal network structure of megacities. Lastly, the study summarized the influencing factors and optimization measures of network efficiency from existing literature and it is pointed out that (1) the optimization of network efficiency lacks consideration of sustainable urban concepts, and there are few studies on rail transit network efficiency. (2) The collaborative development of urban spatial networks driven by Big Data is a future research trend.",Megacity,Sustainable,Rail transit,Urban spatial structure,Network efficiency,Urban spatial networking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_17,"Yang, Xiaodong","Li, Huili","Zhang, Jiayu","Niu, Shuyi","Miao, Mengmeng",,,,,,Urban economic resilience within the Yangtze River Delta urban agglomeration: Exploring spatially correlated network and spatial heterogeneity,SUSTAINABLE CITIES AND SOCIETY,APR 2024,10,"As interconnectivity within urban agglomeration intensifies, enhancing inter-city economic linkages and resilience to uncertainty shocks has become imperative for economic sustainability. This study measured urban economic resilience, and then unveiled its spatial correlation and heterogeneity at urban agglomeration scale. Social network analysis revealed overall network characteristics and nodes' structural features of the delineated spatially correlated network of economic resilience. Factors driving spatial correlations were explored using QAP regression. Additionally, spatial heterogeneity of economic resilience was analysed, and GeoDetector was employed to determine the impacts of various factors and their interactions. The economic resilience of 26 cities within the Yangtze River Delta urban agglomeration was calculated. The spatially correlated network exhibits lower density and efficiency. Some cities play central, bridging, and connected roles, while others have limited connectivity, linked to factors like population mobility, spatial adjacency, economic development difference, and knowledge network. During regional integration strategy promotion, significant global spatial autocorrelation is observed, and local spatial autocorrelation reveals heterogeneity in economic resilience. It could be explained by various factors, with nonlinear enhancement effects of two-factor interactions. Recommendations are proposed for enhancing economic resilience by strengthening connections and coordinating despite differences, thus facilitating resilience shaping economic growth and advancing regional sustainability.",Urban economic resilience,Spatially correlated network,Spatial heterogeneity,Urban agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_18,"He, Qingsong","Yan, Miao","Zheng, Linzi","Wang, Bo",,,,,,,Spatial stratified heterogeneity and driving mechanism of urban development level in China under different urban growth patterns with optimal parameter-based geographic detector model mining,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,OCT 2023,23,"The rapid urbanization leads to the dynamic changes of the urban external landscape and forms different urban growth patterns (UGP), which in turn affects the development level of the urban internal functions as well. However, few studies have quantitatively examined the spatial stratified heterogeneity (SSH) and driving mechanism of the urban development level (UDL) under different UGPs. Based on the multi-source geographic data of 368 Chinese cities, this study identified the UGP at the patch scale from 2010 to 2020. It furthermore quantified the UDL of newly added construction land. In order to reveal the SSH pattern, motivating factors, and interaction mechanism of the UDL under different UGPs, this paper chose to use the optimal parameter-based geographic detector (OPGD) model, which accounts for the modifiable areal unit problem (MAUP). The re-sults indicate that: 1) There are significant spatial differences in the UDL among different UGPs. Namely, the infilling pattern exhibits the highest UDL, followed by the edge pattern, and the outlying pattern, which has the worst UDL; 2) The SSH of the UDL is defined by the interaction of multiple factors. Different UGPs have both differences and similarities in their motivating factors, thus affecting the spatial distribution of UDL. GDP density and road network density are the two factors with the strongest driving force for all UGPs. Specifically, the UDL of infilling-expansion areas is more sensitive to the industrial structure and infrastructure conditions. On the other hand, factors such as residential density and socio-economic activities are more important to the UDL of edge-expansion areas, while population, topography, and location factors have a stronger influence on the UDL of outlying-expansion; 3) A change of spatial scale will result in the heterogeneity of the influence of motivating factors in each UGP. In general, the systematic comparison of the SSH and driving mechanism of UDL under different UGPs helps us explore high-quality and sustainable urbanization paths. As a result, this scientific field is given theoretical basis for urban planners and managers to rationally regulate external urban forms and optimize the internal structure layout.",Urban growth pattern,Urban development level,Spatial stratified heterogeneity,Optimal parameter -based geographic detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_19,"Ferretti-Ramoss, Mariano A.",,,,,,,,,,Urban system and complexity. Socio-spatial fragmentation as a systemic process of inequality,ESTOA-REVISTA DE LA FACULTAD DE ARQUITECTURA Y URBANISMO DE LA UNIVERSIDAD DE CUENCA,JUL-DEC 2024,0,"The shape of cities has historically been the expression of complex processes of material and energy differentiation. Like any open and self-regulating system, it needs to evolve by exchanging flows of information and matter with its environment based on non-linear interactions made up of hierarchies and complementarities necessary for its adaptation. In order to establish causality with the phenomenon of socio-spatial fragmentation, structural inequality has been analyzed as a stratifying factor of spatialities in urban space. The dialectical hermeneutic method has allowed the modeling of concepts from information theory and thermodynamics to explain the interaction logic of the operating subsystems and their consequences in the hybrid structuring of urban space. The identification of cycles and morphogenetic causality in the production of spatialities forms a theoretical-conceptual contribution to the study of urban dynamics when spatial proximity coexists with social distance as a norm.",urban systems,urban complexity,urban coevolution,urban inequality,socio-spatial fragmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_20,"Del Pinto, Monia","Chmutina, Ksenia","Palaiologou, Falli","Bosher, Lee",,,,,,,The Role of the Spatial Network in Urban Disaster Risk Variations: Reimagining the Notion of Spatial Vulnerability at the Urban Scale,INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,JUN 2024,1,"The notion of ""spatial vulnerability"" is present in most disaster studies with a strong geographical connotation and accordingly is adopted at all scales, including the urban. While enabling mapping and visualizing risk patterns at macroscales, this geocentric foundation fails to capture disaster risk dynamics associated with the urban spatial network-an element that plays a significant role in the everyday and emergency functioning of cities, enabling users' movement and interaction. Yet, urban vulnerability assessment overlooks this aspect and thus leaves urban disaster risk mechanisms partially unexplored. This study investigated the role of the network of urban public open spaces (UPOS) in the creation and progression of urban disaster risk in earthquake-prone settlements. Through a multimethod approach that integrates quantitative and qualitative methods and explores spatial configuration, planning policies, and practices of use of UPOS in everyday and emergency scenarios, our study demonstrated that UPOS configuration plays an active role in urban disaster risk. Urban public open spaces impact risk by influencing the exposure of pedestrians and their capacity for self-protection. The study further reconceptualized spatial vulnerability at the urban scale, as the fraction of vulnerability associated to the spatial network, highlighting the interplay of planning policies and spatial practices in its production and progression. Our findings make the notion of spatial vulnerability less ambiguous at the urban scale, by viewing the variable as an imbalance in capacities and exposure that generates spatially unsafe conditions. This refined conceptualization of spatial vulnerability becomes a lens for a more granular approach to urban disaster risk reduction and city planning by identifying and integrating sociospatial considerations.",Central Italy Earthquakes,Pedestrian evacuation,Space syntax,Spatial vulnerability,Urban disaster risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
