,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49,author50,author51,author52,author53,author54,author55,author56,author57,author58,author59,author60,author61,author62,author63,author64,author65,author66,author67,author68,author69,author70,author71,keyword6,conference,keyword7,keyword8,keyword9,keyword10
Row_89,"Yoneoka, Daisuke","Saito, Eiko","Nakaoka, Shinji",,,,,,,,,,,,,,,New algorithm for constructing area-based index with geographical heterogeneities and variable selection: An application to gastric cancer screening,SCIENTIFIC REPORTS,MAY 24 2016,13,"To optimally allocate health resources, policy planners require an indicator reflecting the inequality. Currently, health inequalities are frequently measured by area-based indices. However, methodologies for constructing the indices have been hampered by two difficulties: 1) incorporating the geographical relationship into the model and 2) selecting appropriate variables from the high-dimensional census data. Here, we constructed a new area-based health coverage index using the geographical information and a variable selection procedure with the example of gastric cancer. We also characterized the geographical distribution of health inequality in Japan. To construct the index, we proposed a methodology of a geographically weighted logistic lasso model. We adopted a geographical kernel and selected the optimal bandwidth and the regularization parameters by a two-stage algorithm. Sensitivity was checked by correlation to several cancer mortalities/screening rates. Lastly, we mapped the current distribution of health inequality in Japan and detected unique predictors at sampled locations. The interquartile range of the index was 0.0001 to 0.354 (mean: 0.178, SD: 0.109). The selections from 91 candidate variables in Japanese census data showed regional heterogeneities (median number of selected variables: 29). Our index was more correlated to cancer mortalities/screening rates than previous index and revealed several geographical clusters with unique predictors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_90,"Nie, Jun","Jiang, Tangyang","Yu, Yang",,,,,,,,,,,,,,,"Understanding the influencing factors of energy consumption in China: A dual perspective of geographical space and economic ""new normal""",NATURAL RESOURCES FORUM,MAY 2024,0,"China's economy has transtioned into the ""new normal"", which demands higher standards for energy utilization efficiency. Meanwhile, the spatial distribution of China's energy consumption and economic development exhibits a significant imbalance, complicating efforts to achieve Pareto optimization of regional energy allocation efficiency. Addressing this issue, this study explores the heterogeneity of the factors influencing energy consumption in China from the dual perspectives of economic ""new normal"" and geographic space, using an exponential decomposition model. The results of the study show that: (1) the inhibitory effect of the energy intensity effect on the growth of regional energy consumption is differentiated, with stronger inhibitory effects in Guangdong, Jiangsu and other provinces, and weaker inhibitory effects in Hainan, Qinghai, and other provinces. Living standard effect on the regional energy consumption growth of the promotion of the effect also has differences, Jiangsu, Shandong and other provinces of the promotion of the effect is stronger, while Hainan, Qinghai, and other provinces of the promotion of the effect is weaker. (2) Population size effect on regional energy consumption growth is not consistent in the direction of the role of Guangdong, Zhejiang, and other provinces have a promotional effect and the role of the effect of the stronger, on the contrary, the provinces of Heilongjiang, Jilin, and Gansu has an inhibitory effect. (3) In the late stage of the economic ""new normal"", the effects of energy intensity effect, living standard effect and population size effect on the growth of energy consumption in the four regions show a weakening trend, and this weakening trend is more obvious in the northeast region. This study expands theoretical research on factors affecting energy consumption and offers practical guidance for China's government to coordinate regional energy allocation under the economic ""new normal"" and geographical considerations.","economic ""new normal""",energy consumption,geographical space,heterogeneity analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_91,"Cowling, RM","Lombard, AT",,,,,,,,,,,,,,,,"Heterogeneity, speciation/extinction history and climate: explaining regional plant diversity patterns in the Cape Floristic Region",DIVERSITY AND DISTRIBUTIONS,MAY 2002,181,"This paper investigates the role of heterogeneity and speciation/extinction history in explaining variation in regional scale (c. 0.1-3000 km(2)) plant diversity in the Cape Floristic Region of south-western Africa, a species- and endemic-rich biogeographical region. We used species-area analysis and analysis of covariance to investigate geographical (cast vs. west) and topographic (lowland vs. montane) patterns of diversity. We used community diversity as a surrogate for biological heterogeneity, and the diversity of naturally rare species in quarter degree squares as an indicator of differences in speciation/extinction histories across the study region. We then used standard statistical methods to analyse geographical and topographic patterns of these two measures. There was a clear geographical diversity pattern (richer in the west), while a topographic pattern (richer in mountains) was evident only in the west. The geographical boundary coincided with a transition from the reliable winter-rainfall zone (west) to the less reliable non-seasonal rainfall zone (cast). Community diversity, or biological heterogeneity, showed no significant variation in relation to geography and topography. Diversity patterns of rare species mirrored the diversity pattern for all species. We hypothesize that regional diversity patterns are the product of different speciation and extinction histories, leading to different steady-state diversities. Greater Pleistocene climatic stability in the west would have resulted in higher rates of speciation and lower rates of extinction than in the east, where for the most, Pleistocene climates would not have favoured Cape lineages. A more parsimonious hypothesis is that the more predictable seasonal rainfall of the west would have favoured non-sprouting plants and that this, in turn, resulted in higher speciation and lower extinction rates. Both hypotheses are consistent with the higher incidence of rare species in the west, and higher levels of beta and gamma diversity there, associated with the turnover of species along environmental and geographical gradients, respectively. These rare species do not contribute to community patterns; hence, biological heterogeneity is uniform across the region. The weak topography pattern of diversity in the west arises from higher speciation rates and lower extinction rates in the topographically complex mountains, rather than from the influence of environmental heterogeneity on diversity.",extinction,heterogeneity,plant diversity,speciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_92,"Barker, JSF","Krebs, RA","Davies, HI",,,,,,,,,,,,,,,"Geographical distributions, relative abundance and coexistence of Drosophila aldrichi and Drosophila buzzatii in Australia",AUSTRAL ECOLOGY,AUG 2005,13,"Climatic data and collection records for the cactophilic Drosophila aldrichi and Drosophila buzzatii for 97 localities were used to examine the effects of geographical location, season, host plant species and climatic factors on their range and relative abundance. Temporal variation in relative abundance was assessed from monthly collections over 4 years at one locality. Effects of weather variables over the 28 days before each collection were examined. A generalized linear model of the spatial data showed significant geographical variation in relative abundance, and significant climatic effects, with the proportion of D. aldrichi higher in the warm season, and increasing as temperature variation decreased and moisture indices increased. The temporal data gave generally concordant results, as D. aldrichi proportion was higher in summer and autumn, and increased as maximum and minimum temperatures increased, and as variation in maximum temperature decreased. In a laboratory competition experiment, D. aldrichi eliminated D. buzzatii at 31 degrees C, but was itself eliminated at 18 degrees C and 25 degrees C. The range of D. buzzatii is constrained only by availability of its host plant, Opuntia species, although its relative abundance is reduced in the northern part of its distribution. The range of D. aldrichi, from central Queensland to northern NSW, Australia, is entirely within that of D. buzzatii, and its relative abundance decreases from north to south. Both climate and weather, particularly temperature variability, have direct effects on the relative abundances of the two species, and both likely act indirectly by influencing the outcome of interspecific competition.",cactophilic Drosophila,climate profile,geographical range,interspecific competition,spatial heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_93,"Liu, Chengjian","Zou, Lei","Xia, Jun","Chen, Xinchi","Zuo, Lingfeng","Yu, Jiarui",,,,,,,,,,,,Spatiotemporal Heterogeneity of Water Conservation Function and Its Driving Factors in the Upper Yangtze River Basin,REMOTE SENSING,NOV 2023,7,"The water conservation function (WCF), as one of the most critical ecosystem services, has an important impact on the ecological sustainability of a region. Accurately characterizing the spatiotemporal heterogeneity of WCF and further exploring its driving factors are of great significance for river basin management. Here, the WCF of the upper Yangtze River basin (UYRB) from 1991 to 2020 was calculated using the water yield module in the Integrated Valuation of Ecosystem Service and Tradeoffs (InVEST) model. Also, we innovatively applied emerging hot spot analysis (EHSA), which could describe the location and pattern of historical changes more accurately, to investigate the spatiotemporal heterogeneity and evolution of WCF. Based on the Geographical Detector Model (GDM), the main driving factors of WCF and their interactions were revealed. The results showed the following: (1) the WCF in the UYRB experienced a temporal increase at a growth rate of 1.48 mm/a, while remarkable differences were observed across the change rates of sub-watersheds. (2) The spatial variation of the WCF showed a gradual increase from northwest to southeast. Interestingly, the Jinshajing River upstream (JSJU) source area with a low WCF showed an increasing trend (with diminishing cold spots). On the contrary, the downstream regions of the JSJU watershed (with intensifying cold spots) underwent a weakening WCF. (3) Among all driving factors, precipitation (q = 0.701) exhibited the most remarkable prominent impact on the spatial heterogeneity of the WCF. Additionally, the interaction of factors exhibited more explanatory power than each factor alone, such as precipitation and saturated soil hydraulic conductivity (q = 0.840). This research study is beneficial to water resource management and provides a theoretical basis for ecological restoration.",water conservation function,spatiotemporal heterogeneity,driving factors,emerging hot spot analysis,geographical detector model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_94,"Wang, Yongji","Qi, Qingwen","Zhou, Lin","Wang, Meizi","Wang, Qinqin","Wang, Jun",,,,,,,,,,,,Recognition of potential outliers in soil datasets from the perspective of geographical context for improving farm-level soil mapping accuracies,GEODERMA,MAR 2023,1,"Soil datasets with outliers lead to inaccurate farm-level digital soil mapping (DSM) results. Existing methods identify potential outliers in soil datasets based on expert experience or simple statistics that neglect the geographical characteristics of soil. In this paper, a novel potential outlier recognition method was developed from the perspective of geographical context. First, spatial search distance was automatically determined by the spatial distance among soil samples. Second, similarities of adjacent soil samples and the local spatial variation level were comprehensively considered to calculate outlier scores. Finally, a frequency histogram of outlier scores was generated to determine a suitable threshold for recognizing potential abnormal samples. To validate the proposed method, it was compared to Lambda and Box-Plot methods, and the ordinary kriging method was used to map five soil properties, including pH, soil organic matter, total nitrogen, available phosphorus and available potassium, in an agricultural region. Then, a synthetic study using artificially contaminated DEM data was also conducted. The comparative experiment shows that the proposed method is better able to recognize potential outliers by mining the local spatial structure, as indicated by lower mean absolute error (MAE) and root mean square error (RMSE) values. It can be concluded that consideration of local spatial autocorrelation and heterogeneity is helpful in recognizing potential outliers.",Digital soil mapping (DSM),Soil samples,Outlier recognition,Geographical context,Local spatial autocorrelation and heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_95,"Dangisso, Mesay Hailu","Datiko, Daniel Gemechu","Lindtjorn, Bernt",,,,,,,,,,,,,,,Identifying geographical heterogeneity of pulmonary tuberculosis in southern Ethiopia: a method to identify clustering for targeted interventions,GLOBAL HEALTH ACTION,DEC 31 2020,12,"Background Previous studies from Ethiopia detected disease clustering using broader geographic settings, but limited information exists on the spatial distribution of the disease using residential locations. An assessment of predictors of spatial variations of TB at community level could fill the knowledge gaps, and helps in devising tailored interventions to improve TB control. Objective To assess the pattern of spatial distribution of pulmonary tuberculosis (PTB) based on geographic locations of individual cases in the Dale district and Yirga Alem town in southern Ethiopia. Methods The socio-demographic characteristics of PTB cases were collected using a structured questionnaire, and spatial information was collected using geographic position systems. We carried out Getis and Ord (Gi*) statistics and scan statistics to explore the pattern of spatial clusters of PTB cases, and geographically weighted regression (GWR) was used to assess the spatial heterogeneities in relationship between predictor variables and PTB case notification rates (CNRs). Results The distribution of PTB varied by enumeration areas within the kebeles, and we identified areas with significant hotspots in various areas ineach year. In GWR analysis, the disease distribution showed a geographic heterogeneity (non-stationarity) in relation to physical access (distance to TB control facilities) and population density (AICc = 5591, R-2 = 0.3359, adjusted R-2 = 0.2671). The model explained 27% of the variability in PTB CNRs (local R-2 ranged from 0.0002-0.4248 between enumeration areas). The GWR analysis showed that areas with high PTB CNRs had better physical accessibility to TB control facilities and high population density. The effect of physical access on PTB CNRs changed after the coverage of TB control facilities was improved. Conclusion We report a varying distribution of PTB in small and different areas over 10 years. Spatial and temporal analysis of disease distribution can be used to identify areas with a high burden of disease and predictors of clustering, which helps in making policy decisions and devising targeted interventions.",Spatial heterogeneity of tuberculosis,Spatial epidemiology,Geographically weighted regression,PTB clustering,Sidama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethiopia,,,,,
Row_96,"Wang, Qiang","Jiang, Xue-ting","Yang, Xue","Ge, Shuting",,,,,,,,,,,,,,"Comparative analysis of drivers of energy consumption in China, the USA and India - A perspective from stratified heterogeneity",SCIENCE OF THE TOTAL ENVIRONMENT,JAN 1 2020,54,"With the limited amount of resources, developing effective strategies to make full use of them and decrease the energy consumption without too much sacrifice of economic output requires identifying key drivers of energy consumption growth rate as a prerequisite. Meanwhile, as top three consumers of primary energy of the world, China, the United States of America, and India burn over 45% of global fuels in 2016. Conducting an empirically comparative analysis of them can also set up pilot scheme for other economies to develop more efficient strategies for energy consumption. The paper modified the original Geographical Detector model with a different sampling method to detect the key driver of energy consumption growth rate, which filling the gap that there are possible interactions of potential factors. The results show that coal intensity is the biggest driver to change overall energy consumption growth rate in China and India. In comparison, for the United States, the leading drivers of energy use are the factors of individual incomes and oil intensity. In addition, all factors have interactions and enhance each other when influencing total energy consumption growth rate. India has the strongest factor interactions when influencing the energy consumption growth rate among the three economies, all interactions between factors in US is not significant as those in China and India. Besides providing outcomes that can contribute towards developing new strategies to use energy more efficiently, this research offers a pilot example of analyzing energy issues from the perspective of stratified heterogeneity in consideration the characteristic differences of each factor. (C) 2019 Elsevier B.V. All rights reserved.",Energy consumption,Geographical detector,Stratified heterogeneity,China,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,,,,,
Row_97,"Valour, F.","Tasse, J.","Trouillet-Assant, S.","Rasigade, J. -P.","Lamy, B.","Chanard, E.","Verhoeven, P.","Decousser, J. -W.","Marchandin, H.","Bes, M.","Chidiac, C.","Vandenesch, F.","Ferry, T.","Laurent, F.",,,,Methicillin-susceptible Staphylococcus aureus clonal complex 398: high prevalence and geographical heterogeneity in bone and joint infection and nasal carriage,CLINICAL MICROBIOLOGY AND INFECTION,OCT 2014,23,"The prevalence of clonal complex (CC)398 methicillin-susceptible Staphylococcus aureus (MSSA) was unexpectedly high among bone and joint infections (BJIs) and nasal-colonizing isolates in France, with surprising geographical heterogeneity. With none of the major, most-known staphylococcal virulence genes, MSSA CC398 BJI was associated with lower biological inflammatory syndrome and lower treatment failure rates.",Clonal complex398,bone and joint infection,methicillin-susceptible Staphylococcus aureus,molecular epidemiology,nasal carriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,virulence factors,,,,,
Row_98,"Liu, H. -G.","Lv, L.","Shen, H.",,,,,,,,,,,,,,,Intratumoral heterogeneity of CD44v6 in rectal cancer,CLINICAL & TRANSLATIONAL ONCOLOGY,APR 2017,4,"Purpose CD44v6 plays a controversial role in tumor progression and patient outcome in colorectal cancer by plenty of conflicting reports. The purpose of this study was to profile the intratumoral heterogeneity of CD44v6 in rectal cancer and investigate its role in lymph node metastasis.Methods Sixty patients were included in this study. Immunohistochemistry for CD44v6 was performed in normal mucosa, primary tumor, and lymph node metastasis with whole tissue sections. The staining intensity in tumor center and invasive front was separately measured. Sampling bias was evaluated by quantitative real-time PCR with 15 pairs of frozen tissues from different sites of the primary tumor.Results CD44v6 expression increased from normal mucosa to primary tumor to lymph node metastasis. Multiple intratumoral staining patterns was observed in primary tumor, and CD44v6 expression in invasive front was significantly higher than that in tumor center. In addition, mRNA expression levels differed across different geographical regions of the tumor. No association between CD44v6 expression and lymph node metastasis was revealed.conclusions Substantial intratumoral heterogeneity of CD44v6 exists in rectal cancer that impacts the outcome of individual studies. CD44v6 expression should be assessed in a more precise way with a specified staining pattern and in a designated location.",CD44v6,Intratumoral heterogeneity,Rectal cancer,Metastasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_99,"Guo, Yaqiong","Li, Na","Ortega, Ynes R.","Zhang, Longxian","Roellig, Dawn M.","Feng, Yaoyu","Xiao, Lihua",,,,,,,,,,,Population genetic characterization of Cyclospora cayetanensis from discrete geographical regions,EXPERIMENTAL PARASITOLOGY,JAN 2018,9,"Cyclospora cayetanensis is an emerging pathogen that is endemic in developing countries and responsible for many large foodborne cyclosporiasis outbreaks in North America since 1990s. Because of the lack of typing targets, the genetic diversity and population genetics of C cayetanensis have not been investigated. In this study, we undertook a population genetic analysis of multilocus sequence typing data we recently collected from 64 C. cayetanensis specimens. Despite the extensive genetic heterogeneity in the overall C cayetanensis population, there were significant intra- and inter-genic linkage disequilibria (LD). A disappearance of LD was observed when only multilocus genotypes were included in the population genetic analysis, indicative of an epidemic nature of C. cayetanensis. Geographical segregation-associated sub-structuring was observed between specimens from China and those from Peru and the United States. The two subpopulations had reduced LD, indicating the likely occurrence of genetic exchange among isolates in endemic areas. Further analyses of specimens from other geographical regions are necessary to fully understand the population genetics of C cayetanensis. (C) 2017 Elsevier Inc. All rights reserved.",Cyclospora cayetanensis,Multilocus sequence typing,Genetic diversity,Population genetics,Geographical segregation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_100,"Marie-Vivien, Delphine","Carimentrand, Aurelie","Fournier, Stephane","Cerdan, Claire","Sautier, Denis",,,,,,,,,,,,,Controversies around geographical indications Are democracy and representativeness the solution?,BRITISH FOOD JOURNAL,NOV 21 2019,11,"Purpose - The purpose of this paper is to advance our understanding of the links between the representativeness of the local community by those drafting and elaborating the specification of the geographical indication (GI), the market access and the use of the GI.Design/methodology/approach - The present study followed a comparative research design, building upon primary data from the field works dealing with the elaboration and development of GIs worldwide, from legislations on the protection of GIs and from secondary data, i.e. literature dealing with the elaboration of the GI specifications at case level or national/international level.Findings - The GI is permeable to a multitude of objectives and the management of controversies represent the ""price of participatory democracy"", which still needs to be under the umbrella of the justice of peace, the State authority. Representativeness does not necessarily conduct to equity and fairness. It depends on the heterogeneity of the value chain, which might lead to the dilution of the GI specificity. Mandatory membership might not be always the best option Transparency to guarantee the producer's group works for the common good is essential.Originality/value - The controversies in the elaboration of the GI product specification are directly induced by the controversies in the management of the GI either by the collective organisation of producers or by the public authority. Issues such as representativeness, mandatory membership, transparency and heterogeneity of the value chain are deeply analysed to understand the functioning of GI producers associations and their limits. The state intervention as justice of the peace appears necessary.",Inclusiveness,Representativeness,Geographical indications,Producers group,Specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_101,"Nunez-Penichet, Claudia","Cobos, Marlon E.","Soberon, Jorge","Gueta, Tomer","Barve, Narayani","Barve, Vijay","Navarro-Siguenza, Adolfo G.","Peterson, A. Townsend",,,,,,,,,,Selection of sampling sites for biodiversity inventory: Effects of environmental and geographical considerations,METHODS IN ECOLOGY AND EVOLUTION,JUL 2022,13,"Biodiversity inventory is among the major challenges for conservation biology in the face of global change. Species exist in two spaces that are linked in the so-called Hutchinsonian Duality: distributions in geographical space and ecological niches in environmental space. We explore implications of using distinct methods to select locations for biodiversity inventories, based on this idea of two-space distributions. We combined empirical and statistical methods to facilitate selecting localities for biodiversity inventory based on either or both of geographical and environmental considerations. These approaches were applied to select sites for inventory in four example countries. For one of our examples, we tested how effective distinct methods were in sampling biodiversity. Random and geographically uniform selections are generally biased towards the most common environments in the regions; selections aiming for uniform sampling of environments are concentrated spatially in areas of high heterogeneity in geographical context. Considering disparate geographical distributions of environments helped to cover geographical areas more broadly when selections were environmentally uniform. Generally, sets of sites selected considering environmental conditions perform better in sampling known biodiversity in regions of interest. Our results underline the benefits of considering environmental and geographical conditions when selecting sites on the effectiveness of resulting inventories. Our tools, implemented in the r package biosurvey, will help researchers to design biodiversity survey systems taking into account the Hutchinsonian Duality and the crucial considerations that it suggests.",biodiversity indices,environmental conditions,geographical distance,Hutchinsonian duality,sampling bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species diversity,,,,,
Row_102,"Yan, Yan","Dong, John Qi","Faems, Dries",,,,,,,,,,,,,,,"Not every coopetitor is the same: The impact of technological, market and geographical overlap with coopetitors on firms' breakthrough inventions",LONG RANGE PLANNING,FEB 2020,60,"Whereas most coopetition research tends to conceptualize coopetitors as a homogeneous group, we explicitly consider the heterogeneity of coopetitors. In particular, we examine the impact of a focal firm's technological, market, and geographical overlap with coopetitors on its ability to generate breakthrough inventions. We expect that these different dimensions of overlap and their interactions shape knowledge acquisition opportunities and knowledge leakage risks in coopetition, which in-turn influences the ability of the focal firm to generate breakthrough inventions. To examine our theoretical arguments, we construct a unique data set from 323 firms in the global solar photovoltaic industry between 1995 and 2015. Our results indicate an inverted U-shaped relationship between a focal firm's technological overlap with its portfolio of coopetitors and its breakthrough inventions. In addition, we find that its market and geographical overlap with the portfolio of coopetitors moderate this curvilinear relationship. However, when both market overlap and geographical overlap are simultaneously considered, the moderation effect of geographical overlap becomes insignificant. Jointly, these findings enrich the coopetition literature, pointing to the relevance and importance of considering the interactions between technological, market and geographic heterogeneity of coopetitors.",Coopetition,Technological overlap,Market overlap,Geographical overlap,Breakthrough innovation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_103,"Salpina, Dana","Pagliacci, Francesco",,,,,,,,,,,,,,,,Contextual vulnerability to climate change of heterogeneous agri-food geographical indications: A case study of the Veneto region (Italy),ENVIRONMENTAL SCIENCE & POLICY,OCT 2022,6,"Geographical indications (GIs) are granted to specific product names with a link to the terroirs where they are made. However, climate change is expected to alter most of the terroirs' characteristics, reducing productivity and profitability of those farms that rely on GIs. Compared to wine GIs, agri-food GIs are characterised by larger heterogeneity, which matters in the event of climate change, as it can lead to diverse possible outcomes. This research aims to assess contextual vulnerability of agri-food GIs to climate change in the Veneto region (Italy). To do so, a comprehensive approach is employed. First, a cluster analysis elucidates the heterogeneity of agri-food GIs. Second, a combination of in-depth analysis of the product specifications and the sensitivity of each GI to climate-related stimuli allows assessing the contextual vulnerability of each identified cluster. Findings suggest that the contextual vulnerability of agri-food GIs to climate change varies considerably among the identified clusters, depending on the types of GIs and cropping systems. Developing cluster-based networks might stimulate the adaptation of agri-food GIs with similar vulnerabilities. In view of the new EU food policy, a careful consideration of the flexibility thresholds of GI amendments is suggested to avoid that GI identity is compromised.",Geographical indications (GIs),Climate change,Vulnerability,Agri-food sector,Veneto region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_104,"Pavlyuk, Dmitry",,,,,,,,,,,,,,,,,Implication of spatial heterogeneity for airports' efficiency estimation,RESEARCH IN TRANSPORTATION ECONOMICS,AUG 2016,18,"This research is devoted to the analysis of a role of spatial heterogeneity in estimation of airports' efficiency. Spatial heterogeneity, caused by uneven distribution of influencing factors over space, is widely acknowledged in the European airport industry, but rarely included in airport benchmarking procedures. We utilise modern methods of spatial econometrics to identify the importance of spatial heterogeneity for estimates of airports' resource elasticity and efficiency values. A set of utilised models includes the spatial error model, spatial stochastic frontier model, geographically weighted regression model, and their modifications.The empirical findings of the research are based on a sample of 356 European airports (in 2011) and include evidence of the significant effect of spatial heterogeneity on airport's efficiency and productivity estimates. A multi-output approach to production frontier specification is utilised; served passenger and cargo traffic flows are considered as airport outputs. Elasticities of airport input resources that are infrastructure (runways), catchment area characteristics (population size and welfare), regional tourist intensity, and airport status (hub, international) were estimated and discussed. We paid special attention to the geographical variability of input elasticities over Europe. The paper also contains individual estimates of the sample airports' efficiency levels.The main contributions of this paper are the proved necessity of incorporation of spatial heterogeneity into airport benchmarking procedures and the suggested methodological framework for spatial analysis of airports' productivity and efficiency. (C) 2016 Elsevier Ltd. All rights reserved.",Spatial heterogeneity,Airport,Efficiency,Productivity,Spatial econometrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stochastic frontier,,,,,
Row_105,"Ding, Yueting","Zhang, Ming","Qian, Xiangyan","Li, Chengren","Chen, Sai","Wang, Wenwen",,,,,,,,,,,,Using the geographical detector technique to explore the impact of socioeconomic factors on PM2.5 concentrations in China,JOURNAL OF CLEANER PRODUCTION,FEB 20 2019,131,"The purpose of this study is to explore the impact of socioeconomic factors on PM2.5 concentrations and to provide insights into air quality improvement. We firstly studied the spatial autocorrelations of PM2.5 concentrations using global Moran's I and Local Indicators of Spatial Association, then explained the spatial heterogeneity of regional PM2.5 concentrations and identify the driving factors on PM2.5 by geographical detector technique, using data extracted from satellite observations over the years from 2000 to 2015. The results showed that, the annual average PM2.5 concentration in China ranged from 11.5 mu g/m(3) to 18.7 mu g/m(3) with an upward trend in general, while PM2.5 pollution were relatively serious in Beijing-Tianjin-Hebei region and Yangtze River Delta. Regional PM2.5 concentrations showed significant global and local spatial autocorrelation. Regions of high PM2.5 concentrations tend to cluster with regions of similar PM2.5 concentrations. From a long-term perspective, population density has the greatest power of determinant on PM2.5, followed by electricity consumption, industry structure, coal consumption, number of vehicles per capita and GDP per capita. Over the study period, the impact of population density revealed a trend to first rise and then fall, and the impacts of GDP per capita showed a slightly upward trend. The impact trends of number of vehicle per capita and industry structure presented to be fluctuated. The determinant power of coal consumption and electricity consumption had significant downward trends. (C) 2018 Elsevier Ltd. All rights reserved.",PM2.5 concentrations,Socioeconomic factors,Spatial autocorrelation,Spatial heterogeneity,Geographical detector model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_106,"Liu, Yi",,,,,,,,,,,,,,,,,The dynamics of local upgrading in globalizing latecomer regions: a geographical analysis,REGIONAL STUDIES,2017,22,"The dynamics of local upgrading in globalizing latecomer regions: a geographical analysis. Regional Studies. By noting the spatial-less nature of the mainstream studies of industrial upgrading, this paper theorizes how local upgrading is affected by geographical heterogeneity at different scales in relation to three spatial factors: location, regional conditions and global competitive dynamics. In doing so, it argues that local firms can take advantage of these factors to access more resources for industrial upgrading instead of choosing from the limited options offered by previous studies such as state intervention or indigenous innovation. Three cases in the Pearl River Delta in China are presented to illustrate these local dynamics.",industrial upgrading,global production networks,embeddedness,heterogeneity,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pearl river delta,,,,,
Row_107,"Wang, Cassandra C.","Wu, Aiqi",,,,,,,,,,,,,,,,Geographical FDI knowledge spillover and innovation of indigenous firms in China,INTERNATIONAL BUSINESS REVIEW,AUG 2016,109,"In recent decades, theoretical debate on firm innovation has considered particular forms of spatial clustering and foreign direct investment as almost mutually exclusive drivers. While cluster literature pays less attention to firm heterogeneity in ownership structure, FDI literature ignores the importance of geographical dimension in spillover effects. This study combines these two lines of theoretical inquiry to investigate regional FDI knowledge spillover effects on product innovation of China's indigenous electronic firms. It is found that localized innovative-related activities of foreign-invested firms significantly facilitate product innovation of domestic firms. However, FDI horizontal spillover is more important than vertical spillover and cross-sector rather than intra-sector knowledge is significant for indigenous innovation. FDI spillover effects can be reinforced by local innovative activities of domestic firms. This study highlights the significance of geographical proximity and relatively heterogeneous knowledge in FDI spillover effects on domestic innovation but questions the mutual trust relationship between foreign and domestic firms in a cluster. (C) 2015 Elsevier Ltd. All rights reserved.",Geographical FDI knowledge spillover,Product innovation,Horizontal spillover,Vertical spillover,Electronics industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,
