,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,conference,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30
Row_11,"Potapov, Peter","Hansen, Matthew C.","Kommareddy, Indrani","Kommareddy, Anil","Turubanova, Svetlana","Pickens, Amy","Adusei, Bernard","Tyukavina, Alexandra","Ying, Qing",,,Landsat Analysis Ready Data for Global Land Cover and Land Cover Change Mapping,REMOTE SENSING,FEB 2020,154,"The multi-decadal Landsat data record is a unique tool for global land cover and land use change analysis. However, the large volume of the Landsat image archive and inconsistent coverage of clear-sky observations hamper land cover monitoring at large geographic extent. Here, we present a consistently processed and temporally aggregated Landsat Analysis Ready Data produced by the Global Land Analysis and Discovery team at the University of Maryland (GLAD ARD) suitable for national to global empirical land cover mapping and change detection. The GLAD ARD represent a 16-day time-series of tiled Landsat normalized surface reflectance from 1997 to present, updated annually, and designed for land cover monitoring at global to local scales. A set of tools for multi-temporal data processing and characterization using machine learning provided with GLAD ARD serves as an end-to-end solution for Landsat-based natural resource assessment and monitoring. The GLAD ARD data and tools have been implemented at the national, regional, and global extent for water, forest, and crop mapping. The GLAD ARD data and tools are available at the GLAD website for free access.",Landsat,analysis ready data,surface reflectance,,land surface phenology,image compositing,multi-temporal metrics,land cover,land cover change,time-series analysis,global analysis,,,,,,,,,,,,,,,,,,,
Row_12,"Rieutord, Thomas","Bessardon, Geoffrey","Gleeson, Emily",,,,,,,,,High-Resolution Land Use Land Cover Dataset for Meteorological Modelling-Part 2: ECOCLIMAP-SG-ML an Ensemble Land Cover Map,LAND,NOV 2024,0,"While the surface of the Earth plays a key role in weather forecasting through its interaction with the atmosphere, in ensemble numerical weather predictions the uncertainty on the surface is only represented with perturbations in the parameterisations representing the surface processes. Data representing the surface, such as the land cover, are not perturbed. As fully data-driven forecasts without parameterisations are growing in importance, sampling the uncertainty on the land cover data brings a new way of making ensemble forecasts. Our work describes a method of generating ensemble land cover maps for numerical weather prediction. The target land cover map has the ECOCLIMAP-SG labels used in the SURFEX surface model and therefore is expected to have all relevant labels for surface-atmosphere interactions. The method translates the ESA WorldCover map to ECOCLIMAP-SG labels and resolution using auto-encoders. The land cover ensemble members are obtained by sampling the land cover probabilities in the output of the neural network. This paper builds upon the work done in a companion paper describing the high-resolution version of ECOCLIMAP-SG, called ECOCLIMAP-SG+, used for the training and evaluation of the neural network. The output map presented here, called ECOCLIMAP-SG-ML, improves upon the ECOCLIMAP-SG map in terms of resolution (from 300 m to 60 m), overall accuracy (from 0.41 to 0.63), and the ability to produce ensemble members.",land cover land use,machine learning,meteorology,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_13,"Popovici, Elena-Ana","Balteanu, Dan","Kucsicsa, Gheorghe",,,,,,,,,ASSESSMENT OF CHANGES IN LAND-USE AND LAND-COVER PATTERN IN ROMANIA USING CORINE LAND COVER DATABASE,CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,NOV 2013,66,"Romania has a wide range of landforms, land use and land cover categories being unevenly distribute. However, agricultural land and forest land are prevailing. Important spatial changes related to land use dynamic occurred in the 1990s (transition period) and got momentum after 2000. One of the major changes during the transition period was the expansion of private ownership over agricultural and forest land against the collective and state property that has been characteristic of the previous period. So, the large collective and state farms from the communist period gave way to small, peasant-type family farms, leading to noticeable fragmentation of the agricultural land. As to the land use pattern, two main directions of change have been of interest. Firstly, the intensification and the extensification of the agricultural systems, mostly in the plains and plateaux and secondly, the afforestation and deforestation, largely in the mountains and plateaux have been described. The pack of urbanisation and industrialisation slowed down, yet still on going in the large urban centres as Bucharest, Timisoara, Iasi, Constanta, Cluj Napoca etc., and in their neighbourhood. The present study aims to analyse the temporal and spatial changes of the main land use and land cover categories by resorting to CORINE Land Cover (CLC) database, while identifying and looking into the main factors controlling the evolution of land-use/cover change. Insights into the regional level change resulted in studying it by major relief units, namely, the Carpathian Mountains, hills, plateaux and plains, as well as the Danube Delta.",Land-use and land-cover changes,CORINE Land Cover database,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_14,"Liu, Jiangui","Huffman, Ted","Green, Melodie",,,,,,,,,Potential impacts of agricultural land use on soil cover in response to bioenergy production in Canada,LAND USE POLICY,JUN 2018,4,"The introduction of a market for agricultural biomass to feed large-scale second generation bioenergy (cellulosic ethanol) or other bio-products has positive implications for food producers and bio-product industries but may impact soil quality. In order to assess the potential impact on Canada's agricultural lands, we integrated land use and soil capability maps and land management information to introduce several scenarios of crop residue harvest rates and land use conversions. The implications for soil quality, as represented by soil cover, were assessed for each scenario. The results showed that average soil cover at the national scale would decrease by more than 1 day if 40% of annual crop residues (by mass) were harvested, but the negative impacts could be resolved by increased adoption of conservation tillage methods. Additional biomass could be produced by converting low quality agricultural land to perennial biomass crops, but this would result in increased intensity of food production on high quality land. The total area of high and low quality land within the agricultural region of Canada is roughly equal, and the amount of high quality land currently used for perennial crops is about the same as the amount of low quality land used for annual crops, and 'balancing' production with capability would result in a net increase in both food and biofuel feedstock, with little impact to soil quality. About 6.73 M ha of high quality land is covered by forest, shrub and grass, and conversion of this land to agricultural production would have a negative impact on soil quality. The study indicates considerable potential for production of both food and biofuel feedstock on Canada's agricultural lands through careful land use planning. Our analysis using soil cover as an indicator of environmental sustainability also indicates that land use planning should be cautious to prevent soil degradation. Particularly, regional variability of land use and soil capability distribution requires region specific land use policy for sustainable biofuel feedstock production.",Marginal land,Bioenergy,Crop residue,,Land use,Sustainable,Soil cover,,,,,,,,,,,,,,,,,,,,,,,
Row_15,"Gebelin, Ana Alvarez","Borretti, Martin","Cohn, Carlos","Minutti, Guillermo",,,,,,,,Land Cover and Land Use in Uruguay Using Land Cover Classification System Methodology,LAND,DEC 2024,0,"Mapping land cover in Uruguay is essential to meet the growing demand for accurate data to support sustainable development policies and manage natural resources, while also addressing the United Nations Sustainable Development Goals (SDGs) and other international conventions. In recent decades, collaboration between the FAO and the Government of Uruguay has led to the development of key products that strengthen the country's planning processes, including a detailed, standardized national land cover database. By using the FAO's Land Cover Classification System (LCCS), Uruguay has achieved a multitemporal national land cover database, through a legend specifically adapted to its national context and with classification accuracy improving from 85% in earlier products to 95% in the most recent ones. The use of LCCS has ensured semantic interoperability and provided reliable, up-to-date information on land cover distribution and change analysis. This progress has been supported by the enhancement of national capacities for change analysis, using international standards, remote sensing, and GIS technologies, integrated with national data. This article reviews the historical evolution and methodological advancements in the implementation of the LCCS in Uruguay, emphasizing the improvements in methodology and technology, and their impact on the sustainable management of the country's territory.",land cover classification system,Uruguay land cover,National Directorate of Territorial Planning of Uruguay,,Sustainable Development Goals,,,,,,,,,,,,,,,,,,,,,,,,,
Row_16,"Ganguly, Kuntal","Kumar, Rajiv","Reddy, K. Mruthyunjaya","Rao, P. Jagadeeswara","Saxena, Manoj Raj","Shankar, G. Ravi",,,,,,Optimization of spatial statistical approaches to identify land use/land cover change hot spots of Pune region of Maharashtra using remote sensing and GIS techniques,GEOCARTO INTERNATIONAL,2017,5,"This study investigated land use/land cover change (LULCC) dynamics using temporal satellite images and spatial statistical cluster analysis approaches in order to identify potential LULCC hot spots in the Pune region. LULCC hot spot classes defined as new, progressive and non-progressive were derived from Gi* scores. Results indicate that progressive hot spots have experienced high growth in terms of urban built-up areas (20.67% in 1972-1992 and 19.44% in 1992-2012), industrial areas (0.73% in 1972-1992 and 3.46% in 1992-2012) and fallow lands (4.35% in 1972-1992 and -6.38% in 1992-2012). It was also noticed that about 28.26% of areas near the city were identified as new hot spots after 1992. Hence, non-significant change areas were identified as non-progressive after 1992. The study demonstrated that LULCC hot spot mapping through the integrated spatial statistical approach was an effective approach for analysing the direction, rate, spatial pattern and spatial relationship of LULCC.",Land use,land cover,LULCC,,hot spot,spatial statistics,remote sensing,Getis-Ord Gi*,,,,,,,,,,,,,,,,,,,,,,
Row_17,"Skakun, Sergii","Abys, Christian","Adegbenro, Michael","Becker-Reshef, Inbal","Duncan, Erik","Eun, Jaemin","Hall, Joanne","Qadir, Abdul","Shumilo, Leonid","Zhang, Yiming","Kussul, Nataliia",High-Impact Hot Spots of Land Cover Land Use Change in Ukraine,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,2022,3,"The past several decades has seen considerable land cover and land use change ( LCLUC) in Ukraine. These changes are a result from unprecedented environmental and climate disturbances as well as highly sensitive political and economic disruption, most recently the Russian invasion of Ukraine. The impacts of these disturbances must be properly monitored and documented so that land resources can be managed effectively and sustainably. Here, we report our ongoing activities to identify, map, and characterize LCLUC occurred in Ukraine within the past 20 years. Using satellite data, we demonstrate highly characteristic human-environment relationships to identify LCLUC hotspots of regional, national, and global importance. Furthermore, we examine occupation of territories that include protected areas (Emerald network) and demonstrate impacts of policy abandonment leading to degradation of 25% of forest cover, a reversal of 20 years of sustainable development progress in the region. Lastly, we illustrate impacts of the ongoing war to sunflower production, a resource for which Ukraine is a top world producer and exporter.",land cover,land use,remote sensing,,satellite,Earth observation,mapping,,,,,"Shelestov, Andrii","Prishchepov, Alexander",,,,,,,,,,,,,,,,,
Row_18,"Hoffman-Hall, Amanda","Puett, Robin","Silva, Julie A.","Chen, Dong","Baer, Allison","Han, Kay Thwe","Han, Zay Yar","Thi, Aung","Htay, Thura","Thein, Zaw Win","Aung, Poe Poe","Malaria Exposure in Ann Township, Myanmar, as a Function of Land Cover and Land Use: Combining Satellite Earth Observations and Field Surveys",GEOHEALTH,DEC 2020,5,"Despite progress toward malaria elimination in the Greater Mekong Subregion, challenges remain owing to the emergence of drug resistance and the persistence of focal transmission reservoirs. Malaria transmission foci in Myanmar are heterogeneous and complex, and many remaining infections are clinically silent, rendering them invisible to routine monitoring. The goal of this research is to define criteria for easy-to-implement methodologies, not reliant on routine monitoring, that can increase the efficiency of targeted malaria elimination strategies. Studies have shown relationships between malaria risk and land cover and land use (LCLU), which can be mapped using remote sensing methodologies. Here we aim to explain malaria risk as a function of LCLU for five rural villages in Myanmar's Rakhine State. Malaria prevalence and incidence data were analyzed through logistic regression with a land use survey of similar to 1,000 participants and a 30-m land cover map. Malaria prevalence per village ranged from 5% to 20% with the overwhelming majority of cases being subclinical. Villages with high forest cover were associated with increased risk of malaria, even for villagers who did not report visits to forests. Villagers living near croplands experienced decreased malaria risk unless they were directly engaged in farm work. Finally, land cover change (specifically, natural forest loss) appeared to be a substantial contributor to malaria risk in the region, although this was not confirmed through sensitivity analyses. Overall, this study demonstrates that remotely sensed data contextualized with field survey data can be used to inform critical targeting strategies in support of malaria elimination.",malaria,remote sensing,land cover,,land use,Myanmar,,,,,,"Plowe, Christopher V.","Nyunt, Myaing Myaing","Loboda, Tatiana V.",,,,,,,,,,,,,,,,
Row_19,"Harish, Ballu","Manjulavani, K.","Shantosh, M.","MadhaviSupriya, V",,,,,,,,Change Detection of Land Use and Land Cover using Remote Sensing Techniques,,2017,1,"Land use and Land cover plays a vital role in the aspect of change detection studies. Land use represents how the land is being used. It includes categories like agriculture,industrial lands. Land cover refers to natural or manmade properties.It includes waterbodies and vegetation. The ratio of Land use/Land cover represents eco system.More amount of industrial land than agriculture land refers to imbalance of eco system caused by industrial effects.This kind of complexities can be solved by Remote sensing in conjuction with change detection methods. The Temporal coverage of different Remote Sensing satellites provides information of Land use/Land cover of an particular area. Change detection is processing of identifying changes at different intervals of time. The amount of changes thus detected can help in predicting the impact on environment so that preventive measures can be taken when necessary. The main aim of this work is to study Land Use/Land cover changes for preparing future map.",Land use,Land cover,Change detection,"2017 IEEE INTERNATIONAL CONFERENCE ON POWER, CONTROL, SIGNALS AND INSTRUMENTATION ENGINEERING (ICPCSI)",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_20,"Balakeristanan, Maha Letchumy","Said, Md Azlin Md",,,,,,,,,,Land Use Land Cover Change Detection Using Remote Sensing Application for Land Sustainability,,2012,8,"Land falls into the category of prime resources. Land use and land cover changes are identified as the prime issue in global environmental changes. Thus, it is necessary to initiate the land change detection process for land sustainability as well as to develop a competent land use planning. Tropical country like Malaysia has been experiencing land use and land cover changes rapidly for the past few decades. Thus, an attempt was made to detect the land use and land cover changes in the capital of the Selangor, Malaysia, Shah Alam over 20 years period (1990 - 2010). The study has been done through remote sensing approach using Earth Sat imagery of December 1990 and SPOT satellite imageries of March 2000 and December 2010. The current study resulted that the study area experienced land cover changes rapidly where the forest area occupied about 24.4% of Shah Alam in 1990 has decreased to 13.6% in 2010. Built up land have increased to 29.18% in 2010 from 12.47% in 1990. Other land cover classes such as wet land, wasteland and agricultural land also have undergone changes. Efficient land management and planning is necessary for land sustainability in Shah Alam.",Land use,Land cover,Change analysis,INTERNATIONAL CONFERENCE ON FUNDAMENTAL AND APPLIED SCIENCES 2012 (ICFAS2012),Remote sensing,,,,,,,,,,,,,,,,,,,,,,,,,
