,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author3,author4,author5,author6,author7,author8,keyword6,author9,author10,keyword7,conference,keyword8,keyword9,author11,keyword10,keyword11,keyword12,keyword13,author12,keyword14,keyword15,keyword16,keyword17,keyword18,author13,author14,author15
Row_274,"Wang, Yahui","Dai, Erfu","Spatial heterogeneity of ecosystem services and their trade-offs in the Hengduan Mountain region, Southwest China",CATENA,DEC 2021,31,"Spatial heterogeneity, which is one of the basic characteristics of ecological and geographical elements, is substantial in mountainous areas. Research on ecosystem services (ESs) increasingly considers spatial heterogeneity in environmental management-related decision-making. This study quantified the dominant ESs and ES trade-offs for the Hengduan Mountain region in Southwest China. The spatial heterogeneity was analyzed by introducing gradients of elevation, vegetation cover, and land cover. The results showed that, in addition to inverse changes in ESs, ES change rates were important for ES trade-offs. Further, land cover was identified as the main factor influencing the spatial heterogeneity of the majority of ES trade-offs. Specifically, the net primary productivity (NPP), carbon storage (C), and habitat quality (HQ) all showed inverted U-shaped trends along the elevation gradient and HQ increased thereafter, water yield (WY) presented an overall decline but increased in high-altitude areas, and soil conservation (SC) exhibited a fluctuating trend. The change rate of SC was slower than that of NPP, C, and HQ, which led to changes in the trade-offs between SC and other ESs along the elevation gradient. The higher WY in built-up land and higher HQ in forests were the main reasons for higher trade-offs. The low trade-off for unused land was attributed to the limited levels of several ESs. Along the vegetation gradient, WY first decreased then increased, whereas all other services showed increasing trends. The limited promotion effect of vegetation on SC was the primary reason for increased trade-offs. Therefore, more attention should be devoted to improving SC via engineering measures. Furthermore, vegetation degradation on unused land should be prevented to maintain SC and reduce the trade-offs among ESs.",Ecosystem services,Trade-offs,Spatial heterogeneity,Gradients,Hengduan Mountain region,"Ge, Quansheng","Zhang, Xianzhou","Yu, Chengqun",,,,,,,,,,,,,,,,,,,,,,,,
Row_275,"Yoshida, Noriaki","Yamada, Kyohei",Comprehensive genomic analysis identifying heterogeneity in peripheral T-cell lymphoma,CANCER SCIENCE,APR 2021,5,"Peripheral T-cell lymphoma (PTCL) is a heterogeneous entity generally with a poor prognosis. Recent genomic analyses have characterized genomic alterations and described gene expression profiling and epigenetic mechanisms in PTCL, leading to reveal molecular pathophysiology in detail. One of several important findings is that heterogeneities exist in both the disease and in individuals. Among PTCL subtypes, adult T-cell leukemia/lymphoma (ATLL) and peripheral T-cell lymphoma, not otherwise specified (PTCL-NOS) are common in Japan. ATLL is an incurable T-cell malignancy induced by human T-cell lymphotropic virus type 1 (HTLV-1). The global genomics of ATLL can be summarized as alterations involving T-cell receptor (TCR) signaling and immune escape mechanisms. This highlights the fact that ATLL is a viral-mediated T-cell malignancy. Interestingly, several previous studies have found that the genomics of ATLL differ according to geographical region and age at diagnosis, suggesting disease heterogeneity, though they share HTLV-1 infection as initial disease hit. Clonal expansion of the cells acquired by somatic mutations in ATLL-related genes is identified in a part of HTLV-1 carriers who developed ATLL later. The risk for ATLL may be updated based on findings in detail. PTCL-NOS is a heterogeneous disease type of T-cell lymphoma that does not correspond to any other type of PTCL. Several studies have stratified PTCL-NOS according to transcriptional, genomic, microenvironmental, and clinical aspects. These kinds of analysis from multiple aspects are useful to understand the heterogeneous group. These efforts will help guide suitable translational research to target PTCL.",adult T‐,cell leukemia,genomic landscape,heterogeneity,lymphoma,"Ohshima, Koichi",,,,,,peripheral T‐,,,cell lymphoma,,premalignant status,,,,,,,,,,,,,,,
Row_276,"Algar, Adam C.","Mahler, D. Luke","Area, climate heterogeneity, and the response of climate niches to ecological opportunity in island radiations of Anolis lizards",GLOBAL ECOLOGY AND BIOGEOGRAPHY,JUL 2016,22,"Aim Rates of climate niche evolution underlie numerous fundamental ecological processes and patterns. However, while climate niche conservatism varies markedly among regions and clades, the source of this variation remains poorly understood. We tested whether ecological opportunity can stimulate radiation within climate niche space at biogeographic scales, predicting that rates of climate niche evolution will scale with geographic area and climate heterogeneity.Location CaribbeanMethods We quantified two temperature axes (mean temperature and temperature seasonality of species' localities) of the climate niche for 130 Anolis species on Cuba, Hispaniola, Puerto Rico, Jamaica and the northern and southern Lesser Antilles. Using a species-level phylogeny, we fitted macroevolutionary models that either constrained rates of climate niche evolution or allowed them to vary among regions. Next, we regressed region-specific evolutionary rates against area, species richness and climate heterogeneity. We evaluated whether results were robust to uncertainty in phylogenetic and biogeographic reconstructions and the assumed mode of evolution.Results For both niche axes, an Ornstein-Uhlenbeck model that allowed the net rate of evolution (sigma(2)) to vary among island groups fit the data considerably better than a single-rate Brownian motion model. Nagelkerke pseudo-R-2 values of the fit of these OU models to mean temperature and seasonality axes were 0.43 and 0.66, respectively. Evolutionary rates for both axes were higher in larger areas, which also have more species. Only the rate of mean occupied temperature evolution was positively related to climate heterogeneity, and only after accounting for region size.Conclusions Rates of climate niche evolution scale consistently with the area available for radiation, but responses to climate heterogeneity vary among niche axes. For the mean temperature axis, climate heterogeneity generated additional opportunities for radiation, but for seasonality it did not. Overall, the physical setting in which a clade diversifies can influence where it falls on the evolutionary continuum, from climate niche conservatism to radiation.",Adaptive radiation,Anolis,climate heterogeneity,climate niche,ecological opportunity,,,,,,,evolutionary rates,,,island biogeography,,niche conservatism,niche evolution,,,,,,,,,,,,,,
Row_277,"Georganos, Stefanos","Grippa, Tais","An Application of Geographical Random Forests for Population Estimation in Dakar, Senegal using Very-High-Resolution Satellite Imagery",,2019,6,"In this paper we investigate a local implementation of Random Forest (RF), named Geographical Random Forest (GRF) to predict population density with Very-High-Resolution Remote Sensing (VHHRS) data. As an independent variable we use population density at the neighborhood level from the 2013 census of Dakar, while as explanatory features, the proportions of three different built-up types in each neighborhood derived from a VHHRS land cover classification. The results demonstrated, that by using an appropriate geographic scale to calibrate GRF, we can maximize prediction accuracy due to the incorporation of spatial heterogeneity in the estimates. Additionally, since GRF is an ensemble of local sub-models, the results can be mapped, highlighting local model performance and other interesting spatial variations. Consequently, GRF is suggested as an interesting exploratory and explanatory technique to model remotely-sensed spatially heterogeneous relationships.",random forest,population estimation,spatial heterogeneity,very-high-resolution remote sensing,,"Gadiaga, Assane","Vanhuysse, Sabine","Kalogirou, Stamatis","Lennert, Moritz","Linard, Catherine",,,,,,2019 JOINT URBAN REMOTE SENSING EVENT (JURSE),,,,,,,,,,,,,,,,
Row_278,"Shao, Yingying","Bi, Gongbing",Resource allocation for branch network system with considering heterogeneity based on DEA method,CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,DEC 2018,15,"In this paper, we proposed a new DEA approach to allocate the resource in branch network system which is not covered by the existing resource allocation works under a centralized decision-making environment. The branch network system is typically appears in multi-national or multi-regional corporations, which has many branches across multiple locations. Given the spatial distribution of the production, we imposed additional restrictions on resource allocation and divided the resource inputs into three groups: fixed inputs, regional inputs that allocated to the branches in the same area and common resource that an additional resource allocated to all the branches. Then, we generalize the model further to accommodate technological heterogeneity due to the difference in the geographical locations of the branches. And the objective of the proposed models is to maximize the gross profits of the entire organization, which is a natural assumption for a for-profit organization. Finally, an example was presented to illustrate the proposed approach with heterogeneous technology is more practically feasible and superior than the prior approach with homogeneous technology.",Data envelopment analysis,Resource allocation,Technology heterogeneity,Branch network system,,"Yang, Feng","Xia, Qiong",,,,,,,,,,,,,,,,,,,,,,,,,
Row_279,"Mossay, P",,Increasing returns and heterogeneity in a spatial economy,REGIONAL SCIENCE AND URBAN ECONOMICS,JUL 2003,30,"We study a general equilibrium model of global trade and local migration in a continuous geographical space. Trade is based on the Dixit-Stiglitz model of monopolistic competition. Migration is modelled as a local interaction decision process. Incentives for migration are of two types: homogeneous incentives of the group, associated with the identity of taste for higher utility levels, and heterogeneous incentives, due to idiosyncrasies in location taste. The impact of migration on the regional structure is twofold. First, when driven by utility differentials, it contributes to agglomeration because of the presence of increasing returns. Second, when reflecting heterogeneous individual choices, it fosters regional convergence. Furthermore, the size of agglomerations, when they occur, increases with the taste for variety and the proportion of the manufacturing population, and decreases with transport costs. (C) 2003 Elsevier Science B.V. All rights reserved.",agglomeration,dispersion,heterogeneity,normal modes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_280,"Martinez-Minaya, Joaquin","Conesa, David",A hierarchical Bayesian Beta regression approach to study the effects of geographical genetic structure and spatial autocorrelation on species distribution range shifts,MOLECULAR ECOLOGY RESOURCES,JUL 2019,10,"Global climate change (GCC) may be causing distribution range shifts in many organisms worldwide. Multiple efforts are currently focused on the development of models to better predict distribution range shifts due to GCC. We addressed this issue by including intraspecific genetic structure and spatial autocorrelation (SAC) of data in distribution range models. Both factors reflect the joint effect of ecoevolutionary processes on the geographical heterogeneity of populations. We used a collection of 301 georeferenced accessions of the annual plant Arabidopsis thaliana in its Iberian Peninsula range, where the species shows strong geographical genetic structure. We developed spatial and nonspatial hierarchical Bayesian models (HBMs) to depict current and future distribution ranges for the four genetic clusters detected. We also compared the performance of HBMs with Maxent (a presence-only model). Maxent and nonspatial HBMs presented some shortcomings, such as the loss of accessions with high genetic admixture in the case of Maxent and the presence of residual SAC for both. As spatial HBMs removed residual SAC, these models showed higher accuracy than nonspatial HBMs and handled the spatial effect on model outcomes. The ease of modelling and the consistency among model outputs for each genetic cluster was conditioned by the sparseness of the populations across the distribution range. Our HBMs enrich the toolbox of software available to evaluate GCC-induced distribution range shifts by considering both genetic heterogeneity and SAC, two inherent properties of any organism that should not be overlooked.",Arabidopsis thaliana,geographical genetic structure,global climate change,hierarchical Bayesian models,Maxent,"Fortin, Marie-Josee","Alonso-Blanco, Carlos","Xavier Pico, F.","Marcer, Arnald",,,>,,,spatial autocorrelation,,,,,,,,,,,,,,,,,
Row_281,"Sekar, Ashok","Williams, Eric",How behavioral and geographic heterogeneity affects economic and environmental benefits of efficient appliances,ENERGY POLICY,FEB 2019,6,"The economic and environmental benefits of efficiency are typically assessed assuming that all consumers use appliances in the same way. There are, however, significant differences in consumer usage patterns, as well as geographical variability in prices and environmental impacts of electricity. To explore the importance of heterogeneity, we first develop distributions of consumer-by-consumer economic benefits from purchasing an efficient versus standard appliance for televisions, clothes washers, and dryers in the U.S. We find large variability, e.g. for washers and dryers, 9% and 7.5% of the U.S. population do not save money over the lifetime of an efficient device, while 11% and 17% save more than twice that of an average consumer. Providing personalized savings information can thus inform and better motivate those consumers who would save more. Abatement costs for carbon and electricity use are similarly heterogenous as consumer economic benefits, indicating that adoption by heavy users is in the public as well as private interest. The cost of abating carbon via a utility appliance rebate program varies greatly by consumer. To scope the emission benefits of targeted adoption, we find that adoption by heavy users saves around 3 times more carbon than an average user for 10% participation in an efficiency program.",ENERGY STAR,Rebates,Efficiency program,Policy,Heterogeneity,"Hittinger, Eric","Chen, Roger",,,,,Behavior,,,,,,,,,,,,,,,,,,,,
Row_282,"Torok, Aron","Gorton, Matthew",Understanding Consumers' Preferences for Protected Geographical Indications: A Choice Experiment with Hungarian Sausage Consumers,FOODS,APR 2022,14,"Geographical Indications (GIs) can increase producer margins and contribute to local economic development, but the extent to which they do so depends on the nature of consumer demand. A Discrete Choice Experiment (DCE) considers the value that consumers place on a Protected Geographical Indication (PGI) in comparison with a leading manufacturer's brand, as well as the importance of taste variations. Based on an application of DCE to sausages in Hungary, results indicate that a PGI can generate value to consumers exceeding that conveyed by the leading manufacturer's brand. Consumers' taste preferences, however, may not be consistent with the specification of GI products. Latent Class (LC) and Random parameter Latent Class (RLC) analyses identify two consumer segments, with the majority of consumers (71%-LC, 65%-RLC) classified as traditionalists, who most value the GI label, while a minority (29%-LC, 35%-RLC) is brand conscious, for whom the GI status is less salient. Both theoretical and business implications for GI marketing and club branding are drawn.",protected geographical indications,private brand,taste,Hungary,processed meat,Ching-Hua Yeh,"Czine, Peter","Balogh, Peter",,,,consumer preferences,,,stated choice experiment,,,,,,,,,,,,,,,,,
Row_283,"Hjaltadottir, Rannveig Edda","Makkonen, Teemu","Inter-regional innovation cooperation and structural heterogeneity: Does being a rural, or border region, or both, make a difference?",JOURNAL OF RURAL STUDIES,FEB 2020,31,"This paper analyses the determinants of inter-regional innovation cooperation in European knowledge networks. Our main goal is to assess whether structural heterogeneity in the context of the ""urban-rural dichotomy"" and international borders can explain differences in the regions' engagement in inter-regional innovation cooperation. We estimate a gravity equation to model innovation cooperation, proxied by inter-regional co-patent applications, as a function of region-specific context conditions as well as technological and geographical distance. Our data comprise dyadic information on 203 NUTS2 regions in 15 European countries (EU-15) for the year 2010. The empirical results show that the basic gravity mechanisms drive the direction and strength of innovation cooperation between EU regions; i.e., geographical distance acts as an impediment to inter-regional co-patent applications. Regarding the importance of structural heterogeneity, we find that pairs of rural regions have lower levels of innovation cooperation compared to urban regions. Similarly, border regions are generally disadvantaged compared to non-border regions in terms of the intensity of innovation cooperation. However, while the latter result points to a negative border effect, our gravity model estimates also show that pairs of border regions are more active in terms of close geographical innovation cooperation (e.g., through international cross-border cooperation), which partly compensates for the negative border effect. This finding not only holds for urban but also rural border regions and may reflect policy attempts to support border regions, e.g., by strengthening the level of international cross-border cooperation within the EU.",Innovation cooperation,Co-patent applications,Structural heterogeneity,Rural-urban dichotomy,International borders,"Mitze, Timo",,,,,,Knowledge networks,,,,,,,,,,,,,,,,,,,,
Row_284,"Wang, Shuli","Gao, Kun",Geographically weighted machine learning for modeling spatial heterogeneity in traffic crash frequency and determinants in US,ACCIDENT ANALYSIS AND PREVENTION,MAY 2024,12,"Spatial analyses of traffic crashes have drawn much interest due to the nature of the spatial dependence and spatial heterogeneity in the crash data. This study makes the best of Geographically Weighted Random Forest (GW-RF) model to explore the local associations between crash frequency and various influencing factors in the US, including road network attributes, socio-economic characteristics, and land use factors collected from multiple data sources. Special emphasis is put on modeling the spatial heterogeneity in the effects of a factor on crash frequency in different geographical areas in a data -driven way. The GW-RF model outperforms global models (e.g. Random Forest) and conventional geographically weighted regression, demonstrating superior predictive accuracy and elucidating spatial variations. The GW-RF model reveals spatial distinctions in the effects of certain factors on crash frequency. For example, the importance of intersection density varies significantly across regions, with high significance in the southern and northeastern areas. Low-grade road density emerges as influential in specific cities. The findings highlight the significance of different factors in influencing crash frequency across zones. Road network factors, particularly intersection density, exhibit high importance universally, while socioeconomic variables demonstrate moderate effects. Interestingly, land use variables show relatively lower importance. The outcomes could help to allocate resources and implement tailored interventions to reduce the likelihood of crashes.",Traffic crash frequency,Spatial machine learning,Spatial heterogeneity,Interpretability,,"Zhang, Lanfang","Yu, Bo","Easa, Said M.",,,,,,,,,,,,,,,,,,,,,,,,
Row_285,"Kim, Sunghoon","DeSarbo, Wayne S.",Note: A new approach to the modeling of spatially dependent and heterogeneous geographical regions,INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,SEP 2021,0,"We propose a new spatial modeling approach to calibrate the potential impact of spatial dependency and heterogeneity on the underlying drivers of customer service and/or satisfaction measurement. The newly proposed procedure derives regionally varying coefficients, provides more flexible fitting, improves calibration fit and predictive validation, and can potentially result in augmented managerial implications compared to existing procedures by utilizing a hierarchical Bayes framework with geographical boundary effects. Using synthetic datasets, we illustrate how the proposed model outperforms four relevant benchmark models including ordinary linear regression, a Spatially Dependent Segmentation model (Govind, Rabikar, and Mittal 2018), classic Geographically Weighted Regression, and Bayesian Geographically Weighted Regression. The improved performance is most prominent when there exist significant differences between geographic boundaries and/or irregular patterns of observation locations. In our automobile customer satisfaction application study, the proposed approach also demonstrates favorable performance compared to these benchmark models. We find a dramatically heterogeneous pattern regarding two covariates in the Mountain U.S. geographic division: dealership service is more important in urban areas (e.g., Phoenix, Salt Lake City and Denver) than in rural areas, but vice-versa concerning vehicle quality. (C) 2020 Elsevier B.V. All rights reserved.",Spatial Heterogeneity,Geographically Varying Coefficients,Customer Service/Satisfaction,Bayes Hierarchical Model,Marketing Research,"Chang, Won",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_286,"Czajkowski, M","Budzinski, W",Spatial Heterogeneity of Willingness to Pay for Forest Management,ENVIRONMENTAL & RESOURCE ECONOMICS,NOV 2017,80,"The paper investigates the spatial heterogeneity of public's preferences for the implementation of a new country-wide forest management and protection program in Poland. Spatial econometric methods and high resolution geographical information system data related to forest characteristics are used to explain the variation in individual-specific willingness to pay (WTP) values, derived from a discrete choice experiment study. We find that respondents' WTP is higher the closer they live to their nearest forest, and the scarcer forests are in the area where they live. Interestingly, the higher the ecological value of forests in respondents' area, the more people prefer extending areas of national forest protection. We also investigate spatial patterns in individual-specific WTP scores and in latent class membership probabilities, finding that preferences are indeed spatially clustered. We argue that this clustering should be taken into account in forest management and policy-making.",,,,,,"Hanley, N",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_287,"Vilches-Blazquez, L. M.","Ramos, J. A.",An Approach to Comparing Different Ontologies in the Context of Hydrographical Information,,2009,9,"Geographical Information is increasingly captured, managed, and updated by different cartographic agencies. This information presents different structures and variable levels of granularity and quality. In practice, such heterogeneity causes the building LIP Of Multiple sets of geodata with different underlying models and schemas that have different structures and semantics. Ontologies are a proposal widely used for solving heterogeneity and a way of achieving the data harmonization and integration that Geographical Information Systems (GIS) and Special Data Infrastructures (SDI) need. This paper presents three hydrographical ontologies (which are built using top-down and bottom-Up approaches) and an approach for comparing them; the goal of this approach is to prove which ontologies have a better coverage of the domain. In order to compare the resultant ontologies, six qualitative facets have been studied: Sources used (amount, richness, and consensus), reliability of building approaches (community extending use, recommenddations), ontology richness (number and types of components), formalization (language), granularity (scale factor), and the design criteria followed.",Geographical information,Heterogeneity,Data harmonization and integration,Top-down and bottom-up approach,Hydrographical ontologies,"Lopez-Pellicer, F. J.","Corcho, O.","Nogueras-Iso, J.",,,,Comparison,,,,"INFORMATION FUSION AND GEOGRAPHIC INFORMATION SYSTEMS, PROCEEDINGS",,,,,,,,,,,,,,,,
Row_288,"Ye, Hang","Wang, Zhi",Localized environmental heterogeneity drives the population differentiation of two endangered and endemic Opisthopappus Shih species,BMC ECOLOGY AND EVOLUTION,APR 15 2021,14,"Background Climate heterogeneity not only indirectly shapes the genetic structures of plant populations, but also drives adaptive divergence by impacting demographic dynamics. The variable localized climates and topographic complexity of the Taihang Mountains make them a major natural boundary in Northern China that influences the divergence of organisms distributed across this region. Opisthopappus is an endemic genus of the Taihang Mountains that includes only two spatially partitioned species Opisthopappus longilobus and Opisthopappus taihangensis. For this study, the mechanisms behind the genetic variations in Opisthopappus populations were investigated. Results Using SNP and InDel data coupled with geographic and climatic information, significant genetic differentiation was found to exist either between Opisthopappus populations or two species. All studied populations were divided into two genetic groups with the differentiation of haplotypes between the groups. At approximately 17.44 Ma of the early Miocene, O. taihangensis differentiated from O. longilobus under differing precipitation regimes due to the intensification of the Asian monsoon. Subsequently, intraspecific divergence might be induced by the dramatic climatic transformation from the mid- to late Miocene. During the Pleistocene period, the rapid uplift of the Taihang Mountains coupled with violent climatic oscillations would further promote the diversity of the two species. Following the development of the Taihang Mountains, its complex topography created geographical and ecological heterogeneity, which could lead to spatiotemporal isolation between the Opisthopappus populations. Thus the adaptive divergence might occur within these intraspecific populations in the localized heterogeneous environment of the Taihang Mountains. Conclusions The localized environmental events through the integration of small-scale spatial effects impacted the demographic history and differentiation mechanism of Opisthopappus species in the Taihang Mountains. The results provide useful information for us to understand the ecology and evolution of organisms in the mountainous environment from population and species perspective.",Opisthopappus,Genetic differentiation,Environmental heterogeneity,Taihang Mountains,,"Hou, Huimin","Wu, Jiahui","Gao, Yue","Han, Wei","Ru, Wenming","Sun, Genlou",,"Wang, Yiling",,,,,,,,,,,,,,,,,,,
Row_289,"Bai, Hexiang","Li, Deyu",A spatial heterogeneity-based rough set extension for spatial data,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,FEB 1 2019,3,"When classical rough set (CRS) theory is used to analyze spatial data, there is an underlying assumption that objects in the universe are completely randomly distributed over space. However, this assumption conflicts with the actual situation of spatial data. Generally, spatial heterogeneity and spatial autocorrelation are two important characteristics of spatial data. These two characteristics are important information sources for improving the modeling accuracy of spatial data. This paper extends CRS theory by introducing spatial heterogeneity and spatial autocorrelation. This new extension adds spatial adjacency information into the information table. Many fundamental concepts in CRS theory, such as the indiscernibility relation, equivalent classes, and lower and upper approximations, are improved by adding spatial adjacency information into these concepts. Based on these fundamental concepts, a new reduct and an improved rule matching method are proposed. The new reduct incorporates spatial heterogeneity in selecting the feature subset which can preserve the local discriminant power of all features, and the new rule matching method uses spatial autocorrelation to improve the classification ability of rough set-based classifiers. Experimental results show that the proposed extension significantly increased classification or segmentation accuracy, and the spatial reduct required much less time than classical reduct.",Rough set model,spatial information table,spatial heterogeneity,spatial autocorrelation,feature selection,"Ge, Yong","Wang, Jinfeng",,,,,,,,,,,,,,,,,,,,,,,,,
Row_290,"Yasin, Muhammad","Licchetta, Laura",Genetic heterogeneity in epilepsy and comorbidities: insights from Pakistani families,BMC NEUROLOGY,MAY 23 2024,0,"Background Epilepsy, a challenging neurological condition, is often present with comorbidities that significantly impact diagnosis and management. In the Pakistani population, where financial limitations and geographical challenges hinder access to advanced diagnostic methods, understanding the genetic underpinnings of epilepsy and its associated conditions becomes crucial. Methods This study investigated four distinct Pakistani families, each presenting with epilepsy and a spectrum of comorbidities, using a combination of whole exome sequencing (WES) and Sanger sequencing. The epileptic patients were prescribed multiple antiseizure medications (ASMs), yet their seizures persist, indicating the challenging nature of ASM-resistant epilepsy. Results Identified genetic variants contributed to a diverse range of clinical phenotypes. In the family 1, which presented with epilepsy, developmental delay (DD), sleep disturbance, and aggressive behavior, a homozygous splice site variant, c.1339-6 C > T, in the COL18A1 gene was detected. The family 2 exhibited epilepsy, intellectual disability (ID), DD, and anxiety phenotypes, a homozygous missense variant, c.344T > A (p. Val115Glu), in the UFSP2 gene was identified. In family 3, which displayed epilepsy, ataxia, ID, DD, and speech impediment, a novel homozygous frameshift variant, c.1926_1941del (p. Tyr643MetfsX2), in the ZFYVE26 gene was found. Lastly, family 4 was presented with epilepsy, ID, DD, deafness, drooling, speech impediment, hypotonia, and a weak cry. A homozygous missense variant, c.1208 C > A (p. Ala403Glu), in the ATP13A2 gene was identified. Conclusion This study highlights the genetic heterogeneity in ASM-resistant epilepsy and comorbidities among Pakistani families, emphasizing the importance of genotype-phenotype correlation and the necessity for expanded genetic testing in complex clinical cases.",ASM-resistant epilepsy,Comorbidities,Genetic heterogeneity,Clinical profiles,Pakistani families,"Khan, Niamat","Ullah, Irfan","Jan, Zakir","Dawood, Muhammad","Ahmed, Asif Naveed","Azeem, Arfa",,"Minardi, Raffaella","Carelli, Valerio",,,,,"Saleha, Shamim",,,,,,,,,,,,,
Row_291,"Wang, Zengzheng","Zhang, Fuhao","Exploring the Spatial Discrete Heterogeneity of Housing Prices in Beijing, China, Based on Regionally Geographically Weighted Regression Affected by Education",LAND,JAN 2023,2,"Spatial heterogeneity analysis of housing prices, in general, is crucial for maintaining high-quality economic development in China, especially in the post-COVID-19 pandemic context. Previous studies have attempted to explain the associated geographical evolution by studying the spatial non-stationary continuous heterogeneity; however, they ignored the spatial discrete heterogeneity caused by natural or policy factors, such as education, economy, and population. Therefore, in this study, we take Beijing as an example and consider educational factors in order to propose an improved local regression algorithm called the regionally geographically weighted regression affected by education (E-RGWR), which can effectively address spatial non-stationary discrete heterogeneity caused by education factors. Our empirical study indicates that the R-2 and R-adj(2) values of E-RGWR are 0.8644 and 0.8642, which are 10.98% and 11.01% higher than those of GWR, and 3.26% and 3.27% higher than those of RGWR, respectively. In addition, through an analysis of related variables, the quantitative impacts of greening rate, distance to market, distance to hospitals. and construction time on housing prices in Beijing are found to present significant spatial discrete heterogeneity, and a positive relationship between school districts and housing prices was also observed. The obtained evaluation results indicate that E-RGWR can explain the spatial instability of housing prices in Beijing and the spatial discrete heterogeneity caused by education factors. Finally, based on the estimation results of the E-RGWR model, regarding housing prices in Beijing, we analyze the relationships between enrollment policy, real estate sales policy, and housing prices, E-RGWR can provide policy makers with more refined evidence to understand the nature of the centralized change relationship of Beijing's housing price data in a well-defined manner. The government should not only carry out macro-control, but also implement precise policies for different regions, refine social governance, promote education equity, and boost the economy.",GWR,RGWR,spatial discrete heterogeneity,house price valuation,,"Zhao, Yangyang",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_292,"Schönian, G","Schnur, L",Genetic heterogeneity in the species Leishmania tropica revealed by different PCR-based methods,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,MAR-APR 2001,124,"A PCR fingerprinting approach, using single non-specific primers, as well as restriction and single-strand conformation polymorphism (SSCP) analyses of the amplified ribosomal internal transcribed spacer, were used to investigate genetic variability in the species Leishmania tropica. Twenty-nine strains of the 'L. tropica complex' from different Old World geographical areas were studied including 4 from Namibia, and 1 strain of L. killicki. All techniques revealed a high degree of genetic heterogeneity among the strains of L. tropics. The PCR fingerprinting displayed the highest discriminatory power, but can be applied only to cultured parasites. The internal transcribed spacer (ITS) region can be amplified directly from infected clinical samples and analysed subsequently. No strict correlation was discerned between the genetic variants and either the geographical origin of the strains or the clinical manifestations associated with human disease, except fur the Namibian strains. Also, genetic variation did not correlate well with characterization by enzyme variant electrophoretic analysis. The strain of L. killicki always clustered together with the strains of L. tropica, suggesting it, probably, should not be considered a separate species of Leishmania. However, the 4 Namibian strains formed a distinct, statistically well-supported group closely related to but different from the other strains of L. tropica.",Leishmania tropica,Leishmania killicki,genetic analysis,heterogeneity,PCR fingerprinting,"El Fari, M","Oskam, L","Kolesnikov, AA","Sokolowska-Köhler, W","Presber, W",,PCR-RFLP,,,PCR-SSCP,,internal transcribed spacer,,,,,,,,,,,,,,,
Row_293,"Skvareninova, Jana","Sitko, Roman",Phenological response of European beech (Fagus sylvatica L.) to climate change in the Western Carpathian climatic-geographical zones,FRONTIERS IN PLANT SCIENCE,APR 3 2024,1,"Introduction: The paper analyzes the results of 26 years (1996-2021) of phenological observations of the vegetative organs of European beech (Fagus sylvatica L.) in the Western Carpathians. It evaluates the influence of the heterogeneity of this territory, including relief and elevation, based on climatic-geographical types. Methods: Phenological stages, including leaf unfolding, full leaves, leaf coloring, and leaf fall, were monitored at 40 phenological stations across eight elevation zones. The study assesses trends in the occurrence of phenological stages, the length of the growing season, and phenological elevation gradients. Results: The results indicate a statistically significant earlier onset of spring phenological phases and delay in autumn phases, resulting in an average extension of the beech growing season by 12 days. Our findings confirm that the lengthening of the growing season due to warming, as an expression of climate change, is predominantly attributed to the warming in the spring months. The detected delayed onset of autumn phenophases was not due to warming in the autumn months, but other environmental factors influence it. The trend of elongation of the growing season (p<0.01) is observed in all elevation zones, with a less significant trend observed only in zones around 400 and 600 m a.s.l, signaling changes in environmental conditions across most of the elevation spectrum. Moreover, the heterogeneity of climatic-geographical types within each elevation zone increases the variability in the duration of the growing season for sites with similar elevations. By extending the growing season, it is assumed that the beech area will be changed to locations with optimal environmental conditions, especially in terms of adverse climatic events (late spring frosts, drought) during the growing season. The phenological elevation gradients reveal an earlier onset of 2.2 days per 100 m for spring phenophases and a delay of 1.1-2.9 days per 100 m for autumn phenophases. Discussion: These findings highlight the specific environmental conditions of European beech in the Western Carpathians and their potential for anticipating changes in its original area. Additionally, these observations can aid in forecasting the further development of phenological manifestations related to climate change.",phenology,European beech,climate change,Western Carpathians,trend,"Vido, Jaroslav","Snopkova, Zora","Skvarenina, Jaroslav",,,,relief,,,elevation,,heterogeneity,,,,,,,,,,,,,,,
