,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,author4,author5,author6,keyword4,keyword5,author7,author8,author9,keyword6,keyword7,keyword8,author10,author11,keyword9,keyword10,keyword11,keyword12,author12,author13
Row_11,"Wan, Jian","Shen, Jun","Wu, Xiaoping","Geographical heterogeneity in the disease characteristics and management of patients with inflammatory bowel disease, the preliminary results of a Chinese database for IBD (CHASE-IBD)",THERAPEUTIC ADVANCES IN GASTROENTEROLOGY,2023,3,"Background:The incidence of inflammatory bowel disease (IBD) is rapidly increasing in China, a vast country with significant geographical differences. The socioeconomic status of Eastern China is significantly higher than that of Western China.Objectives:This study aimed to describe the geographical heterogeneity in the characteristics and management of patients with IBD in both Eastern and Western China.Design:This was a multicenter, cross-sectional study.Methods:Patients with IBD with ages > 18 years up to 18 January 2023 were included in the analysis from the Chinese database for IBD. Logistic regression was used to identify risk factors associated with surgeries among patients with IBD.Results:Among 8305 patients with IBD, the ratio of ulcerative colitis (UC) to Crohn's disease (CD) was 4.13 and 0.33 in Western and Eastern China, respectively. The median age at diagnosis of UC and CD was 40.69 and 28.58 years, respectively. There was a male predominance among patients with UC (54.3%) and CD (68.0%). The two regions exhibited a similar distribution of disease locations in UC. However, Western China had a higher proportion of L2 involvement (30.0% versus 19.1%) and more advanced disease behavior (B2 and B3) (48.8% versus 39.8%) than Eastern China. Patients with IBD in Western China received more 5-aminosalicylic acid and corticosteroids and fewer immunomodulators and biologicals. In terms of surgical risk, Eastern China [versus Western China, odds ratios (OR): 5.36, 95% confidence intervals (CI): 2.96-9.68] was associated with a higher risk of surgery in UC, while Western China (versus Eastern China, OR: 3.39, 95% CI: 2.37-4.86) was associated with a higher risk of surgery in CD.Conclusion:Geographical heterogeneity exists in the disease characteristics and management of IBD in Eastern and Western China. These findings have the potential to guide the formulation of location-specific strategies aimed at enhancing the long-term outcomes of patients with IBD.",China,geographical heterogeneity,inflammatory bowel disease,"Zhong, Jie","Chen, Yan","Zhu, Lanxiang",surgery,,"Miao, Yinglei","Hu, Naizhong","Chen, Jie",,,,"Liang, Jie","Wu, Kaichun",,,,,,
Row_12,"Song, Yongze","Wang, Jinfeng","Ge, Yong",An optimal parameters-based geographical detector model enhances geographic characteristics of explanatory variables for spatial heterogeneity analysis: cases with different types of spatial data,GISCIENCE & REMOTE SENSING,JUL 3 2020,548,"Spatial heterogeneity represents a general characteristic of the inequitable distributions of spatial issues. The spatial stratified heterogeneity analysis investigates the heterogeneity among various strata of explanatory variables by comparing the spatial variance within strata and that between strata. The geographical detector model is a widely used technique for spatial stratified heterogeneity analysis. In the model, the spatial data discretization and spatial scale effects are fundamental issues, but they are generally determined by experience and lack accurate quantitative assessment in previous studies. To address this issue, an optimal parameters-based geographical detector (OPGD) model is developed for more accurate spatial analysis. The optimal parameters are explored as the best combination of spatial data discretization method, break number of spatial strata, and spatial scale parameter. In the study, the OPGD model is applied in three example cases with different types of spatial data, including spatial raster data, spatial point or areal statistical data, and spatial line segment data, and an R ""GD"" package is developed for computation. Results show that the parameter optimization process can further extract geographical characteristics and information contained in spatial explanatory variables in the geographical detector model. The improved model can be flexibly applied in both global and regional spatial analysis for various types of spatial data. Thus, the OPGD model can improve the overall capacity of spatial stratified heterogeneity analysis. The OPGD model and its diverse solutions can contribute to more accurate, flexible, and efficient spatial heterogeneity analysis, such as spatial patterns investigation and spatial factor explorations.",GIS,spatial analysis,geographical detector,"Xu, Chengdong",,,spatial stratified heterogeneity,spatial factors exploration,,,,R package GD,,,,,,,,,,
Row_13,"Cei, Leonardo","Stefani, Gianluca","Defrancesco, Edi",The role of group-time treatment effect heterogeneity in long standing European agricultural policies. An application to the European geographical indication policy,BIO-BASED AND APPLIED ECONOMICS,2020,0,"In recent years, the European Union is stressing the importance of monitoring and evaluating its policies, among which the common agricultural policy plays an important role. Policy evaluation, in order to provide reliable results on which to take important legislative decisions, should rely on robust methodological tools. A recent strand of literature casts some doubts about the reliability of the two-way fixed effect estimator when the effect of a treatment is heterogeneous across groups of units or over time. This estimator is widely used in agricultural economics to estimate the effect of policies where effect heterogeneity may be at stake. Using the European geographical indication (GI) policy, we compared the two-way fixed effects estimator with a novel non-parametric estimator that accounts for the issues created by effect heterogeneity. The results show that the two estimators, consistently with the concerns expressed by the technical literature, may lead to different estimates of the policy effect. This suggests that treatment effect heterogeneity is likely a concern when assessing the impact of GI-type policies. Therefore, the use of the standard estimator may lead to misleading conclusions and, as a result, to inappropriate policy actions.",Treatment heterogeneity,geographical indications,impact assessment,,,,two-way fixed effects,policy evaluation,,,,,,,,,,,,,,
Row_14,"Zhang, Sui","Li, Ziqi",,Multilevel Geographical Process Models (MGPMs): A Novel Framework for Modeling Individual- and Multi-Level Spatial Process Heterogeneity,APPLIED GEOGRAPHY,2024,0,"Scale, context, and heterogeneity have been central issues in geography. From a quantitative standpoint, accurately identifying the scale and context at which geographical processes operate and capturing their spatial heterogeneity have been challenging tasks. Despite various prominent developments in spatial modeling literature, there is a lack of models for separating individual- and group-level spatial processes that may also exhibit spatial heterogeneity. Understanding this difference can better inform us about how individuals are separated from or influenced by higher-level contexts. In this regard, we propose Multilevel Geographical Process Models (MGPMs) to simultaneously incorporate both individual- and multi-level spatial process heterogeneity. We demonstrate the performance of the model using Monte Carlo simulations and Compare it against Multiscale Geographically Weighted Regression and Multilevel models.",multilevel models,multiscale geographically weighted regression,spatial process heterogeneity,,,,,,,,,,,,,,,,,,,
Row_15,"Dentoni, Domenico","Menozzi, Davide","Capelli, Maria Giacinta","Group heterogeneity and cooperation on the geographical indication regulation: The case of the ""Prosciutto di Parma"" Consortium",FOOD POLICY,JUN 2012,66,"This paper explores the impact of individual group members' heterogeneous characteristics, resources and strategies on their level of cooperation on defining the future regulation of Geographical Indications (GIs). By following a ""grounded theory"" approach, this study combines qualitative evidence from an in-depth study on the ""Prosciutto di Parma"" Protected Designation of Origin (PDO) Consortium with quantitative evidence based on data collected from 94 Consortium members and analysed through path modelling. Results confirm that (1) ""Prosciutto di Parma"" Consortium members have highly and increasingly heterogeneous characteristics, assets and strategies and that (2) higher heterogeneity negatively affects members' agreement on the future level of restrictiveness of ""Prosciutto di Parma"" PDO as Gland therefore the effectiveness of the collective action. Overall, these findings give light to another internal barrier that may threaten producers' opportunity of profiting from the use of established and highly recognized GIs. Managerial and policy implications for both ""Prosciutto di Parma"" Consortium members and other groups governing established and highly recognized GIs are drawn. (C) 2012 Elsevier Ltd. All rights reserved.",Geographical Indications,Protected Designations of Origin,Group heterogeneity,,,,Collective action,Path modelling,,,,Grounded theory,,,,,,,,,,
Row_16,"Doojav, Gan-Ochir","Baatarkhuu, Munkhbayar",,Public debt and growth in Asian developing economies: evidence of non-linearity and geographical heterogeneity,EURASIAN ECONOMIC REVIEW,JUN 2024,0,"This paper examines the nonlinear effects of public debt on economic growth in Asian developing economies through the application of panel Generalized Method of Moments (GMM) regressions and panel vector autoregression (VAR) models. Our analysis reveals a statistically significant nonlinear (i.e., an inverted U-shape) relationship between public debt (as a percentage of GDP) and GDP per capita growth. The turning points are identified at 52 percent for all Asian developing economies and 50 percent for Asian coastal developing economies. Asymmetric mutual feedback effects are observed between economic growth and public debt, contingent on the level of public debt. These two-way effects are both statistically significant and more pronounced when public debt surpasses its threshold level. Additionally, our results unveil geographical (cross-country) heterogeneity in the mutual feedback effects. These findings carry significant policy implications, emphasizing the necessity of employing region-specific debt threshold levels and asymmetric response coefficients in the analysis of public debt policies.",Public debt,Economic growth,Asian developing countries,,,,Sustainability of debt,Non-linearity,,,,Geographical heterogeneity,C23,E62,,,F34,H63,O11,R11,,
Row_17,"Bai, Hexiang","Li, Deyu","Ge, Yong",Spatial rough set-based geographical detectors for nominal target variables,INFORMATION SCIENCES,MAR 2022,14,"Spatial rough set theory is an extension of classical rough set theory that is designed to handle spatial data. Different from its classical analog, spatial rough set theory approxi-mates nominal target variables in each local region, thereby enabling the local explanatory power of various factors on these nominal target variables to be determined. Based on spa-tial rough set theory, this paper describes two new uncertainty indices for measuring the spatial heterogeneity of the local explanatory power on nominal target variables. Moreover, three new spatial rough set-based geographical detectors are proposed. With the help of the uncertainty indices, these detectors measure the spatial explanatory power of different factors, compare their importance, and detect feature interactions. Experiments are conducted using two publicly accessible datasets to demonstrate the effectiveness of the proposed geographical detectors and evaluate their performance against that of geo-graphical detectors based on q-statistics. The results show that the proposed detectors are effective in processing nominal variables and can be used to complement existing q- statistics-based geographical detectors.(c) 2021 Elsevier Inc. All rights reserved.",Rough set,Uncertainty measure,Spatial heterogeneity,"Wang, Jinfeng","Cao, Feng",,Spatial analysis,Geographical detector,,,,,,,,,,,,,,
Row_18,"Polykretis, Christos","Alexakis, Dimitrios D.",,"Spatial stratified heterogeneity of fertility and its association with socio-economic determinants using Geographical Detector: The case study of Crete Island, Greece",APPLIED GEOGRAPHY,FEB 2021,32,"Research efforts related to better understanding and capture of the fertility trends over the time are considered to be of significant interest in the fields of demography and social sciences. In Greece, the overall relationships between fertility and numerous determinants that influence it have been explored at national level. However, the possible spatial heterogeneity in these relationships has not been investigated at any spatial level. The main objective of this study was to explore the spatial stratified heterogeneity in the relationships between fertility and seven socio-economic determinants at the municipality level of Crete Island, Greece. By using demographic data from two censuses in 2001 and 2011, the fertility was measured as crude birth rate (CBR) and the determinants were created as attributes of urbanization, population density, immigration, marriage, female educational level, female unemployment and male employment. The spatial distributions of fertility and determinants for each year as well as their temporal changes were firstly identified. The majority of municipalities of Crete presented high fertility levels in 2001. Between 2001 and 2011, they showed a decline trend, with some exceptions from municipalities located in the north and south of its four prefectures. Furthermore, the Geographical Detector (GeoDetector) technique was applied to reveal the impact of each determinant and their interactions on fertility. The output results revealed that there was obvious spatial stratified heterogeneity of fertility in the island, which could mostly be explained by the immigration in 2001, and the urbanization and population density in 2011. The impact of marriage and female educational level was lower in both years and different (either positive or negative) among the years. The single effects of the prominent determinants were found to be significantly improved from their interactions.",Fertility,Socio-economic determinant,Spatial stratified heterogeneity,,,,Geographical detector,Crete,,,,Greece,,,,,,,,,,
Row_19,"Lei, Yanhui","Wang, Jinfeng","Wang, Yang",Geographical evolutionary pathway of global tuberculosis incidence trends,BMC PUBLIC HEALTH,APR 24 2023,4,"BackgroundsTuberculosis (TB) remains a serious public health and human development problem, especially in developing countries. Despite the effectiveness of directly observed therapy, short course programs in reducing transmission and progression of TB, poverty reduction and socioeconomic development remain crucial factors in decreasing TB incidence. However, the geographical pathway on the planet is not yet clear.ObjectivesThis study was to reconstruct the geographical evolutionary process of TB in 173 countries and territories from 2010 to 2019 to analyze the socioeconomic determinants that impact the global TB epidemic. In addition, the TB incidence in 2030 was predicted.MethodsThis study analyses TB incidence data from 173 countries and territories between 2010 and 2019. The Geotree model would be used to reconstruct the geographical evolutionary process of TB, which provides a simplified schema for geo-visualizing the trajectories of TB incidence and their socioeconomic drivers. Additionally, to estimate the future TB incidence in 2030, a multilevel model was utilized in conjunction with the hierarchical nature of the Geotree based on a stratified heterogeneity analysis.ResultsGlobal TB incidence was found to be associated with the country type and development stages. Between 2010 and 2019, the average TB incidence rate in 173 countries and territories was -27.48%, with marked spatially stratified heterogeneity by country type and development stage. Low-income and lower-middle-income countries were most vulnerable to TB. Upper-middle-income countries experienced a faster decline in TB incidence than high-income countries, and TB incidence generally decreased as the development stage increased, except for the lower-middle development stage in 2019.The highest average rate of decline in TB incidence was observed in the upper-middle development stage of high-income countries, with a reduction of 45.24%. Meanwhile, 37 high-income countries in the high development stage demonstrated an average rate of change of -13.93%. Socioeconomic determinants, including gross domestic product per capita, urbanization rate, and sociodemographic index, were found to inhibit TB incidence. Based on current trends, the predicted average global TB incidence in 2030 is 91.581 per 100,000 population.ConclusionsThe trajectories of the global TB incidence have been reconstructed to formulate targeted public health responses. To eliminate TB, countries at similar development stage can draw on the experiences of countries at higher development stages that are tailored to their unique characteristics. By learning from successful TB control strategies, countries can take strategic steps toward eradicating TB and improving public health outcomes.",Tuberculosis,Stratified heterogeneity,Geographical evolutionary pathway,"Xu, Chengdong",,,Geotree,,,,,,,,,,,,,,,
Row_20,"He, Wen-Jun","Lai, Ying-Si","Karmacharya, Biraj M.",Geographical heterogeneity and inequality of access to improved drinking water supply and sanitation in Nepal,INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,APR 2 2018,30,"Background: Per United Nations' Sustainable Development Goals, Nepal is aspiring to achieve universal and equitable access to safe and affordable drinking water and provide access to adequate and equitable sanitation for all by 2030. For these goals to be accomplished, it is important to understand the country's geographical heterogeneity and inequality of access to its drinking-water supply and sanitation (WSS) so that resource allocation and disease control can be optimized. We aimed 1) to estimate spatial heterogeneity of access to improved WSS among the overall Nepalese population at a high resolution; 2) to explore inequality within and between relevant Nepalese administrative levels; and 3) to identify the specific administrative areas in greatest need of policy attention.Methods: We extracted cluster-sample data on the use of the water supply and sanitation that included 10,826 surveyed households from the 2011 Nepal Demographic and Health Survey, then used a Gaussian kernel density estimation with adaptive bandwidths to estimate the distribution of access to improved WSS conditions over a grid at 1 x 1 km. The Gini coefficient was calculated for the measurement of inequality in the distribution of improved WSS; the Theil L measure and Theil T index were applied to account for the decomposition of inequality.Results: 57% of Nepalese had access to improved sanitation (range: 18.1% in Mahottari to 100% in Kathmandu) and 92% to drinking-water (range: 41.7% in Doti to 100% in Bara). The most unequal districts in Gini coefficient among improved sanitation were Saptari, Sindhuli, Banke, Bajura and Achham (range: 0.276 to 0.316); and Sankhuwasabha, Arghakhanchi, Gulmi, Bhojpur, Kathmandu (range: 0.110 to 0.137) among improved drinking-water. Both the Theil L and Theil T showed that within-province inequality was substantially greater than between-province inequality; while within-district inequality was less than between-district inequality. The inequality of several districts was higher than what is calculated by regression of the Gini coefficient and our estimates.Conclusions: This study showed considerable geographical heterogeneity and inequality not evidenced in previous national statistics. Our findings may be useful in prioritizing resources to reduce inequality and expand the coverage of improved water supply and sanitation in Nepal.",Sanitation,Drinking water,Heterogeneity,"Dai, Bo-Feng","Hao, Yuan-Tao","Xu, Dong Roman",Inequality,Nepal,,,,,,,,,,,,,,
Row_21,"Valentina, Ceccarelli","Luca, Correani","Patrizio, Morganti",Heterogeneity and geographical location in Italian Business Networks,JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS,DEC 2024,1,"Business network agreements (BNA) are an innovative policy tool that allow firms to cooperate on common projects by sharing skills and knowledge. BNA can be set up either by firms working in the same geographical area or by firms geographically distant among each other. Focusing on Italian networks, we conduct a cross-section empirical analysis to investigate the relationship between geographical distance and heterogeneity in firms' business when forming an interfirm network. It emerges that the geographical agglomeration of network firms is significantly related to a lower value of the entropy index, though in this case the network tends to be composed by a small number of firms. In other words, firms can enjoy the positive externalities arising from cooperation when they are located near each other and carry out similar activities; at the same time, the drawbacks of competition are reduced by limiting the number of partners with whom they share their efforts. On the contrary, we observe more dispersed and big networks among heterogeneous firms.",Firm networks,Entropy,Strategic location,,,,L14,L22,,,,O25,,,,,,,,,,
