,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author4,author5,author6,author7,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author8,conference,author9,author10,author11,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,author12
Row_520,"Wu, Honglin","Zeng, Zhaobin","Huang, Peng",CCTNet: CNN and Cross-Shaped Transformer Hybrid Network for Remote Sensing Image Semantic Segmentation,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,0,"Deep learning methods have achieved great success in the field of remote sensing image segmentation in recent years, but building a lightweight segmentation model with comprehensive local and global feature extraction capabilities remains a challenging task. In this article, we propose a convolutional neural network (CNN) and cross-shaped transformer hybrid network (CCTNet) for semantic segmentation of high-resolution remote sensing images. This model follows an encoder-decoder structure. It employs ResNet18 as an encoder to extract hierarchical feature information, and constructs a transformer decoder based on efficient cross-shaped self-attention to fully model local and global feature information and achieve lightweighting of the network. Moreover, the transformer block introduces a mixed-scale convolutional feedforward network to further enhance multiscale information extraction. Furthermore, a simplified and efficient feature aggregation module is leveraged to gradually aggregate local and global information at different stages. Extensive comparison experiments on the ISPRS Vaihingen and Potsdam datasets reveal that our method obtains superior performance compared with state-of-the-art lightweight methods.",Transformers,Feature extraction,Semantic segmentation,Semantics,"Yu, Xinyu","Zhang, Min",,,Remote sensing,Convolutional neural networks,Decoding,Computational efficiency,Data mining,Computer architecture,Convolutional neural network (CNN),cross-shaped transformer,,,,,,global contextual information,remote sensing image,semantic segmentation,,,,,,,,,
Row_521,"Li, Zhongyu","Wang, Huajun","Liu, Yang",Semantic segmentation of remote sensing image based on bilateral branch network,VISUAL COMPUTER,MAY 2024,2,"Due to the large intra-class differences between the same categories and the scale imbalance between different categories in the remote sensing image dataset, the semantic segmentation task presents the problem of small-scale object information loss, the imbalance between foreground and background, and simultaneously the background dominates, which seriously affects the performance of the network model. To solve the above problems, this paper proposes an efficient bilateral branch depth neural network model based on the U-Net depth neural network, named BBU-Net. Firstly, one branch of the network learns the distribution characteristics of the original data, and the other focuses on difficult samples. Then the two branches improve the representation and classification ability of the neural network by accumulating learning strategies. Finally, considering the geometric diversity of remote sensing images, this paper adopts test time augmentation and reflection padding strategies and proposes a balanced weighted loss function named CombineLoss to alleviate the imbalance in the training process. The depth neural network proposed in this paper was first tested on the Inria Aerial Image Labeling Dataset, and 87.53% of mean intersection over union and 97.4% of mean pixel accuracy were obtained, respectively. At the same time, to verify the model's complexity, the model proposed in this paper is compared with the neural network based on integrated learning. The comparison results show that the spatial complexity of the network proposed in this paper is much lower than the neural network obtained by integrated learning, and the parameters are also much smaller than the neural network based on integrated learning. Then use the satellite building dataset I in the WHU Building Dataset and mainstream semantic segmentation methods for multiple groups of comparative experiments. The experimental results show that the method proposed in this paper can effectively extract the semantic information of remote sensing images, significantly improve the imbalance of remote sensing image data, improve the performance of the network model, and achieve a good semantic segmentation effect, which fully proves the effectiveness of this method.",Feature extraction,Semantic segmentation,Deep neural network,Imbalance,,,,,Integrated learning,,,,,,,,,,,,,,,,,,,,,,,,
Row_522,"Liu, Mengjia","Liu, Peng","Zhao, Lingjun",Fast semantic segmentation for remote sensing images with an improved Short-Term Dense-Connection (STDC) network,INTERNATIONAL JOURNAL OF DIGITAL EARTH,DEC 31 2024,0,"It is hard to accomplish fast semantic segmentation on large remote sensing images, since current neural networks with numerous parameters often rely on significant computational resources. Our team proposes an improved fast semantic segmentation model based on short-term dense-connection network (RepSTDC). We introduce a structure reparameterization and coordinate attention into STDC networks. By structure reparameterization, we transform the multi-branch structure into a comparable single-branch configuration during the inference process. By replacing the traditional channel attention with a coordinate attention mechanism, we enhance the attention mechanism with considering channel relationships and long-distance position information, and then it saves the memory usages. We conducted thorough experiments to assess the efficacy of network components of RepSTDC on the several benchmark datasets. Additionally, we compared our proposed approach with state-of-the-art methods. Our RepSTDC model can well balance the accuracy performances, computing speed, and memory usage in most cases. It achieves fast segmentation by significantly reducing parameters but without obviously compromising performances compared to other methods.",Convolutional neural network (CNN),structural reparameterization,remote sensing image,semantic segmentation,"Ma, Yan","Chen, Lajiao","Xu, Mengzhen",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_523,"Wang, Kai","He, Daojie","Sun, Qingqiang",A novel network for semantic segmentation of landslide areas in remote sensing images with multi-branch and multi-scale fusion,APPLIED SOFT COMPUTING,JUN 2024,2,"Landslides pose significant risks as natural disasters, highlighting the importance of accurate mapping using remote sensing images for various practical applications. However, due to the challenges arising from incomplete and inaccurate boundary information of foreground landslide polygons, existing methods can only achieve suboptimal performance. To this premise, in this paper, we propose a segmentation network called GMNet that leverages global information extraction and multi -scale feature fusion to enhance the discrimination of landslides from other objects. Specifically, by employing a multi -branch mechanism, our method effectively captures global information, while an improved multi -scale feature fusion technique addresses the issue of varying scales in landslide polygons. Furthermore, semantic enhancement enhances the semantic information of low-level features, bridging the semantic gap and enhancing fusion efficacy. Experimental results demonstrate the effectiveness of our network in segmenting landslide areas accurately within the remote sensing image dataset. Especially, our F1_scores on three benchmarks outperform existing runner-ups by notable margins of 4.81%, 1.72%, and 1.16%, showcasing the value of our method in this domain.",Landslide,Transformer,Semantic segmentation,Remote sensing,"Yi, Lizhi","Yuan, Xiaofeng","Wang, Yalin",,Feature fusion,,,,,,,,,,,,,,,,,,,,,,,,
Row_524,"Su, Yu-Chen","Liu, Tsung-Jung","Liuy, Kuan-Hsien",Multi-scale Wavelet Frequency Channel Attention for Remote Sensing Image Segmentation,DEEP LEARNING IN MEDICAL IMAGE ANALYSIS AND MULTIMODAL LEARNING FOR CLINICAL DECISION SUPPORT,2022,9,"Among recent developments in semantic segmentation, deep convolutional encoder-decoder has become the main-scheme model for remote sensing images. In this paper, we propose a architecture similar to U-Net for remote sensing image segmentation that uses wavelet frequency channel attention (WFCA) blocks as the attention mechanism to extract rich semantic features, which not only contain local information in spatial domain, but also consider frequency details in frequency domain. Then we fuse WFCA blocks with multi-scale skip connections to become multi-scale wavelet frequency channel attention (ms-WFCA) blocks for better utilizing features from different scales. Finally, the proposed method shows promising results on the Potsdam dataset.",Semantic segmentation,remote sensing,wavelet transformation,attention mechanism,,,,,multi-scale,,,,,,,,,,,,,,,,,,,,,,,,
Row_525,Ni Ruiwen,Mu Ye,Li Ji,Segmentation of Remote Sensing Images Based on U-Net Multi-Task Learning,CMC-COMPUTERS MATERIALS & CONTINUA,2022,2,"In order to accurately segment architectural features in highresolution remote sensing images, a semantic segmentation method based on U-net network multi-task learning is proposed. First, a boundary distance map was generated based on the remote sensing image of the ground truth map of the building. The remote sensing image and its truth map were used as the input in the U-net network, followed by the addition of the building ground prediction layer at the end of the U-net network. Based on the ResNet network, a multi-task network with the boundary distance prediction layer was built. Experiments involving the ISPRS aerial remote sensing image building and feature annotation data set show that compared with the full convolutional network combined with the multi-layer perceptron method, the intersection ratio of VGG16 network, VGG16 + boundary prediction, ResNet50 and the method in this paper were increased by 5.15%, 6.946%, 6.41% and 7.86%. The accuracy of the networks was increased to 94.71%, 95.39%, 95.30% and 96.10% respectively, which resulted in high-precision extraction of building features.",Multitasking learning,U-net,ResNet,remote sensing image,Zhang Tong,Luo Tianye,Feng Ruilong,Gong He,semantic segmentation,,,,,,,,Hu Tianli,,Sun Yu,Guo Ying,Li Shijun,,,,,,,,,,,,"Tyasi, Thobela Louis"
Row_526,"Li, Xin","Xu, Feng","Liu, Fan",Semantic Segmentation of Remote Sensing Images by Interactive Representation Refinement and Geometric Prior-Guided Inference,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,18,"High spatial resolution remote sensing images (HRRSIs) contain intricate details and varied spectral distributions, making their semantic segmentation a challenging task. To address this problem, it is crucial to adequately capture both local and global contexts to reduce semantic ambiguity. While self-attention modules in vision transformers capture long-range context, they tend to sacrifice local details. In this article, we propose a geometric prior-guided interactive network (GPINet), a hybrid network that refines features across encoder and decoder stages. First of all, a dual branch structure encoder with local-global interaction modules (LGIMs) is designed to fully exploit local and global contexts for feature refinement. Unlike commonly used skip connections or concatenations, the LGIMs bilaterally couple and exchange CNN features with transformer features by lossless transformation and elaborating cross-attention. Moreover, we introduce a geometric prior generation module (GPGM) that iteratively updates the randomly initialized geometric prior. Subsequently, the geometric priors are stored and used to guide feature recovery. Finally, a weighted summation is applied to the upsampled decoded features and geometric priors. By comprehensively capturing contexts and enabling lossless decoding and deterministic inference, GPINet allows the network to learn discriminative representations for accurately specifying pixel-level semantics. Experiments on three benchmark datasets demonstrate the superiority of the proposed GPINet over state-of-the-art methods. Furthermore, we validate the effectiveness of geometric priors and compare the model sizes.",Attention bias,contextual affinity,remote sensing images (RSIs),semantic segmentation,"Tong, Yao","Lyu, Xin","Zhou, Jun",,synergistic attention,,,,,,,,,,,,,,,,,,,,,,,,
Row_527,"Xu, Chunyan","Li, Chengzheng","Cui, Zhen",Hierarchical Semantic Propagation for Object Detection in Remote Sensing Imagery,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,JUN 2020,54,"Object detection in remote sensing imagery is a critical yet challenging task in the field of computer vision due to the bird & x2019;s-eye-view perspective. Although existing object detection approaches in remote sensing imagery have achieved great advances through the utilization of deep features or rotation proposals, but they give insufficient consideration to multilevel semantic information and its propagation for guiding the learning process. Accordingly, in this article, we propose a hierarchical semantic propagation (HSP) framework to boost object detection performance in remote sensing imagery, which is better able to propagate hierarchical semantic information among different components in a unified network. Given a remote sensing image as input, the HSP framework can detect instances of semantic objects belonging to certain categories in an end-to-end way. First, the multiscale representation is captured by a basic feature pyramid network, which can hierarchically combine spatial attention details and the global semantic structure in order to learn more discriminative visual features. Second, the soft-segmentation prediction is used as an auxiliary objective in the intermediate layer of our HSP; its output instance-aware semantic information can be propagated to suppress noisy background information and thereby guide the proposal generation in the region proposal network. By further propagating this hierarchical semantic information into the region of interest module, we can then predict the object category information and the corresponding horizontal and oriented bounding boxes. Comprehensive evaluations on three benchmark data sets demonstrate the superiority of our HSP to the existing state-of-the-art methods for object detection in remote sensing imagery.",Hierarchical semantic propagation (HSP),object detection,remote sensing imagery,,"Zhang, Tong","Yang, Jian",,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_528,"Fan, Xiaomin","Zhou, Wujie","Qian, Xiaohong",Progressive Adjacent-Layer coordination symmetric cascade network for semantic segmentation of Multimodal remote sensing images,EXPERT SYSTEMS WITH APPLICATIONS,MAR 15 2024,18,"Semantic segmentation of remote sensing images is a fundamental task in computer vision, with significant applications in forest and farmland cover surveys, geological disaster monitoring, and other related fields. The inclusion of digital surface models can enhance the segmentation performance compared to using unimodal imaging alone. However, most existing methods simply combine the features from both modalities without considering their differences and complementarity, leading to a loss of spatial details. In order to address this issue and improve segmentation accuracy, we propose a novel network called Progressive Adjacent-Layer Coordination Symmetric Cascade Network (PACSCNet). This network employs a two-stage fusion symmetric cascade encoder to leverage the similarities and differences between adjacent features for cross-layer fusion, thereby preserving spatial details. Additionally, our network includes a new dual-pyramid symmetric cascade decoder that extracts similarities in multimodal and cross-layer fusion features for merging. Furthermore, a pyramid residual integration module progressively integrates features at four scales to mitigate noise interference during large-scale fusion. Extensive experimental evaluations on the Vaihingen and Potsdam datasets demonstrate that PACSCNet achieves strong semantic segmentation performance, comparable to state-of-the-art approaches, in terms of accuracy and intersection-over-union. The source code and results of our proposed PACSCNet are publicly available at https://github.com/F8AoMn/PACSCNet.",Cross-layer fusion,Multimodal remote sensing image,Semantic segmentation,Symmetric cascade network,"Yan, Weiqing",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_529,"Zhang, Yuzhu","Gao, Di","Du, Yongxing",Efficient multi-scale network for semantic segmentation of fine-resolution remotely sensed images,MEASUREMENT SCIENCE AND TECHNOLOGY,SEP 1 2024,0,"Semantic segmentation of remote sensing urban scene images has diverse practical applications, including land cover mapping, urban change detection, environmental protection, and economic evaluation. However, classical semantic segmentation networks encounter challenges such as inadequate utilization of multi-scale semantic information and imprecise edge target segmentation in high-resolution remote sensing images. In response, this article introduces an efficient multi-scale network (EMNet) tailored for semantic segmentation of common features in remote sensing images. To address these challenges, EMNet integrates several key components. Firstly, the efficient atrous spatial pyramid pooling module is employed to enhance the relevance of multi-scale targets, facilitating improved extraction and processing of context information across different scales. Secondly, the efficient multi-scale attention mechanism and multi-scale jump connections are utilized to fuse semantic features from various levels, thereby achieving precise segmentation boundaries and accurate position information. Finally, an encoder-decoder structure is incorporated to refine the segmentation results. The effectiveness of the proposed network is validated through experiments conducted on the publicly available DroneDeploy image dataset and Potsdam dataset. Results indicate that EMNet achieves impressive performance metrics, with mean intersection over union (MIoU), mean precision (MPrecision), and mean recall (MRecall) reaching 75.99%, 86.76%, and 85.07%, respectively. Comparative analysis demonstrates that the network proposed in this article outperforms current mainstream semantic segmentation networks on both the DroneDeploy and Potsdam dataset.",remote sensing,deep learning,semantic segmentation,convolutional neural network,"Li, Baoshan","Qin, Ling",,,attention mechanism,,,,,,,,,,,,,,,,,,,,,,,,
Row_530,"Cai, Jiajing","Shi, Jinmei","Leau, Yu-Beng",Res50-SimAM-ASPP-Unet: A Semantic Segmentation Model for High-Resolution Remote Sensing Images,IEEE ACCESS,2024,0,"High-resolution remote sensing images contain intricate details and complex backgrounds, presenting challenges for traditional segmentation methods, which often struggle with accurate classification and contextual understanding. To address these issues, this study introduces the Res50-SimAM-ASPP-Unet model, a semantic segmentation approach for high-resolution remote sensing image processing tasks. The model integrates ResNet50 as the encoding layer of Unet for robust feature extraction, adds the SimAM attention mechanism to selectively enhance relevant details, and incorporates the ASPP module in the decoding layer to capture multi-scale contextual information. The methodology part analyzes the common ResNet model, the attention mechanism module, and the multi-scale feature extraction module, respectively, and then designs experiments to show the necessity and optimal position of adding Res50, SimAM, and ASPP. Comparative experiments on the LandCover.ai dataset demonstrate that the proposed model significantly outperforms common semantic segmentation networks, achieving a MIoU of 81.1%, MPA of 88.2%, Accuracy of 95.1%, Precision of 92.65%, and an F1 score of 90.45%. These results highlight the model's effectiveness in delivering high accuracy and adaptability across diverse remote sensing environments, establishing it as a valuable tool for applications requiring precise and scalable image segmentation.",Remote sensing,Feature extraction,Semantic segmentation,Accuracy,"Meng, Shangyu","Zheng, Xiuyan","Zhou, Jinghe",,Interpolation,Residual neural networks,Computer architecture,Computational modeling,Training,Image coding,Segmentation of high-resolution remote sensing images,multi-scale void space pyramid pool ASPP module,,,,,,attention mechanism SimAM module,Res50-SimAM-ASPP-Unet,,,,,,,,,,
Row_531,"Weng, Yijie","Li, Zongmei","Tang, Guofeng",OCNet-Based Water Body Extraction from Remote Sensing Images,WATER,OCT 2023,2,"Water body extraction techniques from remotely sensed images are crucial in water resources distribution studies, climate change studies and other work. The traditional remote sensing water body extraction has the problems of low accuracy and being time-consuming and laborious, and the water body recognition technique based on deep learning is more efficient and accurate than the traditional threshold method; however, there is the problem that the basic model of semantic segmentation is not well-adapted to complex remote sensing images. Based on this, this study adopts an OCNet feature extraction network to modify the base model of semantic segmentation, and the resulting model achieves excellent performance on water body remote sensing images. Compared with the traditional water body extraction method and the base network, the OCNet modified model has obvious improvement, and is applicable to the extraction of water bodies in true-color remote sensing images such as high-score images and unmanned aerial vehicle remote sensing images. The results show that the model in this study can realize automatic and fast extraction of water bodies from remote sensing images, and the predicted water body image accuracy (ACC) can reach 85%. This study can realize fast and accurate extraction of water bodies, which is of great significance for water resources acquisition and flood disaster prediction.",water body extraction,remote sensing image,semantic segmentation,OCNet,"Wang, Yang",,,,deep learning,,,,,,,,,,,,,,,,,,,,,,,,
Row_532,Xu Zhaohong,Liu Yu,Wu Chen,Semantic Segmentation of Buildings in Remote Sensing Images Based on Dense Residual Learning and Channel Adaption,,2019,1,"Deep fully convolution neural network has opened a new field in semantic segmentation for remote sensing images. In this paper, an improved U-net model is proposed to extract buildings at the pixel level, so as to obtain its contour and size information. In this improved U-net model, the highly modular ResNeXt50 network is used as the encoder of U-net and a parallel dense residual module based on atrous convolution is proposed to extract multi-scale semantic information for segmentation. Moreover, the transposed convolution whose stride is 2 is used for upsampling to obtain the grayscale segmentation mask. This modified model adopts the sum of jaccard loss and binary cross entropy loss as the total loss function. Our experimental results have demonstrated that our improved U-net model has excellent performance on semantic information encoding and multi-scale feature extraction. Finally, the mean pixel precision (MPA), the mean intersection of union (MIoU), F-1 score and AUC of our improved model are 93.17%, 81.51%, 86.95% and 0.9928 respectively. The F-1 Score and AUC of our improved model are 11.3% and 11.4% higher than those of the standard U-net model respectively.",building extraction,remote sensing images,semantic segmentation,SE-Net,Guan Shihao,Zheng Ergong,Ma Yang,,U-net,,,,,,,,,2019 4TH INTERNATIONAL CONFERENCE ON ELECTROMECHANICAL CONTROL TECHNOLOGY AND TRANSPORTATION (ICECTT 2019),,,,,,,,,,,,,,,
Row_533,"Shi, Jun","Jiang, Zhiguo","Feng, Hao",SPARSE CODING-BASED TOPIC MODEL FOR REMOTE SENSING IMAGE SEGMENTATION,,2013,1,"Land cover segmentation can be viewed as topic assignment that the pixels are grouped into homogeneous regions according to different semantic topics in topic model. In this paper, we propose a novel topic model based on sparse coding for segmenting different kinds of land covers. Different from conventional topic models which generally assume each local feature descriptor is related to only one visual word of the codebook, our method utilizes sparse coding to characterize the potential correlation between the descriptor and multiple words. Therefore each descriptor can be represented by a small set of words. Furthermore, in this paper probabilistic Latent Semantic Analysis (pLSA) is applied to learn the latent relation among word, topic and document due to its simplicity and low computational cost. Experimental results on remote sensing image segmentation demonstrate the excellent superiority of our method over k-means clustering and conventional pLSA model.",remote sensing,sparse coding,pLSA,land cover segmentation,"Ma, Yibing",,,,,,,,,,,,,2013 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),,,,,,,,,,,,,,,
Row_534,"Yang, Xuan","Li, Shanshan","Chen, Zhengchao",An attention-fused network for semantic segmentation of very-high-resolution remote sensing imagery,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,AUG 2021,107,"Semantic segmentation is an essential part of deep learning. In recent years, with the development of remote sensing big data, semantic segmentation has been increasingly used in remote sensing. Deep convolutional neural networks (DCNNs) face the challenge of feature fusion: very-high-resolution remote sensing image multisource data fusion can increase the network's learnable information, which is conducive to correctly classifying target objects by DCNNs; simultaneously, the fusion of high-level abstract features and low-level spatial features can improve the classification accuracy at the border between target objects. In this paper, we propose a multipath encoder structure to extract features of multipath inputs, a multipath attention-fused block module to fuse multipath features, and a refinement attention-fused block module to fuse high-level abstract features and low-level spatial features. Furthermore, we propose a novel convolutional neural network architecture, named attention-fused network (AFNet). Based on our AFNet, we achieve state-of-the-art performance with an overall accuracy of 91.7% and a mean F1 score of 90.96% on the ISPRS Vaihingen 2D dataset and an overall accuracy of 92.1% and a mean F1 score of 93.44% on the ISPRS Potsdam 2D dataset.",Semantic segmentation,Deep learning,Very-high-resolution imagery,Attention-fused network,"Chanussot, Jocelyn","Jia, Xiuping","Zhang, Bing","Li, Baipeng",ISPRS,Convolutional neural network,,,,,,,"Chen, Pan",,,,,,,,,,,,,,,,
Row_535,"Zhang, Ming","Gu, Xin","Qi, Ji",CDEST: Class Distinguishability-Enhanced Self-Training Method for Adopting Pre-Trained Models to Downstream Remote Sensing Image Semantic Segmentation,REMOTE SENSING,APR 2024,0,"The self-supervised learning (SSL) technique, driven by massive unlabeled data, is expected to be a promising solution for semantic segmentation of remote sensing images (RSIs) with limited labeled data, revolutionizing transfer learning. Traditional 'local-to-local' transfer from small, local datasets to another target dataset plays an ever-shrinking role due to RSIs' diverse distribution shifts. Instead, SSL promotes a 'global-to-local' transfer paradigm, in which generalized models pre-trained on arbitrarily large unlabeled datasets are fine-tuned to the target dataset to overcome data distribution shifts. However, the SSL pre-trained models may contain both useful and useless features for the downstream semantic segmentation task, due to the gap between the SSL tasks and the downstream task. To adapt such pre-trained models to semantic segmentation tasks, traditional supervised fine-tuning methods that use only a small number of labeled samples may drop out useful features due to overfitting. The main reason behind this is that supervised fine-tuning aims to map a few training samples from the high-dimensional, sparse image space to the low-dimensional, compact semantic space defined by the downstream labels, resulting in a degradation of the distinguishability. To address the above issues, we propose a class distinguishability-enhanced self-training (CDEST) method to support global-to-local transfer. First, the self-training module in CDEST introduces a semi-supervised learning mechanism to fully utilize the large amount of unlabeled data in the downstream task to increase the size and diversity of the training data, thus alleviating the problem of biased overfitting of the model. Second, the supervised and semi-supervised contrastive learning modules of CDEST can explicitly enhance the class distinguishability of features, helping to preserve the useful features learned from pre-training while adapting to downstream tasks. We evaluate the proposed CDEST method on four RSI semantic segmentation datasets, and our method achieves optimal experimental results on all four datasets compared to supervised fine-tuning as well as three semi-supervised fine-tuning methods.",semantic segmentation,remote sensing (RS),transfer learning,fine-tuning method,"Zhang, Zhenshi","Yang, Hemeng","Xu, Jun","Peng, Chengli",contrastive learning,self-training,,,,,,,"Li, Haifeng",,,,,,,,,,,,,,,,
Row_536,"Hou, Jianlong","Guo, Zhi","Wu, Youming",BSNet: Dynamic Hybrid Gradient Convolution Based Boundary-Sensitive Network for Remote Sensing Image Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,31,"Boundary information is essential for the semantic segmentation of remote sensing images. However, most existing methods were designed to establish strong contextual information while losing detailed information, making it challenging to extract and recover boundaries accurately. In this article, a boundary-sensitive network (BSNet) is proposed to address this problem via dynamic hybrid gradient convolution (DHGC) and coordinate sensitive attention (CSA). Specifically, in the feature extraction stage, we propose DHGC to replace vanilla convolution (VC), which adaptively aggregates one VC kernel and two gradient convolution kernels (GCKs) into a new operator to enhance boundary information extraction. The GCKs are proposed to explicitly encode boundary information, which is inspired by traditional Sobel operators. In the feature recovery stage, the CSA is introduced. This module is used to reconstruct the sharp and detailed segmentation results by adaptively modeling the boundary information and long-range dependencies in the low-level features as the assistance of high-level features. Note that DHGC and CSA are plug-and-play modules. We evaluate the proposed BSNet on three public datasets: the ISPRS 2-D semantic labeling Vaihingen, the Potsdam benchmark, and the iSAID dataset. The experimental results indicate that BSNet is a highly effective architecture that produces sharper predictions around object boundaries and significantly improves the segmentation accuracy. Our method demonstrates superior performance on the Vaihingen, the Potsdam benchmark, and the iSAID dataset in terms of the mean F-1, with improvements of 4.6%, 23%, and 2.4% over strong baselines, respectively. The code and models will be made publicly available.",Attention module,boundary information enhancement,remote sensing,semantic segmentation,"Diao, Wenhui","Xu, Tao",,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_537,"Yan, Yi","Zhang, Jing","Wu, Xinjia",When zero-padding position encoding encounters linear space reduction attention: an efficient semantic segmentation Transformer of remote sensing images,INTERNATIONAL JOURNAL OF REMOTE SENSING,JAN 17 2024,0,"Semantic segmentation of remote sensing images (RSIs) is of great significance for obtaining geospatial object information. Transformers win promising effect, whereas multi-head self-attention (MSA) is expensive. We propose an efficient semantic segmentation Transformer (ESST) of RSIs that combines zero-padding position encoding with linear space reduction attention (LSRA). First, to capture the coarse-to-fine features of RSI, a zero-padding position encoding is proposed by adding overlapping patch embedding (OPE) layers and convolution feed-forward networks (CFFN) to improve the local continuity of features. Then, we replace LSRA in the attention operation to extract multi-level features to reduce the computational cost of the encoder. Finally, we design a lightweight all multi-layer perceptron (all-MLP) head decoder to easily aggregate multi-level features to generate multi-scale features for semantic segmentation. Experimental results demonstrate that our method produces a trade-off in accuracy and speed for semantic segmentation of RSIs on the Potsdam and Vaihingen datasets, respectively.",Remote sensing images,semantic segmentation,Zero-padding position encoding,linear space reduction attention,"Li, Jiafeng","Zhuo, Li",,,All-MLP,Transformer,,,,,,,,,,,,,,,,,,,,,,,
Row_538,"Lin, Dao-Yu","Wang, Yang","Xu, Guang-Luan",SYNTHESIZING REMOTE SENSING IMAGES BY CONDITIONAL ADVERSARIAL NETWORKS,,2017,7,"Automated annotation of urban areas from overhead imagery plays an essential role in many remote sensing applications. Generative Adversarial Nets (GANs) is one of the most effective ways to handle this problem. In this manuscript, two tricks were added in conditional GANs(cGANs) which learn the mapping from input image to output remote sensing image. All the experimental results demonstrated that cGANs was a reliable way to generate high-quality remote sensing images. What's more, when this method be applied to semantic segmentation and accurate classification was made by using ISPRS 2D semantic labelling challenge dataset.",Generative adversarial nets,synthesize remote sensing images,semantic segmentation,,"Fu, Kun",,,,,,,,,,,,,2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),,,,,,,,,,,,,,,
Row_539,"Lang, Chunbo","Wang, Junyi","Cheng, Gong",Progressive Parsing and Commonality Distillation for Few-Shot Remote Sensing Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2023,41,"In recent years, few-shot segmentation (FSS) has received widespread attention from scholars by virtue of its superiority in low-data regimes. Most existing research focuses on natural image processing, and very few studies are dedicated to the practical but challenging topic of remote sensing image understanding. Related experimental results show that directly transferring the previously proposed framework to the current domain is prone to produce unsatisfactory results with incomplete objects and irrelevant distractors. Such phenomena can be attributed to the lack of modules specifically designed for the complex characteristics of remote sensing images, e.g., great intra-class diversity and low target-background contrast. In this article, we propose a conceptually simple and easy-to-implement framework to tackle the aforementioned problems. Specifically, our innovative design embodies two main aspects: 1) the support mask is progressively parsed into multiple valuable subregions that can be further exploited to compute local descriptors with segmentation cues about intractable parts; and 2) the base-class memories stored in the meta-training phase are replayed and leveraged for the distillation of novel-class prototypes, where the commonalities between classes are adequately explored, more in line with the concept of learning to learn. These two components, i.e., the progressive parsing module and commonality distillation module, contribute to each other and together constitute the proposed PCNet. We conduct extensive experiments on the standard benchmark to evaluate segmentation performance in few-shot settings. Quantitative and qualitative results illustrate that our PCNet distinctly outperforms previous FSS approaches and sets a new state-of-the-art.",Few-shot learning,few-shot segmentation (FSS),image processing,remote sensing,"Tu, Binfei","Han, Junwei",,,semantic segmentation,,,,,,,,,,,,,,,,,,,,,,,,
Row_540,"Hosseinpour, H. R.","Samadzadegan, F.","Javan, F. Dadrass",IMPROVING SEMANTIC SEGMENTATION OF HIGH-RESOLUTION REMOTE SENSING IMAGES USING WASSERSTEIN GENERATIVE ADVERSARIAL NETWORK,,2023,0,"Semantic segmentation of remote sensing images with high spatial resolution has many applications in a wide range of problems in this field. In recent years, the use of advanced techniques based on fully convolutional neural networks have achieved high and impressive accuracies. However, the labels of different classes are estimated independently in this method. In general, the segmentation effect is too coarse to take the relationship between pixels into account. On the other hand, due to the use of convolution filters and limitations of calculations, the field of view information of these filters will be limited in deep layers. In this study, a method based on generative adversarial network (GAN) is proposed to strengthen spatial vicinity in the output segmentation map. The segmentation model receive assistance from the GAN model in the form of a higher order potential loss. Furthermore, for better stability and performance in model training the Wasserstein GAN is used for optimization of the model. We successfully show an increase in semantic segmentation accuracy using the challenging ISPRS Vaihingen benchmark dataset.",Semantic Segmentation,Deep Learning,Wasserstein GAN,Generative Adversarial Network,"Motayyeb, S.",,,,,,,,,,,,,"ISPRS GEOSPATIAL CONFERENCE 2022, JOINT 6TH SENSORS AND MODELS IN PHOTOGRAMMETRY AND REMOTE SENSING, SMPR/ 4TH GEOSPATIAL INFORMATION RESEARCH, GIRESEARCH CONFERENCES, VOL. 48-4",,,,,,,,,,,,,,,
