,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author5,author6,author7,author8,journal/book,author9,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,keyword15
Row_11,"Liu, Shuo","Ding, Wenrui","Liu, Chunhui","Liu, Yu",ERN: Edge Loss Reinforced Semantic Segmentation Network for Remote Sensing Images,,SEP 2018,70,"The semantic segmentation of remote sensing images faces two major challenges: high inter-class similarity and interference from ubiquitous shadows. In order to address these issues, we develop a novel edge loss reinforced semantic segmentation network (ERN) that leverages the spatial boundary context to reduce the semantic ambiguity. The main contributions of this paper are as follows: (1) we propose a novel end-to-end semantic segmentation network for remote sensing, which involves multiple weighted edge supervisions to retain spatial boundary information; (2) the main representations of the network are shared between the edge loss reinforced structures and semantic segmentation, which means that the ERN simultaneously achieves semantic segmentation and edge detection without significantly increasing the model complexity; and (3) we explore and discuss different ERN schemes to guide the design of future networks. Extensive experimental results on two remote sensing datasets demonstrate the effectiveness of our approach both in quantitative and qualitative evaluation. Specifically, the semantic segmentation performance in shadow-affected regions is significantly improved.",CNN,deep learning,edge loss reinforced network,remote sensing,semantic segmentation,"Wang, Yufeng","Li, Hongguang",,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_12,"Feng, Mingzhe","Sun, Xin","Dong, Junyu","Zhao, Haoran",Gaussian Dynamic Convolution for Semantic Segmentation in Remote Sensing Images,,NOV 2022,4,"Different scales of the objects pose a great challenge for the segmentation of remote sensing images of special scenes. This paper focuses on the problem of large-scale variations of the target objects via a dynamical receptive field of the deep network. We construct a Gaussian dynamic convolution network by introducing a dynamic convolution layer to enhance remote sensing image understanding. Moreover, we propose a new Gaussian pyramid pooling (GPP) for multi-scale object segmentation. The proposed network can expand the size of the receptive field and improve its efficiency in aggregating contextual information. Experiments verify that our method outperforms the popular semantic segmentation methods on large remote sensing image datasets, including iSAID and LoveDA. Moreover, we conduct experiments to demonstrate that the Gaussian dynamic convolution works more effectively on remote sensing images than other convolutional layers.",remote sensing,semantic segmentation,deep learning,convolutional neural networks,,,,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_13,"Liu, Keming","Liu, Fang","Liu, Jia","Xiao, Liang",UNSUPERVISED DOMAIN ADAPTION FOR REMOTE SENSING SEMANTIC SEGMENTATION WITH SELF-ATTENTION MECHANISM,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2023,1,"The domain shift between the source and target domains limits the performance of traditional convolutional neural networks (CNNs) for feature extraction in remote sensing tasks. We propose an image translation network that uses generative adversarial networks (GANs) to transfer spectral distributions from training to test data, enhancing cross-domain semantic segmentation. Our approach fine-tunes the DeepLab-V3 framework on synthetic training data generated by the proposed network. Experimental results show improved performance in cross-domain semantic segmentation tasks for remote sensing images.",Domain adaption,remote sensing,semantic segmentation,image translation,generative adversarial networks,"Tang, Xu",,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_14,"Zhang, Xiaoqin","Xiao, Zhiheng","Li, Dongyang","Fan, Mingyu",Semantic Segmentation of Remote Sensing Images Using Multiscale Decoding Network,,SEP 2019,27,"In this letter, we propose a practical convolutional neural network architecture for semantic pixelwise segmentation of remote sensing images, named Multiscale Decoding Network. The proposed method is built on the success of fully convolutional networks (FCNs) and the transfer of pretrained networks. The decoding network of our architecture utilizes the combination of three paths, namely, unpooling path, transposed convolution path, and dilated convolution path, in the form of an inception module. The whole network is trained in the end-to-end manner and the parameters of the three paths are learned automatically. Since the proposed method transfers the feature of pretrained networks and has three simplified decoding paths with fewer parameters, it requires less training data and training time. Compared with the classical networks FCN, SegNet, and U-net, our network shows better performance on remote sensing images segmentation.",Dilated convolution,remote sensing,semantic segmentation,,,"Zhao, Li",,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,,,,,,,,,,,,,,,,,,,,,,
Row_15,"Dimitrovski, Ivica","Spasev, Vlatko","Loshkovska, Suzana","Kitanovski, Ivan",U-Net Ensemble for Enhanced Semantic Segmentation in Remote Sensing Imagery,,JUN 2024,3,"Semantic segmentation of remote sensing imagery stands as a fundamental task within the domains of both remote sensing and computer vision. Its objective is to generate a comprehensive pixel-wise segmentation map of an image, assigning a specific label to each pixel. This facilitates in-depth analysis and comprehension of the Earth's surface. In this paper, we propose an approach for enhancing semantic segmentation performance by employing an ensemble of U-Net models with three different backbone networks: Multi-Axis Vision Transformer, ConvFormer, and EfficientNet. The final segmentation maps are generated through a geometric mean ensemble method, leveraging the diverse representations learned by each backbone network. The effectiveness of the base U-Net models and the proposed ensemble is evaluated on multiple datasets commonly used for semantic segmentation tasks in remote sensing imagery, including LandCover.ai, LoveDA, INRIA, UAVid, and ISPRS Potsdam datasets. Our experimental results demonstrate that the proposed approach achieves state-of-the-art performance, showcasing its effectiveness and robustness in accurately capturing the semantic information embedded within remote sensing images.",remote sensing imagery,U-Net,ensemble learning,semantic segmentation,land cover,,,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_16,"He, Chu","Li, Shenglin","Xiong, Dehui","Fang, Peizhang",Remote Sensing Image Semantic Segmentation Based on Edge Information Guidance,,MAY 2020,53,"Semantic segmentation is an important field for automatic processing of remote sensing image data. Existing algorithms based on Convolution Neural Network (CNN) have made rapid progress, especially the Fully Convolution Network (FCN). However, problems still exist when directly inputting remote sensing images to FCN because the segmentation result of FCN is not fine enough, and it lacks guidance for prior knowledge. To obtain more accurate segmentation results, this paper introduces edge information as prior knowledge into FCN to revise the segmentation results. Specifically, the Edge-FCN network is proposed in this paper, which uses the edge information detected by Holistically Nested Edge Detection (HED) network to correct the FCN segmentation results. The experiment results on ESAR dataset and GID dataset demonstrate the validity of Edge-FCN.",remote sensing image,semantic segmentation,edge information,Edge-FCN,,"Liao, Mingsheng",,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_17,Shi Fangxing,Zhou Line,Zhu Daming,Fu Zhitao,DSNet-Based Remote Sensing Image Semantic Segmentation Method,,MAR 2023,0,"In view of the problems that the traditional neural network model tends to ignore difficult samples due to the unbalanced classification of remote sensing image semantic segmentation data, and the reasoning results are hollow and the segmentation accuracy decreases, a drill-shaped neural network semantic segmentation method is proposed. First, a new bridge module is defined to fuse the shallow and deep feature information, thus more building details can be captured by the network; second, in the deep learning segmentation model training, the multi loss function is used to improve the extraction of difficult sample information; finally, to balance the differences of category training, the feature information is extracted from remote sensing images at multiple levels, and the segmentation accuracy is improved. The experimental results show that the average intersection to union ratio of the proposed method reaches 0. 849, the building missing rate and wrong recognition rate are less, and the segmentation accuracy is improved compared with the existing methods.",remote sensing,deep learning,semantic segmentation,category imbalance,DSNet,,,,,LASER & OPTOELECTRONICS PROGRESS,,,,,,,,,,,,,,,,,,,,,,,
Row_18,"Sun, Deyan","Chen, Wei","Liu, Hai","Chen, Dufeng",Attention Dual Adversarial Remote Sensing Image Semantic Segmentation,,2024,0,"Existing semi-supervised remote sensing image semantic segmentation methods neglect to improve the stability of the adversarial network, so that the adversarial network cannot be effectively used to assist segmentation network training, which limits the further improvement of semantic segmentation accuracy. To this end, this paper first introduces a dual confrontation network, and plays a three-way game with the generator to make the network converge as soon as possible, and combines the vertical and cross attention network to propose an attention dual confrontational semantic segmentation model for remote sensing images. The model can not only use dual confrontation training to improve the stability of the network, but also use the global context relationship of pixels to predict by introducing an attention mechanism, thereby improving the accuracy of remote sensing image semantic segmentation. The experimental results on the public remote sensing data set show that the MIOU of this method on US2D dataset reached 69.65%, which are higher than the existing fully-supervised and semi-supervised methods. The effectiveness of the method proposed in this paper is verified.",Remote Sensing Image,Dual Adversarial Networks,Cross Attention,Semantic Segmentation,Semi-supervised Learning,"Wang, Zehua","Wu, Yuliang","Xu, Tingting","Zhu, Pengcheng","ADVANCED INTELLIGENT COMPUTING TECHNOLOGY AND APPLICATIONS, PT I, ICIC 2024","Wang, Jiaqi",,,,,,,,,,,,,,,,,,,,,,
Row_19,"Dong, Zhe","Liu, Tianzhu","Gu, Yanfeng",,Spatial and Semantic Consistency Contrastive Learning for Self-Supervised Semantic Segmentation of Remote Sensing Images,,2023,11,"A critical requirement for the success of supervised deep learning lies in having numerous annotated images, which is often challenging to fulfill in remote sensing semantic segmentation tasks. Self-supervised contrastive learning (CL) offers a strategy for learning general feature representations by pretraining neural networks on vast amounts of unlabeled data and subsequently fine-tuning them on downstream tasks with limited annotations. However, the vast majority of CL methods are designed based on instance discriminative pretext tasks, focusing solely on learning the global representation of the entire image while disregarding the essential spatial and semantic correlations crucial for semantic segmentation tasks. To address the above issues, in this article, we propose a spatial and semantic consistency CL (SSCCL) framework for the semantic segmentation task of remote sensing images. Specifically, a consistency branch in SSCCL is designed to learn feature representations with spatial and semantic consistency by maximizing the similarity of the overlapping regions of the two augmented views. In addition, an instance branch is introduced to learn global representations by enforcing the similarity of two augmented views from one image. Through the integration of the consistency branch and instance branch, the proposed SSCCL framework can learn robust and informative feature representations for semantic segmentation in remote sensing scenarios. The proposed method was evaluated on three publicly available remote sensing semantic segmentation datasets, and the experiment results show that our method achieves superior segmentation performance with limited annotations compared to state-of-the-art CL methods as well as the ImageNet pretraining method.",Contrastive learning (CL),remote sensing images,self-supervised,semantic segmentation,,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_20,"Zhang, Junxi","Chen, Zhenzhong","Liu, Shan",,Remote Sensing Image Coding for Machines on Semantic Segmentation via Contrastive Learning,,2024,0,"Due to the huge data volume of high-resolution remote sensing imagery (RSI) and limited transmission bandwidth, RSIs are typically compressed for efficient transmission and storage. However, most of the existing compression algorithms are developed based on optimizing for the human perceptual that are not suitable for remote sensing image applications where RSIs are usually used for machine interpretation tasks, such as semantic segmentation for ground-object recognition. In this article, we propose an image coding for machines (ICMs) paradigm based on contrastive learning in a fully supervised manner to boost semantic segmentation of compressed RSIs. Specifically, we build an end-to-end compression framework to make full use of the global semantic information by clustering intracategory projected embeddings and spacing intercategory embeddings apart, to compensate for the loss of feature discriminability during the compression process and reconstruct the decision boundaries between different categories. Compared to the state-of-the-art image compression methods, our proposed method significantly improves the performance of semantic segmentation on the remote sensing labeling benchmark datasets.",Image coding,Remote sensing,Semantic segmentation,Feature extraction,Contrastive learning,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Object segmentation,Transform coding,Standards,Codecs,Bit rate,image coding for machines (ICMs),remote sensing interpretation,semantic segmentation,,,,,,,,,,,,,,
Row_21,"Ao, Wei","Zheng, Shunyi","Meng, Yan",,SEMPNet: enhancing few-shot remote sensing image semantic segmentation through the integration of the segment anything model,,DEC 31 2024,0,"Few-shot semantic segmentation has attracted increasing attention due to its potential for low dependence on annotated samples. While extensively explored in the computer vision community, these techniques are primarily designed for natural images, resulting in limited generalization to remote sensing images. In contrast to the mostly individual and distinct objects presented in natural images, remote sensing images often feature clustered and regular patterns of objects. To bridge this gap, we propose a novel approach for few-shot remote sensing image semantic segmentation, which takes into account the specific characteristics of remote sensing imagery. Our approach introduces a mask classification pipeline, which initially extracts all independent objects within an image and subsequently assigns specific categories to each object guided by semantic information derived from few support images. To accomplish this, a robust mask extractor is imperative. Fortunately, the impressive segment anything model (SAM) possesses the potential to fulfill this role. Leveraging its remarkable zero-shot segmentation capabilities, we present the SAM-enhanced mask parsing network (SEMPNet), a novel few-shot remote sensing image semantic segmentation model. The method generates a set of masks for each image using SAM, transforming the segmentation task into a mask classification problem. To precisely classify each mask, we calculate pixel-wise correlations between each mask and the support features through cross-image position attention. Finally, a mask parsing module is utilized to decode the correlation maps and generate the segmentation results. The experiments on two remote sensing datasets testify the superiority of our method. Our code will be available at https://github.com/TinyAway/SEMPNet.",SAM,few-shot semantic segmentation,remote sensing,mask classification,,,,,,GISCIENCE & REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_22,"Kang, Xudong","Hong, Yintao","Duan, Puhong","Li, Shutao",Fusion of hierarchical class graphs for remote sensing semantic segmentation,,SEP 2024,3,"Semantic segmentation of remote sensing images aims to assign a specific label or class to each pixel in an image, which plays an extremely important role in scene understanding. Currently, many advanced deep learning -based semantic segmentation methods have been developed. However, these methods are always based on disjoint labels to identify ground objects while ignoring the correlation (e.g., semantic, shapes, materials, etc.) among different ground objects, which limits the segmentation performance of remote sensing images. To solve this issue, we propose a hierarchical class graph for semantic segmentation of high resolution remote sensing images, which can learn structured relation among different ground objects. Specifically, first, we construct hierarchical class graphs based on different attributes and layers. Then, a three -layer hierarchical segmentation framework is developed to learn the correlation among different ground objects. Finally, a decision fusion method is designed to fuse the benefits of different hierarchical attributes and layers. More importantly, the influence of different hierarchical class graphs on the segmentation performance is detailedly analyzed. Extensive experiments on the iSAID and Vaihingen datasets reveal that all studied segmentation methods with hierarchical class graph can obtain better segmentation performance compared to ones without hierarchical class graph. The limitation of the proposed method is that the training time of the segmentation model tends to increase a bit because of considering the correlation among different ground objects.",Remote sensing images,Semantic segmentation,Hierarchical class representation,,,,,,,INFORMATION FUSION,,,,,,,,,,,,,,,,,,,,,,,
Row_23,"Zhang, Yue","Yang, Ruiqi","Dai, Qinling","Zhao, Yili",Boosting Semantic Segmentation of Remote Sensing Images by Introducing Edge Extraction Network and Spectral Indices,,NOV 2023,4,"Deep convolutional neural networks have greatly enhanced the semantic segmentation of remote sensing images. However, most networks are primarily designed to process imagery with red, green, and blue bands. Although it is feasible to directly utilize established networks and pre-trained models for remotely sensed images, they suffer from imprecise land object contour localization and unsatisfactory segmentation results. These networks still need to explore the domain knowledge embedded in images. Therefore, we boost the segmentation performance of remote sensing images by augmenting the network input with multiple nonlinear spectral indices, such as vegetation and water indices, and introducing a novel holistic attention edge detection network (HAE-RNet). Experiments were conducted on the GID and Vaihingen datasets. The results showed that the NIR-NDWI/DSM-GNDVI-R-G-B (6C-2) band combination produced the best segmentation results for both datasets. The edge extraction block benefits better contour localization. The proposed network achieved a state-of-the-art performance in both the quantitative evaluation and visual inspection.",multispectral remote sensing image,deep learning,semantic segmentation,domain knowledge,edge detection,"Xu, Weiheng","Wang, Jun","Wang, Leiguang",,REMOTE SENSING,,spectral index,,,,,,,,,,,,,,,,,,,,,
Row_24,"Lu, Wanxuan","Jin, Jidong","Sun, Xian","Fu, Kun",SEMI-SUPERVISED SEMANTIC GENERATIVE NETWORKS FOR REMOTE SENSING IMAGE SEGMENTATION,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2023,0,"Semi-supervised remote sensing semantic segmentation is an efficient way to increase the use of unlabeled data and cut labelling costs. The unlabeled-to-labeled data ratio is employed in more recent methods, which is very different from what is really used in practise. In this paper, we propose a semi-supervised semantic generative network for remote sensing images, introducing a self-supervised learning method to enhance the feature representation of the model when the data ratio is high. Specifically, we design a new branch for unlabeled data, which includes modules for both semantic reconstruction and appearance reconstruction. It can effectively alleviate the category confusion in complicated remote sensing image when there are few labeled data. Comprehensive experiments on the ISPRS POTSDAM dataset demonstrate that the proposed method achieves promising results.",Deep learning,Segmentation,Semi-Supervised,Remote Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_25,"Zeng, Zhi","ZhU, Jiasong","Zhang, Weiye","Hua, Yuansheng",Noise-Aware Regional Contrast Semantic Segmentation of Remote Sensing Images Using Crowdsourcing Labels,,2024,0,"Remote sensing semantic segmentation enables automated identification and monitoring of land cover categories in remote sensing images, providing precise geographic information support for urban planning, resource management, environmental protection, and broader geographical and environmental research. With the advancement of deep learning, methods based on convolutional neural networks (CNNs) have significantly improved pixel-level automatic classification accuracy in remote sensing image semantic segmentation. However, this progress relies on extensive, high-quality fine annotations, which are costly and time-consuming to acquire. To address these challenges, we propose utilizing easily accessible and cost-effective crowdsourced data from OpenStreetMap (OSM) to generate learning labels for network training. However, due to the open nature of crowdsourced data, the generated labels may contain noise interference, leading to decreased network performance during training. Meanwhile, supervised contrastive learning has shown strong potential in handling noisy labels, with previous research proposing selective contrastive learning strategies to address noisy labels in classification tasks. However, such research has been limited to classification, as segmentation poses memory explosion issues. To further tackle this problem, we introduce a semantic segmentation algorithm based on crowdsourced annotation and selective contrastive learning. The core idea involves selecting confident regions in the regional dimension, allowing pixel samples within these regions to participate in subsequent learning, thereby better capturing meaningful pixel features for classification while reducing sample quantity. By leveraging contrastive learning of paired features and selecting confident pairs from noise pairs for supervised contrastive learning, we enhance intra-class compactness, thereby improving network robustness and reducing noise interference. Experimental validation on the proposed crowdsourced semantic segmentation datasets demonstrates favorable outcomes.",Remote sensing images,OSM,Noisy labels,Semantic segmentation,,,,,,"COMPUTER VISION - ECCV 2018, PT VII",,,,,,,,,,,,,,,,,,,,,,,
