Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,publish time,title
Row_55,"Urban parks are essential to maintaining healthy, livable, and sustainable cities. It is vital to ensure urban parks serve the communities equally, particularly during the pandemic and for traditionally disadvantaged groups. This study examined how the COVID-19 pandemic changed urban dwellers ' visitation patterns to urban parks and assessed whether the pandemic exacerbated the inequalities of urban park access among different sociodemographic groups in the U.S. We investigated urban dwellers ' visitation patterns from two aspects (origin and destination) and used a big data approach by integrating mobility data from mobile devices, remote sensing/ geospatial data, socioeconomic data, etc. This study found urban dwellers preferred visiting urban parks that were remoter, larger, greener, less crowded, less noisy, and with less human activities during the pandemic (i.e., 2020 and 2021) vs. pre -pandemic (i.e., 2019). Our results also highlighted that the pandemic exacerbated social inequalities in urban park access. The urban dwellers from block groups with higher percentages of racial/ethnic minorities, higher unemployment and poverty rates, and lower income were more negatively influenced by the pandemic and became less likely to visit urban parks. More importantly, such social inequalities further increased in 2021 compared with the early pandemic period of 2020.","Lu, Junyu","Xiao, Xiao","Huang, Xiao","Chuai, Xiaowei","Li, Zhenlong","Wei, Hanxue","Wang, Sicheng",,,,,,,,0,,CITIES,Social inequalities,Urban green space,Racial/ethnic minorities,COVID-19 pandemic,A big data approach,,,,,,,,,,,SEP 2024,Big data insights into urban park use in the pandemic: Changes in visitation patterns and exacerbated social inequalities in the US
Row_69,"The heterogeneous structure of cities generates critical challenges in the definition and implementation of sustainable urban transitions. This difficulty is intensified by an insufficient understanding of how different urban types perform for distinct sustainability dimensions and indicators. In this study, this knowledge gap is investigated in a highly representative Euro-Mediterranean city (Valencia) through: (1) a landscape-based approach leading to the characterization of urban-landscape types via the combination of three geospatial layers, and (2) the assessment of those urban-landscape types with a comprehensive sustainability index deducted from several international, national, and local indices. Results reveal firstly that urban-landscape types can help us identify areas with common morpho-functional patterns that differ from conventional districts or quarters. Secondly, a comparative analysis of these urban-landscape types reveal that they partially display different sustainability profiles and, consequently, might accommodate distinct policies and plans. Thirdly, the incorporation of spatial, metabolic, and mobility dimensions in the proposed index permits addressing transversal issues affecting environmental, social, and economic sustainability. By linking the form and functioning of the city with its sustainability profiles through a landscape-approach, this study is expected to assist planners and policymakers in the design of sustainability transitions adjusted to the specificities of different urban configurations.","Galan, Juanjo",,,,,,,,,,,,,,0,,CITIES,Urban landscape,Sustainability indicators,Urban typologies,Landscape characterization,Urban sustainability assessment,Landscape units,Urban sustainability transitions,,,,,,,,,NOV 2024,Urban typologies and urban sustainability: A comparative and landscape-based study in the city of Valencia
Row_80,"Population ageing and urbanisation requires a more thorough understanding and monitoring of older adult residential mobility trends. Many older adults move to urban areas and previous studies have been carried out on ageing in place in traditional low-rise residential buildings. However, there is little in the literature about the important push and pull factors influencing older adult moves to medium- and high-rise multi-storey residential buildings in urban areas as they age. This case study research considered the housing migration model of push and pull factors used in elderly residential mobility and investigated the older adults' decision-making regarding mobility to age in place in medium- and high-rise multi-storey residential buildings in South East Queensland, Australia. The study revealed how the older adults expressed a desire to age in place in multi-storey residential buildings in urban areas and identified it as an important element of quality of life. Many older adults chose to move house to high density urban areas from low density urban areas between the ages of 65 and 84. The 'pull' factor to significantly influence the decisions of movers was a low maintenance property and lifestyle change from a large suburban home whereas the 'push' factor was upkeep difficulties of the house related to old age. This study makes empirical contributions to knowledge in ageing residential mobility trends in urban areas and concludes by providing policy recommendations for developing more effective housing, public spaces, transportation, and community activities and services for older adults, including highlighting a number of recommendations for future research.","Basha, Sheik","Cui, Jianqiang","Wu, Yong",,,,,,,,,,,,0,,HABITAT INTERNATIONAL,Ageing in place,Residential mobility,Medium,and high-rise multi-storey residential,buildings,Older adults,Australia,,,,,,,,,NOV 2024,"Older adults' decisions regarding mobility to age in place in medium- and high-rise multi-storey residential buildings in urban settings: A case study of South East Queensland, Australia"
Row_85,"The recurrent occurrence of extreme weather events poses a significant threat to agricultural production, food security, and sustainable economic development. Understanding farmers' adaptive responses to cope with these challenges is pivotal for informing and implementing effective climate resilience policies. This study utilizes the Spatial Precipitation Index (SPI) to assess rainfall patterns and applies fixed effects methods to analyze extreme rainfall shocks' impact on rural households, using panel data from China's 2006-2015 National Rural Fixed Point Survey. Below are the results. Firstly, both drought and rainstorm shocks negatively affect agricultural yield and income, highlighting farmers' vulnerability to extreme rainfall events. Secondly, farmers respond to these shocks by reallocating labor from agriculture to non-agricultural sectors or migrating to urban areas, with these labor mobility patterns typically being temporary. Thirdly, there's notable heterogeneity linked to household affluence. Less affluent rural households experienced more pronounced declines in yield and income, compelling higher migration rates. Collectively, our findings shed light on how Chinese rural households strategically adjust their labor decisions to respond to extreme rainfall shocks through inter-sectoral and inter -regional labor mobility.","Wang, Heer","Chen, Bo","Shen, Xuhang",,,,,,,,,,,,3,,SCIENCE OF THE TOTAL ENVIRONMENT,Extreme weather,Rural households,Agricultural yields,Labor mobility,Migration,,,,,,,,,,,MAR 25 2024,"Extreme rainfall, farmer vulnerability, and labor mobility-Evidence from rural China"
Row_89,"Urban function detection plays a significant role in urban complex system recognition and smart city construction. The location big data obtained from human activities, which is cohesive with urban functions, provides valuable insights into human mobility patterns. However, as urban functions become highly mixed, existing feature representation structures struggle to explicitly depict the latent human activity features, limiting their applicability for detecting mixed urban functions in a supervised manner. To close the gap, this study analogizes the latent human activity features to the shape, texture, and color semantics of images, with a contrastive learning framework being introduced to extract image -based crowd mobility features for detecting mixed urban functions. Firstly, by translating human activity features into image semantics, a novel feature representation structure termed the Trajectory Temporal Image (TTI) is proposed to explicitly represent human activity features. Secondly, the Vision Transformer (ViT) model is employed to extract image -based semantics in a self -supervised manner. Lastly, based on urban dynamics, a mathematical model is developed to represent mixed urban functions, and the decomposition of mixed urban functions is achieved using the theory of fuzzy sets. A case study is conducted using taxi trajectory data in three cities in China. Experimental results indicate the high discriminability of our proposed method, especially in areas with weak activity intensity, and reveal the relationship between the mixture index and the trip distance. The proposed method is promising to establish a solid scientific foundation for comprehending the urban complex system.","Chen, Zhixing","Tang, Luliang","Guo, Xiaogang","Zheng, Guizhou",,,,,,,,,,,3,,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,Trajectory temporal image,Mixed urban functions,Location big data,Contrastive learning,Human activity,FCM,,,,,,,,,,JUN 2024,A self-supervised detection method for mixed urban functions based on trajectory temporal image
Row_93,"Shared micro-mobility services (e.g., shared bikes/e-bikes/e-scooters) have the potential to facilitate transport equity by offering available travel modes for transport disadvantaged groups. The achievement of this goal requires disadvantaged people to be able to use and benefit from shared micro-mobility equally compared with others. However, while many studies have explored the equity impact of shared micro-mobility from the perspective of its spatially and socially unequal usage, how its use can help alleviate transport poverty remains unclear. This study provides a more comprehensive picture of the role that shared micro-mobility services play on transport equity by investigating the influential factors of shared micro-mobility use and its impact on perceived transport poverty between different income groups. We developed regression models using data from an online survey conducted in 2022 in three European cities (Malmo, Manchester, and Utrecht). The results suggest that some transport disadvantaged groups (the elderly, females, car non-owners, and suburban residents) used shared micro-mobility less than others in our sample. Shared micro-mobility use shows little potential in promoting the users' accessibility and travel affordability. Nonetheless, shared e-scooters/e-mopeds have a great potential in facilitating transport equity by favoring low-income users' mobility equally or more greatly compared with that of high-income users.","Guan, Xiaodong","van Lierop, Dea","An, Zihao","Heinen, Eva","Ettema, Dick",,,,,,,,,,1,,CITIES,Shared micro-mobility,Transport equity,Transport poverty,Mobility,European cities,,,,,,,,,,,OCT 2024,Shared micro-mobility and transport equity: A case study of three European countries
Row_100,"Urban commuting flow prediction is crucial for urban planning, transportation optimization, and supply chain management. Traditional models and machine learning solutions often fall short in capturing the complex dynamics of urban mobility, overlooking factors like spatial correlation and human mobility patterns. Recent deep learning advancements have shown promise by integrating spatial correlation through incorporating geographical adjacency. However, this approach may not fully capture spatial correlation, particularly the semantic adjacency effect of zones connected via public transportation lines, such as metro networks-a novel dimension overlooked in prior research. The metro station serves as a major transit hub, attracting passengers from various origins and destinations and correlating the flow between the connected zones and other zones within the metro network. Devising an optimized model to encapsulate these spatial correlations is another crucial area of research where scientists are actively seeking the most effective solutions. We propose a novel sequential hybrid approach leveraging graph-based learning, focusing on the underexplored impact of metro networks on commuting flow prediction. Our model integrates two types of adjacency-geographic and semantic-using Graph Convolutional Networks (GCNs) to embed geographic correlations among proximate zones and Graph Attention Networks (GATs) to incorporate semantic adjacency defined by metro line connectivity. Furthermore, our approach innovatively incorporates features directly from online maps, eliminating reliance on third-party resources and enhancing scalability and efficiency. We validate our model using real- world datasets from Montreal, Canada, comprising travel surveys and GPS trajectory types, totaling nearly 900,000 trip records. Through evaluation using established performance metrics such as MAE, RMSE, MAPE, and CPC, we demonstrate significant improvement in predictive accuracy compared to existing state-of-the-art models. Our research has practical implications for urban planning and infrastructure development, aiding policymakers and urban planners in analyzing the impact of new urban infrastructure on commuting flow dynamics and facilitating informed decisions regarding transportation and infrastructure planning.","Nejadshamsi, Shayan","Bentahar, Jamal","Eicker, Ursula","Wang, Chun","Jamshidi, Faezeh",,,,,,,,,,0,,EXPERT SYSTEMS WITH APPLICATIONS,Human mobility,Commuting flow prediction,Graph neural network,Geographic and semantic adjacency,,,,,,,,,,,,FEB 1 2025,A geographic-semantic context-aware urban commuting flow prediction model using graph neural network
Row_102,"Urban proximity planning is foreseen as a solution to foster a ""sustainable"" city, including economic viability, environmental soundness and social inclusivity. This paper focuses on the inclusivity aspects by questioning the adoption of urban proximities: how far planning for urban proximities resonates or conflicts with current residential preferences and practices? Based on functional, social, and sensitive attributes, five latent residential preferences have been identified: spatial proximity, tranquility, elitism, social proximity, and conviviality. These aspirations form the basis for a longitudinal, spatial, and clustering analysis. The results of the analysis, conducted on 2200+ respondents in Geneva, reveal characteristics in residential preferences. Firstly, preferences are stable over time, but malleable to changing circumstances. Secondly, some preferences show clear spatial distribution patterns when regressed with residential location choice. Thirdly, the gap between preferences and actual residential practices varies across morphological attributes. As a main result, the clustering analysis shows that 43 % of the population aspire more to tranquility than to functional proximity; and those aspiring for proximities (32 %) are the youngest and wealthiest. This questions the relevance of models of urban proximities as an inclusive solution - raising issues of generational divide, territorial segregation, and injunctive and targeted planning.","Schultheiss, Marc-Edouard","Pattaroni, Luca","Kaufmann, Vincent",,,,,,,,,,,,0,,CITIES,Residential choice,Residential way of living,Urban proximity,15-minute city,Preference,Inclusive planning,,,,,,,,,,SEP 2024,Planning urban proximities: An empirical analysis of how residential preferences conflict with the urban morphologies and residential practices
Row_103,"Human travel flow within a city, defined as the movement of inhabitants between different places, is a crucial aspect of urban planning, as it involves the inhabitants' demand for the built environment. However, the flows of different genders and ages may show different patterns owing to various needs. Therefore, understanding the flow patterns of different groups and their relationships with the built environment is essential for creating a well-designed urban environment that meets the needs of all types of inhabitants. However, few studies have investigated the flow patterns of different groups to capture the heterogeneous effects of the built environment on different populations. This study analysed flow patterns and differences among various groups from a flow perspective and determined the impact of the built environment. The results indicated that different groups differed in flow distance, time, and spatial distribution. Moreover, built environment factors can be categorized into three types: promoting factors positively influence all groups (subway accessibility, population). Inhibiting factors negatively influence all groups (distance, transportation hubs). Bifactorial factors exhibit heterogeneous effects on different groups (residences, employment, commercial, education, healthcare, entertainment, entropy, distance to downtown). Our findings may be crucial in creating a more inclusive and equitable urban environment.","Liu, Xiaohan","Pei, Tao","Wang, Xi","Liu, Tianyu","Fang, Zidong","Jiang, Linfeng","Jiang, Jingyu","Yan, Xiaorui","Wu, Mingbo","Peng, Yong","Ge, Dasheng","Gao, Xing","Song, Ci","Chen, Jie",1,,CITIES,Urban planning,Built environment,Spatiotemporal flow patterns,Tobit regression model,Population heterogeneity,,,,,,,,,,,AUG 2024,Travel flow patterns of diverse population groups and influencing built environment factors: A case study of Beijing
Row_110,"Poor spatial accessibility of urban green spaces affects disadvantaged populations, who are at greater risk of socioeconomic related health inequalities. We analyse mobile phone locational data from the Auckland Region of New Zealand to connect a user's 'home' location to nearby urban parks, specifically focusing on public housing tenants - a highly vulnerable group at greater risk of health inequalities. We use a number of traditional accessibility measures and four new park utilisation analyses to explore the relationship between accessibility to urban parks, neighbourhood area deprivation, and user's patterns of actual park usage. We develop four new metrics to assist in understanding the actual utilisation of green spaces available to residents: distance between closest park available and visited (DAT), used park opportunities (UPO), locality of park visits (LPV), and nearest park visitation rate (NPVR). We found that neighbourhoods with the most public housing tend to have a lower number of parks accessible, and those that are accessible are smaller in size. Additionally, people living in these areas tend to travel farther to access urban parks compared to areas with no public housing. More deprived neighbourhoods were revealed to have lower accessibility to urban greens in Auckland, highlighting the urgency to address the emerging divisions in accessibility and opportunities for these neighbourhoods. Our findings have important implications for policymakers and urban planners. Furthermore, the use of mobile phone locational data can reveal insights into the mobility behaviour of users and can be applied to other locations and population groups.","Colbert, Jessie","Chuang, I-Ting","Sila-Nowicka, Katarzyna",,,,,,,,,,,,5,,LANDSCAPE AND URBAN PLANNING,Urban Park,Park utilisation,Park accessibility,Spatial inequality,Auckland public housing,Mobile location data,,,,,,,,,,JUL 2024,"Measuring spatial inequality of urban park accessibility and utilisation: A case study of public housing developments in Auckland, New Zealand"
