Unnamed: 0,abstract,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,citation,conference,journal/book,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,publish time,title
Row_41,"To attain sustainable development goals and understand urban growth patterns, continuous and precise monitoring of built-up area heights is essential. This helps reveal how urban form evolution impacts the thermal environment. Previous research often used isolated images, ignoring the temporal dimension of thermal infrared and reflectance data from Landsat sensors. Additionally, cost-effective and efficient methods for reconstructing time-series built height are lacking. To fill this knowledge gap, we utilized Landsat time-series data to reconstruct the yearly trends in urban form in Beijing, China, spanning from 1990 to 2020. Continuous Change Detection and Classification (CCDC) time series analysis method was used to identify urban growth and renewal years. Employing a reference height for 2020 and logical reasoning method, we reconstructed the annual dynamics of built-up heights, pinpointing years of significant change. Finally, we analyzed the alterations in urban form over the past three decades and their impact on surface temperature changes. Our change detection method achieved an overall accuracy of 86 %, demonstrating its effectiveness in determining the year of change. When compared with data from Lianjia and LiDAR point cloud, our height reconstruction method showed impressive accuracy, with R-2 values of 0.9773 and 0.9526, respectively. Analysis of summer and winter LST values revealed distinct temperature patterns across different building heights, with mid-rise buildings exhibiting the highest LST in summer and low-rise buildings registering the highest LST in winter. During periods of urban growth, both mean and amplitude values of LST increased, while during urban renewal (demolition), they decreased. The date of annual temperature peaks advanced during urban growth but delayed during urban renewal (demolition). Our time series analysis framework offers a new method for understanding the yearly dynamics of urban form and its influence on surface temperature, with potential applications in carbon emission and urban climate modeling studies.","Liang, Ying","Cao, Shisong","Mo, You","Du, Mingyi","Wang, Xudong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Urban growth,Urban renewal,Height dynamics,Time-series surface temperature,Temporal thermal signature,,,,,,,,,,NOV 2024,Characterizing annual dynamics of two- and three-dimensional urban structures and their impact on land surface temperature using dense time-series Landsat images
Row_46,"In this study, we aimed to investigate the relationship between single-building scaled urban regeneration, driven by the Disaster Risk Transformation Law, and urban segregation in Maltepe district. Following stricter building codes, the district underwent significant demolition and construction between 2014 and 2015. We employ construction data and credit card transaction data to analyze the demographic changes. We find that urban regeneration due to building renewal may have diverse context-dependent effects on the demographic tapestry of communities, their culture and history. While some neighborhoods showed positive response to increased local amenities and resulted in reduced mobility outside their local area, leading to greater income segregation from the rest of the city, others behaved in the opposite direction. Similarly, the transformation process has attracted a more educated and higher-income inflow of residents in some neighborhoods compared to others. Herein, we employ new big data and mobility-driven metrics from computational social science such as diversity, loyalty and assortativity to reveal the link between urban regeneration and segregation. Our findings provide important clues and insights to urban planners for developing urban policies leading to neighborhood designs that are more connected to each other (hence reducing segregation) while still offering modern amenities expected by their residents.","Seyedkazemi, Seyedpayam","Dass, Zuhal Ozbay","Ozbay, Ayse Elif Ozsoy","Bozkaya, Burcin","Balcisoy, Selim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,CITIES,Urban regeneration,Gentrification,Economic segregation,Purchase activities,Building renewal,,,,,,,,,,OCT 2024,Can financial transactions reveal the change in social fabric triggered by urban regeneration?
Row_48,"The pandemic, public crises, ageing, and social fragmentation have exposed the fragility of community systems. This paper proposes the hypothesis that governance structure and institution affect the functional system and adaptability of the community, and forms a framework of structural-institutional-functional adaptation. Using comparative analysis of cases from different governance structures and self-organizing foundations. The government governance structure and weak self-organization foundation of Hongmei community form the dependence on the government to improve the functional system. Qicai Community is a market governance structure, which realizes multi-functional adaptability in design, but the weak self-organization foundation increases the cost of operation and institution. Hemu Community is a multi-agent structure based on the self-organization institution, which improves the multi-functional adaptability under the cooperation of self-organization and the government. The case comparison shows that the governance structure and institutional adaptability are the basis of functional adaptation, which together constitute the system adaptability. From the perspective of CAS, the bottom-up self-organization structure has more flexible adaptability. The multi-agent governance structure based on the self-organization is more conducive to the improvement of functional adaptability. But market and government mechanisms each have their own irreplaceable roles. This paper proposes that the government and the market embedded in the multi-agent structure and institutional framework of self-organizing governance, and realize the collaborative adaptation of the three dimensions, which is of great significance for the transformation of community governance.","Lu, Wenzheng","Qiu, Baoxing","Wu, Yuzhe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,HABITAT INTERNATIONAL,Community renewal governance,Adaptive renewal,Structural adaptability,Institutional adaptability,Functional adaptability,,,,,,,,,,FEB 2024,Exploration of urban community renewal governance for adaptive improvement
Row_52,"The public participation process in the renovation of urban villages should not only ensure procedural justice but also guide the affective integration of residents. This paper explores the public's perception of the participation space and the process of affective construction based on a visual study of the Luofeng village renovation in Guangzhou. The aim is to elucidate how the space can be employed to create an affective atmosphere as a strategy for the renovation. The study reveals that participants focused on visual symbols carrying the narrative of daily life, evoking a positive emotional response to these elements. The public participation space successfully establishes a homey atmosphere and achieves the affective reproduction of residents through the creation of its physical environment, residents' embodied practices within it, and negotiated interactions among different subjects. Drawing on the case study, we advocate for the public participation process in urban village renovation to consider residents' embodied affective experiences. It provides a practical model that surpasses mere representation, with the intention of offering a reference for sustainable urban renewal.","Wang, Min","Zhang, Jiayin","Zou, Haixiang","Huang, Zirou","Zhang, Longlong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,CITIES,urban renewal,affective atmosphere,urban village,public participation,Home space,,,,,,,,,,MAR 2024,Constructing an ideal home: Affective atmosphere creation as a public participation strategy for urban village renovation
Row_57,"China has progressively elevated old city transformation and urban renewal to a policy priority, positioning them as new endogenous drivers of urban development. It raises the demand for real-time insight into the spatiotemporal distribution of old and renewed urban areas. We propose a weakly supervised mapping framework with adaptive adjustments city by city without relying on high-precision training samples. It is also convenient for variable spatial range and study period. We combined Landsat imagery during 2000-2021, LandTrendr change detection algorithm and Simple Non-Iterative Clustering image segmentation into a Threshold Voting approach. The overall accuracy and Kappa coefficient of our results are 78.37 % and 0.57, respectively, with interesting global and local patterns. Old urban areas cluster in the early developed city centers, accounting for 22.55 % nationwide, usually interspersed and surrounded with renewed urban areas (77.45 %). Our mapping framework provides an efficient and flexible scheme for ground history detection, and the related results can be applied as helpful references for urban renewal field work in China.","Ni, Hao","Yu, Le","Gong, Peng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,Weakly supervised classification,Old urban area,Urban renewal,LandTrendr,Simple non-iterative clustering,Threshold voting,,,,,,,,,NOV 2024,Weakly supervised mapping of old and renewed urban areas in China during the recent two decades
Row_58,"Studying the preservation and reuse of industrial heritage can improve people's knowledge and understanding of cultural heritage, thus deepening their sense of identity and belonging to the local culture. This study applies the theory of placeness to protect industrial architectural heritage, promote the organic revitalization of urban space, enhance local identity, and realize the visualization of tacit knowledge. Based on the theory of placeness, this study constructs an indicator system for industrial architectural heritage renewal strategy. The indicator system includes four primary indicators, namely State of Matter, Policy System, Behavior and Spirit, and 23 secondary indicators. Exploratory factor analysis is carried out using the post-evaluation (POE) method. This study concludes that (1) there are seven strategy combinations for industrial heritage renewal, including artistic expression, landscape and space, humanistic connotation, industrial building, history and culture, architectural features, and construction skills. The combination of strategies can enhance the locality and architectural originality. (2) The strategy combinations can be used in the design, construction, and operation stages of the whole life cycle and have been empirically demonstrated in typical projects in Guangzhou. Building Construction Atlas, Climatic Suitability, Building History/People, and Industrial Equipment have a higher contribution to the renewal effect of industrial buildings. (3) The 23 renewal strategy elements based on placeness provide new ideas for coding methods of historic buildings and modeling of historic building information model (HBIM). These strategy elements can be used to construct a knowledge graph of historic buildings and visualize tacit knowledge to promote sustainable construction and twin city construction.","Zhong, Deyu","Huang, Pinzhi","Xiong, Gui","Li, Hongyang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Industrial heritage,Renewal,Placeness,,,,,,,,,,,,DEC 2024,"Renewal strategies of industrial heritage based on placeness theory: The case of Guangzhou, China"
Row_69,"With the rapid advancement of urban-rural integration and rural revitalization, China's traditional villages are gradually entering a stage of comprehensive transformation from tradition to modernity, and the continuous expansion of residents' spatial, cultural, and function needs has led to an increasingly serious phenomenon of non-compliant renewal. However, there is a clear lack of guidance and support for the renewal of traditional villages. This article constructs an organic renewal framework of ""logical space restoration and physical space adaptation"" for traditional villages. With the Laoche village as an example, the Landscape Gene Analysis method and Photovoice method were used to precisely identify the challenges faced by Laoche village and propose precise implementation strategies for organic renewal. From the conceptual construction to the exploration of paths, it helps to solve the deep-rooted contradictions between the renewal and protection of traditional villages.","Li, Bohua","Yang, Fuduan","Long, Xiangyu","Liu, Xingyue","Cheng, Bo","Dou, Yindi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,HABITAT INTERNATIONAL,Organic renewal,Traditional villages,Logical space,Physical space,China,,,,,,,,,,FEB 2024,"The organic renewal of traditional villages from the perspective of logical space restoration and physical space adaptation: A case study of Laoche village, China"
Row_73,"The renewal of old bridges is sometimes restricted to avoid the high carbon emissions caused by materials and construction, which however might not be conductive to climate change mitigation due to their insufficient functions. In order to facilitate the optimization of renewal timing and strategy from the perspective of reducing the comprehensive global warming impacts, we put forward the low-carbon bridge renewal decision method referring to the ideas of consequential life cycle assessment (LCA) and dynamic LCA. In the proposed method, a comparative system boundary matching the bridge renewal characteristics is constructed, where the carbon emission reduction owing to the traffic efficiency improvement by functional updating is incorporated as the lowcarbon benefits of renewal, and three types of time-dependent factors, i.e., time-dependent characterization factor, trend factors and changes of traffic demands, are introduced to characterize the influence of renewal timing. The proposed method provided guidance for the renewal of Maogang Bridge, the first long-span cablestayed bridge in Shanghai. Results illustrate that the global warming impacts of renewal construction activities and the low-carbon benefits from functional updating decrease with the renewal timing. For Maogang Bridge, the rapidly increasing traffic demands inevitably advocated renewal in advance, and the reduction of global warming impacts from emission reduction or carbon uptake could be manifested for renewal in advance. Adopting material recycling in the disposal of old bridge helped reconstructing a new bridge while deconstructing the old one in 2019 becoming the finally selected low-carbon renewal strategy, which is expected to reduce 15.04 kt CO2e-2019 compared to the essential renewal in 2050 with the landfill disposal method. The robustness of the strategy choice has been justified, given the variations of analytical time horizon, expected emission trends and repair emissions. In this way, the low-carbon renewal decision method could build a quantitative basis for judging the urgency of functional updating and verifying the low-carbon benefits of immediate concrete recycling in up-coming urban renewals.","Xia, Bing","Xiao, Jianzhuang","Ding, Tao","Guan, Xiangshuo","Chen, Jin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,JOURNAL OF CLEANER PRODUCTION,Bridge renewal,Low -carbon decision,Carbon emissions,Emissions timing,Material recycling,Dynamic life cycle assessment,,,,,,,,,APR 5 2024,Life cycle assessment of carbon emissions for bridge renewal decision and its application for Maogang Bridge in Shanghai
Row_77,"This paper analyzes the federal urban renewal and slum clearance program. This program was one of the largest and most controversial policies used to rehabilitate neighborhoods in the United States. Using a newly constructed dataset, I examine the characteristics of neighborhoods cleared for redevelopment and the effect that such projects had on neighborhoods over time. I show that conditional on experiencing urban blight, Black neighborhoods were twice as likely as white neighborhoods to be targeted for clearance. Redevelopment led to a decline in housing density, population density, and the share of Black residents while simultaneously increasing median rents and incomes.","LaVoice, Jessica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,JOURNAL OF PUBLIC ECONOMICS,Urban renewal,Slum clearance,Housing Act of 1949,,,,,,,,,,,,AUG 2024,The long-run implications of slum clearance: A neighborhood analysis
Row_84,"China is pursuing an ambitious green urban renewal strategy that strives for a green, inclusive, and sustainable urban future. Green urban renewal is likely to exacerbate social injustice without adequate countermeasures. Low-income groups are more likely to be displaced since their housing spending is more elastic. However, research on whether China's new environmentally responsible green urban renewal has also aggravated socioeconomic inequity is still insufficient. Using the Happiness Forest Belt (HFB, currently the largest green infrastructure regeneration project in China) in Xi'an as a case study, our study examines whether green urban renewal actions have resulted in green gentrification. By incorporating spatial effects into the difference in differences (DID) model, our estimates show that HFB significantly and dynamically stimulated the appreciation of nearby property rents. Moreover, the lower the property rents, the more intense the impact of HFB and the more likely it was to gentrify. It confirms our concern that green urban renewal would probably result in the displacement of the poor and that green initiatives aimed at common human well-being are more beneficial to the wealthy. Based on this, we recommend that policymakers and planners realize the importance of the equitable distribution of green benefits, take innovative initiatives to address environmental injustice, and provide inclusive social and ecological solutions.","Liu, Kui","Du, Jinfeng","Cheng, Yijiao","Xia, Zheyi","Liu, Jingming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CITIES,Green infrastructure,Green gentrification,Urban renewal,Spatial difference in differences model,Environmental justice,,,,,,,,,,OCT 2024,Green gentrification and who will benefit from green infrastructure regeneration? A quasi-experimental study in China
Row_87,"Neighbourhood renewal programs are a type of place-based policy that aim to revive underperforming localities. The literature on place-based policies has found mixed results regarding their effects on local labor market outcomes, but there are relatively few studies of policies that aim to improve local labor supply. In this paper we examine the labor market effects of the Neighbourhood Renewal Fund, which targeted 88 of the most deprived areas in England during the early 2000s as part of the Labour government's National Strategy for Neighbourhood Renewal. The fund disbursed almost 3 pound billion for spending on community safety, education, healthcare and worklessness, with supply-side interventions making up the bulk of the program's spending on worklessness. Using a difference-in-differences approach, we find statistically significant impacts on local employment. Our results suggest that policy interventions to improve local labor supply can be a successful strategy for neighborhood renewal.","Jump, Robert Calvert","Scavette, Adam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,JOURNAL OF URBAN ECONOMICS,Place-based policies,Urban economics,Labor supply,Employment,,,,,,,,,,,NOV 2024,JUE Insight: : The labor market effects of place-based policies: Evidence from England's Neighbourhood Renewal Fund
Row_101,"Prior studies find that neighbourhoods abutting gentrifying spaces are viewed as ideal for capital investments and thereby subjected to increased police attention. Yet the categorical operationalisation of gentrification in such work presents limitations, particularly given that it is a spatial process. This area of scholarship also warrants a theoretical explanation of the diffusion of urban redevelopment and disorder policing. We address these voids by integrating the literatures of urban studies and crime and deviance to theorise the linkage between nearby gentrification and disorder policing. Using negative binomial regression models to analyse three years of arrest records from the Washington, DC Metropolitan Police Department, we find that the occurrence of gentrification in nearby block groups is associated with increased order maintenance arrests in the average block group. This work demonstrates that the risk of disorder-related regulation extends beyond the bounds of high-value communities, further exposing socioeconomically marginalised groups to the risks of criminal justice contact.","Johnson, Lallen T.","Guy, Malcolm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,URBAN STUDIES,crime,displacement,gentrification,policing,redevelopment,regeneration,social order,Washington DC,,,,,,,AUG 2024,Proximity to gentrification and order maintenance policing: How the diffusion of urban renewal amplifies formal social control
